Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Lost	GO:0007369	gastrulation	5/23	61/4062	0.0819672131147541	14.4761225944405	8.00182559026456	1.76862139247785e-05	0.0161043707881142	0.0126636304185472	16323/22418/106042/16600/23966	5
Lost	GO:0001702	gastrulation with mouth forming second	3/23	12/4062	0.25	44.1521739130435	11.2955992786956	3.37617836228809e-05	0.0161043707881142	0.0126636304185472	22418/106042/23966	3
Lost	GO:2000648	positive regulation of stem cell proliferation	3/23	12/4062	0.25	44.1521739130435	11.2955992786956	3.37617836228809e-05	0.0161043707881142	0.0126636304185472	19264/22418/14183	3
Lost	GO:0098773	skin epidermis development	4/23	37/4062	0.108108108108108	19.0928319623972	8.34195716647251	4.56140700584506e-05	0.0163184335634107	0.012831958129601	16323/22418/16600/14183	4
Lost	GO:0097190	apoptotic signaling pathway	6/23	133/4062	0.0451127819548872	7.96730957829356	6.16443674048159	7.02193178435635e-05	0.0200967687668279	0.0158030422683725	19264/16323/22418/52521/16600/14183	6
Lost	GO:0032637	interleukin-8 production	3/23	17/4062	0.176470588235294	31.1662404092072	9.40437355768153	0.000102441687073585	0.0209420077431858	0.016467693756641	19264/22418/16600	3
Lost	GO:0032677	regulation of interleukin-8 production	3/23	17/4062	0.176470588235294	31.1662404092072	9.40437355768153	0.000102441687073585	0.0209420077431858	0.016467693756641	19264/22418/16600	3
Lost	GO:0097191	extrinsic apoptotic signaling pathway	4/23	51/4062	0.0784313725490196	13.8516624040921	6.96885698357063	0.000163744979201333	0.0292898831546385	0.0230320240481876	19264/16323/16600/14183	4
Lost	GO:0050877	nervous system process	8/23	317/4062	0.0252365930599369	4.45700178302016	4.83667392878836	0.000218163296038066	0.0296280323119415	0.0232979267655783	14799/240590/16508/320701/23966/259089/259093/259114	8
Lost	GO:0007608	sensory perception of smell	3/23	22/4062	0.136363636363636	24.0830039525692	8.19136861794676	0.00022774867605266	0.0296280323119415	0.0232979267655783	259089/259093/259114	3
Lost	GO:0072091	regulation of stem cell proliferation	3/23	22/4062	0.136363636363636	24.0830039525692	8.19136861794676	0.00022774867605266	0.0296280323119415	0.0232979267655783	19264/22418/14183	3
Lost	GO:0021879	forebrain neuron differentiation	3/23	24/4062	0.125	22.0760869565217	7.81368558131426	0.000297120912330351	0.0354316687953943	0.0278616013404513	16323/22418/14183	3
Lost	GO:0021872	forebrain generation of neurons	3/23	26/4062	0.115384615384615	20.3779264214047	7.47931602456015	0.000378864578992814	0.0366151378322179	0.0287922191641038	16323/22418/14183	3
Lost	GO:0043408	regulation of MAPK cascade	6/23	181/4062	0.0331491712707182	5.85443190007206	5.04137920028419	0.000385616145374096	0.0366151378322179	0.0287922191641038	19264/16323/22418/52521/16600/14183	6
Lost	GO:0044057	regulation of system process	6/23	189/4062	0.0317460317460317	5.60662525879917	4.89365698043147	0.000487080737011171	0.0366151378322179	0.0287922191641038	14799/16323/16600/16508/320701/23966	6
Lost	GO:0072089	stem cell proliferation	3/23	29/4062	0.103448275862069	18.2698650674663	7.04234534716611	0.000526576925366041	0.0366151378322179	0.0287922191641038	19264/22418/14183	3
Lost	GO:0048598	embryonic morphogenesis	6/23	193/4062	0.0310880829015544	5.49042577157017	4.822922658655	0.00054512173886815	0.0366151378322179	0.0287922191641038	16323/22418/106042/16600/23966/14183	6
Lost	GO:0003002	regionalization	5/23	125/4062	0.04	7.06434782608696	5.19636786007522	0.00054893627885194	0.0366151378322179	0.0287922191641038	22418/106042/240590/14183/21892	5
Lost	GO:0001942	hair follicle development	3/23	30/4062	0.1	17.6608695652174	6.91100991756711	0.000582926387344728	0.0366151378322179	0.0287922191641038	16323/22418/14183	3
Lost	GO:0022404	molting cycle process	3/23	30/4062	0.1	17.6608695652174	6.91100991756711	0.000582926387344728	0.0366151378322179	0.0287922191641038	16323/22418/14183	3
Lost	GO:0022405	hair cycle process	3/23	30/4062	0.1	17.6608695652174	6.91100991756711	0.000582926387344728	0.0366151378322179	0.0287922191641038	16323/22418/14183	3
Lost	GO:0070372	regulation of ERK1 and ERK2 cascade	4/23	72/4062	0.0555555555555556	9.81159420289855	5.69216885985913	0.000622902198505916	0.0366151378322179	0.0287922191641038	19264/16323/16600/14183	4
Lost	GO:0060759	regulation of response to cytokine stimulus	3/23	31/4062	0.0967741935483871	17.0911640953717	6.78586784890967	0.000643001334586036	0.0366151378322179	0.0287922191641038	19264/22418/16600	3
Lost	GO:0021953	central nervous system neuron differentiation	4/23	73/4062	0.0547945205479452	9.67718880285884	5.64484401173836	0.000656537071747977	0.0366151378322179	0.0287922191641038	16323/22418/240590/14183	4
Lost	GO:0043410	positive regulation of MAPK cascade	5/23	130/4062	0.0384615384615385	6.79264214046823	5.06506598041872	0.000657532651441429	0.0366151378322179	0.0287922191641038	19264/16323/22418/52521/14183	5
Lost	GO:0007606	sensory perception of chemical stimulus	3/23	32/4062	0.09375	16.5570652173913	6.6664346261926	0.000706900760713989	0.0366151378322179	0.0287922191641038	259089/259093/259114	3
Lost	GO:2001235	positive regulation of apoptotic signaling pathway	3/23	32/4062	0.09375	16.5570652173913	6.6664346261926	0.000706900760713989	0.0366151378322179	0.0287922191641038	19264/16323/22418	3
Lost	GO:0042303	molting cycle	3/23	33/4062	0.0909090909090909	16.0553359683794	6.55227737407132	0.000774721888594377	0.0366151378322179	0.0287922191641038	16323/22418/14183	3
Lost	GO:0042633	hair cycle	3/23	33/4062	0.0909090909090909	16.0553359683794	6.55227737407132	0.000774721888594377	0.0366151378322179	0.0287922191641038	16323/22418/14183	3
Lost	GO:0000165	MAPK cascade	6/23	207/4062	0.0289855072463768	5.11909262759924	4.59005644208001	0.00079221103666777	0.0366151378322179	0.0287922191641038	19264/16323/22418/52521/16600/14183	6
