Cluster	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
Gained	GO:0099572	postsynaptic specialization	46/597	251/6240	0.183266932270916	1.91555386494224	4.81540963905834	9.02637227616953e-06	0.00295533780647372	0.00265082190202609	103967/320119/14806/216028/11735/20979/14799/216856/11418/14813/110893/192119/12671/14803/12934/18163/118452/11514/545156/50873/73728/18011/19281/16500/13175/11444/320840/242274/14807/329942/16498/81840/18125/243312/27418/20336/320127/243548/109135/74206/23859/269994/244310/330914/110637/64085	46
Gained	GO:0098984	neuron to neuron synapse	46/597	255/6240	0.180392156862745	1.88550596117844	4.69590319311779	1.38748253825057e-05	0.00295533780647372	0.00265082190202609	21960/103967/320119/14806/216028/11735/20979/14799/11418/14813/110893/192119/12671/14803/12934/18163/118452/11514/545156/50873/18189/73728/18011/19281/13175/320840/242274/14807/329942/16498/81840/18125/243312/27418/20336/320127/243548/108073/109135/23859/60510/269994/244310/330914/110637/64085	46
Gained	GO:0099634	postsynaptic specialization membrane	23/597	99/6240	0.232323232323232	2.42830313182072	4.6591647796781	4.17153682053597e-05	0.0049899694031039	0.00447580650686117	14806/216028/14799/216856/11418/14813/12671/14803/19281/16500/11444/242274/14807/329942/16498/81840/243312/27418/320127/23859/269994/110637/64085	23
Gained	GO:0014069	postsynaptic density	41/597	230/6240	0.178260869565217	1.86322918942539	4.3385282783069	5.45473001861082e-05	0.0049899694031039	0.00447580650686117	103967/320119/14806/216028/11735/20979/14799/11418/14813/110893/192119/12671/14803/12934/18163/118452/11514/545156/50873/73728/18011/19281/13175/320840/242274/14807/329942/16498/81840/18125/243312/20336/320127/243548/109135/23859/269994/244310/330914/110637/64085	41
Gained	GO:0032279	asymmetric synapse	42/597	239/6240	0.175732217573222	1.83679905805177	4.29040166992816	6.24082578948849e-05	0.0049899694031039	0.00447580650686117	103967/320119/14806/216028/11735/20979/14799/11418/14813/110893/192119/12671/14803/12934/18163/118452/11514/545156/50873/73728/18011/19281/13175/320840/242274/14807/329942/16498/81840/18125/243312/20336/320127/243548/108073/109135/23859/269994/244310/330914/110637/64085	42
Gained	GO:0034703	cation channel complex	21/597	89/6240	0.235955056179775	2.46626390378861	4.53131147995727	7.02812591986465e-05	0.0049899694031039	0.00447580650686117	269109/12290/14806/70357/238161/12313/20191/12294/16539/16528/67077/20274/16500/16497/14807/16498/12293/13483/23859/110637/27425	21
Gained	GO:0045211	postsynaptic membrane	35/597	189/6240	0.185185185185185	1.9356039456542	4.24814178790427	8.69817236026885e-05	0.00529345917924933	0.00474802491244751	12290/103967/14806/216028/11735/20979/23964/14799/216856/11418/14813/110893/12671/14803/11549/18530/219228/140492/19281/16500/11444/242274/14807/329942/16498/12293/81840/243312/27418/320127/108073/23859/269994/110637/64085	35
Gained	GO:0034705	potassium channel complex	13/597	43/6240	0.302325581395349	3.1599859763936	4.62257583328153	0.00012074067424458	0.00642944090352387	0.00576695588826085	269109/14806/70357/12313/16539/16528/16500/16497/14807/16498/13483/23859/110637	13
Gained	GO:0098839	postsynaptic density membrane	19/597	80/6240	0.2375	2.48241206030151	4.3402346542733	0.000140685475328365	0.00665911249887594	0.00597296228587093	14806/216028/14799/11418/14813/12671/14803/19281/242274/14807/329942/16498/81840/243312/320127/23859/269994/110637/64085	19
Gained	GO:0098797	plasma membrane protein complex	38/597	218/6240	0.174311926605505	1.82195380572588	4.01786106530291	0.00016620511885348	0.00708033806315826	0.00635078506776982	269109/12290/14806/14609/22295/70357/24052/14799/71770/26941/14813/12313/12294/14803/12563/16539/16419/16415/14961/15002/67077/69379/269275/20274/12156/16500/16497/11444/12695/230500/14807/16498/12293/14677/13483/23859/110637/83493	38
Gained	GO:0034702	monoatomic ion channel complex	27/597	138/6240	0.195652173913043	2.0450076469303	4.03750007342315	0.000219113285388415	0.00848565996140589	0.00761130359770283	269109/12290/14806/70357/14799/14813/238161/12313/20191/12294/14803/16539/16528/67077/68539/20274/16500/16497/11444/14807/16498/12293/13483/23859/110637/27425/83493	27
Gained	GO:1902495	transmembrane transporter complex	31/597	177/6240	0.175141242937853	1.83062203673736	3.6461617537517	0.000602682598862187	0.0208759847729578	0.0187249381581015	269109/12290/14806/70357/14799/14813/238161/12313/20191/67530/12294/14803/16539/100041273/68194/16528/67077/68539/20274/16500/66046/16497/11444/14807/16498/12293/13483/23859/110637/27425/83493	31
Gained	GO:0097060	synaptic membrane	42/597	265/6240	0.158490566037736	1.65658481084669	3.55250294910976	0.000637060568188854	0.0208759847729578	0.0187249381581015	12290/103967/14806/216028/11735/20979/23964/14799/216856/11418/71770/14813/110893/12671/238988/12294/14803/11549/18530/219228/116838/11514/16419/18189/140492/19281/16500/11444/242274/14807/329942/16498/12293/81840/243312/27418/320127/108073/23859/269994/110637/64085	42
Gained	GO:0045095	keratin filament	6/597	13/6240	0.461538461538462	4.82412060301507	4.48903981041993	0.000713052058751576	0.0216971555020123	0.0194614960396107	74127/114566/16680/105866/406222/56735	6
Gained	GO:0005902	microvillus	12/597	45/6240	0.266666666666667	2.78726968174204	3.91349986407263	0.000786197479984863	0.0223280084315701	0.020027346332246	54418/26941/50934/16554/332309/26570/433899/20336/545902/80707/15450/17999	12
Gained	GO:0098858	actin-based cell projection	21/597	106/6240	0.19811320754717	2.07073101355836	3.61618851206757	0.000905667715046935	0.0241134029131247	0.0216287750369762	54418/22295/11994/23964/26941/50934/16554/332309/667742/329421/26570/70093/22253/242274/433899/18261/20336/545902/80707/15450/17999	21
Gained	GO:0016528	sarcoplasm	12/597	48/6240	0.25	2.61306532663317	3.64877206334873	0.00145859085816543	0.0345637800804186	0.0310023527778402	21956/11735/24052/238161/110893/20191/118452/68539/59091/65973/12293/18125	12
Gained	GO:0098978	glutamatergic synapse	57/597	404/6240	0.141089108910891	1.47470023384248	3.2087960905248	0.00147514506986742	0.0345637800804186	0.0310023527778402	21960/103967/11793/14806/216028/20979/23964/14799/71770/14813/192119/12671/238988/239027/14803/11549/18530/219228/23888/12563/223435/18163/116838/11514/16419/545156/50873/224671/18189/140492/18011/19281/13175/242274/13131/14807/329942/16498/12293/18125/243312/320127/243548/108073/109135/74206/23859/23966/269994/330662/244310/330914/110637/17999/64085/74020/83493	57
Gained	GO:1990351	transporter complex	31/597	187/6240	0.165775401069519	1.73272781017386	3.30877910686164	0.00154157704584027	0.0345637800804186	0.0310023527778402	269109/12290/14806/70357/14799/14813/238161/12313/20191/67530/12294/14803/16539/100041273/68194/16528/67077/68539/20274/16500/66046/16497/11444/14807/16498/12293/13483/23859/110637/27425/83493	31
