module	timepoint	label	file	n_total	n_hit	pct
loops	early	characterized_loops	loops/outputs/250831-early_outputs/merged_loops/characterized_loops.tsv	165	26	15.76
loops	early	non_redundant_loops	loops/outputs/250831-early_outputs/merged_loops/non_redundant_loops.tsv	165	26	15.76
loops	early	merged_all_results	loops/outputs/250831-early_outputs/merged_loops/merged_all_results.tsv	39124	222	0.57
loops	early	bedpe_5kb_final	loops/outputs/250831-early_outputs/bedpe_final/5kb_final.bedpe	6	1	16.67
loops	early	bedpe_10kb_final	loops/outputs/250831-early_outputs/bedpe_final/10kb_final.bedpe	44	9	20.45
loops	early	bedpe_25kb_final	loops/outputs/250831-early_outputs/bedpe_final/25kb_final.bedpe	129	18	13.95
loops	early	bedpe_merged_final	loops/outputs/250831-early_outputs/bedpe_final/merged_final.bedpe	179	28	15.64
loops	early	bedpe_merged_nonredundant	loops/outputs/250831-early_outputs/bedpe_final/merged_all_loops_nonredundant.bedpe	39124	222	0.57
loops	early	bedpe_merged_diff_nonredundant	loops/outputs/250831-early_outputs/bedpe_final/merged_differential_nonredundant.bedpe	165	26	15.76
loops	early	edgeR_sig_5kb	loops/outputs/250831-early_outputs/edgeR_results_res_5kb/primary_analysis/significant_loops_fdr05.tsv	6	1	16.67
loops	early	edgeR_sig_10kb	loops/outputs/250831-early_outputs/edgeR_results_res_10kb/primary_analysis/significant_loops_fdr05.tsv	87	20	22.99
loops	early	edgeR_sig_25kb	loops/outputs/250831-early_outputs/edgeR_results_res_25kb/primary_analysis/significant_loops_fdr05.tsv	295	50	16.95
loops	late	characterized_loops	loops/outputs/250402-late_outputs/merged_loops/characterized_loops.tsv	2910	13	0.45
loops	late	non_redundant_loops	loops/outputs/250402-late_outputs/merged_loops/non_redundant_loops.tsv	2910	13	0.45
loops	late	merged_all_results	loops/outputs/250402-late_outputs/merged_loops/merged_all_results.tsv	39344	185	0.47
loops	late	bedpe_5kb_final	loops/outputs/250402-late_outputs/bedpe_final/5kb_final.bedpe	1120	3	0.27
loops	late	bedpe_10kb_final	loops/outputs/250402-late_outputs/bedpe_final/10kb_final.bedpe	1532	5	0.33
loops	late	bedpe_25kb_final	loops/outputs/250402-late_outputs/bedpe_final/25kb_final.bedpe	1189	10	0.84
loops	late	bedpe_merged_final	loops/outputs/250402-late_outputs/bedpe_final/merged_final.bedpe	3841	18	0.47
loops	late	bedpe_merged_nonredundant	loops/outputs/250402-late_outputs/bedpe_final/merged_all_loops_nonredundant.bedpe	39344	185	0.47
loops	late	bedpe_merged_diff_nonredundant	loops/outputs/250402-late_outputs/bedpe_final/merged_differential_nonredundant.bedpe	2910	13	0.45
loops	late	edgeR_sig_5kb	loops/outputs/250402-late_outputs/edgeR_results_res_5kb/primary_analysis/significant_loops_fdr05.tsv	1766	8	0.45
loops	late	edgeR_sig_10kb	loops/outputs/250402-late_outputs/edgeR_results_res_10kb/primary_analysis/significant_loops_fdr05.tsv	3981	19	0.48
loops	late	edgeR_sig_25kb	loops/outputs/250402-late_outputs/edgeR_results_res_25kb/primary_analysis/significant_loops_fdr05.tsv	4774	27	0.57
loops	late	master_annotated_loops	loops/output/master_loop_table/late/master_annotated_loops.tsv	7981	42	0.53
loops	late	significant_loops	loops/output/master_loop_table/late/significant_loops.tsv	7981	42	0.53
stripes	early	stripes_allsig	stripes/stripenn/outputs/250831/250831_stripes_allsig.bedpe	64	0	0
stripes	early	stripes_concordant	stripes/stripenn/outputs/250831/250831_stripes_concordant.bedpe	129	0	0
stripes	early	stripes_diagonal	stripes/stripenn/outputs/250831/250831_stripes_diagonal.bedpe	54	0	0
stripes	early	stripes_highconf	stripes/stripenn/outputs/250831/250831_stripes_highconf.bedpe	54	0	0
stripes	early	stripes_rectangle	stripes/stripenn/outputs/250831/250831_stripes_rectangle.bedpe	54	0	0
stripes	early	cross_res_merged	stripes/stripenn/outputs/250831/cross_res_merged.tsv	4486	25	0.56
stripes	early	final_diff_5kb	stripes/stripenn/outputs/250831/res_5kb/05_final_differential.tsv	4008	20	0.5
stripes	early	final_diff_10kb	stripes/stripenn/outputs/250831/res_10kb/05_final_differential.tsv	1879	13	0.69
stripes	late	stripes_allsig	stripes/stripenn/outputs/250402/250402_stripes_allsig.bedpe	1404	4	0.28
stripes	late	stripes_concordant	stripes/stripenn/outputs/250402/250402_stripes_concordant.bedpe	315	2	0.63
stripes	late	stripes_diagonal	stripes/stripenn/outputs/250402/250402_stripes_diagonal.bedpe	1015	3	0.3
stripes	late	stripes_highconf	stripes/stripenn/outputs/250402/250402_stripes_highconf.bedpe	1015	3	0.3
stripes	late	stripes_rectangle	stripes/stripenn/outputs/250402/250402_stripes_rectangle.bedpe	1015	3	0.3
stripes	late	cross_res_merged	stripes/stripenn/outputs/250402/cross_res_merged.tsv	8415	18	0.21
stripes	late	final_diff_5kb	stripes/stripenn/outputs/250402/res_5kb/05_final_differential.tsv	7371	18	0.24
stripes	late	final_diff_10kb	stripes/stripenn/outputs/250402/res_10kb/05_final_differential.tsv	3566	8	0.22
tads	early	tadcompare_filtered	tads/results/early/final/tadcompare_final_filtered.tsv	23104	141	0.61
tads	late	tadcompare_filtered	tads/results/late/final/tadcompare_final_filtered.tsv	21755	111	0.51
cmpts	early	calder2_labels	ML/cmpts/outputs/calder2/early/250831_subcompartment_labels_100kb.tsv	24639	134	0.54
cmpts	early	calder2_bin_signals	ML/cmpts/outputs/calder2/early/250831_bin_signals.tsv	23823	134	0.56
cmpts	late	calder2_labels	ML/cmpts/outputs/calder2/late/250402_subcompartment_labels_100kb.tsv	24639	134	0.54
cmpts	late	calder2_bin_signals	ML/cmpts/outputs/calder2/late/250402_bin_signals.tsv	23853	134	0.56
cmpts	early	sniper_ctrl	ML/cmpts/outputs/sniper/predictions/250831/ctrl_merged/predictions.bed	20148	131	0.65
cmpts	early	sniper_mut	ML/cmpts/outputs/sniper/predictions/250831/mut_merged/predictions.bed	20148	131	0.65
cmpts	late	sniper_ctrl	ML/cmpts/outputs/sniper/predictions/250402/ctrl_merged/predictions.bed	20149	131	0.65
cmpts	late	sniper_mut	ML/cmpts/outputs/sniper/predictions/250402/mut_merged/predictions.bed	20149	131	0.65
peaks	early	extended_characterized_loops	peaks/loop_annotation_extended/early/extended_characterized_loops.tsv	165	26	15.76
peaks	late	extended_characterized_loops	peaks/loop_annotation_extended/late/extended_characterized_loops.tsv	2910	13	0.45
peaks	both	diffbind_ATAC	peaks/diffbind/ATAC_allATAC_diffbind_results_summit_appended_ap.txt	75867	283	0.37
peaks	both	diffbind_K119ub	peaks/diffbind/K119ub_diffbind_results_summit_appended_ap.txt	41392	204	0.49
peaks	both	diffbind_K27ac	peaks/diffbind/K27ac_diffbind_results_summit_appended_ap.txt	25669	100	0.39
peaks	both	diffbind_K27me3	peaks/diffbind/K27me3_diffbind_results_summit_appended_ap.txt	18324	80	0.44
abc	late	delta_abc_all_pairs	abc/results/delta_abc_all_pairs.tsv	179709	627	0.35
abc	late	delta_abc_annotated	abc/results/delta_abc_annotated.tsv	179709	627	0.35
abc	late	delta_abc_significant	abc/results/delta_abc_significant.tsv	86629	403	0.47
abc	late	delta_abc_with_rnaseq	abc/results/delta_abc_with_rnaseq.tsv	113943	358	0.31
biomodal	late	dmr_beds:hmc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CG/cpg_islands/bed/hmc_significant_hyper.bed	26	0	0
biomodal	late	dmr_beds:hmc_significant_hypo.bed	biomodal/downstream/modality/DMR_processed/CG/cpg_islands/bed/hmc_significant_hypo.bed	146	1	0.68
biomodal	late	dmr_beds:hmc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CG/cpg_islands/bed/hmc_significant_q0.05.bed	172	1	0.58
biomodal	late	dmr_beds:mc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CG/cpg_islands/bed/mc_significant_hyper.bed	122	2	1.64
biomodal	late	dmr_beds:mc_significant_hypo.bed	biomodal/downstream/modality/DMR_processed/CG/cpg_islands/bed/mc_significant_hypo.bed	320	0	0
biomodal	late	dmr_beds:mc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CG/cpg_islands/bed/mc_significant_q0.05.bed	442	2	0.45
biomodal	late	dmr_beds:hmc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CG/cpg_shelves/bed/hmc_significant_hyper.bed	1125	5	0.44
biomodal	late	dmr_beds:hmc_significant_hypo.bed	biomodal/downstream/modality/DMR_processed/CG/cpg_shelves/bed/hmc_significant_hypo.bed	3915	17	0.43
biomodal	late	dmr_beds:hmc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CG/cpg_shelves/bed/hmc_significant_q0.05.bed	5040	22	0.44
biomodal	late	dmr_beds:mc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CG/cpg_shelves/bed/mc_significant_hyper.bed	5735	25	0.44
biomodal	late	dmr_beds:mc_significant_hypo.bed	biomodal/downstream/modality/DMR_processed/CG/cpg_shelves/bed/mc_significant_hypo.bed	1189	14	1.18
biomodal	late	dmr_beds:mc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CG/cpg_shelves/bed/mc_significant_q0.05.bed	6924	39	0.56
biomodal	late	dmr_beds:hmc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CG/cpg_shores/bed/hmc_significant_hyper.bed	1175	9	0.77
biomodal	late	dmr_beds:hmc_significant_hypo.bed	biomodal/downstream/modality/DMR_processed/CG/cpg_shores/bed/hmc_significant_hypo.bed	3123	14	0.45
biomodal	late	dmr_beds:hmc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CG/cpg_shores/bed/hmc_significant_q0.05.bed	4298	23	0.54
biomodal	late	dmr_beds:mc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CG/cpg_shores/bed/mc_significant_hyper.bed	6663	24	0.36
biomodal	late	dmr_beds:mc_significant_hypo.bed	biomodal/downstream/modality/DMR_processed/CG/cpg_shores/bed/mc_significant_hypo.bed	3179	26	0.82
biomodal	late	dmr_beds:mc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CG/cpg_shores/bed/mc_significant_q0.05.bed	9842	50	0.51
biomodal	late	dmr_beds:hmc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CG/genes/bed/hmc_significant_hyper.bed	1967	2	0.1
biomodal	late	dmr_beds:hmc_significant_hypo.bed	biomodal/downstream/modality/DMR_processed/CG/genes/bed/hmc_significant_hypo.bed	9532	36	0.38
biomodal	late	dmr_beds:hmc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CG/genes/bed/hmc_significant_q0.05.bed	11499	38	0.33
biomodal	late	dmr_beds:mc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CG/genes/bed/mc_significant_hyper.bed	7522	23	0.31
biomodal	late	dmr_beds:mc_significant_hypo.bed	biomodal/downstream/modality/DMR_processed/CG/genes/bed/mc_significant_hypo.bed	3267	20	0.61
biomodal	late	dmr_beds:mc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CG/genes/bed/mc_significant_q0.05.bed	10789	43	0.4
biomodal	late	dmr_beds:hmc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CG/promoters/bed/hmc_significant_hyper.bed	156	1	0.64
biomodal	late	dmr_beds:hmc_significant_hypo.bed	biomodal/downstream/modality/DMR_processed/CG/promoters/bed/hmc_significant_hypo.bed	274	1	0.36
biomodal	late	dmr_beds:hmc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CG/promoters/bed/hmc_significant_q0.05.bed	430	2	0.47
biomodal	late	dmr_beds:mc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CG/promoters/bed/mc_significant_hyper.bed	966	4	0.41
biomodal	late	dmr_beds:mc_significant_hypo.bed	biomodal/downstream/modality/DMR_processed/CG/promoters/bed/mc_significant_hypo.bed	726	8	1.1
biomodal	late	dmr_beds:mc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CG/promoters/bed/mc_significant_q0.05.bed	1692	12	0.71
biomodal	late	dmr_beds:hmc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CG/tss_region/bed/hmc_significant_hyper.bed	14	0	0
biomodal	late	dmr_beds:hmc_significant_hypo.bed	biomodal/downstream/modality/DMR_processed/CG/tss_region/bed/hmc_significant_hypo.bed	17	0	0
biomodal	late	dmr_beds:hmc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CG/tss_region/bed/hmc_significant_q0.05.bed	31	0	0
biomodal	late	dmr_beds:mc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CG/tss_region/bed/mc_significant_hyper.bed	70	0	0
biomodal	late	dmr_beds:mc_significant_hypo.bed	biomodal/downstream/modality/DMR_processed/CG/tss_region/bed/mc_significant_hypo.bed	122	0	0
biomodal	late	dmr_beds:mc_significant_q0.05.bed	biomodal/downstream/modality/DMR_processed/CG/tss_region/bed/mc_significant_q0.05.bed	192	0	0
biomodal	late	dmr_beds:mc_significant_hyper.bed	biomodal/downstream/modality/DMR_processed/CHG/cpg_shelves/bed/mc_significant_hyper.bed	39	32	82.05
biomodal	late	dmr_beds:mc_significant_hypo.bed	biomodal/downstream/modality/DMR_processed/CHG/cpg_shelves/bed/mc_significant_hypo.bed	1	0	0
