loop_id	direction	logFC	FDR	anchor1_type	anchor2_type	anchor1_dist_to_boundary	anchor2_dist_to_boundary	min_dist_to_boundary	nearest_boundary_type	nearest_boundary_enriched	nearest_boundary_gap_score	near_boundary_10kb	near_boundary_25kb	near_boundary_50kb	near_boundary_100kb
loop_3362	up_in_mutant	1.07804968332282	4.28464397930854e-5	Other	Other	189999	829999	189999	Shifted	Matrix 2	2.045034155032496	FALSE	FALSE	FALSE	FALSE
loop_3909	up_in_mutant	0.738853083718689	0.0246137874788143	Other	Repressed_Promoter	99999	149999	99999	Split	Matrix 2	6.356836163551568	FALSE	FALSE	FALSE	TRUE
loop_7340	up_in_mutant	0.515500086064682	0.0246137874788143	Active_Enhancer	Active_Promoter	254999	174999	174999	Strength Change	Matrix 1	-2.1014156703561326	FALSE	FALSE	FALSE	FALSE
loop_15623	down_in_mutant	-0.623738072808033	0.022620335524039	Active_Enhancer	Active_Promoter	144999	74999	74999	Shifted	Matrix 2	2.771793079622308	FALSE	FALSE	FALSE	TRUE
loop_16094	up_in_mutant	0.553261047906869	0.0246137874788143	Polycomb	Poised_Enhancer	0	0	0	Complex	Matrix 2	2.659862822223062	TRUE	TRUE	TRUE	TRUE
loop_1298	down_in_mutant	-0.531581037913629	0.0048740438696912	Other	Polycomb	84999	0	0	Complex	Matrix 2	2.593312707503351	TRUE	TRUE	TRUE	TRUE
loop_40	up_in_mutant	0.589016452185087	0.0125381759837717	Other	Other	84999	164999	84999	Complex	Matrix 1	-3.315650640534546	FALSE	FALSE	FALSE	TRUE
loop_16964	down_in_mutant	-1.2421109892696	0.0015617840610222	Repressed_Promoter	Polycomb	279999	174999	174999	Merge	Matrix 1	-2.251225788854599	FALSE	FALSE	FALSE	FALSE
loop_51	down_in_mutant	-1.12582663455864	0.0180706558798058	Repressed_Promoter	Polycomb	1204999	94999	94999	Merge	Matrix 1	-2.5551335389897742	FALSE	FALSE	FALSE	TRUE
loop_11648	down_in_mutant	-0.746737347898773	0.0063626537700636	Repressed_Promoter	Repressed_Promoter	0	424999	0	Split	Matrix 2	2.510417314812542	TRUE	TRUE	TRUE	TRUE
loop_849	down_in_mutant	-0.493827442657958	0.0224640146024451	Other	Other	934999	334999	334999	Complex	Matrix 2	2.801150790219931	FALSE	FALSE	FALSE	FALSE
loop_9583	down_in_mutant	-0.452292326043221	0.0105621375536239	Repressed_Promoter	Repressed_Promoter	249999	0	0	Strength Change	Matrix 2	4.086435167912075	TRUE	TRUE	TRUE	TRUE
loop_2344	up_in_mutant	0.407607541857131	0.0120629189926992	Other	Other	14999	214999	14999	Strength Change	Matrix 2	2.8100843002031057	FALSE	TRUE	TRUE	TRUE
loop_2361	down_in_mutant	-0.567636305733043	0.0205159221502545	Active_Enhancer	Active_Enhancer	114999	104999	104999	Shifted	Matrix 2	2.3140498602478456	FALSE	FALSE	FALSE	FALSE
loop_4080	up_in_mutant	0.459325147918567	0.0164014095997052	Other	Other	934999	884999	884999	Merge	Matrix 1	-2.42804198184376	FALSE	FALSE	FALSE	FALSE
loop_4307	up_in_mutant	0.583222953592287	0.0053478346973716	Other	Other	154999	844999	154999	Shifted	Matrix 2	2.045034155032496	FALSE	FALSE	FALSE	FALSE
loop_4309	up_in_mutant	0.438531496090977	0.005866821480695	Other	Other	34999	224999	34999	Strength Change	Matrix 2	2.8100843002031057	FALSE	FALSE	TRUE	TRUE
loop_4389	up_in_mutant	1.49215068588679	2.56421900049556e-5	Other	Other	224999	794999	224999	Shifted	Matrix 2	2.045034155032496	FALSE	FALSE	FALSE	FALSE
loop_4713	up_in_mutant	0.572202495601236	0.022620335524039	Poised_Enhancer	Other	74999	604999	74999	Split	Matrix 2	2.8633538611553657	FALSE	FALSE	FALSE	TRUE
loop_7428	up_in_mutant	0.569481690131179	0.0075177148628495	Poised_Enhancer	Other	64999	224999	64999	Strength Change	Matrix 2	2.8100843002031057	FALSE	FALSE	FALSE	TRUE
loop_8364	up_in_mutant	0.506266118738773	0.0164014095997052	Other	Other	144999	864999	144999	Shifted	Matrix 2	2.045034155032496	FALSE	FALSE	FALSE	FALSE
