gene_id	enriched_in	symbol
497097	Control	Xkr4
19888	Control	Rp1
71096	Control	Sntg1
26754	Control	Cops5
17978	Control	Ncoa2
68421	Control	Lmbrd1
210933	Control	Adgrb3
107527	Control	Il1rl2
73674	Control	Wdr75
329152	Control	Hecw2
241062	Control	Pgap1
271697	Control	Cdk15
77341	Control	9530026F06Rik
329178	Control	Unc80
102636764	Control	Gm29536
71227	Control	Daw1
100628595	Control	Mir5126
227325	Control	Dner
16331	Control	Inpp5d
78650	Control	Platr5
108679	Control	Cops8
241175	Control	Cntnap5b
70750	Control	Kdsr
636808	Control	Cntnap5a
22099	Control	Tsn
269109	Control	Dpp10
210356	Control	Nckap5
108900	Control	Fam72a
14270	Control	Srgap2
68875	Control	Tmcc2
75605	Control	Kdm5b
329260	Control	Dennd1b
12628	Control	Cfh
19735	Control	Rgs2
215378	Control	Brinp3
545370	Control	Hmcn1
19731	Control	Rgl1
19734	Control	Rgs16
24014	Control	Rnasel
214575	Control	Tdrd5
89867	Control	Sec16b
59290	Control	Gpa33
18514	Control	Pbx1
66977	Control	Nuf2
545391	Control	Catspere2
226751	Control	Cdc42bpa
19130	Control	Prox1
18845	Control	Plxna2
67229	Control	Prpf18
14007	Control	Celf2
170768	Control	Pfkfb3
241226	Control	Itga8
102635496	Control	Malrd1
67448	Control	Plxdc2
94217	Control	Lrp1b
76117	Control	Arhgap15
109241	Control	Mbd5
26428	Control	Orc4
271786	Control	Galnt13
71586	Control	Ifih1
170738	Control	Kcnh7
228116	Control	A130030D18Rik
259019	Control	Or8j3
75786	Control	Ckap5
241568	Control	Lrrc4c
228410	Control	Cstf3
103164605	Control	Paupar
402728	Control	Pax6os1
18508	Control	Pax6
140810	Control	Ttbk2
668880	Control	Stard9
68968	Control	Cdan1
214968	Control	Sema6d
14178	Control	Fgf7
75823	Control	Fam227b
100043424	Control	Morrbid
20017	Control	Polr1b
69737	Control	Ttl
228592	Control	F830045P16Rik
73747	Control	Shld1
12156	Control	Bmp2
228730	Control	Kiz
228788	Control	Ccm2l
56407	Control	Trpc4ap
668940	Control	Myh7b
735275	Control	Mir499
19281	Control	Ptprt
71856	Control	Wfdc3
76233	Control	Dnttip1
11981	Control	Atp9a
228911	Control	Tshz2
109054	Control	Pfdn4
76829	Control	Dok5
26972	Control	Spo11
66679	Control	Rae1
228960	Control	Stx16
72608	Control	2700069I18Rik
66326	Control	Dnajc5b
635702	Control	Naaladl2
75740	Control	Egfem1
14013	Control	Mecom
58869	Control	Pex5l
56790	Control	Supt20
69639	Control	Exosc8
329650	Control	Med12l
56758	Control	Mbnl1
66880	Control	Rsrc1
100505386	Control	Iqschfp
208426	Control	Iqcj
626082	Control	Gm20754
213234	Control	Zbbx
54195	Control	Gucy1b1
100534287	Control	Dchs2
20319	Control	Sfrp2
329693	Control	Fcrl5
76742	Control	Snx27
67709	Control	Reg4
74044	Control	Ttf2
99470	Control	Magi3
80883	Control	Ntng1
387155	Control	Mir137
67704	Control	1810037I17Rik
74057	Control	4933405D12Rik
99526	Control	Usp53
83398	Control	Ndst3
77018	Control	Col25a1
67553	Control	Gstcd
99633	Control	Adgrl2
14579	Control	Gem
