gene_id	enriched_in	symbol
497097	Control	Xkr4
69312	Control	Ppp1r42
17215	Control	Mcm3
257630	Control	Il17f
210933	Control	Adgrb3
13518	Control	Dst
22637	Control	Zap70
56363	Control	Tmeff2
14369	Control	Fzd7
16011	Control	Igfbp5
22349	Control	Vil1
227292	Control	Ctdsp1
387219	Control	Mir26b
22420	Control	Wnt6
12828	Control	Col4a3
241201	Control	Cdh7
636808	Control	Cntnap5a
102466206	Control	Mir6903
381290	Control	Atp2b4
226432	Control	Ipo9
77552	Control	Shisa4
93689	Control	Lmod1
226518	Control	Nmnat2
29809	Control	Rabgap1l
66977	Control	Nuf2
319455	Control	Pld5
545391	Control	Catspere2
69726	Control	Smyd3
320404	Control	Itpkb
381310	Control	Stum
27217	Control	Mixl1
72568	Control	Lin9
13418	Control	Dnajc1
18718	Control	Pip4k2a
74629	Control	4930426L09Rik
241274	Control	Pnpla7
100526498	Control	Mir3088
68870	Control	Ak8
665700	Control	Hmcn2
19177	Control	Psmb7
94217	Control	Lrp1b
329404	Control	Gm13497
51869	Control	Rif1
14571	Control	Gpd2
227933	Control	Ccdc148
329421	Control	Myo3b
66748	Control	Erich2
68986	Control	Gad1os
12388	Control	Ctnnd1
228140	Control	Tnks1bp1
74687	Control	4930443O20Rik
257875	Control	Or10ag54
228357	Control	Lrp4
14043	Control	Ext2
329470	Control	Accs
241568	Control	Lrrc4c
22034	Control	Traf6
100038454	Control	Platr8
22343	Control	Lin7c
19419	Control	Rasgrp1
68215	Control	Fam98b
668880	Control	Stard9
214968	Control	Sema6d
57432	Control	Zc3h8
67326	Control	Adissp
72630	Control	Hspa12b
18538	Control	Pcna
70612	Control	Tmem230
18795	Control	Plcb1
320684	Control	9630028H03Rik
16558	Control	Kif16b
100313519	Control	Snord17
69178	Control	Snx5
74528	Control	Mgme1
94249	Control	Slc24a3
329540	Control	Nol4l
280635	Control	Emilin3
64899	Control	Lpin3
59091	Control	Jph2
66680	Control	Oser1
11981	Control	Atp9a
99377	Control	Sall4
100043757	Control	Zfp831
12561	Control	Cdh4
20257	Control	Stmn2
170753	Control	Zfp704
94212	Control	Pag1
140918	Control	Slc7a12
433586	Control	Maml3
320604	Control	Ccdc169
18645	Control	Pfn2
68659	Control	Gask1b
80877	Control	Lrba
27371	Control	Sh2d2a
94315	Control	Prcc
140493	Control	Kcnn3
20755	Control	Sprr2a1
22365	Control	Vps45
77578	Control	Bcl9
80883	Control	Ntng1
100043688	Control	Amy2a2
12814	Control	Col11a1
109676	Control	Ank2
56224	Control	Tspan5
12167	Control	Bmpr1b
16007	Control	Ccn1
242259	Control	Slc44a5
242274	Control	Lrrc7
100039781	Control	Hrct1
319973	Control	A630077J23Rik
71406	Control	Spaar
230126	Control	Shb
17841	Control	Mup2
17840	Control	Mup1
100048885	Control	NA
76804	Control	Kdm4c
19266	Control	Ptprd
18028	Control	Nfib
18027	Control	Nfia
319865	Control	E130114P18Rik
12695	Control	Patj
242557	Control	Atg4c
20280	Control	Scp2
67646	Control	4930522H14Rik
666048	Control	Trabd2b
230678	Control	Tmem125
68625	Control	Cfap57
545693	Control	Gm13043
112422	Control	Zfp979
407793	Control	BC039966
97159	Control	A430005L14Rik
544678	Control	Cfap74
69671	Control	Tmem52
12571	Control	Cdk6
231123	Control	Haus3
272158	Control	Poln
100862066	Control	Cfap99
76710	Control	2210406O10Rik
433899	Control	Grxcr1
243043	Control	Kctd8
212986	Control	Scfd2
100041253	Control	Pramel60
13602	Control	Sparcl1
231713	Control	Naa25
71247	Control	4933438B17Rik
231861	Control	Tnrc18
14255	Control	Flt3
231903	Control	Urad
73178	Control	Wasl
192198	Control	Lrrc4
56463	Control	Snd1
109624	Control	Cald1
76223	Control	Agbl3
69923	Control	Agk
29807	Control	Tpk1
66797	Control	Cntnap2
26965	Control	Cul1
54353	Control	Skap2
14701	Control	Gng12
68477	Control	Rmnd5a
100504740	Control	Gm20383
18139	Control	Zfp638
67582	Control	Slc25a26
232314	Control	Ppp4r2
269784	Control	Cntn4
19713	Control	Ret
546912	Control	Vmn2r21
546913	Control	Vmn2r22
22371	Control	Vwf
18205	Control	Ntf3
14011	Control	Etv6
18722	Control	Pira1
18733	Control	Pirb
19943	Control	Rpl28
77891	Control	Ube2s
100042891	Control	Vmn2r47
72716	Control	Gm45351
22305	Control	Vmn2r37
100042966	Control	Vmn1r-ps79
100042968	Control	Vmn1r101
100043037	Control	Vmn1r250
100043058	Control	Gm10665
100043061	Control	Vmn1r256
100043536	Control	Vmn1r100
100043566	Control	Gm10668
101055864	Control	Gm4513
667094	Control	Vmn1r252
667199	Control	Vmn1r128
667464	Control	Vmn1r142
667469	Control	Vmn1r143
667472	Control	Vmn1r251
667485	Control	Vmn1r254
667504	Control	Vmn1r152
667512	Control	Vmn1r255
673977	Control	Vmn1r107
100043016	Control	Vmn1r131
100043083	Control	Vmn1r259
545929	Control	Gm5891
667530	Control	Vmn1r155
667586	Control	Vmn1r163
667599	Control	Vmn1r260
546964	Control	Vmn2r62
338352	Control	Nell1
233274	Control	Siglech
11784	Control	Apba2
109264	Control	Me3
14356	Control	Timm10b
76932	Control	Arfip2
77505	Control	Dnhd1
20679	Control	Sox6
68469	Control	Sox6os
12850	Control	Coq7
319622	Control	Itpripl2
436008	Control	Sdr42e2
14183	Control	Fgfr2
77252	Control	9430038I01Rik
16535	Control	Kcnq1
63830	Control	Kcnq1ot1
54126	Control	Arhgef7
94109	Control	Csmd1
100505096	Control	Defa33
20516	Control	Slc20a2
22335	Control	Vdac3
319582	Control	Trmt9b
16956	Control	Lpl
110877	Control	Slc18a1
234365	Control	Yjefn3
234366	Control	Gatad2a
67184	Control	Ndufa13
83984	Control	Tssk6
234413	Control	Zfp961
72054	Control	Cyp4f18
17125	Control	Smad1
102465898	Control	Mir8109
74513	Control	Neto2
14681	Control	Gnao1
12564	Control	Cdh8
234624	Control	A330008L17Rik
74568	Control	Mlkl
403395	Control	Clec3a
12554	Control	Cdh13
66733	Control	Kcng4
75773	Control	Adad2
108148	Control	Galnt2
15227	Control	Foxf1
68790	Control	Fendrr
100861494	Control	Gm22109
244668	Control	Sipa1l2
75930	Control	4930567H12Rik
14802	Control	Gria4
330908	Control	Opcml
235106	Control	Ntm
235134	Control	Nfrkb
235135	Control	Tmem45b
67703	Control	Kirrel3
54698	Control	Crtam
102580	Control	Alg9
382137	Control	Fdxacb1
68721	Control	Cfap68
73673	Control	Rec114
102747	Control	Lrrc49
67557	Control	Larp6
22771	Control	Zic1
102465763	Control	Mir7656
331004	Control	Slc9a9
107993	Control	Bfsp2
81907	Control	Tmem108
108068	Control	Grm2
21767	Control	Tex264
100417434	Control	AA543401
208869	Control	Dock3
56395	Control	Tmem115
56808	Control	Cacna2d2
54214	Control	Golga4
17433	Control	Mobp
109332	Control	Cdcp1
14816	Control	Grm1
17684	Control	Cited2
215819	Control	Nhsl1
102635639	Control	Gm32926
215821	Control	Arfgef3
18634	Control	Pex7
432442	Control	Akap7
70503	Control	Ddo
71713	Control	Cdc40
14806	Control	Grik2
215999	Control	Mcu
216033	Control	Ctnna3
216028	Control	Lrrtm3
71371	Control	Arid5b
216188	Control	Aldh1l2
77976	Control	Nuak1
110312	Control	Pmch
75317	Control	Parpbp
102635316	Control	Gm32688
54712	Control	Plxnc1
12226	Control	Btg1
100417125	Control	Gm18409
100504202	Control	Gm20110
637578	Control	Alyreffm15
278279	Control	Tmtc2
327812	Control	Gm15663
260315	Control	Nav3
13008	Control	Csrp2
68876	Control	Atp23
77699	Control	9030616G12Rik
12808	Control	Cobl
216565	Control	Ehbp1
73873	Control	Fam161a
103573	Control	Xpo1
237711	Control	Eml6
327900	Control	Ubtd2
14172	Control	Fgf18
18148	Control	Npm1
20564	Control	Slit3
15944	Control	Irgm1
237759	Control	Col23a1
320027	Control	Fstl4
258065	Control	Or5af1
258529	Control	Or5af2
14457	Control	Gas7
93896	Control	Glp2r
71860	Control	Cfap52
11448	Control	Chrne
668433	Control	4930544D05Rik
109934	Control	Abr
56322	Control	Timm22
246104	Control	Rhbdl3
217012	Control	Unc45b
114714	Control	Rad51c
83560	Control	Tex14
110172	Control	Slc35b1
215512	Control	Fam117a
670464	Control	Krtap4-23
670482	Control	Krtap4-20
69464	Control	Krtap4-13
380730	Control	Lrrc37
100526469	Control	Mir3064
13207	Control	Ddx5
380732	Control	Milr1
50776	Control	Polg2
20606	Control	Sstr2
69806	Control	Slc39a11
237979	Control	Sdk2
69926	Control	Dnah17
69732	Control	2410018L13Rik
17933	Control	Myt1l
217480	Control	Dgkb
104886	Control	Rab15
110606	Control	Fntb
14776	Control	Gpx2
170721	Control	Papln
18222	Control	Numb
71349	Control	5430427M07Rik
75216	Control	Cep128
21432	Control	Tcl1
100040339	Control	Gm2721
94246	Control	Arid4b
76205	Control	Stard3nl
140580	Control	Elmo1
404335	Control	Or2b7
17084	Control	Ly86
15466	Control	Hrh2
12890	Control	Cplx2
22598	Control	Slc6a18
74338	Control	Slc6a19
17260	Control	Mef2c
320203	Control	Mir9-2hg
57748	Control	Jmy
238871	Control	Pde4d
73274	Control	Gpbp1
170625	Control	Snx18
13723	Control	Emb
554327	Control	2610042L04Rik
666329	Control	Gm3317
545013	Control	Gm5797
102631887	Control	Gm30108
12325	Control	Camk2g
100042055	Control	Gm10377
268739	Control	Arhgef40
69890	Control	Zfp219
219140	Control	Spata13
68245	Control	1700108J01Rik
69634	Control	Clybl
110821	Control	Pcca
223267	Control	Ggact
223435	Control	Trio
18163	Control	Ctnnd2
223455	Control	Marchf6
252967	Control	Ropn1l
626596	Control	Rgs22
78803	Control	Fbxo43
252973	Control	Grhl2
52589	Control	Ncald
170719	Control	Oxr1
210463	Control	Slc22a22
387609	Control	Zhx2
67819	Control	Derl1
211770	Control	Trib1
11514	Control	Adcy8
380993	Control	Zfat
20665	Control	Sox10
27660	Control	1700088E04Rik
69833	Control	Polr2f
64706	Control	Scube1
170736	Control	Parvb
64099	Control	Parvg
223828	Control	Pphln1
320709	Control	Tmem117
102635594	Control	Gm32885
22337	Control	Vdr
11827	Control	Aqp2
59033	Control	Slc4a8
268859	Control	Rbfox1
100124432	Control	Mir193b
723899	Control	Mir365-1
11450	Control	Adipoq
14167	Control	Fgf12
224116	Control	Muc20
381043	Control	Smbd1
77446	Control	Heg1
77782	Control	Polq
268890	Control	Lsamp
212547	Control	Nepro
58998	Control	Nectin3
66315	Control	Senp7
13837	Control	Epha3
77994	Control	Mir99ahg
74387	Control	Epcip
328734	Control	Pisd-ps2
50873	Control	Prkn
20517	Control	Slc22a1
240025	Control	Dact2
71682	Control	Wdr27
67045	Control	Riok2
30943	Control	Prss30
268934	Control	Grm4
26416	Control	Mapk14
627626	Control	Ptchd4
19765	Control	Ralbp1
70351	Control	Ppp4r1
68617	Control	Mtcl1
225027	Control	Srsf7
225164	Control	Mib1
269003	Control	Sap130
27528	Control	Nrep
56550	Control	Ube2d2a
71302	Control	Arhgap26
14815	Control	Nr3c1
69401	Control	Plac8l1
20358	Control	Sema6a
170826	Control	Ppargc1b
109575	Control	Tbx10
17995	Control	Ndufv1
60425	Control	Doc2g
66387	Control	Nudt8
71670	Control	Acy3
78891	Control	Scyl1
72289	Control	Malat1
18190	Control	Nrxn2
353211	Control	Prune2
18552	Control	Pcsk5
20409	Control	Ostf1
102465114	Control	Mir3084-2
107765	Control	Ankrd1
70567	Control	Fra10ac1
76952	Control	Nt5c2
94219	Control	Cnnm2
66866	Control	Nhlrc2
240675	Control	Vwa2
497097	Mutant	Xkr4
240725	Mutant	Sulf1
17978	Mutant	Ncoa2
78081	Mutant	Crisp4
21419	Mutant	Tfap2b
241035	Mutant	Pkhd1
226922	Mutant	Kcnq5
210933	Mutant	Adgrb3
226970	Mutant	Arhgef4
110895	Mutant	Slc9a4
67883	Mutant	Uxs1
78896	Mutant	Ecrg4
329152	Mutant	Hecw2
74013	Mutant	Rftn2
271697	Mutant	Cdk15
77341	Mutant	9530026F06Rik
18187	Mutant	Nrp2
70861	Mutant	Akr1cl
329178	Mutant	Unc80
13869	Mutant	Erbb4
54380	Mutant	Smarcal1
21961	Mutant	Tns1
435626	Mutant	Rufy4
98496	Mutant	Pid1
109032	Mutant	Sp110
70247	Mutant	Psmd1
26987	Mutant	Eif4e2
12778	Mutant	Ackr3
108679	Mutant	Cops8
19329	Mutant	Rab17
74019	Mutant	Traf3ip1
69030	Mutant	1810006J02Rik
70829	Mutant	Ccdc93
269109	Mutant	Dpp10
210356	Mutant	Nckap5
269116	Mutant	Nfasc
240754	Mutant	Lax1
320139	Mutant	Ptpn7
68724	Mutant	Arl8a
74091	Mutant	Npl
19734	Mutant	Rgs16
24014	Mutant	Rnasel
12290	Mutant	Cacna1e
73435	Mutant	Tex35
89867	Mutant	Sec16b
23850	Mutant	Pappa2
72025	Mutant	1600012P17Rik
12301	Mutant	Cacybp
64659	Mutant	Mrps14
381305	Mutant	Rc3h1
18514	Mutant	Pbx1
54418	Mutant	Fmn2
30928	Mutant	Zbtb18
19165	Mutant	Psen2
72978	Mutant	Cnih3
53791	Mutant	Tlr5
26381	Mutant	Esrrg
16510	Mutant	Kcnh1
