Distance from Center (cmd=annotatePeaks.pl tss mm10 -size 1000000 -hist 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph)	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph - Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.25x50kb.PC1.bedGraph - Tags
-500000	0.400290403613949	1.66040488052014e-05	1.6488453094655e-05	0.39492674997889	1.66303090433167e-05	1.65633074389935e-05
-499000	0.400249852233387	1.67912057755636e-05	1.6831757156126e-05	0.394821117959976	1.62438782403107e-05	1.63495102592249e-05
-498000	0.400424744574854	1.65317909313519e-05	1.63568985898843e-05	0.395023748205691	1.62084564721776e-05	1.60058262264629e-05
-497000	0.400554610318332	1.61893312505277e-05	1.60594655070506e-05	0.395348307016803	1.61024233724563e-05	1.57778645613443e-05
-496000	0.400999366714515	1.31950097103774e-05	1.2750253314194e-05	0.395786582791522	1.31142235919953e-05	1.2675947817276e-05
-495000	0.400887021869459	1.64842734104535e-05	1.65966182555096e-05	0.395789327028625	1.64138520645107e-05	1.64111078274086e-05
-494000	0.400884404289454	1.21010723634214e-05	1.21036899434265e-05	0.395770771763911	1.1330511694672e-05	1.13490669593853e-05
-493000	0.401010618086633	1.67456725491851e-05	1.66194587520054e-05	0.395793971122182	1.67717005826226e-05	1.6748501224352e-05
-492000	0.401468272397197	1.84118044414423e-05	1.7954150130879e-05	0.39615977792789	1.81876847082665e-05	1.78218779025585e-05
-491000	0.401223402009626	1.7043992231698e-05	1.72888626192687e-05	0.396214810436545	1.70608587351178e-05	1.70058262264628e-05
-490000	0.401516570970193	1.60457021025078e-05	1.57525331419404e-05	0.396470911086718	1.55811027611247e-05	1.53250021109516e-05
-489000	0.401546842016381	1.68661445579667e-05	1.68358735117791e-05	0.396372730727012	1.69765895465676e-05	1.70747699062738e-05
-488000	0.401541416870725	1.36865659039095e-05	1.36919910495651e-05	0.396512412395508	1.36964240479608e-05	1.35567423794647e-05
-487000	0.402171345942751	1.58499535590645e-05	1.52200244870388e-05	0.397175968926792	1.56644642404796e-05	1.50009077091953e-05
-486000	0.40225567845985	1.69783416364097e-05	1.6894009119311e-05	0.397317909313519	1.71314911762222e-05	1.69895507894959e-05
-485000	0.402834923583551	1.57358566241662e-05	1.51566115004644e-05	0.397963818289285	1.56906400405303e-05	1.5044731064764e-05
-484000	0.402963923836866	1.65636240817361e-05	1.64346238284218e-05	0.398013763404543	1.59388457316558e-05	1.58889006163979e-05
-483000	0.403515072194545	1.72979397112218e-05	1.67467913535422e-05	0.398431900700836	1.71416870725323e-05	1.67235497762391e-05
-482000	0.403498395676771	1.68537321624589e-05	1.68704086802331e-05	0.398322996706915	1.68210546314279e-05	1.69299586253483e-05
-481000	0.403657012581272	1.56283880773453e-05	1.54697711728447e-05	0.398349214725998	1.58719918939458e-05	1.58457738748628e-05
-480000	0.403759710377438	1.57086675673394e-05	1.56059697711729e-05	0.398556404627206	1.51428480959216e-05	1.49356581947142e-05
-479000	0.404221924343494	1.77156970362239e-05	1.7253483070168e-05	0.399188782403107	1.73619648737651e-05	1.67295870978637e-05
-478000	0.404227075065439	1.79636071941231e-05	1.79584564721776e-05	0.399188486869881	1.76083129274677e-05	1.76086084606941e-05
-477000	0.40444080891666	1.76226040699147e-05	1.74088702186946e-05	0.399413493202736	1.72257240564046e-05	1.70007177235498e-05
-476000	0.404716098117031	1.41010723634215e-05	1.38257831630499e-05	0.399776049142954	1.38590095415013e-05	1.34964536012835e-05
-475000	0.404827155281601	1.67151059697712e-05	1.66040488052014e-05	0.40002381153424	1.68780714346028e-05	1.66303090433167e-05
