Distance from Center (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/H3K27me3.bed mm10 -size 500000 -hist 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph)	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph - Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.25x50kb.PC1.bedGraph - Tags
-250000	0.272294768802581	8.87051679423112e-06	9.04060977923968e-06	0.343839838066924	1.20022771838826e-05	1.18656461509267e-05
-249000	0.272204124233032	1.32265797963186e-05	1.33172243658675e-05	0.343847744955405	1.59802644063508e-05	1.59723575178696e-05
-248000	0.2722006452021	7.98020115124296e-06	7.98368018217471e-06	0.344037573534063	1.05767600733759e-05	1.03869314947182e-05
-247000	0.272578531216396	1.23178569169461e-05	1.19399709026504e-05	0.344568473654248	1.5309886773357e-05	1.47789866531722e-05
-246000	0.272495603770004	8.52969827313555e-06	8.61262571952686e-06	0.344641470048706	1.17292048832943e-05	1.16562084888355e-05
-245000	0.272140363084319	1.04846606363464e-05	1.08399013220318e-05	0.344468151053198	1.32218356632298e-05	1.33951546587387e-05
-244000	0.271938705800493	9.38098551458031e-06	9.58264279840598e-06	0.344428932886331	1.25323549876652e-05	1.25715731545322e-05
-243000	0.271618192169018	1.32793345562654e-05	1.35998481877412e-05	0.344458030235942	1.66333733949016e-05	1.66042760452907e-05
-242000	0.271262571952685	9.18970206844202e-06	9.54532228477448e-06	0.344274463912961	1.18337023214624e-05	1.2017268644443e-05
-241000	0.27086083876273	1.09114428490101e-05	1.13131760389652e-05	0.343957429312417	1.42163324688469e-05	1.45333670693909e-05
-240000	0.270988424315263	1.18729837434373e-05	1.17453981909039e-05	0.344283382883168	1.44647985324815e-05	1.41388449617307e-05
-239000	0.270567967613385	9.02719969637548e-06	9.44765639825416e-06	0.343939591372003	1.23053324055918e-05	1.26491239167563e-05
-238000	0.270527610854576	1.09462331583275e-05	1.09865899171358e-05	0.344145170472516	1.44983869947498e-05	1.42928078942375e-05
-237000	0.270033714972484	1.10869125181859e-05	1.15808084002783e-05	0.343842937567209	1.38591308748181e-05	1.41613637801252e-05
-236000	0.269434499335821	1.11171484597381e-05	1.17163640964008e-05	0.343546018090961	1.44098930988677e-05	1.47068125751155e-05
-235000	0.269285280536403	8.48769688152319e-06	8.63691568094123e-06	0.34367050414321	1.19177051046872e-05	1.17932190524385e-05
-234000	0.269481750901385	1.20727433740274e-05	1.18762730090455e-05	0.344196280599658	1.51393510025935e-05	1.46135745461446e-05
-233000	0.268950914036308	1.18972737048517e-05	1.24281105699285e-05	0.343937693718768	1.46942880637611e-05	1.49528749446518e-05
