Distance from Center (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/H3K27me3.bed mm10 -size 500000 -hist 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph)	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph - Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph Coverage	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph + Tags	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph - Tags
-250000	-0.742259029666646	-0.00015161990005693	-0.000151625023720666	-0.872922259472452	-0.000177648364855462	-0.000177857676007337
-249000	-0.74178847491935	-0.000147256436207224	-0.00014772699095452	-0.872200898222531	-0.000172552976152824	-0.000173274337402746
-248000	-0.741273578341451	-0.000147021063950914	-0.000147535960528813	-0.872106774622051	-0.000173479853248149	-0.00017357397684863
-247000	-0.741073881965969	-0.000147848820292239	-0.000148048516667721	-0.872098867733569	-0.000174508824087545	-0.000174516730976026
-246000	-0.740950597760769	-0.000147204377253463	-0.000147327661458663	-0.871873300018977	-0.000173683281674995	-0.000173908849389588
-245000	-0.740852109557847	-0.000151521411854007	-0.00015161990005693	-0.871686444430388	-0.000177461509266873	-0.000177648364855462
-244000	-0.740184325384275	-0.000146588652033652	-0.000147256436207224	-0.871105825795433	-0.00017197235751787	-0.000172552976152824
-243000	-0.739944335505092	-0.000146781074071731	-0.000147021063950914	-0.871148902523879	-0.000173522929976595	-0.000173479853248149
-242000	-0.739940350433298	-0.000147844835220444	-0.000147848820292239	-0.87106559554684	-0.000174425517110506	-0.000174508824087545
-241000	-0.739302169650199	-0.000146566196470365	-0.000147204377253463	-0.870610348535644	-0.0001732280346638	-0.000173683281674995
-240000	-0.739033651717376	-0.000151252893921184	-0.000151521411854007	-0.870228477449554	-0.000177079638180783	-0.000177461509266873
-239000	-0.738563603010943	-0.000146118603327219	-0.000146588652033652	-0.869984502498577	-0.000171728382566892	-0.00017197235751787
-238000	-0.738291606047188	-0.000146509077107977	-0.000146781074071731	-0.869787652602948	-0.000173326080080966	-0.000173522929976595
-237000	-0.738138022645329	-0.000147691251818584	-0.000147844835220444	-0.869673160857739	-0.000174311025365298	-0.000174425517110506
-236000	-0.737982415080018	-0.000146410588905054	-0.000146566196470365	-0.869640268201657	-0.000173195142007718	-0.0001732280346638
-235000	-0.737548421785059	-0.000150818900626225	-0.000151252893921184	-0.869573787083307	-0.000177013157062433	-0.000177079638180783
-234000	-0.737360617369853	-0.000145930798912012	-0.000146118603327219	-0.86952602947688	-0.000171680624960465	-0.000171728382566892
-233000	-0.737362515023088	-0.000146510974761212	-0.000146509077107977	-0.869366310329559	-0.000173166360933645	-0.000173326080080966
-232000	-0.737142893288633	-0.000147471630084129	-0.000147691251818584	-0.869067429944968	-0.000174012144980707	-0.000174311025365298
-231000	-0.737146309064457	-0.000146414004680878	-0.000146410588905054	-0.86895028148523	-0.000173077993547979	-0.000173195142007718
-230000	-0.736528306660763	-0.000150200898222532	-0.000150818900626225	-0.868025934594219	-0.000176088810171421	-0.000177013157062433
-229000	-0.735841672465051	-0.000145244164716301	-0.000145930798912012	-0.867646277436903	-0.00017130096780315	-0.000171680624960465
-228000	-0.735978176987792	-0.000146647479283952	-0.000146510974761212	-0.867709153014106	-0.000173229236510848	-0.000173166360933645
-227000	-0.73600999430704	-0.000147503447403378	-0.000147471630084129	-0.867944145739769	-0.00017424713770637	-0.000174012144980707
-226000	-0.735661648428111	-0.000146065658801948	-0.000146414004680878	-0.867904990828009	-0.00017303883863622	-0.000173077993547979
-225000	-0.735208362325258	-0.000149747612119679	-0.000150200898222532	-0.867566386235688	-0.0001757502055791	-0.000176088810171421
-224000	-0.734362072237333	-0.000144397874628376	-0.000145244164716301	-0.867131127838573	-0.000170865709406035	-0.00017130096780315
-223000	-0.734098930988677	-0.000146384338035296	-0.000146647479283952	-0.866684167246505	-0.000172782275918781	-0.000173229236510848
-222000	-0.734139034727054	-0.000147543551141754	-0.000147503447403378	-0.866914921879942	-0.000174477892339807	-0.00017424713770637
-221000	-0.733667973938896	-0.00014559459801379	-0.000146065658801948	-0.866484217850591	-0.00017260813460687	-0.00017303883863622
-220000	-0.733506104117908	-0.00014958574229869	-0.000149747612119679	-0.865991713580872	-0.00017525770130938	-0.0001757502055791
-219000	-0.732881270162566	-0.000143773040673034	-0.000144397874628376	-0.865310835599975	-0.000170184831425137	-0.000170865709406035
-218000	-0.732739452210766	-0.000146242520083497	-0.000146384338035296	-0.865280536403315	-0.00017275197672212	-0.000172782275918781
-217000	-0.73221241065216	-0.000147016509583149	-0.000147543551141754	-0.865207476753748	-0.00017440483269024	-0.000174477892339807
-216000	-0.731794863685243	-0.000145177051046872	-0.00014559459801379	-0.865175532924284	-0.000172576190777405	-0.00017260813460687
-215000	-0.731573850338415	-0.000149364728951863	-0.00014958574229869	-0.865418812069075	-0.000175500980454172	-0.00017525770130938
-214000	-0.731398001138592	-0.000143597191473211	-0.000143773040673034	-0.865412802833829	-0.000170178822189892	-0.000170184831425137
-213000	-0.731106331836296	-0.000145950850781201	-0.000146242520083497	-0.865475931431463	-0.000172815105319754	-0.00017275197672212
-212000	-0.730552849642609	-0.000146463027389462	-0.000147016509583149	-0.864864823834525	-0.000173793725093302	-0.00017440483269024
-211000	-0.730211778101082	-0.000144835979505345	-0.000145177051046872	-0.864783604276045	-0.000172494971218926	-0.000172576190777405
-210000	-0.730135745461446	-0.000149288696312227	-0.000149364728951863	-0.86463666266051	-0.000175354038838636	-0.000175500980454172
-209000	-0.729969004997154	-0.000143430451008919	-0.000143597191473211	-0.864294705547473	-0.000169836865076855	-0.000170178822189892
-208000	-0.729707445126194	-0.000145689290910241	-0.000145950850781201	-0.864184262129167	-0.000172704661901449	-0.000172815105319754
-207000	-0.729089252957176	-0.000145844835220444	-0.000146463027389462	-0.863628249731166	-0.0001732377126953	-0.000173793725093302
-206000	-0.728962742741476	-0.000144709469289645	-0.000144835979505345	-0.863507622240496	-0.000172374343728256	-0.000172494971218926
-205000	-0.729072490353596	-0.000149398443924347	-0.000149288696312227	-0.863790499082801	-0.000175636915680941	-0.000175354038838636
-204000	-0.728894300714783	-0.000143252261370105	-0.000143430451008919	-0.863814599278892	-0.000169860965272946	-0.000169836865076855
-203000	-0.728772218356632	-0.000145567208552091	-0.000145689290910241	-0.863876462774369	-0.000172766525396926	-0.000172704661901449
-202000	-0.728672907837308	-0.00014574552470112	-0.000145844835220444	-0.863440192295528	-0.000172801442216459	-0.0001732377126953
-201000	-0.728463723195648	-0.000144500284647985	-0.000144709469289645	-0.863296729710924	-0.000172230881143652	-0.000172374343728256
-200000	-0.728559364918717	-0.000149494085647416	-0.000149398443924347	-0.863664178632425	-0.000176004364602442	-0.000175636915680941
-199000	-0.728627870200519	-0.000143320766651907	-0.000143252261370105	-0.863903599215637	-0.000170100385856157	-0.000169860965272946
-198000	-0.728619520526283	-0.000145558858877854	-0.000145567208552091	-0.864179328230755	-0.000173042254412044	-0.000172766525396926
-197000	-0.728480928584983	-0.000145606932759821	-0.00014574552470112	-0.864208805111013	-0.000172830919096717	-0.000172801442216459
-196000	-0.728331140489595	-0.000144350496552597	-0.000144500284647985	-0.863982541590233	-0.000172004617622873	-0.000172230881143652
-195000	-0.728143842115251	-0.000149306787273072	-0.000149494085647416	-0.864013283572649	-0.000176035106584856	-0.000176004364602442
-194000	-0.728256942248087	-0.000143433866784743	-0.000143320766651907	-0.864413182364476	-0.000170500284647985	-0.000170100385856157
-193000	-0.727926244544247	-0.000145228161174015	-0.000145558858877854	-0.864293756720855	-0.000172922828768423	-0.000173042254412044
-192000	-0.727472452400531	-0.000145153140616105	-0.000145606932759821	-0.864205515845405	-0.000172742678221266	-0.000172830919096717
-191000	-0.72731893225378	-0.000144196976405845	-0.000144350496552597	-0.864003289265608	-0.000171802391043076	-0.000172004617622873
-190000	-0.727371054462648	-0.000149358909481941	-0.000149306787273072	-0.864253716237586	-0.000176285533556835	-0.000176035106584856
-189000	-0.72711474476564	-0.000143177557087735	-0.000143433866784743	-0.8644198241508	-0.0001706663925612	-0.000170500284647985
-188000	-0.72666107913214	-0.000144774495540515	-0.000145228161174015	-0.863983110886204	-0.000172486115503827	-0.000172922828768423
-187000	-0.726240495920046	-0.00014473255740401	-0.000145153140616105	-0.86384730216965	-0.000172606869504712	-0.000172742678221266
-186000	-0.726167752546018	-0.000144124233031817	-0.000144196976405845	-0.863882598519831	-0.000171837687393257	-0.000171802391043076
-185000	-0.725695995951673	-0.000148887152887596	-0.000149358909481941	-0.863503763678917	-0.000175906698715921	-0.000176285533556835
-184000	-0.725552406856854	-0.000143033967992915	-0.000143177557087735	-0.862999304193814	-0.000170161933076096	-0.0001706663925612
-183000	-0.725227149092289	-0.00014444923777595	-0.000144774495540515	-0.862665570244797	-0.000172152381554811	-0.000172486115503827
-182000	-0.724822063381618	-0.000144327471693339	-0.00014473255740401	-0.862477386298944	-0.000172418685558859	-0.000172606869504712
-181000	-0.72478936049086	-0.000144091530141059	-0.000144124233031817	-0.862367006135745	-0.000171727307230058	-0.000171837687393257
-180000	-0.724601113289898	-0.000148698905686634	-0.000148887152887596	-0.862324941489025	-0.000175864634069201	-0.000175906698715921
-179000	-0.724371687013726	-0.000142804541716744	-0.000143033967992915	-0.8621668037194	-0.000170003795306471	-0.000170161933076096
-178000	-0.724061547219938	-0.000144139097982162	-0.00014444923777595	-0.861720096147764	-0.000171705673983174	-0.000172152381554811
-177000	-0.723877221835663	-0.000144143146309065	-0.000144327471693339	-0.8614536656335	-0.000172152255044595	-0.000172418685558859
-176000	-0.723611550382693	-0.000143825858688089	-0.000144091530141059	-0.861284141944462	-0.000171557783541021	-0.000171727307230058
-175000	-0.723422923651085	-0.000148510278955026	-0.000148698905686634	-0.86088291479537	-0.000175463406920108	-0.000175864634069201
-174000	-0.723417673477133	-0.000142799291542792	-0.000142804541716744	-0.860868808906319	-0.00016998968941742	-0.000170003795306471
-173000	-0.723400468087798	-0.000144121892592827	-0.000144139097982162	-0.861019356063002	-0.000171856221139857	-0.000171705673983174
-172000	-0.723054652413182	-0.000143797330634449	-0.000144143146309065	-0.860979758365488	-0.000172112657347081	-0.000172152255044595
-171000	-0.722632424568284	-0.000143403630843191	-0.000143825858688089	-0.860680118919603	-0.000171258144095136	-0.000171557783541021
-170000	-0.722521348598899	-0.000148399202985641	-0.000148510278955026	-0.860479600227718	-0.000175262888228225	-0.000175463406920108
-169000	-0.722399772281612	-0.000142677715225505	-0.000142799291542792	-0.860797646909988	-0.00017030773609969	-0.00016998968941742
-168000	-0.722013599848188	-0.000143735720159403	-0.000144121892592827	-0.860530330824214	-0.000171588905054083	-0.000171856221139857
-167000	-0.722214371560503	-0.000143998102346765	-0.000143797330634449	-0.86083553671959	-0.000172417863242457	-0.000172112657347081
-166000	-0.721827693086217	-0.000143016952368903	-0.000143403630843191	-0.860765007274337	-0.000171187614649883	-0.000171258144095136
-165000	-0.721542665570245	-0.00014811417546967	-0.000148399202985641	-0.860645581630717	-0.000175143462584604	-0.000175262888228225
-164000	-0.721091972926814	-0.000142227022582074	-0.000142677715225505	-0.860363653615029	-0.000170025808084002	-0.00017030773609969
-163000	-0.721067746220507	-0.000143711493453097	-0.000143735720159403	-0.860458093491049	-0.000171683344930103	-0.000171588905054083
-162000	-0.720967676639889	-0.000143898032766146	-0.000143998102346765	-0.860756088304131	-0.000172715858055538	-0.000172417863242457
-161000	-0.720690998798153	-0.000142740274527168	-0.000143016952368903	-0.860446454551205	-0.000170877980896958	-0.000171187614649883
-160000	-0.720578974002151	-0.000148002150673667	-0.00014811417546967	-0.860517869567968	-0.000175214877601366	-0.000175143462584604
-159000	-0.720484028085268	-0.000142132076665191	-0.000142227022582074	-0.860428553355683	-0.000169936491871719	-0.000170025808084002
-158000	-0.720077740527548	-0.000143305205895376	-0.000143711493453097	-0.860136820798279	-0.000171391612372699	-0.000171683344930103
-157000	-0.71992320829907	-0.000143743500537669	-0.000143898032766146	-0.859964450629388	-0.000172543487886647	-0.000172715858055538
-156000	-0.71981023467645	-0.000142627300904548	-0.000142740274527168	-0.860208046049719	-0.000171121576317288	-0.000170877980896958
