loop_id	chr1	start1	end1	chr2	start2	end2	coordinate	logFC	logCPM	LR	PValue	FDR	fold_change	abs_logFC	significance_category	direction
loop_9378	chr8	69440000	69445000	chr8	69485000	69490000	chr8:69440000-69445000_chr8:69485000-69490000	3.80053967293509	10.1415362481387	17.3148180392991	3.16707548112776e-05	0.700018693593668	13.934020375609	3.80053967293509	NS	unchanged
loop_2746	chr2	23435000	23440000	chr2	23550000	23555000	chr2:23435000-23440000_chr2:23550000-23555000	-2.0450977101994	4.64203762399652	5.64819225068303	0.0174733763359444	0.999998013132112	0.242306042883576	2.0450977101994	NS	unchanged
loop_4143	chr7	38570000	38575000	chr7	39365000	39370000	chr7:38570000-38575000_chr7:39365000-39370000	-1.65264930755932	3.6041048613444	3.6874067982356	0.0548247923382487	0.999998013132112	0.318055555704015	1.65264930755932	NS	unchanged
loop_6687	chr1	115685000	115690000	chr1	116475000	116480000	chr1:115685000-115690000_chr1:116475000-116480000	1.63330621650937	3.54517318857347	3.60420135959177	0.0576337448041344	0.999998013132112	3.10223121373646	1.63330621650937	NS	unchanged
loop_7954	chr4	20120000	20125000	chr4	20775000	20780000	chr4:20120000-20125000_chr4:20775000-20780000	1.53588745138262	4.29405633311	3.27806580563055	0.0702116287722398	0.999998013132112	2.8996674458825	1.53588745138262	NS	unchanged
loop_4860	chr14	79770000	79775000	chr14	79915000	79920000	chr14:79770000-79775000_chr14:79915000-79920000	1.47596666322341	5.05470759610177	3.0782078203908	0.0793479158252184	0.999998013132112	2.78169966512895	1.47596666322341	NS	unchanged
loop_7815	chr4	20120000	20125000	chr4	20895000	20900000	chr4:20120000-20125000_chr4:20895000-20900000	1.46761557109213	4.73506451314401	3.03069511442984	0.08170300681674	0.999998013132112	2.76564421019262	1.46761557109213	NS	unchanged
loop_3772	chr5	131770000	131775000	chr5	132480000	132485000	chr5:131770000-131775000_chr5:132480000-132485000	-1.50723708143872	2.90464096632022	2.99808107757597	0.0833631998059568	0.999998013132112	0.3517842795505	1.50723708143872	NS	unchanged
loop_2892	chrX	73310000	73315000	chrX	73650000	73655000	chrX:73310000-73315000_chrX:73650000-73655000	-1.45824121420662	3.11827845475692	2.84820950153775	0.0914757617798699	0.999998013132112	0.363936533085281	1.45824121420662	NS	unchanged
loop_515	chr9	90825000	90830000	chr9	91350000	91355000	chr9:90825000-90830000_chr9:91350000-91355000	-1.40734563991928	4.19194714379015	2.76441877803281	0.0963816877381878	0.999998013132112	0.377004685818952	1.40734563991928	NS	unchanged
