loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	shift_status	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	plot_color
loop_17684	chr7	131550000	131560000	chr7	137310000	137320000	chr7:131550000-131560000_chr7:137310000-137320000	TRUE	-1.70075652350455	1.32360418071092	50.3753437718354	1.34817730151193e-05	0.0203269185673291	TRUE	TRUE	strong_differential	down_in_mutant	#4575b4
loop_4482	chr8	71210000	71220000	chr8	71780000	71790000	chr8:71210000-71220000_chr8:71780000-71790000	FALSE	1.49389800993366	4.73699026888783	187.579154298514	1.27632347145361e-08	0.000144326658151974	TRUE	TRUE	strong_differential	up_in_mutant	#d73027
loop_50	chr8	57320000	57330000	chr8	108690000	108700000	chr8:57320000-57330000_chr8:108690000-108700000	TRUE	-1.33604190757092	1.3847314904187	47.0677950939007	1.8714315499184e-05	0.0248298304142024	TRUE	TRUE	strong_differential	down_in_mutant	#4575b4
loop_22181	chr7	104240000	104250000	chr7	104340000	104350000	chr7:104240000-104250000_chr7:104340000-104350000	TRUE	-1.26158425302431	6.48717801281479	2.86629470045327	0.160705672992449	0.602240182335911	FALSE	FALSE	non_significant	unchanged	#999999
loop_51	chr8	89040000	89050000	chr8	92360000	92370000	chr8:89040000-89050000_chr8:92360000-92370000	TRUE	-1.12403274296586	1.62858593787916	34.1336119672901	8.36547740382862e-05	0.0444392019720638	TRUE	TRUE	strong_differential	down_in_mutant	#4575b4
loop_750	chr3	96330000	96340000	chr3	99250000	99260000	chr3:96330000-96340000_chr3:99250000-99260000	TRUE	-1.11887289715037	3.19224383642209	15.8248371597319	0.00210482462845739	0.165424100140195	FALSE	FALSE	non_significant	unchanged	#999999
loop_393	chr16	91220000	91230000	chr16	94080000	94090000	chr16:91220000-91230000_chr16:94080000-94090000	FALSE	-1.06974526123721	2.70701893798015	39.287983751968	4.39406581302765e-05	0.0326524999682443	TRUE	TRUE	strong_differential	down_in_mutant	#4575b4
loop_18319	chr8	71190000	71200000	chr8	71810000	71820000	chr8:71190000-71200000_chr8:71810000-71820000	FALSE	1.01163438755456	5.28580692214999	199.425955780077	9.05494396216834e-09	0.000144326658151974	TRUE	TRUE	strong_differential	up_in_mutant	#d73027
loop_8987	chr8	48220000	48230000	chr8	49820000	49830000	chr8:48220000-48230000_chr8:49820000-49830000	FALSE	-0.905794553208113	3.7898328490855	64.4401626922305	3.95267286242227e-06	0.0148989415760903	TRUE	TRUE	moderate_differential	down_in_mutant	#4575b4
loop_228	chr11	85830000	85840000	chr11	96340000	96350000	chr11:85830000-85840000_chr11:96340000-96350000	TRUE	-0.903159418674138	2.1507066537461	24.3883122263915	0.000356680981675392	0.0825520048978526	FALSE	TRUE	trending	unchanged	#999999
loop_2995	chrX	75750000	75760000	chrX	150470000	150480000	chrX:75750000-75760000_chrX:150470000-150480000	FALSE	-0.896804644148278	2.12898066937613	2.60372998854845	0.144412526521561	0.585081603695741	FALSE	FALSE	non_significant	unchanged	#999999
loop_878	chr5	93320000	93330000	chr5	95950000	95960000	chr5:93320000-93330000_chr5:95950000-95960000	TRUE	-0.871294448899755	3.35525251231044	12.6802909081126	0.00419646794728171	0.196927641397572	FALSE	FALSE	non_significant	unchanged	#999999
