entrez_id	symbol	boundary_class	log2FoldChange	padj	chr	anchor_id	anchor_type	loop_distance	distance_class	stratified_category
27428	Shroom3	lost	-0.682812714071009	1.51533888575269e-5	chr5	loop_849_anchor1	Other	600000	long_range	Lost Long-range
319520	Dusp4	gained	-0.658530213725817	1.78478821953388e-6	chr8	loop_2344_anchor1	Other	600000	long_range	Gained Long-range
18507	Pax5	lost	1.99828332389109	8.82503664951713e-6	chr4	loop_966_anchor1	Repressed_Promoter	109925000	long_range	Lost Long-range
19656	Rbmxl1	lost	0.450537334273653	0.0231066799748322	chr8	loop_2588_anchor1	Repressed_Promoter	10600000	long_range	Lost Long-range
244421	Lonrf1	gained	-0.379358092792282	0.00814549906448445	chr8	loop_4921_anchor1	Active_Enhancer	75675000	long_range	Gained Long-range
11774	Ap3b1	gained	-0.705632048239103	1.84171034074945e-12	chr13	loop_5346_anchor1	Poised_Enhancer	475000	short_range	Gained Short-range
66880	Rsrc1	lost	-0.33418551333498	2.23647157693623e-4	chr3	loop_8063_anchor1	Polycomb	62250000	long_range	Lost Long-range
228730	Kiz	lost	-0.629270670001356	1.36802438136553e-5	chr2	loop_13659_anchor1	Polycomb	1200000	long_range	Lost Long-range
236193	Zfp709	gained	0.491024512568208	0.01168027650246	chr8	loop_3362_anchor2	Other	640000	long_range	Gained Long-range
216613	Ccdc85a	gained	0.455151231168111	0.00213827205580174	chr11	loop_3909_anchor2	Repressed_Promoter	830000	long_range	Gained Long-range
244682	Cntn5	gained	-1.00985172014745	6.03215805602591e-9	chr9	loop_4713_anchor2	Other	1320000	long_range	Gained Long-range
20979	Syt1	lost	-1.90324581761217	1.66117645581146e-38	chr10	loop_3596_anchor2	Active_Promoter	550000	long_range	Lost Long-range
56856	Insm2	gained	0.981602703421642	0.0013912554143448	chr12	loop_3951_anchor2	Other	4275000	long_range	Gained Long-range
76892	Rnft1	gained	-0.437992477513193	0.0102223597245299	chr11	loop_5289_anchor2	Other	2250000	long_range	Gained Long-range
68916	Cdkal1	gained	-0.359051205816533	0.0190468393437088	chr13	loop_5394_anchor2	Poised_Enhancer	4100000	long_range	Gained Long-range
78908	Igsf3	gained	-0.883472465939421	7.33496701680141e-18	chr3	loop_6398_anchor2	Active_Enhancer	700000	long_range	Gained Long-range
