chr	Boundary	Gap_Score	TAD_Score1	TAD_Score2	Differential	Enriched_In	Type	robust_in_ctrl	robust_in_mut	robustness	shift_distance	shift_distance_kb
chr1	12210000	1.0555926425159785	1.7289095087437012	1.3570683029388564	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	12220000	-1.396448660177296	1.9828859152615868	2.4914514144562117	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	17470000	-1.6921999662985725	1.7525995534626309	2.3663370237361123	Non-Differential	Matrix 2	Non-Differential	TRUE	FALSE	Control_only	NA	NA
chr1	24680000	-1.0036371162861557	1.7612810732009092	2.128101730175922	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	44190000	-0.7129999420767809	1.2897547550690738	1.5505002602859077	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	56780000	1.003935388739721	1.7264770129581075	1.3731530141116723	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	73870000	-0.47653251216918024	1.4525417285921622	1.6291139447864924	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	73890000	-0.02299207469253675	2.672918286411345	2.691589749966825	Non-Differential	Matrix 2	Non-Differential	FALSE	TRUE	Mutant_only	NA	NA
chr1	73900000	1.5549345118075235	1.629260807571666	1.077943705404901	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	78570000	4.190290913655696	1.9246443093177583	0.4293178988997934	Differential	Matrix 1	Complex	FALSE	FALSE	Neither	NA	NA
chr1	85020000	-1.1697683416775346	1.1302542782776048	1.5541960687850789	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr1	85040000	-0.9413895522337564	1.55183944483993	1.895518324186464	Non-Differential	Matrix 2	Non-Differential	TRUE	FALSE	Control_only	NA	NA
