gene	chr	start	end	modc_diff	mecp2_mean_fold	mark_category	modc_direction	mc_diff	hmc_diff	total_ctrl	total_mut	k27me3_overlap	k27ac_overlap
H1f0	chr15	79028449	79030503	0.0077552435433653	-0.0491881889495911	K27ac only (Active)	Hypermethylated	0.00802950642197629	-0.00027426287861098	0.0114836180517938	0.0192388615951591	FALSE	TRUE
Spry2	chr14	105891946	105896818	0.208825025114585	0.170000622540628	K27ac only (Active)	Hypermethylated	0.169619652521318	0.0392053725932666	0.086018351571498	0.294843376686083	FALSE	TRUE
Cited4	chr4	120666571	120667819	0.493825910931174	0.0359114941751316	K27ac only (Active)	Hypermethylated	0.323698669751301	0.170127241179873	0.292032967032967	0.785858877964141	FALSE	TRUE
Frat1	chr19	41829969	41832582	0.083784675789548	-0.0495765975185836	K27ac only (Active)	Hypermethylated	0.103326641066874	-0.0195419652773269	0.240682605050448	0.324467280839996	FALSE	TRUE
Gpr22	chr12	31706866	31713946	0.152849806380332	0.82430209948478	K27ac only (Active)	Hypermethylated	0.164985186171975	-0.0121353797916432	0.36426823153805	0.517118037918382	FALSE	TRUE
Zcchc3	chr2	152411954	152415026	0.208245171051903	-0.00553984957204796	K27ac only (Active)	Hypermethylated	0.191499133233443	0.0167460378184597	0.244367641888568	0.452612812940471	FALSE	TRUE
Prxl2b	chr4	154895503	154899134	0.170312932824744	0.0444179096981995	K27ac only (Active)	Hypermethylated	0.215503293571978	-0.0451903607472336	0.594969310166255	0.765282242990999	FALSE	TRUE
Syt1	chr10	108497649	109010981	0.023484976095428	0.103015823593182	K27ac only (Active)	Hypermethylated	0.173138279538543	-0.149653303443115	0.85480480820919	0.878289784304618	FALSE	TRUE
Tmem238	chr7	4784556	4789655	0.078412358335343	-0.0248488822116948	K27ac only (Active)	Hypermethylated	0.202948019567946	-0.124535661232602	0.80535044125435	0.883762799589693	FALSE	TRUE
Ripply2	chr9	87015536	87019916	0.132190901070635	0.717694215279438	K27ac only (Active)	Hypermethylated	0.186290557972284	-0.0540996569016488	0.619826159659405	0.75201706073004	FALSE	TRUE
Sap30	chr8	57482706	57487859	0.157504439495142	-0.0385530301695026	K27ac only (Active)	Hypermethylated	0.211953324709116	-0.0544488852139743	0.477330197938664	0.634834637433806	FALSE	TRUE
Arf6	chr12	69372149	69373782	0.0370691894400857	0.257804155780918	Neither	Hypermethylated	0.0390102300439166	-0.00194104060383106	0.0999427936634093	0.137011983103495	FALSE	FALSE
