stripe_id	chr	anchor_x1	anchor_x2	span_y1	span_y2	direction_type	source	pval_ctrl	pval_mut	n_ctrl_reps	n_mut_reps	in_10kb	confidence	anchor_center	logFC	logCPM	F	PValue	FDR	significant_FDR05	significant_FDR10	direction_edgeR	direction	direction_confidence	direction_consistent	stripe_length	anchor_width	effect_category	timepoint	distance_to_tss	nearest_gene_id	nearest_gene_symbol	h3k27ac_overlap	h3k27me3_overlap	h3k4me1_overlap	anchor_type
stripe_0009	chr1	119535000	119790000	119905000	119950000	3prime	mutant_only	NA	1.14410229480178e-09	0	0	TRUE	medium	119662500	0.25065936081345	11.2593557315934	4.16988796621107	0.058189803439559	0.622255005575326	FALSE	FALSE	unchanged	gained	medium	TRUE	45000	255000	minimal	early	0	320069	3830432H09Rik	FALSE	FALSE	FALSE	Other
stripe_0017	chr10	54495000	55010000	55010000	55045000	3prime	control_only	0.56940797573343	NA	0	0	FALSE	medium	54752500	-0.317377571626588	11.0183915655841	3.47408667591914	0.0810071084882239	0.622255005575326	FALSE	FALSE	unchanged	lost	medium	TRUE	35000	515000	weak	early	418390	17155	Man1a	FALSE	FALSE	FALSE	Other
stripe_0056	chr11	116075000	116385000	116435000	116470000	3prime	control_only	6.55443669005326e-32	NA	0	0	TRUE	medium	116230000	-0.268184011416749	11.6638177580679	5.88998849044208	0.027560497936123	0.606330954594706	FALSE	FALSE	unchanged	lost	medium	TRUE	35000	310000	minimal	early	0	70450	Unc13d	TRUE	TRUE	FALSE	Promoter
stripe_0074	chr13	65990000	66305000	66305000	66360000	3prime	mutant_only	NA	2.68467465972114e-10	0	0	TRUE	medium	66147500	0.35258006130176	10.8880788577642	0.519334793802771	0.494992734996766	0.846595991067987	FALSE	FALSE	unchanged	gained	medium	TRUE	55000	315000	weak	early	0	628709	Zfp997	FALSE	FALSE	FALSE	Other
stripe_0075	chr13	84195000	85295000	85295000	85355000	3prime	mutant_only	NA	0.475465043506175	0	0	FALSE	medium	84745000	0.313349749296485	9.38792940011653	0.686936250652087	0.419542253140392	0.823101283500158	FALSE	FALSE	unchanged	gained	medium	TRUE	60000	1100000	weak	early	0	72745	Tmem161b	TRUE	FALSE	FALSE	Promoter
stripe_0091	chr14	122135000	122420000	122435000	122495000	3prime	control_only	7.31053179835875e-09	NA	1	1	TRUE	medium	122277500	-0.253459878738398	11.9093139968302	7.67579549215422	0.0137551654502389	0.437108590974257	FALSE	FALSE	unchanged	lost	medium	TRUE	60000	285000	minimal	early	0	69634	Clybl	TRUE	FALSE	FALSE	Promoter
stripe_0118	chr17	19915000	20190000	20190000	20250000	3prime	mutant_only	NA	0.852603625374088	0	0	FALSE	medium	20052500	0.260904396699684	11.0076520249583	2.78187364240013	0.115008426264304	0.622255005575326	FALSE	FALSE	unchanged	gained	medium	TRUE	60000	275000	minimal	early	0	321020	Fpr-rs6	FALSE	FALSE	FALSE	Other
stripe_0128	chr17	89590000	90435000	90435000	90495000	3prime	control_only	0.945453930555776	NA	0	1	FALSE	medium	90012500	-0.23479836269971	11.3787087892389	3.2946344549416	0.0885135563630501	0.622255005575326	FALSE	FALSE	unchanged	lost	medium	TRUE	60000	845000	minimal	early	210758	100043904	Gm4719	TRUE	FALSE	FALSE	Active_Enhancer
stripe_0136	chr18	71015000	71080000	71080000	72880000	3prime	mutant_only	NA	0.961366066496314	0	0	FALSE	medium	71047500	0.428240259131013	11.414273868172	10.3137481980125	0.00550937416381945	0.437108590974257	FALSE	FALSE	unchanged	gained	medium	TRUE	1800000	65000	weak	early	446810	17191	Mbd2	FALSE	FALSE	FALSE	Other
stripe_0179	chr3	144675000	145375000	145375000	145480000	3prime	mutant_only	NA	0.544660661984279	0	0	FALSE	medium	145025000	0.31188617327876	10.7914454026627	4.12864822661861	0.0593112095369383	0.622255005575326	FALSE	FALSE	unchanged	gained	medium	TRUE	105000	700000	weak	early	0	99709	Clca4b	TRUE	TRUE	FALSE	Promoter
