loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	shift_status	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	plot_color
loop_7450	chr8	49650000	49675000	chr8	57300000	57325000	chr8:49650000-49675000_chr8:57300000-57325000	TRUE	2.34590431264397	2.04538459991086	255.58320757946	2.39577718344909e-08	0.000519284704512591	TRUE	TRUE	strong_differential	up_in_mutant	#d73027
loop_5080	chr8	36325000	36350000	chr8	112000000	112025000	chr8:36325000-36350000_chr8:112000000-112025000	TRUE	2.09198248443199	-0.868424313004151	47.6768117784029	4.72635390429405e-05	0.031291336169491	TRUE	TRUE	strong_differential	up_in_mutant	#d73027
loop_62	chr8	57300000	57325000	chr8	89025000	89050000	chr8:57300000-57325000_chr8:89025000-89050000	TRUE	-2.00507719638635	-0.0829439900230609	91.4321439281959	2.78517213223751e-06	0.0105770426836539	TRUE	TRUE	strong_differential	down_in_mutant	#4575b4
loop_1379	chr8	57325000	57350000	chr8	89025000	89050000	chr8:57325000-57350000_chr8:89025000-89050000	TRUE	-1.79377430164816	-0.10836449911959	76.469206726354	6.13943188374801e-06	0.0120974714618398	TRUE	TRUE	strong_differential	down_in_mutant	#4575b4
loop_5077	chr8	49800000	49825000	chr8	57300000	57325000	chr8:49800000-49825000_chr8:57300000-57325000	TRUE	1.75962676007773	1.64550261151609	113.344812834816	1.05261612860845e-06	0.00609122451782924	TRUE	TRUE	strong_differential	up_in_mutant	#d73027
loop_19469	chr7	104225000	104250000	chr7	104325000	104350000	chr7:104225000-104250000_chr7:104325000-104350000	TRUE	-1.59696121605019	8.2629428144607	8.37686059385251	0.0163005703925695	0.224637952057446	FALSE	FALSE	non_significant	unchanged	#999999
loop_2671	chr8	78425000	78450000	chr8	89025000	89050000	chr8:78425000-78450000_chr8:89025000-89050000	TRUE	-1.35049953120474	-0.116954476949495	32.8070495935487	0.000205950762410072	0.048125071182488	TRUE	TRUE	strong_differential	down_in_mutant	#4575b4
loop_16947	chr7	131550000	131575000	chr7	137300000	137325000	chr7:131550000-131575000_chr7:137300000-137325000	FALSE	-1.34138101798368	1.42184538458335	83.1857370629681	4.2207109143858e-06	0.0105770426836539	TRUE	TRUE	strong_differential	down_in_mutant	#4575b4
loop_60	chr8	89025000	89050000	chr8	108700000	108725000	chr8:89025000-89050000_chr8:108700000-108725000	TRUE	-1.31158719217673	0.470539659229819	32.3828838164369	0.00021638361014219	0.0488553619774164	TRUE	TRUE	strong_differential	down_in_mutant	#4575b4
loop_59	chr8	57300000	57325000	chr8	108700000	108725000	chr8:57300000-57325000_chr8:108700000-108725000	TRUE	-1.26016340009299	1.16636917973715	67.0951881786094	1.08232193584825e-05	0.0152941059360189	TRUE	TRUE	strong_differential	down_in_mutant	#4575b4
loop_17497	chr8	57325000	57350000	chr8	108700000	108725000	chr8:57325000-57350000_chr8:108700000-108725000	TRUE	-1.2395045022369	1.20084802620893	83.0803161940019	4.24467514857828e-06	0.0105770426836539	TRUE	TRUE	strong_differential	down_in_mutant	#4575b4
loop_9154	chr8	12375000	12400000	chr8	89025000	89050000	chr8:12375000-12400000_chr8:89025000-89050000	FALSE	-1.23081241609901	0.753174757350557	81.042282540142	4.73860058802332e-06	0.0105770426836539	TRUE	TRUE	strong_differential	down_in_mutant	#4575b4
loop_611	chr1	138825000	138850000	chr1	184700000	184725000	chr1:138825000-138850000_chr1:184700000-184725000	FALSE	-1.17560280263527	-0.400909425168665	32.6390908840976	0.000210179971705097	0.048125071182488	TRUE	TRUE	strong_differential	down_in_mutant	#4575b4
loop_15523	chr4	122050000	122075000	chr4	122400000	122425000	chr4:122050000-122075000_chr4:122400000-122425000	TRUE	1.12720798339305	7.73759205324465	15.3461864575479	0.0029884959253747	0.12153029865384	FALSE	FALSE	non_significant	unchanged	#999999
loop_19173	chr4	44700000	44725000	chr4	89275000	89300000	chr4:44700000-44725000_chr4:89275000-89300000	TRUE	-1.0807465890139	0.391585280783785	37.4446202907093	0.000122579456049728	0.0415456697438683	TRUE	TRUE	strong_differential	down_in_mutant	#4575b4
loop_1020	chr4	44700000	44725000	chr4	154625000	154650000	chr4:44700000-44725000_chr4:154625000-154650000	FALSE	-1.06987577264386	-0.186698111035559	34.1001051271064	0.000177229049761427	0.0460087006135	TRUE	TRUE	strong_differential	down_in_mutant	#4575b4
loop_820	chr2	9875000	9900000	chr2	71525000	71550000	chr2:9875000-9900000_chr2:71525000-71550000	FALSE	-1.04812900178438	-1.10471837420366	14.7326068822331	0.00340489858793676	0.125660678974934	FALSE	FALSE	non_significant	unchanged	#999999
loop_1378	chr8	12375000	12400000	chr8	57300000	57325000	chr8:12375000-12400000_chr8:57300000-57325000	TRUE	-0.971033550462988	0.489366850294811	23.58021554233	0.000704329311686321	0.0741084360718496	FALSE	TRUE	trending	unchanged	#999999
loop_58	chr8	12375000	12400000	chr8	92350000	92375000	chr8:12375000-12400000_chr8:92350000-92375000	TRUE	-0.968723670487839	0.110150750096653	29.8804281061267	0.000294324161983995	0.0541834122281227	FALSE	TRUE	trending	unchanged	#999999
loop_9156	chr8	12375000	12400000	chr8	57325000	57350000	chr8:12375000-12400000_chr8:57325000-57350000	TRUE	-0.957432506044998	0.534145033935949	26.0660518029586	0.000489759016369495	0.0655279424679556	FALSE	TRUE	trending	unchanged	#999999
loop_2342	chr4	109975000	110000000	chr4	117475000	117500000	chr4:109975000-110000000_chr4:117475000-117500000	TRUE	-0.934518225335529	-0.178578127245478	18.7675219921542	0.00155507032865283	0.101008106027848	FALSE	FALSE	non_significant	unchanged	#999999
loop_10916	chr13	22000000	22025000	chr13	98350000	98375000	chr13:22000000-22025000_chr13:98350000-98375000	TRUE	-0.901376417834473	0.138933360190304	25.469877931159	0.000533153740880214	0.0661688110540741	FALSE	TRUE	trending	unchanged	#999999
loop_14462	chrX	75750000	75775000	chrX	150450000	150475000	chrX:75750000-75775000_chrX:150450000-150475000	TRUE	-0.898420316867481	1.5814576165736	3.32281998243917	0.0989111831886224	0.451915089550601	FALSE	FALSE	non_significant	unchanged	#999999
loop_715	chr19	25600000	25625000	chr19	59150000	59175000	chr19:25600000-25625000_chr19:59150000-59175000	FALSE	-0.892798812278779	1.47741681767028	48.1736781792748	4.40814596984599e-05	0.031291336169491	TRUE	TRUE	moderate_differential	down_in_mutant	#4575b4
