chr	Boundary	Gap_Score	TAD_Score1	TAD_Score2	Differential	Enriched_In	Type
chr1	3500000	5.426507017385627	1.8058573700660059	0.4488775765529409	Differential	Matrix 1	Complex
chr1	3675000	-9.205042398694046	-0.29759334813280103	1.9438596371161836	Differential	Matrix 2	Complex
chr1	10000000	2.2669865536758302	2.157899783715952	1.5603518161312366	Differential	Matrix 1	Strength Change
chr1	12850000	-3.4315402919777696	1.6563591091005072	2.453348479973474	Differential	Matrix 2	Strength Change
chr1	13175000	-2.8038308532970535	1.1742123622736287	1.8293267075329969	Differential	Matrix 2	Complex
chr1	14725000	-4.440593891143685	0.47251438491798986	1.5403552443417228	Differential	Matrix 2	Complex
chr1	15250000	-2.477146557429436	1.5229317383317846	2.0911117629195908	Differential	Matrix 2	Strength Change
chr1	15275000	-2.713409537681477	1.2336891640711447	1.8655504700536238	Differential	Matrix 2	Complex
chr1	18125000	-4.4793787118547375	1.0279411427844771	2.0930675927755176	Differential	Matrix 2	Complex
chr1	18150000	-2.2196354676125227	1.1811332414061209	1.6942557617726735	Differential	Matrix 2	Complex
chr1	19225000	-2.7618728706596256	0.9979075722906632	1.6466853839869562	Differential	Matrix 2	Merge
chr1	20525000	-2.7867982071986885	2.9234117197345717	3.536185838767705	Differential	Matrix 2	Strength Change
chr1	20800000	2.0346523028567045	3.8710734550974744	3.292517547738609	Differential	Matrix 1	Strength Change
chr1	21475000	-2.827041718108973	0.8689901524335751	1.536406461692189	Differential	Matrix 2	Complex
chr1	22000000	-2.7299412621868013	0.8576010217975716	1.501690421951824	Differential	Matrix 2	Complex
chr1	23150000	3.072316516327512	4.5860108574132825	3.739898438399343	Differential	Matrix 1	Strength Change
chr1	25650000	2.613900273288808	2.0572322337210363	1.3776534966049387	Differential	Matrix 1	Split
chr1	25825000	-10.065444588788191	4.396621963958644	6.744450008407734	Differential	Matrix 2	Strength Change
chr1	26425000	-2.1443440380437715	1.4156591485046015	1.9053788177961082	Differential	Matrix 2	Merge
chr1	32075000	2.1672461584140414	1.8198842204271595	1.2539355769254263	Differential	Matrix 1	Split
chr1	33975000	2.0472609498090337	3.5328154759368777	2.958586219826147	Differential	Matrix 1	Strength Change
chr1	34725000	-2.2480005511284182	1.414829380936566	1.9297346242480433	Differential	Matrix 2	Merge
chr1	36775000	3.0251710247832255	1.6543602075662553	0.8837255645634805	Differential	Matrix 1	Split
chr1	40575000	-4.1622412892603124	0.7003673459602024	1.6956485340818086	Differential	Matrix 2	Merge
chr1	43275000	-2.581545258015625	1.9256070195922759	2.510339751044794	Differential	Matrix 2	Strength Change
chr1	43750000	-3.0111657846043878	2.0492902187096598	2.735631961435064	Differential	Matrix 2	Strength Change
chr1	45975000	-3.853573080388507	1.495426602842098	2.398399079849931	Differential	Matrix 2	Merge
chr1	50925000	2.937117848465836	2.1302650296720427	1.3706150284281007	Differential	Matrix 1	Split
chr1	51950000	-2.4218521044278263	1.124222328317459	1.687685371579356	Differential	Matrix 2	Merge
chr1	54200000	-3.2234575776563994	4.256709723454644	4.9463823225574375	Differential	Matrix 2	Strength Change
chr1	55225000	-2.467481626456997	0.9956231074842544	1.572973616299627	Differential	Matrix 2	Merge
chr1	58775000	3.2706538717759583	2.8250184837263568	1.9692127574990184	Differential	Matrix 1	Strength Change
chr1	59325000	-5.875442222107685	2.9845524718761145	4.345903520133499	Differential	Matrix 2	Strength Change
chr1	59475000	3.6506225468138487	5.8212741313921725	4.807771229730788	Differential	Matrix 1	Strength Change
chr1	59500000	5.5728308870459395	4.248816053995588	2.8029519689595914	Differential	Matrix 1	Strength Change
chr1	61375000	-4.235118050856557	1.0837313507361146	2.0883336085819146	Differential	Matrix 2	Complex
chr1	61400000	-3.4035309748459794	0.9439169950434737	1.7496664479325803	Differential	Matrix 2	Complex
chr1	63950000	-2.793343149708773	1.6424066422858752	2.284748645036097	Differential	Matrix 2	Strength Change
chr1	65025000	-2.795190040768736	1.8044783242641744	2.4437288925229717	Differential	Matrix 2	Strength Change
chr1	66100000	-2.5074688818107536	3.70535164958179	4.233226982121275	Differential	Matrix 2	Strength Change
chr1	66475000	-2.250645927111231	1.2672506596182966	1.7860214998189048	Differential	Matrix 2	Complex
chr1	68400000	-2.6651084172900066	1.2141842342823808	1.834744204260296	Differential	Matrix 2	Merge
chr1	72125000	2.071280453194344	2.5966584515310958	2.0370442112828435	Differential	Matrix 1	Strength Change
chr1	72600000	-6.436804812526206	1.8133633594172502	3.3365916185086713	Differential	Matrix 2	Strength Change
chr1	72875000	2.114430704228467	6.098342557013673	5.45177030988725	Differential	Matrix 1	Strength Change
chr1	74125000	-3.4226467679938426	1.5415039202287282	2.3388425581837744	Differential	Matrix 2	Strength Change
chr1	74400000	3.118434474842798	1.8839985235793866	1.0857042349617958	Differential	Matrix 1	Split
chr1	74775000	2.3376339161601565	2.452950693798455	1.8318054952316718	Differential	Matrix 1	Strength Change
chr1	82700000	2.0533386305339993	3.433886759160971	2.860342592776365	Differential	Matrix 1	Strength Change
chr1	84275000	-2.606421120707219	1.1121405978878771	1.7206802546158892	Differential	Matrix 2	Complex
chr1	84300000	-3.4063398385580443	0.9257043935515175	1.7325336156255728	Differential	Matrix 2	Complex
chr1	85425000	6.719645525308384	7.119686827783728	5.332676527211428	Differential	Matrix 1	Strength Change
chr1	85575000	-2.517785854740378	5.951813810987744	6.433128454921363	Differential	Matrix 2	Strength Change
chr1	86075000	-2.094494501389078	1.5874867392161383	2.0613501746348097	Differential	Matrix 2	Strength Change
chr1	87225000	-2.4471369272736956	1.3705133144978927	1.9347361162268262	Differential	Matrix 2	Merge
