loop_id	chr1	start1	end1	chr2	start2	end2	logFC	logCPM	FDR	PValue	significant	resolution_kb	n_overlaps	loop_distance	loop_type	direction	category	anchor1_H3K27ac_overlap	anchor1_H3K27me3_overlap	anchor1_H3K4me1_overlap	anchor1_H3K4me3_overlap	anchor1_Bivalent_Promoter_overlap	anchor1_CTCF_overlap	anchor1_CTCF_motif_overlap	anchor2_H3K27ac_overlap	anchor2_H3K27me3_overlap	anchor2_H3K4me1_overlap	anchor2_H3K4me3_overlap	anchor2_Bivalent_Promoter_overlap	anchor2_CTCF_overlap	anchor2_CTCF_motif_overlap	anchor1_distance_to_tss_ext	anchor2_distance_to_tss_ext	anchor1_type_extended	anchor2_type_extended	loop_type_extended
loop_7340	chr8	41050000	41055000	chr8	41235000	41240000	0.515500086064682	6.47544389152402	0.0246137874788143	9.03258256103277e-6	TRUE	5	1	185000	Active_Promoter-Active_Enhancer	up_in_mutant	moderate_differential	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	32531	0	Active_Enhancer	Active_Promoter	Active_Promoter-Active_Enhancer
loop_1298	chr8	49525000	49550000	chr8	49825000	49850000	-0.531581037913629	5.52012122539831	0.0048740438696912	5.57272416143058e-6	TRUE	25	2	300000	Polycomb-Other	down_in_mutant	moderate_differential	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	681048	518111	CTCF_Site	Polycomb	Polycomb-CTCF_Site
loop_2344	chr8	34870000	34880000	chr8	35470000	35480000	0.407607541857131	5.60861693538885	0.0120629189926992	8.72464984554685e-6	TRUE	10	1	600000	Other-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	62702	16195	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site
loop_4309	chr8	34850000	34860000	chr8	35460000	35470000	0.438531496090977	5.43537764916674	0.005866821480695	1.85642122614887e-6	TRUE	10	1	610000	Other-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	42702	26195	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site
loop_7428	chr8	34820000	34830000	chr8	35460000	35470000	0.569481690131179	4.71999454512869	0.0075177148628495	3.16986407661749e-6	TRUE	10	1	640000	Poised_Enhancer-Other	up_in_mutant	moderate_differential	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	12702	26195	Poised_Enhancer	CTCF_Site	Poised_Enhancer-CTCF_Site
loop_8692	chr8	40180000	40190000	chr8	40380000	40390000	0.385417922933943	5.80751514167088	0.0112458667431278	7.62535038183333e-6	TRUE	10	1	200000	Other-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	117457	33814	Other	CTCF_Site	CTCF_Site-Other
loop_8667	chr8	36525000	36550000	chr8	37050000	37075000	0.424038596320175	4.95080205696194	0.0037529240316719	2.86059666079519e-6	TRUE	25	2	525000	Polycomb-Other	up_in_mutant	weak_differential	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	67451	25761	Polycomb	CTCF_Site	Polycomb-CTCF_Site
loop_8758	chr8	48220000	48230000	chr8	49820000	49830000	-0.907636620590362	3.8015301363332	0.0053478346973716	1.20871410753359e-6	TRUE	10	1	1600000	Polycomb-Polycomb	down_in_mutant	moderate_differential	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	120907	538111	Polycomb	Polycomb	Polycomb-Polycomb
loop_8805	chr8	33210000	33220000	chr8	33720000	33730000	0.405045328744502	5.15099194443614	0.0279548023039296	5.30739398230288e-5	TRUE	10	1	510000	Other-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	165526	1832	CTCF_Site	CTCF_Site	CTCF_Site-CTCF_Site
loop_17895	chr8	40180000	40190000	chr8	40290000	40300000	0.387391598664985	5.51075001958883	0.0125381759837717	1.02019332658842e-5	TRUE	10	1	110000	Polycomb-Other	up_in_mutant	weak_differential	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	TRUE	TRUE	117457	7457	Other	Polycomb	Polycomb-Other
