PeakID (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/H3K27ac.bed mm10 -size 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.DLR.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.DLR.bedGraph)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp
456172	chrY	1719523	1720523	+	1698	NA	Intergenic	Intergenic	-260241	NM_148943	107868		NM_148943	ENSMUSG00000069044	Usp9y	Dffry|Fafl2	ubiquitin specific peptidase 9, Y chromosome	protein-coding	-3.340	-3.139
1137123	chrY	48108707	48109707	+	792	NA	Intergenic	Intergenic	-202838	NR_164188	108168506		NR_164188	ENSMUSG00000121343	Gm21679	-	predicted gene, 21679	ncRNA		
496580	chrY	84663970	84664970	+	571	NA	Intergenic	Intergenic	-99563	NM_001378412	108168579		NM_001160140	ENSMUSG00000094660	Gm21394	-	predicted gene, 21394	protein-coding		
261008	chrY	66719670	66720670	+	404	NA	Intergenic	Intergenic	22000	NM_001160129	100040786		NM_001160129	ENSMUSG00000096666	Gm20852	-	predicted gene, 20852	protein-coding		
77918-2	chrY	2109976	2110976	+	398	NA	intron (NM_009571, intron 6 of 8)	intron (NM_009571, intron 6 of 8)	59933	NM_009571	22768		NM_009571	ENSMUSG00000000103	Zfy2	Zfy-2	zinc finger protein 2, Y-linked	protein-coding	-3.124	-3.000
692384	chrUn_JH584304	53016	54016	+	382	NA	non-coding (NR_003518, exon 7 of 7)	non-coding (NR_003518, exon 7 of 7)	6173	NR_003518	66776		NR_003518		Pisd-ps3	4933439C20Rik	phosphatidylserine decarboxylase, pseudogene 3	pseudo		
3145467	chrM	7650	8650	+	375	NA	NA	Intergenic	NA	NA										
240343	chr1_GL456221_random	151649	152649	+	337	NA	intron (NM_033616, intron 1 of 1)	intron (NM_033616, intron 1 of 1)	10862	NM_033616	114564		NM_033616	ENSMUSG00000062783	Csprs	D1Lub1|HSR	component of Sp100-rs	protein-coding		
239523	chrY	6830072	6831072	+	200	NA	Intergenic	Intergenic	337205	NM_001101623	100040160		NM_001101623	ENSMUSG00000094081	Gm20826	-	predicted gene, 20826	protein-coding	-2.960	-2.922
181505	chr17	6429932	6430932	+	200	NA	intron (NM_009342, intron 1 of 4)	intron (NM_009342, intron 1 of 4)	320	NM_009342	21648		NM_009342	ENSMUSG00000096255	Dynlt1b	AGS2|Dynlt1|Tctex-1|Tctex1	dynein light chain Tctex-type 1B	protein-coding	-1.538	-1.624
490129	chr1	24613360	24614360	+	180	NA	Intergenic	Intergenic	-26423	NM_007733	12823		NM_007733	ENSMUSG00000026141	Col19a1	-	collagen, type XIX, alpha 1	protein-coding	-1.188	-1.109
20462-5	chrUn_GL456370	-350	650	+	179	NA	NA	Intergenic	NA	NA										
531766	chr1	176930463	176931463	+	175	NA	intron (NM_001357390, intron 14 of 18)	intron (NM_001357390, intron 14 of 18)	-94830	NR_037996	15365		NR_037996	ENSMUSG00000121135	Hmga2-ps1	EG666235|Gm7996|Hmgic-ps1|[y]i-c	high mobility group AT-hook 2, pseudogene 1	pseudo	-1.954	-2.000
130404	chr12	70879096	70880096	+	174	NA	intron (NM_028127, intron 5 of 13)	intron (NM_028127, intron 5 of 13)	54082	NM_028127	319710		NM_028127	ENSMUSG00000048285	Frmd6	2610019M19Rik|4930488L10Rik|Willin	FERM domain containing 6	protein-coding	-1.423	-1.498
113649	chr17	3080854	3081854	+	157	NA	intron (NR_003519, intron 1 of 7)	intron (NR_003519, intron 1 of 7)	2829	NR_003519	328734		NR_003519		Pisd-ps2	D030013I16Rik	phosphatidylserine decarboxylase, pseudogene 2	pseudo	0.714	0.649
107920	chr9	124256649	124257649	+	156	NA	Intergenic	Intergenic	55545	NM_001243119	630836		NM_001243117	ENSMUSG00000074829	2010315B03Rik	-	RIKEN cDNA 2010315B03 gene	protein-coding	0.461	0.664
175035	chr17	6446898	6447898	+	148	NA	non-coding (NR_033520, exon 4 of 10)	non-coding (NR_033520, exon 4 of 10)	3596	NR_033520	547127		NM_001045538		Tmem181b-ps	Tmem181b	transmembrane protein 181B, pseudogene	pseudo	-1.467	-1.649
378623	chr9	90692602	90693602	+	145	NA	Intergenic	Intergenic	135754	NR_166895	102633152		NR_166895		Gm28703	-	predicted gene 28703	ncRNA	-2.269	-2.079
528050	chr2	79455775	79456775	+	142	NA	intron (NM_010894, intron 1 of 1)	intron (NM_010894, intron 1 of 1)	361	NM_010894	18012		NM_010894	ENSMUSG00000034701	Neurod1	BETA2|BHF-1|Nd1|Neurod|bHLHa3	neurogenic differentiation 1	protein-coding	-1.200	-1.240
47468	chr8	19784619	19785619	+	138	NA	intron (NM_001270553, intron 6 of 9).2	CpG	55543	NM_001039553	626415		NM_001039553	ENSMUSG00000096265	Potefam3e	4930467E23Rik|Pote3e|TSAP	POTE ankyrin domain family member 3E	protein-coding	0.941	0.771
123313	chr17	6295908	6296908	+	135	NA	intron (NM_001033178, intron 7 of 16)	intron (NM_001033178, intron 7 of 16)	21066	NM_001166629	100310872		NM_001166629	ENSMUSG00000092074	Dynlt1a	AGS2|Dynlt1|Tctel1|Tctex-1|Tctex1	dynein light chain Tctex-type 1A	protein-coding	-2.062	-2.199
385019	chr4	82534918	82535918	+	135	NA	intron (NR_137202, intron 1 of 1)	intron (NR_137202, intron 1 of 1)	27429	NR_137202	102635783		NR_137202	ENSMUSG00000087413	Gm11266	-	predicted gene 11266	ncRNA	-2.025	-1.973
68180	chr13	60886258	60887258	+	130	NA	Intergenic	Intergenic	10689	NM_007797	13025		NM_007797	ENSMUSG00000074874	Ctla2b	Ctla-2b	cytotoxic T lymphocyte-associated protein 2 beta	protein-coding	0.283	0.313
