Coordinate	Sample 1	Sample 2	Sample 3	Consensus_Score	chr	condition	n_replicates
4560000	4.529035858947692	3.817743411553128	3.91637961291479	3.91637961291479	chr1	control	3
5010000	3.008435076376376	3.0458160196786035	2.5884526569561452	3.008435076376376	chr1	control	3
6860000	4.56742654798699	3.00913365216367	3.0458466772620243	3.0458466772620243	chr1	control	3
7080000	5.6108483268553995	4.098225397631762	4.189188690785228	4.189188690785228	chr1	control	3
7090000	2.326039715769705	4.631175627766818	3.6321048490756045	3.6321048490756045	chr1	control	3
8160000	2.256697426611575	1.2392024233689756	3.0958701996674556	2.256697426611575	chr1	control	3
9700000	4.01823865636196	3.891761808562589	5.0065465182974425	4.01823865636196	chr1	control	3
10730000	2.5926794618765236	2.9616131985784295	3.5255719324985613	2.9616131985784295	chr1	control	3
11620000	4.744213756791531	4.179881057989317	3.772394764592056	4.179881057989317	chr1	control	3
11780000	2.6868381869429756	1.8172276570264652	3.520488534752363	2.6868381869429756	chr1	control	3
13550000	3.447465632880712	2.813023174745476	3.6956694397936314	3.447465632880712	chr1	control	3
14480000	2.8388193646898814	2.955794182233667	3.644923717808804	2.955794182233667	chr1	control	3
15090000	1.8591994006000367	0.9777393426629672	3.5428731808736353	1.8591994006000367	chr1	control	3
15690000	3.2862268484325337	2.4504349552876814	2.1117628263385533	2.4504349552876814	chr1	control	3
17470000	2.8664735696998895	3.0922387789279733	4.666956643938613	3.0922387789279733	chr1	control	3
18080000	3.1385330955832296	2.1766443729299345	2.001447721229896	2.1766443729299345	chr1	control	3
18540000	3.296977688439883	1.9663081670151648	4.38026940150722	3.296977688439883	chr1	control	3
18980000	2.921442653222032	2.6038108628898313	3.8190447374527747	2.921442653222032	chr1	control	3
19690000	1.8310482527440461	3.4296440957932077	1.1883881538231456	1.8310482527440461	chr1	control	3
20320000	3.935930672028577	3.6843935046263803	3.4907995205115054	3.6843935046263803	chr1	control	3
20490000	3.6985709783376564	1.5041589211763056	2.2749486752715358	2.2749486752715358	chr1	control	3
20940000	2.546640159561218	2.9881711840451706	3.5933593256033296	2.9881711840451706	chr1	control	3
21200000	2.7581811108336765	3.8929210592354964	3.424941146538049	3.424941146538049	chr1	control	3
22000000	4.09790555135043	1.98748761238788	3.5042965242368957	3.5042965242368957	chr1	control	3
22270000	3.2486792889727196	2.7120102524140455	2.104765195233593	2.7120102524140455	chr1	control	3
22600000	2.961666756071153	3.280492312763406	3.6249719251849513	3.280492312763406	chr1	control	3
22920000	4.4194782326758055	4.179259263970567	4.663763322761027	4.4194782326758055	chr1	control	3
23300000	3.275258780193458	4.180969256619451	5.065015682036926	4.180969256619451	chr1	control	3
23500000	3.2314500084443245	3.064136387028353	2.9411343723627246	3.064136387028353	chr1	control	3
23820000	3.2770560371247575	2.626238092365508	2.8676595353637873	2.8676595353637873	chr1	control	3
23930000	4.3544281997392655	3.7134165179732403	4.155988004324263	4.155988004324263	chr1	control	3
24250000	1.7673755410879148	3.232959916417447	2.448316783263054	2.448316783263054	chr1	control	3
24260000	4.032693573140086	3.07619598915617	3.8474063813063246	3.8474063813063246	chr1	control	3
24500000	3.215653410556141	1.4978922751298867	2.403229521414982	2.403229521414982	chr1	control	3
25120000	3.2594570869784594	2.484814090391483	3.7455827219182196	3.2594570869784594	chr1	control	3
28290000	3.665214926348659	1.4533075784019556	2.668038390473486	2.668038390473486	chr1	control	3
29650000	3.4483507770421933	1.7425740208370004	3.578858966915657	3.4483507770421933	chr1	control	3
29950000	2.385633545339506	3.33697409299244	1.9649409910858817	2.385633545339506	chr1	control	3
30070000	3.7323071548967617	2.8649279183584824	3.3069026475318988	3.3069026475318988	chr1	control	3
30880000	4.360202267178437	2.0029678329849587	3.3706318565184645	3.3706318565184645	chr1	control	3
31900000	3.0510784004473797	2.01777132823496	1.2275860353937886	2.01777132823496	chr1	control	3
33660000	4.18977315033282	3.368620055382024	4.651905003821307	4.18977315033282	chr1	control	3
34170000	3.32181501385821	3.5174749166192596	4.4311694137762485	3.5174749166192596	chr1	control	3
34300000	2.40987530712268	3.219326837349465	2.1549436699237585	2.40987530712268	chr1	control	3
34610000	4.519353287877695	3.9367483899588307	3.7824417853576353	3.9367483899588307	chr1	control	3
34730000	3.907123093546567	3.5391778950266035	3.386477691310924	3.5391778950266035	chr1	control	3
35640000	1.8439138403078503	2.64192334845282	3.279980011690437	2.64192334845282	chr1	control	3
35790000	3.388519205577491	4.019275014932858	1.915450645165363	3.388519205577491	chr1	control	3
36950000	3.6709987927151158	3.5480330100313267	2.982033326969239	3.5480330100313267	chr1	control	3
37730000	4.332573306262267	3.36263225578686	3.1300856575144005	3.36263225578686	chr1	control	3
37900000	3.073252646838655	2.8137620581939533	2.1161336498296683	2.8137620581939533	chr1	control	3
38780000	2.350216204301831	2.7676829344732146	3.111221144469269	2.7676829344732146	chr1	control	3
39530000	3.02167778670981	3.902657199596881	3.837750358936709	3.837750358936709	chr1	control	3
39840000	3.633164968578053	3.190742239729642	3.1466019267499314	3.190742239729642	chr1	control	3
39850000	3.2400437272695313	2.825853580752661	2.5352030426345964	2.825853580752661	chr1	control	3
40120000	2.7310385777080386	3.039938663183212	2.304040580403358	2.7310385777080386	chr1	control	3
40300000	3.098641571864599	2.2125434134083077	1.9330842771450731	2.2125434134083077	chr1	control	3
41330000	1.5719391545244017	1.545919660363885	3.385167060746542	1.5719391545244017	chr1	control	3
42920000	-0.9847888913818642	3.108305129008155	-0.7942999201808132	-0.7942999201808132	chr1	control	3
42960000	2.336436246221394	-0.4890854314433575	3.931507131180374	2.336436246221394	chr1	control	3
42970000	2.874413905676578	-1.087610134024027	3.160644198185406	2.874413905676578	chr1	control	3
42980000	3.001920458630997	-0.15540842690588158	1.6980230530258091	1.6980230530258091	chr1	control	3
43040000	0.8720368839780387	0.3005002677002915	3.387583426813369	0.8720368839780387	chr1	control	3
43440000	3.6152679629851656	3.1997314207693397	3.602299143531565	3.602299143531565	chr1	control	3
44040000	2.3753033061135764	3.023018678289266	2.532403015363037	2.532403015363037	chr1	control	3
