loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	shift_status	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	plot_color	resolution	resolution_kb	n_overlaps	is_merged	anchor1_chr	anchor1_start	anchor1_end	anchor1_midpoint	anchor1_size	anchor2_chr	anchor2_start	anchor2_end	anchor2_midpoint	anchor2_size	loop_distance	distance_category	is_intrachromosomal	anchor1_nearest_gene_idx	anchor1_distance_to_tss	anchor2_nearest_gene_idx	anchor2_distance_to_tss	anchor1_nearest_gene	anchor2_nearest_gene	anchor1_H3K27ac_overlap	anchor1_H3K4me1_overlap	anchor1_type	anchor1_is_promoter	anchor2_H3K27ac_overlap	anchor2_H3K4me1_overlap	anchor2_type	anchor2_is_promoter	loop_type	anchor1_H3K27me3_overlap	anchor2_H3K27me3_overlap	anchor1_H3K4me3_overlap	anchor2_H3K4me3_overlap	anchor1_Bivalent_Promoter_overlap	anchor2_Bivalent_Promoter_overlap
loop_7987	chr8	27670000	27680000	chr8	30920000	30930000	chr8:27670000-27680000_chr8:30920000-30930000	FALSE	-0.511863483899756	3.7322030291973	29.151927695355	2.76854219941496e-5	8.478707314906e-4	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	3	TRUE	chr8	27670000	27680000	27675000	10000	chr8	30920000	30930000	30925000	10000	3250000	>1Mb	TRUE	20748	222899	18722	159470	70952	66959	FALSE	TRUE	Poised_Enhancer	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Poised_Enhancer-Poised_Enhancer	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_11180	chr15	44830000	44840000	chr15	48790000	48800000	chr15:44830000-44840000_chr15:48790000-48800000	FALSE	-0.527071564812169	3.16336281960009	21.4611447483805	1.608525612695e-4	0.0029717674829817	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	2	TRUE	chr15	44830000	44840000	44835000	10000	chr15	48790000	48800000	48795000	10000	3960000	>1Mb	TRUE	11215	41418	11217	0	239410	239420	FALSE	TRUE	Poised_Enhancer	FALSE	TRUE	TRUE	Active_Promoter	TRUE	Active_Promoter-Poised_Enhancer	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE
loop_11207	chr15	68930000	68940000	chr15	70920000	70930000	chr15:68930000-68940000_chr15:70920000-70930000	TRUE	-0.447798242365314	4.20317914356283	21.1755396916338	1.728364049506e-4	0.0031180078591711	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	2	TRUE	chr15	68930000	68940000	68935000	10000	chr15	70920000	70930000	70925000	10000	1990000	>1Mb	TRUE	4558	1579	20537	797837	13992	70363	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	FALSE	Other	FALSE	Repressed_Promoter-Other	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_11397	chr16	85800000	85810000	chr16	87240000	87250000	chr16:85800000-85810000_chr16:87240000-87250000	FALSE	-0.326082077989586	5.04856873606419	25.9751023666604	5.51373671641262e-5	0.0013719508045915	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	2	TRUE	chr16	85800000	85810000	85805000	10000	chr16	87240000	87250000	87245000	10000	1440000	>1Mb	TRUE	3228	0	19306	104184	11504	67768	TRUE	TRUE	Bivalent_Promoter	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Bivalent_Promoter-Poised_Enhancer	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_14438	chr2	71540000	71550000	chr2	73270000	73280000	chr2:71540000-71550000_chr2:73270000-73280000	TRUE	-0.619192147317801	3.79423553843088	35.085809048742	8.58913129892264e-6	3.597607108867e-4	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	3	TRUE	chr2	71540000	71550000	71545000	10000	chr2	73270000	73280000	73275000	10000	1730000	>1Mb	TRUE	4326	0	14910	0	13392	381373	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Repressed_Promoter	FALSE	Repressed_Promoter-Repressed_Promoter	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
loop_17997	chr7	52030000	52040000	chr7	55710000	55720000	chr7:52030000-52040000_chr7:55710000-55720000	FALSE	-0.643148296902054	3.62835601374237	32.8934590861689	1.3025678697747e-5	4.929718399455e-4	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	2	TRUE	chr7	52030000	52040000	52035000	10000	chr7	55710000	55720000	55715000	10000	3680000	>1Mb	TRUE	949	14271	10660	48177	100503036	233274	FALSE	FALSE	Other	FALSE	FALSE	FALSE	Other	FALSE	Other-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_17230	chr6	49210000	49220000	chr6	51170000	51180000	chr6:49210000-49220000_chr6:51170000-51180000	FALSE	-0.786555893339439	3.86989791911585	79.779282138155	2.04741244048841e-8	5.94064594270944e-6	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	3	TRUE	chr6	49210000	49220000	49215000	10000	chr6	51170000	51180000	51175000	10000	1960000	>1Mb	TRUE	4591	0	15212	89909	140488	387166	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Polycomb	FALSE	Repressed_Promoter-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
loop_55	chr8	48220000	48230000	chr8	49820000	49830000	chr8:48220000-48230000_chr8:49820000-49830000	FALSE	-0.428342941993396	3.17557930401806	15.2401701061624	8.813633909767e-4	0.01019265010965	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	1	FALSE	chr8	48220000	48230000	48225000	10000	chr8	49820000	49830000	49825000	10000	1600000	>1Mb	TRUE	14198	120907	177	538111	320685	100039954	FALSE	TRUE	Polycomb	FALSE	FALSE	TRUE	Polycomb	FALSE	Polycomb-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
loop_16584	chr10	29525000	29550000	chr10	31300000	31325000	chr10:29525000-29550000_chr10:31300000-31325000	FALSE	-0.306188383743301	3.45269793892604	20.5521401932947	4.914861930125e-4	0.0055205591217341	TRUE	TRUE	weak_differential	down_in_mutant	NA	25000	25	2	TRUE	chr10	29525000	29550000	29537500	25000	chr10	31300000	31325000	31312500	25000	1775000	>1Mb	TRUE	21711	0	20270	0	72780	69692	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Other	FALSE	Repressed_Promoter-Other	TRUE	FALSE	TRUE	FALSE	TRUE	FALSE
loop_1282	chr8	15220000	15230000	chr8	17530000	17540000	chr8:15220000-15230000_chr8:17530000-17540000	FALSE	-0.397050921440823	3.31334706249209	13.3091993596685	0.0015997733171517	0.015694005077494	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	1	FALSE	chr8	15220000	15230000	15225000	10000	chr8	17530000	17540000	17535000	10000	2310000	>1Mb	TRUE	6432	162346	24338	0	17930	94109	FALSE	FALSE	Other	FALSE	TRUE	TRUE	Bivalent_Promoter	FALSE	Bivalent_Promoter-Other	FALSE	TRUE	FALSE	TRUE	FALSE	TRUE
loop_1516	chr12	89480000	89490000	chr12	91790000	91800000	chr12:89480000-89490000_chr12:91790000-91800000	TRUE	-0.438883832105783	2.92676253218688	12.8541960379793	0.0018515428857937	0.0173587898058348	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	1	FALSE	chr12	89480000	89490000	89485000	10000	chr12	91790000	91800000	91795000	10000	2310000	>1Mb	TRUE	6594	757123	2789	3563	18191	108800	FALSE	FALSE	Other	FALSE	FALSE	FALSE	Other	FALSE	Other-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_2074	chr6	49220000	49230000	chr6	52320000	52330000	chr6:49220000-49230000_chr6:52320000-52330000	TRUE	-1.25053334219114	2.92163964819699	78.944020661126	2.229314492986e-8	6.1721781847153e-6	TRUE	TRUE	strong_differential	down_in_mutant	NA	10000	10	1	FALSE	chr6	49220000	49230000	49225000	10000	chr6	52320000	52330000	52325000	10000	3100000	>1Mb	TRUE	4591	5042	20625	5167	140488	70593	FALSE	FALSE	Polycomb	FALSE	FALSE	FALSE	Polycomb	FALSE	Polycomb-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
loop_2415	chr9	78440000	78450000	chr9	79790000	79800000	chr9:78440000-78450000_chr9:79790000-79800000	TRUE	-0.414092441737457	3.16015726236941	13.0396657213879	0.0017439708987546001	0.016594460605586	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	1	FALSE	chr9	78440000	78450000	78445000	10000	chr9	79790000	79800000	79795000	10000	1350000	>1Mb	TRUE	19626	0	22498	0	68291	74633	FALSE	TRUE	Repressed_Promoter	FALSE	FALSE	TRUE	Other	FALSE	Repressed_Promoter-Other	TRUE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_2429	chr9	28200000	28210000	chr9	29790000	29800000	chr9:28200000-28210000_chr9:29790000-29800000	TRUE	-0.40831576093969	2.76859979650213	10.7308217222351	0.0037821575346126	0.0278185860654381	TRUE	TRUE	weak_differential	down_in_mutant	NA	10000	10	1	FALSE	chr9	28200000	28210000	28205000	10000	chr9	29790000	29800000	29795000	10000	1590000	>1Mb	TRUE	14592	409052	10845	163140	330908	235106	FALSE	TRUE	Polycomb	FALSE	TRUE	TRUE	Polycomb	FALSE	Polycomb-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
loop_2614	chr13	90920000	90930000	chr13	92350000	92360000	chr13:90920000-90930000_chr13:92350000-92360000	TRUE	-0.527652771053765	2.01839243806497	11.3661998390505	0.0030365769046997	0.0240967070501978	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	1	FALSE	chr13	90920000	90930000	90925000	10000	chr13	92350000	92360000	92355000	10000	1430000	>1Mb	TRUE	18200	0	6330	0	66475	17686	TRUE	TRUE	Active_Promoter	TRUE	TRUE	TRUE	Active_Promoter	TRUE	Active_Promoter-Active_Promoter	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE
loop_3373	chr3	42070000	42080000	chr3	50900000	50910000	chr3:42070000-42080000_chr3:50900000-50910000	FALSE	-0.737957048030215	1.76368224273559	19.1139296476676	2.952102277222e-4	0.0046045471218544	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	1	FALSE	chr3	42070000	42080000	42075000	10000	chr3	50900000	50910000	50905000	10000	8830000	>1Mb	TRUE	22102	327388	3819	314446	73852	12457	FALSE	FALSE	Other	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Poised_Enhancer-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_3385	chr3	92150000	92160000	chr3	93490000	93500000	chr3:92150000-92160000_chr3:93490000-93500000	FALSE	-0.704609826479253	1.97615322165606	17.6595715559907	4.387135083915e-4	0.006054246415804	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	1	FALSE	chr3	92150000	92160000	92155000	10000	chr3	93490000	93500000	93495000	10000	1340000	>1Mb	TRUE	20090	7255	7559	20487	69332	20195	FALSE	FALSE	Other	FALSE	FALSE	FALSE	Other	FALSE	Other-Other	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE
loop_3494	chr4	45750000	45760000	chr4	47290000	47300000	chr4:45750000-45760000_chr4:47290000-47300000	FALSE	-0.895790040121369	1.98169729799671	30.2923848646748	2.18698292787205e-5	7.121697499798e-4	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	1	FALSE	chr4	45750000	45760000	45755000	10000	chr4	47290000	47300000	47295000	10000	1540000	>1Mb	TRUE	205	4222	9063	53221	100040567	21812	TRUE	TRUE	Polycomb	FALSE	FALSE	TRUE	Polycomb	FALSE	Polycomb-Polycomb	TRUE	TRUE	FALSE	FALSE	FALSE	FALSE
