anchor_id	chr	start	end	n_lost_loops	n_gained_loops	distance_to_boundary	nearest_boundary_type	nearest_boundary_enriched_in	nearest_boundary_gap_score	set
shared_1	chr14	16400000	16425000	1	1	1289999	Merge	Matrix 2	-2.2239315111679576	shared
shared_2	chr14	16430000	16440000	1	1	1274999	Merge	Matrix 2	-2.2239315111679576	shared
shared_3	chr14	21975000	22000000	1	1	1159999	Strength Change	Matrix 1	2.143623733202706	shared
shared_4	chr14	22570000	22600000	1	1	1464999	Strength Change	Matrix 2	-2.918908597953531	shared
shared_5	chr14	34800000	34825000	1	3	369999	Strength Change	Matrix 1	2.544336230711113	shared
shared_6	chr14	57360000	57380000	1	1	104999	Split	Matrix 1	2.708411283064445	shared
shared_7	chr14	104450000	104475000	1	1	754999	Merge	Matrix 2	-2.0104810803943187	shared
shared_8	chr14	105875000	105925000	9	1	0	Strength Change	Matrix 1	3.5785167264711983	shared
shared_9	chr9	16200000	16225000	1	2	0	Merge	Matrix 2	-4.484061650890293	shared
shared_10	chr9	29790000	29800000	1	1	514999	Merge	Matrix 2	-2.3530005979997575	shared
shared_11	chr9	32150000	32160000	1	1	94999	Strength Change	Matrix 2	-2.941045905606574	shared
shared_12	chr9	42925000	42950000	1	3	0	Complex	Matrix 2	-3.185377712010855	shared
shared_13	chr9	56890000	56900000	1	1	54999	Merge	Matrix 2	-3.3033604942694788	shared
shared_14	chr9	60590000	60600000	1	1	0	Strength Change	Matrix 2	-3.509399765515128	shared
shared_15	chr9	73140000	73150000	2	1	4999	Strength Change	Matrix 1	2.7220915847390126	shared
shared_16	chr9	73160000	73170000	2	1	0	Strength Change	Matrix 1	2.7220915847390126	shared
shared_17	chr9	74825000	74875000	3	1	0	Strength Change	Matrix 2	-2.0580187692181178	shared
shared_18	chr9	79790000	79800000	1	1	14999	Split	Matrix 1	3.228894580311999	shared
shared_19	chr9	79805000	79810000	1	1	4999	Split	Matrix 1	3.228894580311999	shared
shared_20	chr11	24045000	24075000	1	2	829999	Merge	Matrix 2	-2.3374932845842995	shared
shared_21	chr11	24080000	24090000	1	1	814999	Merge	Matrix 2	-2.3374932845842995	shared
shared_22	chr11	29260000	29270000	1	1	854999	Merge	Matrix 2	-2.4764731142668266	shared
shared_23	chr11	31600000	31650000	2	2	14999	Strength Change	Matrix 1	2.5313794026466705	shared
shared_24	chr11	33170000	33180000	4	1	154999	Split	Matrix 1	6.68564146184078	shared
shared_25	chr11	33190000	33200000	4	1	134999	Split	Matrix 1	6.68564146184078	shared
shared_26	chr11	34800000	34850000	3	3	384999	Complex	Matrix 1	2.03751311256747	shared
shared_27	chr11	35975000	36025000	7	1	0	Strength Change	Matrix 2	-2.063211255026801	shared
shared_28	chr11	64440000	64450000	1	1	34999	Merge	Matrix 2	-2.962423845979071	shared
shared_29	chr11	85825000	85875000	1	5	0	Strength Change	Matrix 1	3.6472841836897	shared
shared_30	chr11	85885000	85890000	1	1	59999	Strength Change	Matrix 1	3.6472841836897	shared
shared_31	chr11	96270000	96300000	2	2	44999	Merge	Matrix 2	-3.134693852975521	shared
shared_32	chr13	22000000	22050000	7	3	64999	Strength Change	Matrix 1	2.030151618672364	shared
shared_33	chr13	37950000	38000000	1	3	614999	Strength Change	Matrix 1	2.2288474109998377	shared
shared_34	chr13	48650000	48675000	2	1	49999	Merge	Matrix 2	-3.3700216962789	shared
shared_35	chr13	68575000	68610000	1	1	139999	Shifted	Matrix 1	2.1047262082107743	shared
shared_36	chr13	80875000	80900000	2	1	309999	Strength Change	Matrix 1	2.3232336068224217	shared
shared_37	chr13	92330000	92340000	1	1	54999	Strength Change	Matrix 1	2.294310847887978	shared
shared_38	chr13	92350000	92360000	1	1	74999	Strength Change	Matrix 1	2.294310847887978	shared
shared_39	chr13	98300000	98325000	1	1	324999	Merge	Matrix 2	-3.0044318710128075	shared
shared_40	chr13	107320000	107350000	1	1	74999	Split	Matrix 1	2.194531047151973	shared
shared_41	chr15	25975000	26000000	1	3	84999	Complex	Matrix 2	-3.6991288161114353	shared
shared_42	chr15	27175000	27200000	1	4	489999	Complex	Matrix 1	2.458183249893186	shared
shared_43	chr15	36125000	36150000	2	2	269999	Split	Matrix 1	2.526703276284106	shared
shared_44	chr15	40125000	40175000	6	1	659999	Strength Change	Matrix 1	2.7768262415187612	shared
shared_45	chr15	48775000	48800000	2	1	0	Complex	Matrix 2	-2.8035463803086658	shared
shared_46	chr15	52500000	52525000	1	1	719999	Split	Matrix 1	3.150217737888726	shared
shared_47	chr15	66875000	66925000	1	2	119999	Strength Change	Matrix 2	-3.901434756410244	shared
shared_48	chr15	68920000	68950000	4	2	544999	Strength Change	Matrix 1	6.486519458835641	shared
shared_49	chr16	25950000	25975000	1	1	589999	Merge	Matrix 2	-2.655494557991964	shared
shared_50	chr16	26230000	26240000	1	1	324999	Merge	Matrix 2	-2.655494557991964	shared
shared_51	chr16	41250000	41275000	1	1	0	Strength Change	Matrix 2	-3.025908753267275	shared
shared_52	chr16	42150000	42200000	2	3	114999	Shifted	Matrix 2	-2.541321623588894	shared
shared_53	chr16	42825000	42850000	3	1	54999	Split	Matrix 1	2.980971555860907	shared
shared_54	chr16	42870000	42880000	1	1	24999	Split	Matrix 1	2.980971555860907	shared
shared_55	chr16	42900000	42925000	3	2	0	Split	Matrix 1	2.980971555860907	shared
shared_56	chr16	43130000	43140000	1	2	64999	Merge	Matrix 2	-2.158876568574359	shared
shared_57	chr16	43150000	43175000	1	3	84999	Merge	Matrix 2	-2.158876568574359	shared
shared_58	chr16	43500000	43550000	3	1	134999	Strength Change	Matrix 1	2.2121058023708615	shared
shared_59	chr16	43800000	43825000	1	1	434999	Strength Change	Matrix 1	2.2121058023708615	shared
shared_60	chr16	49270000	49300000	2	1	34999	Merge	Matrix 2	-3.211805522578294	shared
shared_61	chr16	56675000	56725000	2	1	0	Split	Matrix 1	2.8857782354824786	shared
shared_62	chr16	59610000	59620000	1	2	204999	Merge	Matrix 2	-2.2113171952709885	shared
shared_63	chr16	59625000	59650000	1	2	219999	Merge	Matrix 2	-2.2113171952709885	shared
shared_64	chr16	72970000	73000000	2	2	164999	Complex	Matrix 1	2.5185570434139244	shared
