chr	50kb	100kb	opt_binsize
chr1	0.6671	0.68289	50kb
chr2	0.70376	0.73754	50kb
chr3	0.63279	0.64087	50kb
chr4	0.68174	0.68454	50kb
chr5	0.64531	0.65625	50kb
chr6	0.68835	0.68995	50kb
chr7	0.79938	0.80054	50kb
chr8	0.66628	0.6662	50kb
chr9	0.71214	0.71799	50kb
chr10	0.60554	0.60335	50kb
chr11	0.7872	0.77914	50kb
chr12	0.76071	0.77309	50kb
chr13	0.60844	0.60131	50kb
chr14	0.68143	0.6978	50kb
chr15	0.62928	0.63646	50kb
chr16	0.64	0.60657	50kb
chr17	0.79309	0.78632	50kb
chr18	0.67778	0.66032	50kb
chr19	0.81471	0.80308	50kb
