seqnames	start	end	width	strand	Conc	Conc_mut	Conc_ctrl	Fold	p.value	FDR	annotation	geneChr	geneStart	geneEnd	geneLength	geneStrand	geneId	transcriptId	distanceToTSS	ENSEMBL	SYMBOL	GENENAME
chr13	23555582	23555982	401	*	4.973241473	5.802679673	2.808400766	2.859588683	2.18E-20	8.49E-16	3' UTR	13	23553262	23560686	7425	1	14957	ENSMUST00000045301.8	2320	ENSMUSG00000052565	H1f3	"H1.3 linker histone, cluster member"
chr9	32152760	32153160	401	*	4.923950886	5.725242296	2.965696559	2.614173978	7.18E-20	1.40E-15	"Exon (ENSMUST00000174641.7/330914, exon 4 of 22)"	9	32129570	32181966	52397	1	330914	ENSMUST00000182310.1	23190	ENSMUSG00000041444	Arhgap32	Rho GTPase activating protein 32
chr13	23551045	23551445	401	*	4.042123108	4.898871395	1.638947805	3.03520541	2.94E-15	3.81E-11	Promoter	13	23551258	23551648	391	2	319157	ENSMUST00000102971.1	203	ENSMUSG00000069274	H4c6	H4 clustered histone 6
chr13	23585113	23585513	401	*	5.126418388	5.858003866	3.568059564	1.959508057	3.99E-14	3.88E-10	3' UTR	13	23581598	23582735	1138	1	319156	ENSMUST00000102968.2	3515	ENSMUSG00000061482	H4c4	H4 clustered histone 4
chr13	23571914	23572314	401	*	5.320451962	6.036305928	3.836648137	1.812937309	1.17E-13	9.07E-10	Promoter	13	23571396	23572013	618	1	319181	ENSMUST00000079251.7	518	ENSMUSG00000058385	H2bc8	H2B clustered histone 8
chr11	114068321	114068721	401	*	4.572991513	2.923146413	5.322590678	-1.977434272	5.98E-13	3.88E-09	Distal Intergenic	11	113865600	114067046	201447	2	237979	ENSMUST00000155651.1	-1275	ENSMUSG00000041592	Sdk2	sidekick cell adhesion molecule 2
chr4	45528441	45528841	401	*	4.442469638	3.108238984	5.12360086	-1.468252795	4.31E-11	2.39E-07	"Intron (ENSMUST00000061986.11/230126, intron 1 of 5)"	4	45423278	45530330	107053	2	230126	ENSMUST00000061986.11	1489	ENSMUSG00000044813	Shb	src homology 2 domain-containing transforming protein B
chr13	23757606	23758006	401	*	3.877096469	4.681724657	1.896040655	2.314785248	1.33E-10	6.12E-07	Promoter	13	23757013	23757409	397	1	326620	ENSMUST00000102965.3	593	ENSMUSG00000069266	H4c2	H4 clustered histone 2
chr8	34855998	34856398	401	*	5.049013363	5.69878152	3.835054124	1.344031858	1.42E-10	6.12E-07	"Exon (ENSMUST00000033929.5/21951, exon 14 of 27)"	8	34834006	34838989	4984	2	21951	ENSMUST00000210014.1	-17009	ENSMUSG00000031529	Tnks	"tankyrase, TRF1-interacting ankyrin-related ADP-ribose polymerase"
chr5	106375985	106376385	401	*	3.701226646	4.525387765	1.577759717	2.434707294	2.16E-10	7.93E-07	Distal Intergenic	5	106321340	106323217	1878	1	102635633	ENSMUST00000200592.1	54645	ENSMUSG00000105508	Gm32921	"predicted gene, 32921"
chr5	108537666	108538066	401	*	4.416130058	5.066875241	3.198609367	1.329830441	2.24E-10	7.93E-07	"Intron (ENSMUST00000046892.9/12889, intron 2 of 3)"	5	108520259	108550000	29742	2	12889	ENSMUST00000129040.1	11934	ENSMUSG00000033615	Cplx1	complexin 1
chr9	91406082	91406482	401	*	3.906974748	4.664749529	2.213210895	1.815992498	2.80E-10	9.09E-07	"Intron (ENSMUST00000191272.1/ENSMUST00000191272.1, intron 1 of 2)"	9	91382410	91388044	5635	1	22774	ENSMUST00000085242.4	23672	ENSMUSG00000036972	Zic4	zinc finger protein of the cerebellum 4
chr10	109237858	109238258	401	*	3.809729642	4.570164174	2.101329559	1.869749405	3.69E-10	1.10E-06	Distal Intergenic	10	108497652	109010982	513331	2	20979	ENSMUST00000064054.13	-226876	ENSMUSG00000035864	Syt1	synaptotagmin I
chr4	82704925	82705325	401	*	3.805880772	4.541479735	2.227732077	1.637883083	1.03E-09	2.87E-06	Promoter	4	82498321	82705750	207430	2	18028	ENSMUST00000155821.1	425	ENSMUSG00000008575	Nfib	nuclear factor I/B
chr16	96618273	96618673	401	*	4.458692667	5.116681665	3.214412124	1.31624124	1.30E-09	3.38E-06	"Intron (ENSMUST00000056102.8/13508, intron 30 of 32)"	16	96592437	96622754	30318	2	13508	ENSMUST00000232829.1	4081	ENSMUSG00000050272	Dscam	DS cell adhesion molecule
chr18	73929899	73930299	401	*	4.902158482	5.491163845	3.889961469	1.177436895	1.59E-09	3.85E-06	3' UTR	18	73863672	73871980	8309	1	71263	ENSMUST00000134847.1	66227	ENSMUSG00000064036	Mro	maestro
chr18	32954195	32954595	401	*	4.488573536	5.152603756	3.221484151	1.293609092	2.22E-09	5.06E-06	"Intron (ENSMUST00000234205.1/12326, intron 4 of 14)"	18	32939158	33186270	247113	1	12326	ENSMUST00000042868.5	15037	ENSMUSG00000038128	Camk4	calcium/calmodulin-dependent protein kinase IV
chr4	47298304	47298704	401	*	4.42744283	2.975339926	5.136302542	-1.435396991	2.34E-09	5.06E-06	"Exon (ENSMUST00000082303.12/12819, exon 29 of 39)"	4	47303722	47313162	9441	1	12819	ENSMUST00000107730.2	-5018	ENSMUSG00000028339	Col15a1	"collagen, type XV, alpha 1"
chr5	131532746	131533146	401	*	4.018169759	4.72942444	2.555307317	1.460110346	2.80E-09	5.68E-06	"Intron (ENSMUST00000161226.8/319974, intron 6 of 18)"	5	131476742	131534397	57656	2	319974	ENSMUST00000183153.1	1251	ENSMUSG00000029673	Auts2	autism susceptibility candidate 2
