PeakID (cmd=annotatePeaks.pl tss mm10 -size 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.DLR.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs/tagdirs.DLR.bedGraph)	Chr	Start	End	Strand	Not Used	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp
NM_029401	chr4	138623492	138624492	-	0	NA	promoter-TSS (NM_029401)	promoter-TSS (NM_029401)	0	NM_029401	75718		NM_029401	ENSMUSG00000028753	Vwa5b1	4931403E03Rik	von Willebrand factor A domain containing 5B1	protein-coding	-1.394	-1.577
NM_001378857	chr19	10001225	10002225	+	0	NA	promoter-TSS (NM_011913)	promoter-TSS (NM_011913)	0	NM_001378857	74760		NM_144538	ENSMUSG00000024663	Rab3il1	1200014K04Rik|Rab3ail1	RAB3A interacting protein (rabin3)-like 1	protein-coding	-1.510	-1.570
NM_001301307	chr9	65676048	65677048	+	0	NA	promoter-TSS (NM_001301307)	promoter-TSS (NM_001301307)	0	NM_001301307	18247		NM_010952	ENSMUSG00000040652	Oaz2	AZ-2|AZ2|Oaz2-ps|Sez15	ornithine decarboxylase antizyme 2	protein-coding	-1.861	-1.794
NM_001290683	chr1	23909236	23910236	-	0	NA	promoter-TSS (NM_001290683)	promoter-TSS (NM_001290683)	0	NM_001290683	98366		NM_028534	ENSMUSG00000026155	Smap1	1700056O10Rik|4921514B13Rik|4921525H11Rik	small ArfGAP 1	protein-coding	-1.438	-1.221
NM_001289849	chr7	4752594	4753594	-	0	NA	promoter-TSS (NM_183406)	promoter-TSS (NM_183406)	0	NM_001289849	333182		NM_183405	ENSMUSG00000051811	Cox6b2	1700067P11Rik|COXVIB2	cytochrome c oxidase subunit 6B2	protein-coding	-1.057	-0.937
NM_001368407	chr7	29210425	29211425	-	0	NA	promoter-TSS (NM_001368407)	promoter-TSS (NM_001368407)	0	NM_001368407	320225		NM_001039721	ENSMUSG00000049676	Catsperg1	A230107C01Rik|Catsperg	cation channel sperm associated auxiliary subunit gamma 1	protein-coding	-1.290	-1.246
NM_001024721	chr1	173535457	173536457	-	0	NA	promoter-TSS (NM_001024721)	promoter-TSS (NM_001024721)	0	NM_001024721	545384		NM_001024721	ENSMUSG00000070501	Ifi214	Pyhin-B|p214	interferon activated gene 214	protein-coding	-0.183	0.030
NM_001277231	chr16	17451485	17452485	+	0	NA	promoter-TSS (NM_001277231)	promoter-TSS (NM_001277231)	0	NM_001277231	12929		NM_007764	ENSMUSG00000006134	Crkl	1110025F07Rik|Crkol|snoop	v-crk avian sarcoma virus CT10 oncogene homolog-like	protein-coding	-1.530	-1.432
NM_029999	chr17	72917805	72918805	+	0	NA	promoter-TSS (NR_168598)	promoter-TSS (NR_168598)	0	NM_029999	77889		NM_029999	ENSMUSG00000024063	Lbh	1810009F10Rik|6720416L16Rik	limb-bud and heart	protein-coding	-0.684	-0.783
NR_155279	chr15	97166744	97167744	-	0	NA	promoter-TSS (NR_155278)	promoter-TSS (NR_155278)	0	NR_155279	102635594		NR_155278		Gm32885	-	predicted gene, 32885	ncRNA	-0.151	-0.316
NM_001143689	chr17	35379117	35380117	+	0	NA	promoter-TSS (NM_001143689)	promoter-TSS (NM_001143689)	0	NM_001143689	15015		NM_001143689	ENSMUSG00000035929	H2-Q4	H-2Q4|H2-D1|H2-Gs10|Qa-4|Qa4|Qat-4|Qb-1|Qb1	histocompatibility 2, Q region locus 4	protein-coding	-0.441	-0.663
NM_008716	chr17	32166390	32167390	-	0	NA	promoter-TSS (NM_008716)	promoter-TSS (NM_008716)	0	NM_008716	18131		NM_008716	ENSMUSG00000038146	Notch3	N3|hpbk	notch 3	protein-coding	-1.453	-1.648
NM_001100445	chrX	26309544	26310544	-	0	NA	promoter-TSS (NM_001100445)	promoter-TSS (NM_001100445)	0	NM_001100445	100039065		NM_001100445	ENSMUSG00000083628	Gm2030	-	predicted gene 2030	protein-coding	0.458	1.064
NM_013676	chr7	28338219	28339219	-	0	NA	promoter-TSS (NM_013676)	promoter-TSS (NM_013676)	0	NM_013676	20924		NM_013676	ENSMUSG00000003435	Supt5	Spt5|Supt5h	suppressor of Ty 5, DSIF elongation factor subunit	protein-coding	-1.241	-1.184
NM_001316733	chr14	41006420	41007420	-	0	NA	promoter-TSS (NM_001316736)	promoter-TSS (NM_001316736)	0	NM_001316733	70564		NM_027464	ENSMUSG00000021792	Prxl2a	5730469M10Rik|Adrx|Fam213a|Pamm	peroxiredoxin like 2A	protein-coding	0.306	0.178
NM_011336	chr4	41769712	41770712	-	0	NA	promoter-TSS (NM_011336)	promoter-TSS (NM_011336)	0	NM_011336	20301		NM_011336	ENSMUSG00000073888	Ccl27a	ALP|CTACK|CTAK|Ccl27|ESkine|ILC|PESKY|Scya27|Scya27a	C-C motif chemokine ligand 27A	protein-coding	-1.006	-0.716
NM_001033149	chr12	81630749	81631749	+	0	NA	promoter-TSS (NM_001033149)	promoter-TSS (NM_001033149)	0	NM_001033149	69480		NM_001033149	ENSMUSG00000042734	Ttc9	-	tetratricopeptide repeat domain 9	protein-coding	-1.514	-1.633
NR_162783	chr13	24979555	24980555	+	0	NA	promoter-TSS (NR_162783)	promoter-TSS (NR_162783)	0	NR_162783	114482816		NR_162783		Mir12184	mmu-mir-12184	microRNA 12184	ncRNA	-0.051	-0.020
NM_001290495	chr2	29787171	29788171	-	0	NA	promoter-TSS (NM_145520)	promoter-TSS (NM_145520)	0	NM_001290495	227682		NM_145520	ENSMUSG00000039826	Trub2	G430055L02Rik	TruB pseudouridine (psi) synthase family member 2	protein-coding	-2.114	-2.199
NM_001110827	chr15	77306553	77307553	-	0	NA	promoter-TSS (NM_001110827)	promoter-TSS (NM_001110827)	0	NM_001110827	93686		NM_053104	ENSMUSG00000033565	Rbfox2	Fbm2|Fxh|Hrnbp2|Rbm9	RNA binding protein, fox-1 homolog (C. elegans) 2	protein-coding	-1.861	-1.799
NR_106146	chr19	55192178	55193178	+	0	NA	promoter-TSS (NR_106146)	promoter-TSS (NR_106146)	0	NR_106146	102465990		NR_106146	ENSMUSG00000098289	Mir6715	Gm27474|mmu-mir-6715	microRNA 6715	ncRNA	-0.867	-0.752
NM_001271469	chr2	126675092	126676092	-	0	NA	promoter-TSS (NM_001271467)	promoter-TSS (NM_001271467)	0	NM_001271469	14391		NM_010249	ENSMUSG00000027361	Gabpb1	BABPB2|E4TF1|E4TF1-47|E4TF1-53|E4Tf1B|GABPB|GABPB-1|GABPB-2|GABPB1-1|GABPB1-2|NRF2B1|NRF2B2	GA repeat binding protein, beta 1	protein-coding	-0.364	-0.286
NM_008900	chr1	42695268	42696268	+	0	NA	promoter-TSS (NM_008900)	promoter-TSS (NM_008900)	0	NM_008900	18993		NM_008900	ENSMUSG00000045515	Pou3f3	Brn-1|Brn1|HST011|Otf8|Skin1|urehr2	POU domain, class 3, transcription factor 3	protein-coding	-0.008	-0.152
NM_010565	chr10	127370048	127371048	-	0	NA	promoter-TSS (NM_010565)	promoter-TSS (NM_010565)	0	NM_010565	16325		NM_010565	ENSMUSG00000025405	Inhbc	-	inhibin beta-C	protein-coding	-1.565	-1.549
NM_001139511	chr2	154790610	154791610	+	0	NA	promoter-TSS (NM_001139513)	promoter-TSS (NM_001139513)	0	NM_001139511	19383		NM_023130	ENSMUSG00000027593	Raly	Merc	hnRNP-associated with lethal yellow	protein-coding	-1.313	-1.241
NM_001357506	chr18	76058826	76059826	+	0	NA	promoter-TSS (NM_001357506)	promoter-TSS (NM_001357506)	0	NM_001357506	207259		NM_145356	ENSMUSG00000044646	Zbtb7c	B230208J24Rik|Kr-pok|Zbtb36	zinc finger and BTB domain containing 7C	protein-coding	-0.956	-1.080
NM_001362834	chr11	65807465	65808465	+	0	NA	promoter-TSS (NM_001362834)	promoter-TSS (NM_001362834)	0	NM_001362834	52712		NM_026107	ENSMUSG00000018347	Zkscan6	1700128E15Rik|D11Ertd714e|KOX11|Zfp535|Znf18	zinc finger with KRAB and SCAN domains 6	protein-coding	-0.428	-0.337
NM_001316711	chr14	18270636	18271636	+	0	NA	promoter-TSS (NM_025586)	promoter-TSS (NM_025586)	0	NM_001316711	69721		NM_023526	ENSMUSG00000021772	Nkiras1	2400004O09Rik|KBRAS1|kappaB-Ras1	NFKB inhibitor interacting Ras-like protein 1	protein-coding	-0.861	-0.820
NM_026276	chr9	4308994	4309994	-	0	NA	promoter-TSS (NM_001164574)	promoter-TSS (NM_001164574)	0	NM_026276	67618		NM_026276	ENSMUSG00000025894	Aasdhppt	2010309J24Rik|2810407B07Rik|AASD-PPT|CGI-80|LYS2|LYS5	aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase	protein-coding	-1.409	-1.378
NM_001163850	chr17	24205062	24206062	-	0	NA	promoter-TSS (NM_001163848)	promoter-TSS (NM_001163848)	0	NM_001163850	224617		NM_173186	ENSMUSG00000036473	Tbc1d24	9630033P11|C530046L02Rik|mKIAA1171	TBC1 domain family, member 24	protein-coding	-1.589	-1.533
NM_001379454	chr10	40883327	40884327	+	0	NA	promoter-TSS (NM_027879)	promoter-TSS (NM_027879)	0	NM_001379454	83767		NM_031877	ENSMUSG00000019831	Wasf1	Scar|WAVE|WAVE-1	WASP family, member 1	protein-coding	-1.588	-1.260
NR_155286	chr14	122912530	122913530	+	0	NA	promoter-TSS (NR_155287)	promoter-TSS (NR_155287)	0	NR_155286	105245866		NM_001039531	ENSMUSG00000075463	4930594M22Rik	F930011C10Rik|Gm15735	RIKEN cDNA 4930594M22 gene	ncRNA	-2.979	-2.498
NM_013875	chr10	20724578	20725578	-	0	NA	promoter-TSS (NM_013875)	promoter-TSS (NM_013875)	0	NM_013875	29863		NM_013875	ENSMUSG00000019990	Pde7b	-	phosphodiesterase 7B	protein-coding	-0.430	-0.401
NR_037278	chr4	58440598	58441598	-	0	NA	promoter-TSS (NR_037278)	promoter-TSS (NR_037278)	0	NR_037278	100526502		NR_037278	ENSMUSG00000093293	Mir3095	mir-3095|mmu-mir-3095	microRNA 3095	ncRNA	-0.083	-0.088
NM_010201	chr14	124192046	124193046	-	0	NA	promoter-TSS (NM_010201)	promoter-TSS (NM_010201)	0	NM_010201	14169		NM_010201	ENSMUSG00000025551	Fgf14	FGF-14|FHF-4|Fgf1b|Fhf4|Tg(tetO-MAPT*P301L)4510Kha|mFHF-4(1B)	fibroblast growth factor 14	protein-coding	-3.156	-2.861
NM_001357224	chr8	21969275	21970275	+	0	NA	promoter-TSS (NM_026459)	promoter-TSS (NM_026459)	0	NM_001357224	67929		NM_026459	ENSMUSG00000017049	Ccdc70	1700112P19Rik	coiled-coil domain containing 70	protein-coding	-0.171	-0.201
NM_199471	chr9	110826190	110827190	+	0	NA	promoter-TSS (NM_199471)	promoter-TSS (NM_199471)	0	NM_199471	272643		NM_199471	ENSMUSG00000058398	Prss43	Gm661|Tessp3	serine protease 43	protein-coding	-0.172	-0.388
NM_001359027	chr5	140174418	140175418	-	0	NA	promoter-TSS (NM_001359027)	promoter-TSS (NM_001359027)	0	NM_001359027	17120		NM_010752	ENSMUSG00000029554	Mad1l1	Mad1	MAD1 mitotic arrest deficient 1-like 1	protein-coding	-0.978	-1.283
NM_173423	chr18	46525471	46526471	-	0	NA	promoter-TSS (NM_173423)	promoter-TSS (NM_173423)	0	NM_173423	240263		NM_173423	ENSMUSG00000033319	Fem1c	2610312A07Rik|3632443A22Rik	fem 1 homolog c	protein-coding	-1.076	-0.933
NM_001039061	chrX	94234430	94235430	+	0	NA	promoter-TSS (NM_001039060)	promoter-TSS (NM_001039060)	0	NM_001039061	236904		NM_153165	ENSMUSG00000043929	Klhl15	6330500C13Rik	kelch-like 15	protein-coding	-0.953	-0.939
NM_001379129	chr6	113718965	113719965	-	0	NA	promoter-TSS (NM_001286405)	promoter-TSS (NM_001286405)	0	NM_001379129	58991		NM_021488	ENSMUSG00000064177	Ghrl	2210006E23Rik|Ghr|MTLRP|MTLRPAP|m46	ghrelin	protein-coding	-1.507	-1.641
NM_001372376	chr8	54723868	54724868	-	0	NA	promoter-TSS (NM_001372370)	promoter-TSS (NM_001372370)	0	NM_001372376	244484		NM_028220	ENSMUSG00000039375	Wdr17	3010002I12Rik|B230207L18Rik	WD repeat domain 17	protein-coding	-0.610	-0.593
NM_001363075	chr2	120313665	120314665	-	0	NA	promoter-TSS (NM_001363073)	promoter-TSS (NM_001363073)	0	NM_001363075	271844		NM_001024145	ENSMUSG00000046971	Pla2g4f	4732472I07Rik|Gm647|Pla2zeta	phospholipase A2, group IVF	protein-coding	-1.144	-1.168
NM_199063	chrX	8747930	8748930	+	0	NA	promoter-TSS (NM_199063)	promoter-TSS (NM_199063)	0	NM_199063	382206		NM_199063	ENSMUSG00000035371	Ssxb13	Ssx9|Ssxb4	SSX member B13	protein-coding	0.094	0.122
NM_178739	chrX	44789697	44790697	-	0	NA	promoter-TSS (NM_001190718)	promoter-TSS (NM_001190718)	0	NM_178739	245404		NM_178739	ENSMUSG00000045284	Dcaf12l1	9330180J20|A230038L21Rik|Decaf12l1|Wdr40b	DDB1 and CUL4 associated factor 12-like 1	protein-coding	-1.342	-1.466
NM_001081211	chr4	132563567	132564567	+	0	NA	promoter-TSS (NM_001081211)	promoter-TSS (NM_001081211)	0	NM_001081211	19204		NM_001081211	ENSMUSG00000056529	Ptafr	PAFR	platelet-activating factor receptor	protein-coding	-1.282	-1.185
NM_013689	chr5	72867948	72868948	-	0	NA	promoter-TSS (NM_001113461)	promoter-TSS (NM_001113461)	0	NM_013689	21682		NM_013689	ENSMUSG00000029217	Tec	-	tec protein tyrosine kinase	protein-coding	-0.475	-0.227
NM_001166642	chr11	85352664	85353664	+	0	NA	promoter-TSS (NM_001166643)	promoter-TSS (NM_001166643)	0	NM_001166642	192197		NM_138681	ENSMUSG00000059439	Bcas3	1500019F07Rik|2610028P08Rik|K20D4|Phaf2|rudhira	BCAS3 microtubule associated cell migration factor	protein-coding	-1.156	-1.049
NM_008011	chr13	55152318	55153318	+	0	NA	promoter-TSS (NM_008011)	promoter-TSS (NM_008011)	0	NM_008011	14186		NM_008011	ENSMUSG00000005320	Fgfr4	Fgfr-4	fibroblast growth factor receptor 4	protein-coding	-1.980	-2.088
NR_029579	chr11	79711469	79712469	+	0	NA	promoter-TSS (NR_029579)	promoter-TSS (NR_029579)	0	NR_029579	387188		NR_029579	ENSMUSG00000065395	Mir193a	Mir193|Mirn193|mir-193a|mmu-mir-193|mmu-mir-193a	microRNA 193a	ncRNA	-1.151	-1.295
NM_001361614	chr12	111758349	111759349	+	0	NA	promoter-TSS (NM_001025358)	promoter-TSS (NM_001025358)	0	NM_001361614	16593		NM_008450	ENSMUSG00000021288	Klc1	Kns2	kinesin light chain 1	protein-coding	-2.039	-2.062
