gene	chr	start	end	num_contexts	mean_coverage	mc_group1	mc_group2	mc_difference	mc_qvalue	mc_direction	hmc_difference	hmc_qvalue	hmc_significant	hmc_direction
1700025G04Rik	chr1	151852402	152090124	2723	20.2067572530297	0.495154571891374	0.557977032958663	0.0628224610672886	4.8151057076211e-306	Hypermethylated	-0.0327439834859851	2.57751048524615e-120	TRUE	Hypomethylated
Add3	chr19	53140442	53247398	1082	20.5389325323475	0.5263039329099	0.623015377643563	0.0967114447336624	4.8151057076211e-306	Hypermethylated	-0.0595527544630374	4.55248637680295e-176	TRUE	Hypomethylated
Afap1l2	chr19	56912360	57008227	1031	16.421435499515	0.432137469719503	0.547112177104289	0.114974707384786	4.8151057076211e-306	Hypermethylated	-0.038767841724622	9.43102342251317e-54	TRUE	Hypomethylated
Aig1	chr10	13647053	13868979	1876	21.4589552238806	0.525704007027182	0.606585987668104	0.0808819806409217	4.8151057076211e-306	Hypermethylated	-0.0410188900482102	1.2724714142879e-141	TRUE	Hypomethylated
Ank3	chr10	69398772	70027437	6951	19.8972090346713	0.592798704876013	0.63230015524137	0.039501450365357	4.8151057076211e-306	Hypermethylated	-0.0293333216051041	7.07674626726131e-306	TRUE	Hypomethylated
Arhgap26	chr18	38676717	39110533	4074	19.6097201767305	0.632502946312368	0.717146036628845	0.0846430903164772	4.8151057076211e-306	Hypermethylated	-0.0665397386682956	7.07674626726131e-306	TRUE	Hypomethylated
Bmp5	chr9	75775363	75900309	785	24.290127388535	0.683068713708785	0.779374852965442	0.0963061392566568	4.8151057076211e-306	Hypermethylated	-0.0659002353724788	7.07674626726131e-306	TRUE	Hypomethylated
Boc	chr16	44485048	44558896	759	17.2840909090909	0.273045132252029	0.401657126031741	0.128611993779712	4.8151057076211e-306	Hypermethylated	-0.0176194948726115	7.1939025544365e-11	TRUE	Hypomethylated
Cadm2	chr16	66655420	67620907	4796	24.7678273561301	0.650962076845473	0.705350310064024	0.0543882332185507	4.8151057076211e-306	Hypermethylated	-0.0383545589960684	7.07674626726131e-306	TRUE	Hypomethylated
Caln1	chr5	130369454	130847411	3301	19.090351408664	0.514426087594434	0.621174879929534	0.1067487923351	4.8151057076211e-306	Hypermethylated	-0.0697354414570755	7.07674626726131e-306	TRUE	Hypomethylated
Car10	chr11	93098027	93601748	2888	21.7266274238227	0.46423306189711	0.531124877675005	0.0668918157778959	4.8151057076211e-306	Hypermethylated	-0.0370553938111877	8.0865209304132e-170	TRUE	Hypomethylated
Cdh8	chr8	99024470	99416470	1822	24.6610181119649	0.633639475430346	0.718810572151761	0.0851710967214157	4.8151057076211e-306	Hypermethylated	-0.0680490187218008	7.07674626726131e-306	TRUE	Hypomethylated
Cdk17	chr10	93160874	93267070	1145	20.5730349344978	0.455507319257435	0.54711903026067	0.0916117110032357	4.8151057076211e-306	Hypermethylated	-0.0482503285239106	6.20125238963106e-113	TRUE	Hypomethylated
Cdyl2	chr8	116574399	116732990	1693	19.1661252215003	0.658452084191442	0.735180452163827	0.0767283679723849	4.8151057076211e-306	Hypermethylated	-0.0663593291712134	7.07674626726131e-306	TRUE	Hypomethylated
Cog5	chr12	31654868	31937629	1884	22.4004777070064	0.658304478574485	0.729072570572343	0.0707680919978579	4.8151057076211e-306	Hypermethylated	-0.0257557532476129	2.01215366784708e-79	TRUE	Hypomethylated
Csmd2	chr4	127987856	128567655	5846	17.8015523434827	0.709675237076001	0.65511119777996	-0.0545640392960414	4.8151057076211e-306	Hypomethylated	0.0252796889166893	2.74445365090085e-167	TRUE	Hypermethylated
Dclk2	chr3	86786150	86920851	1414	20.011580622348	0.543766083079054	0.641169734113576	0.0974036510345218	4.8151057076211e-306	Hypermethylated	-0.0638980626837974	1.17274148300503e-256	TRUE	Hypomethylated
Dlg1	chr16	31663442	31875128	1338	22.6326606875934	0.572708885547579	0.659519159945178	0.0868102743975991	4.8151057076211e-306	Hypermethylated	-0.0645231320596844	4.54888480614793e-293	TRUE	Hypomethylated
Dlgap1	chr17	69969072	70821412	6600	20.8470075757576	0.58162316522434	0.63909833521636	0.0574751699920202	4.8151057076211e-306	Hypermethylated	-0.0436342144755493	7.07674626726131e-306	TRUE	Hypomethylated
E2f3	chr13	29906574	29986062	1046	21.0172084130019	0.682380574403723	0.783826993499625	0.101446419095902	4.8151057076211e-306	Hypermethylated	-0.0863062281005483	7.07674626726131e-306	TRUE	Hypomethylated
Epha3	chr16	63543533	63864174	1749	24.9453973699257	0.66380679993885	0.760118837926776	0.096312037987927	4.8151057076211e-306	Hypermethylated	-0.0763186239465798	7.07674626726131e-306	TRUE	Hypomethylated
Ext1	chr15	53064037	53346158	2666	21.4457520630158	0.576765016009533	0.636815472634592	0.0600504566250591	4.8151057076211e-306	Hypermethylated	-0.0482459561342736	3.83897674799273e-297	TRUE	Hypomethylated
Fam107b	chr2	3570487	3782141	1619	20.1952594193947	0.631092628819651	0.709456266767524	0.0783636379478725	4.8151057076211e-306	Hypermethylated	-0.037967949878282	1.19806525105315e-123	TRUE	Hypomethylated
Fam78b	chr1	167001416	167091301	873	19.036941580756	0.505512437311497	0.619868283601792	0.114355846290295	4.8151057076211e-306	Hypermethylated	-0.0624154108878435	2.97768779487e-136	TRUE	Hypomethylated
Fat3	chr9	15910188	16501284	3543	22.8676968670618	0.770542533812878	0.726656544603448	-0.0438859892094303	4.8151057076211e-306	Hypomethylated	0.0531210868095566	7.07674626726131e-306	TRUE	Hypermethylated
Galnt7	chr8	57523827	57653031	1612	21.2637251861042	0.424902606906054	0.587690894807975	0.162788287901922	4.8151057076211e-306	Hypermethylated	-0.0745554585017827	7.07674626726131e-306	TRUE	Hypomethylated
Gramd1b	chr9	40293232	40531382	2323	19.1141304347826	0.436896688594335	0.515428238077552	0.0785315494832169	4.8151057076211e-306	Hypermethylated	-0.0393402875183748	4.52555099670572e-146	TRUE	Hypomethylated
Heg1	chr16	33684369	33771575	1083	18.0301246537396	0.587604672999307	0.685158103504195	0.0975534305048875	4.8151057076211e-306	Hypermethylated	-0.0425994461360838	4.72036844631739e-92	TRUE	Hypomethylated
Itgb5	chr16	33829664	33949337	1293	17.2678847641145	0.588209172718151	0.701145364188494	0.112936191470343	4.8151057076211e-306	Hypermethylated	-0.0750441802058035	7.07674626726131e-306	TRUE	Hypomethylated
Itpk1	chr12	102568581	102704929	1615	15.9581269349845	0.473943164948243	0.573883736550873	0.0999405716026295	4.8151057076211e-306	Hypermethylated	-0.0333543573786836	2.99986018627704e-59	TRUE	Hypomethylated
Jph1	chr1	16964559	17097888	708	22.0508474576271	0.539770596015148	0.647285364820677	0.10751476880553	4.8151057076211e-306	Hypermethylated	-0.0540499801764602	4.16261147380513e-99	TRUE	Hypomethylated
Kcnab1	chr3	64949195	65378222	2314	22.019716940363	0.679987569898824	0.74597884230085	0.0659912724020263	4.8151057076211e-306	Hypermethylated	-0.0439292330370473	7.07674626726131e-306	TRUE	Hypomethylated
Kcnip4	chr5	48389501	49524906	5112	24.3306191314554	0.704358337562884	0.745662443022529	0.0413041054596456	4.8151057076211e-306	Hypermethylated	-0.0407808310459228	7.07674626726131e-306	TRUE	Hypomethylated
Kctd8	chr5	69109284	69341678	952	24.047531512605	0.552472937286981	0.64856535112758	0.0960924138405999	4.8151057076211e-306	Hypermethylated	-0.0614958440761438	2.08564964952401e-189	TRUE	Hypomethylated
