chr	start	end	score
chr1	0	3035910	0
chr1	3035910	3035920	-0.001475
chr1	3035920	3053880	0
chr1	3053880	3053890	0.004575
chr1	3053890	3081320	0
chr1	3081320	3081330	0.00155
chr1	3081330	3146350	0
chr1	3146350	3146360	0.005
chr1	3146360	3151770	0
chr1	3151770	3151780	-0.002775
chr1	3151780	3193810	0
chr1	3193810	3193820	0.008325
chr1	3193820	3234910	0
chr1	3234910	3234920	0.01195
chr1	3234920	3307870	0
chr1	3307870	3307880	-0.002775
chr1	3307880	3346100	0
chr1	3346100	3346110	0.003575
chr1	3346110	3366940	0
chr1	3366940	3366950	0.002275
chr1	3366950	3424160	0
chr1	3424160	3424170	-0.001475
chr1	3424170	3539800	0
chr1	3539800	3539810	0.0014
chr1	3539810	3651230	0
chr1	3651230	3651240	-0.00125
chr1	3651240	3654550	0
chr1	3654550	3654560	-0.001325
chr1	3654560	3696620	0
chr1	3696620	3696630	-0.00745
chr1	3696630	3804080	0
chr1	3804080	3804090	-0.004175
chr1	3804090	3949320	0
chr1	3949320	3949330	0.001775
chr1	3949330	3976130	0
chr1	3976130	3976140	0.001925
chr1	3976140	3987400	0
chr1	3987400	3987410	-0.051675
chr1	3987410	4006790	0
chr1	4006790	4006800	-0.0012
chr1	4006800	4063170	0
chr1	4063170	4063180	0.001775
chr1	4063180	4189610	0
chr1	4189610	4189620	0.0125
chr1	4189620	4218170	0
chr1	4218170	4218180	-0.0025
chr1	4218180	4255030	0
chr1	4255030	4255040	0.002775
chr1	4255040	4290240	0
chr1	4290240	4290250	-0.033125
chr1	4290250	4341640	0
chr1	4341640	4341650	0.00155
chr1	4341650	4395440	0
chr1	4395440	4395450	0.00125
chr1	4395450	4443920	0
chr1	4443920	4443930	-0.001775
chr1	4443930	4610240	0
chr1	4610240	4610250	0.020425
chr1	4610250	4638640	0
chr1	4638640	4638650	0.001475
chr1	4638650	4699310	0
chr1	4699310	4699320	0.001475
chr1	4699320	4806100	0
chr1	4806100	4806110	0.00155
chr1	4806110	4828390	0
chr1	4828390	4828400	0.0012
chr1	4828400	4995180	0
chr1	4995180	4995190	0.015325
chr1	4995190	5046410	0
chr1	5046410	5046420	-0.019475
chr1	5046420	5367010	0
chr1	5367010	5367020	0.00155
chr1	5367020	5367030	0.001675
chr1	5367030	5481240	0
chr1	5481240	5481250	0.001475
chr1	5481250	5483010	0
chr1	5483010	5483020	-0.001325
chr1	5483020	5537120	0
chr1	5537120	5537130	-0.00125
chr1	5537130	5555440	0
chr1	5555440	5555450	-0.0111
chr1	5555450	5685810	0
chr1	5685810	5685820	0.00155
chr1	5685820	5771570	0
chr1	5771570	5771580	-0.00155
chr1	5771580	5977560	0
chr1	5977560	5977570	0.0025
chr1	5977570	5991170	0
chr1	5991170	5991180	0.001775
chr1	5991180	5998730	0
chr1	5998730	5998740	0.00775
chr1	5998740	6003520	0
chr1	6003520	6003530	-0.0014
chr1	6003530	6018020	0
chr1	6018020	6018030	-0.001675
chr1	6018030	6028270	0
chr1	6028270	6028280	-0.004175
chr1	6028280	6046570	0
chr1	6046570	6046580	0.0014
chr1	6046580	6143780	0
chr1	6143780	6143790	-0.002075
chr1	6143790	6482360	0
chr1	6482360	6482370	0.002275
chr1	6482370	6515990	0
chr1	6515990	6516000	0.003125
chr1	6516000	6618530	0
chr1	6618530	6618540	0.003575
chr1	6618540	6618560	0
chr1	6618560	6618570	0.003125
chr1	6618570	6638340	0
chr1	6638340	6638350	0.025
chr1	6638350	6649230	0
chr1	6649230	6649240	0.004
chr1	6649240	6674370	0
chr1	6674370	6674380	0.002075
chr1	6674380	6745090	0
chr1	6745090	6745100	0.001925
chr1	6745100	6789800	0
chr1	6789800	6789810	-0.00155
chr1	6789810	6797160	0
chr1	6797160	6797170	-0.00125
chr1	6797170	6800990	0
chr1	6800990	6801000	0.0025
chr1	6801000	6878630	0
chr1	6878630	6878640	-0.00585
chr1	6878640	6995390	0
chr1	6995390	6995400	-0.003125
chr1	6995400	7018620	0
chr1	7018620	7018650	-0.025
chr1	7018650	7023120	0
chr1	7023120	7023130	-0.002275
chr1	7023130	7056420	0
chr1	7056420	7056430	-0.01285
chr1	7056430	7077410	0
chr1	7077410	7077420	-0.0012
chr1	7077420	7096680	0
chr1	7096680	7096690	0.001925
chr1	7096690	7126420	0
chr1	7126420	7126430	0.001325
chr1	7126430	7184040	0
chr1	7184040	7184050	-0.001125
chr1	7184050	7202870	0
chr1	7202870	7202880	-0.0025
chr1	7202880	7296510	0
chr1	7296510	7296520	0.00095
chr1	7296520	7300880	0
chr1	7300880	7300890	-0.00105
chr1	7300890	7353250	0
chr1	7353250	7353260	0.003675
chr1	7353260	7362860	0
chr1	7362860	7362870	0.008325
chr1	7362870	7386140	0
chr1	7386140	7386150	-0.002075
chr1	7386150	7391240	0
chr1	7391240	7391250	0.00155
chr1	7391250	7392680	0
chr1	7392680	7392690	0.034
chr1	7392690	7426160	0
chr1	7426160	7426170	0.002775
chr1	7426170	7542440	0
chr1	7542440	7542450	-0.0012
chr1	7542450	7619520	0
chr1	7619520	7619530	0.003125
chr1	7619530	7628420	0
chr1	7628420	7628430	0.001075
chr1	7628430	7649820	0
chr1	7649820	7649830	-0.0025
chr1	7649830	7739230	0
chr1	7739230	7739240	-0.002075
chr1	7739240	7741780	0
chr1	7741780	7741790	-0.012325
chr1	7741790	7847140	0
chr1	7847140	7847150	0.002275
chr1	7847150	8027920	0
chr1	8027920	8027930	-0.005
chr1	8027930	8043370	0
chr1	8043370	8043380	-0.0025
chr1	8043380	8045210	0
chr1	8045210	8045220	0.00105
chr1	8045220	8067340	0
chr1	8067340	8067350	-0.001125
chr1	8067350	8108110	0
chr1	8108110	8108120	0.005275
chr1	8108120	8129860	0
chr1	8129860	8129870	0.00125
chr1	8129870	8196530	0
chr1	8196530	8196540	0.009075
chr1	8196540	8196620	0
chr1	8196620	8196630	-0.02125
chr1	8196630	8249000	0
chr1	8249000	8249010	0.0025
chr1	8249010	8433960	0
chr1	8433960	8433970	-0.001775
chr1	8433970	8573450	0
chr1	8573450	8573460	0.001925
chr1	8573460	8647680	0
chr1	8647680	8647690	0.0014
chr1	8647690	8698900	0
chr1	8698900	8698910	0.002775
chr1	8698910	8798210	0
chr1	8798210	8798220	0.03015
chr1	8798220	8957480	0
chr1	8957480	8957490	-0.001125
chr1	8957490	9054350	0
chr1	9054350	9054360	-0.001675
chr1	9054360	9065050	0
chr1	9065050	9065060	0.0014
chr1	9065060	9119930	0
chr1	9119930	9119940	0.00155
chr1	9119940	9237840	0
chr1	9237840	9237850	-0.015025
chr1	9237850	9244250	0
chr1	9244250	9244260	-0.025
chr1	9244260	9259970	0
chr1	9259970	9259980	-0.002275
chr1	9259980	9317090	0
chr1	9317090	9317100	0.004175
chr1	9317100	9317110	0
chr1	9317110	9317120	0.003575
chr1	9317120	9351740	0
chr1	9351740	9351750	-0.00155
chr1	9351750	9448860	0
chr1	9448860	9448870	-0.004175
chr1	9448870	9490450	0
chr1	9490450	9490460	0.0025
chr1	9490460	9527580	0
chr1	9527580	9527590	0.005
chr1	9527590	9531320	0
chr1	9531320	9531330	0.001775
chr1	9531330	9549810	0
chr1	9549810	9549820	-0.058325
chr1	9549820	9627370	0
chr1	9627370	9627380	-0.004175
chr1	9627380	9643800	0
chr1	9643800	9643810	-0.0025
chr1	9643810	9759570	0
chr1	9759570	9759580	0.002775
chr1	9759580	9885270	0
chr1	9885270	9885280	-0.00085
chr1	9885280	9937310	0
chr1	9937310	9937320	0.001675
chr1	9937320	9973540	0
chr1	9973540	9973550	-0.002275
chr1	9973550	9999520	0
chr1	9999520	9999530	0.001675
chr1	10000000	10044660	0
chr1	10044660	10044670	-0.001325
chr1	10044670	10057060	0
chr1	10057060	10057070	0.00125
chr1	10057070	10169150	0
chr1	10169150	10169160	0.00095
chr1	10169160	10253070	0
chr1	10253070	10253080	-0.001675
chr1	10253080	10291350	0
chr1	10291350	10291360	0.0025
chr1	10291360	10415060	0
chr1	10415060	10415070	-0.001675
chr1	10415070	10513560	0
chr1	10513560	10513570	0.0049
chr1	10513570	10534650	0
chr1	10534650	10534660	0.002075
chr1	10534660	10539840	0
chr1	10539840	10539850	0.002775
chr1	10539850	10640850	0
chr1	10640850	10640860	0.008325
chr1	10640860	10715460	0
chr1	10715460	10715470	0.002075
chr1	10715470	10734750	0
chr1	10734750	10734760	-0.008325
chr1	10734760	10753240	0
chr1	10753240	10753250	0.004175
chr1	10753250	10780170	0
chr1	10780170	10780180	-0.00625
chr1	10780180	10989620	0
chr1	10989620	10989630	-0.001475
chr1	10989630	11304960	0
chr1	11304960	11304970	0.001775
chr1	11304970	11368490	0
chr1	11368490	11368500	0.009575
chr1	11368500	11395110	0
chr1	11395110	11395120	-0.001325
chr1	11395120	11570510	0
chr1	11570510	11570520	0.00125
chr1	11570520	11576060	0
chr1	11576060	11576070	0.001925
chr1	11576070	11587890	0
chr1	11587890	11587900	-0.002275
chr1	11587900	11647040	0
chr1	11647040	11647050	0.005
chr1	11647050	11797990	0
chr1	11797990	11798000	-0.001675
chr1	11798000	11804350	0
chr1	11804350	11804360	0.001925
chr1	11804360	11851450	0
chr1	11851450	11851460	-0.00155
chr1	11851460	11942650	0
chr1	11942650	11942660	-0.00155
chr1	11942660	12204460	0
chr1	12204460	12204470	0.00155
chr1	12204470	12263960	0
chr1	12263960	12263970	-0.01825
chr1	12263970	12439720	0
chr1	12439720	12439730	-0.002075
chr1	12439730	12462330	0
chr1	12462330	12462340	0.007775
chr1	12462340	12596220	0
chr1	12596220	12596230	0.001675
chr1	12596230	12597250	0
chr1	12597250	12597260	-0.001475
chr1	12597260	12626030	0
chr1	12626030	12626040	-0.00095
chr1	12626040	12648500	0
chr1	12648500	12648510	-0.001775
chr1	12648510	12677930	0
chr1	12677930	12677940	-0.002275
chr1	12677940	12752070	0
