enh_key	chr	start	end	delta_activity	activity_base_WT	activity_base_KO	mean_delta_abc	mean_delta_unnorm	max_abs_delta_unnorm	n_genes	has_H3K27ac	Fold	FDR	Conc	Conc_mut	Conc_ctrl	p.value	median_distance
chr1:10037736-10038418	chr1	10037736	10038418	0.988745	10.547443	11.536188	-0.00114635294117647	0.00324182352941177	0.082069	17	TRUE	0.551420670520202	0.0361896118832907	5.51913118167298	5.87805913990395	5.04023709142173	0.00404853939948251	397495
chr1:10039673-10040173	chr1	10039673	10040173	0.63363	3.106361	3.739991	0.00240275	0.023966375	0.07296	8	FALSE	0.718531653094455	0.0111621191675061	5.02839988130866	5.48544196373376	4.35557106584084	0.000842689503890549	83898
chr1:101122390-101122890	chr1	101122390	101122890	4.951827	1.150449	6.102276	0.037745	0.012363	0.012363	1	FALSE	1.64038956637407	9.00497235822046e-16	6.55177219231556	7.1986220764693	5.3483843500505	4.77831437649331e-19	1349876
chr1:101272381-101272881	chr1	101272381	101272881	2.052107	5.087503	7.13961	0.032316	0.0080485	0.008865	2	TRUE	0.796772332478349	8.16061195714117e-06	6.95715815156122	7.3401145421933	6.43429390345206	1.47012695839825e-07	2873466.5
chr1:10232420-10233360	chr1	10232420	10233360	0.528102999999999	7.907981	8.436084	-0.00481553846153846	-0.00928661538461538	0.050991	13	TRUE	0.18544982664949	0.522872675945018	5.172259074103	5.32209146516865	5.00504286576521	0.256155931708184	484508
chr1:102775155-102775655	chr1	102775155	102775655	0.591791	3.890929	4.48272	-0.002065	0.003755	0.003755	1	FALSE	-0.287201312588206	0.347799176560581	4.93363951584831	4.62045409609478	5.19081589868806	0.124420954529054	3002641
chr1:102776227-102776727	chr1	102776227	102776727	0.847033	5.60463	6.451663	-0.003	0.005401	0.005401	1	FALSE	-0.182020794287638	0.583287339064085	5.16549744316407	4.96811735981561	5.33909451245328	0.313940809924051	3003713
chr1:104755796-104756296	chr1	104755796	104756296	0.208232	0.656678	0.86491	0.00381	0.021441	0.021441	1	FALSE	0.990503822702545	6.6750676112139e-07	5.92907819604812	6.38802091099323	5.25208129621749	7.68613022543003e-09	12482
chr1:104770167-104770667	chr1	104770167	104770667	0.176611	2.901167	3.077778	-0.024352	0.01326	0.030919	2	TRUE	0.572002799149396	0.00393502607247402	6.36194367974833	6.67432751973903	5.96267428605956	0.000223316461994161	2499771
chr1:104771902-104772402	chr1	104771902	104772402	0.046861	1.596025	1.642886	-0.011828	0.009568	0.009568	1	FALSE	0.704210932310647	0.00180537292543371	5.31448071516533	5.68665675797724	4.81160031066927	8.54763202206485e-05	3624
chr1:105002184-105002684	chr1	105002184	105002684	0.276113000000002	19.476273	19.752386	-0.0035018	-0.0112068	0.143441	5	TRUE	0.568756564783273	5.97159311502549e-05	7.61782722744553	7.89446242262914	7.27525447279416	1.46156765503993e-06	661243
chr1:105003802-105004302	chr1	105003802	105004302	-4.625387	10.963225	6.337838	-0.0135884	-0.0642996	0.092617	5	TRUE	0.846238636450144	4.77735975428943e-06	6.82248528034991	7.23022614770592	6.25200625684876	7.80150414890861e-08	659625
