stripe_id	chr	pos1	pos2	chr2	pos3	pos4	direction_type	source	pval_ctrl	pval_mut	stripiness_ctrl	stripiness_mut	mean_ctrl	mean_mut	stripe_length	stripe_width	anchor_center	logFC	logCPM	F	PValue	FDR	significant_FDR05	significant_FDR10	direction_edgeR	direction	direction_confidence	direction_consistent	effect_category
stripe_0001	chr1	6380001	6420000	chr1	6380001	7210000	3prime	control_only	0.082	NA	1.87063498998215	NA	56.9877239126515	NA	830000	40000	6400000.5	-0.0216285735573932	8.63002348960829	1.10484091268795	0.316579043945462	0.578087486466008	FALSE	FALSE	unchanged	lost	low	TRUE	minimal
stripe_0002	chr1	6820001	6880000	chr1	6220001	6880000	5prime	control_only	0.074	NA	0.242438763899981	NA	73.4317107208957	NA	660000	60000	6850000.5	-0.0448705008144398	9.26233638956321	5.09788530503695	0.0461203921049275	0.21397584386459	FALSE	FALSE	unchanged	lost	low	TRUE	minimal
stripe_0003	chr1	9540001	9600000	chr1	9540001	10080000	3prime	control_only	0.077	NA	0.755065398428264	NA	70.0904761656794	NA	540000	60000	9570000.5	-0.00368677886394056	8.88581943878321	0.0223883475909643	0.88386747238059	0.95208915459363	FALSE	FALSE	unchanged	lost	low	TRUE	minimal
stripe_0004	chr1	10720001	10780000	chr1	10070001	10780000	5prime	control_only	0.045	NA	2.66203346495299	NA	63.8356194674824	NA	710000	60000	10750000.5	0.0149737090164312	9.13611803046294	0.457430077606486	0.513314380910647	0.729038338421092	FALSE	FALSE	unchanged	lost	low	FALSE	minimal
stripe_0005	chr1	10810001	10860000	chr1	10810001	11580000	3prime	control_only	0.07	NA	2.16428314114443	NA	56.9010789212362	NA	770000	50000	10835000.5	0.0110866384089854	8.82790485253947	0.367337147536517	0.557215049333892	0.759994559098585	FALSE	FALSE	unchanged	lost	low	FALSE	minimal
stripe_0007	chr1	12840001	12880000	chr1	12840001	13770000	3prime	control_only	0.071	NA	0.457556164585433	NA	41.1001620661749	NA	930000	40000	12860000.5	0.0251608183305743	8.30192535317893	1.07102411333349	0.323747698347713	0.581908794237727	FALSE	FALSE	unchanged	lost	low	FALSE	minimal
stripe_0014	chr1	23240001	23290000	chr1	22290001	23290000	5prime	control_only	0.0995	NA	0.487337724370387	NA	42.1074415547306	NA	1000000	50000	23265000.5	0.037164692610949	8.72817842713474	2.03997431796373	0.182007712646279	0.433450560281822	FALSE	FALSE	unchanged	lost	low	FALSE	minimal
stripe_0020	chr1	34570001	34610000	chr1	34190001	34610000	5prime	control_only	0.0785	NA	0.628878951995815	NA	105.593330992644	NA	420000	40000	34590000.5	0.00347006202020314	8.52650901409369	0.0220072500033192	0.884852159265731	0.952254986976122	FALSE	FALSE	unchanged	lost	low	FALSE	minimal
stripe_0023	chr1	38750001	38780000	chr1	37850001	38780000	5prime	control_only	0.075	NA	-1.96106324877546	NA	69.219262414865	NA	930000	30000	38765000.5	-0.0374132436489791	8.66946803332872	3.28038030531425	0.0985093693558722	0.321599753320063	FALSE	FALSE	unchanged	lost	low	TRUE	minimal
stripe_0024	chr1	39500001	39550000	chr1	38810001	39550000	5prime	control_only	0.0375	NA	1.62653265646945	NA	71.9132071566001	NA	740000	50000	39525000.5	-0.018900040379344	9.12219272919903	0.714411389638409	0.416653897238033	0.656312620188685	FALSE	FALSE	unchanged	lost	low	TRUE	minimal
