chr	total_genes	sig_count	sig_rate	expected	obs_exp_ratio	fisher_p	enrichment
chr1	1194	734	0.6147	652.1	1.126	8.92e-07	Enriched
chr2	1780	899	0.5051	972.2	0.925	0.000279	Depleted
chr3	981	560	0.5708	535.8	1.045	0.115	Not significant
chr4	1244	702	0.5643	679.5	1.033	0.187	Not significant
chr5	1232	768	0.6234	672.9	1.141	1.98e-08	Enriched
chr6	1098	600	0.5464	599.7	1	1	Not significant
chr7	1938	846	0.4365	1058.5	0.799	3.62e-24	Depleted
chr8	1010	620	0.6139	551.6	1.124	8.91e-06	Enriched
chr9	1185	670	0.5654	647.2	1.035	0.177	Not significant
chr10	959	554	0.5777	523.8	1.058	0.0464	Enriched
chr11	1594	885	0.5552	870.6	1.017	0.464	Not significant
chr12	626	412	0.6581	341.9	1.205	8.15e-09	Enriched
chr13	819	414	0.5055	447.3	0.925	0.0181	Depleted
chr14	851	426	0.5006	464.8	0.917	0.00678	Depleted
chr15	759	444	0.585	414.6	1.071	0.0312	Enriched
chr16	644	377	0.5854	351.7	1.072	0.0444	Enriched
chr17	1021	521	0.5103	557.7	0.934	0.0187	Depleted
chr18	501	348	0.6946	273.6	1.272	7.07e-12	Enriched
chr19	673	366	0.5438	367.6	0.996	0.906	Not significant
chrX	869	319	0.3671	474.6	0.672	3.63e-27	Depleted
chrY	13	0	0	7.1	0	3.45e-05	Depleted
