chr1	x1	x2	chr2	y1	y2	chr1_chr	chr1_start	chr1_end	chr1_gene_id	chr1_idk	chr1_strand	chr1_gene_name	chr2_chr	chr2_start	chr2_end	chr2_gene_id	chr2_idk	chr2_strand	chr2_gene_name
chr8	126255000	126260000	chr8	126480000	126485000														
chr8	96150000	96175000	chr8	100750000	100775000														
chr8	57475000	57500000	chr8	60625000	60650000	chr8	57487110	57488610	60406	0	-	Sap30	chr8	60632076	60633576	71306	0	+	Mfap3l
chr8	57475000	57500000	chr8	60625000	60650000	chr8	57487303	57488803	78353	0	+	2500002B13Rik	chr8	60632076	60633576	71306	0	+	Mfap3l
chr8	47850000	47875000	chr8	50275000	50300000														
chr14	105650000	105675000	chr14	105875000	105900000								chr14	105896069	105897569	24064	0	-	Spry2
chr14	105475000	105500000	chr14	105725000	105750000	chr14	105498037	105499537	74864	0	+	4930449E01Rik							
chr9	82875000	82900000	chr9	83600000	83625000														
chr8	11700000	11725000	chr8	11925000	11950000	chr8	11700313	11701813	76413	0	-	Spaca7b							
chr9	90300000	90325000	chr9	90650000	90675000														
chr9	7825000	7850000	chr9	18275000	18300000	chr9	7836307	7837807	11797	0	-	Birc2	chr9	18291374	18292874	66917	0	+	Chordc1
chr9	39975000	40000000	chr9	42350000	42375000	chr9	39993061	39994561	259109	0	+	Or10g7							
chr11	105925000	105950000	chr11	106325000	106350000								chr11	106348639	106350139	110880	0	-	Scn4a
chr11	31225000	31250000	chr11	32150000	32175000														
chr11	41425000	41450000	chr11	42375000	42400000														
chr13	39625000	39650000	chr13	40750000	40775000														
chr9	90200000	90225000	chr9	92200000	92225000														
chr13	64300000	64325000	chr13	65225000	65250000	chr13	64311960	64313460	66129	0	-	Prxl2c							
chr8	79025000	79050000	chr8	79375000	79400000	chr8	79027686	79029186	622675	0	+	Zfp827	chr8	79398768	79400268	17125	0	-	Smad1
chr8	99175000	99200000	chr8	99400000	99425000								chr8	99415721	99417221	12564	0	-	Cdh8
chr8	99175000	99200000	chr8	99400000	99425000								chr8	99415891	99417391	234624	0	+	A330008L17Rik
chr6	107525000	107550000	chr6	108050000	108075000	chr6	107529017	107530517	16979	0	+	Lrrn1	chr6	108064294	108065794	74729	0	+	Setmar
chr6	83000000	83025000	chr6	83675000	83700000								chr6	83677107	83678607	246278	0	-	Cd207
chr6	8925000	8950000	chr6	12250000	12275000	chr6	8947680	8949180	18231	0	+	Nxph1							
chr6	67150000	67175000	chr6	67800000	67825000														
chr10	108300000	108325000	chr10	109850000	109875000														
chr12	91875000	91900000	chr12	98175000	98200000														
chr8	67725000	67750000	chr8	67875000	67900000														
chr15	41150000	41175000	chr15	42900000	42925000	chr15	41172736	41174236	100418302	0	+	4930555K19Rik							
chr17	63850000	63875000	chr17	64325000	64350000	chr17	63862311	63863811	14158	0	+	Fer	chr17	64331166	64332666	224938	0	-	Pja2
chr17	41500000	41525000	chr17	42600000	42625000								chr17	42610645	42612145	353344	0	-	Opn5
