gene	chr	start	end	mod_difference	dmr_qvalue	direction	n_k119ub_ctrl	n_k119ub_mut	net_k119ub
Tmeff2	chr1	50900646	51187269	0.085034113995008	4.8151057076211e-306	Hypermethylated	3	4	1
Fam78b	chr1	167001416	167091301	0.114355846290295	4.8151057076211e-306	Hypermethylated	10	11	1
Jph1	chr1	16964559	17097888	0.10751476880553	4.8151057076211e-306	Hypermethylated	4	5	1
1700025G04Rik	chr1	151852402	152090124	0.0628224610672886	4.8151057076211e-306	Hypermethylated	6	7	1
Pld5	chr1	175962305	176275311	0.100167164494823	4.8151057076211e-306	Hypermethylated	1	3	2
Fam107b	chr2	3570487	3782141	0.0783636379478725	4.8151057076211e-306	Hypermethylated	4	8	4
Lrrc4c	chr2	96318168	97631665	0.0354245354692788	4.8151057076211e-306	Hypermethylated	5	13	8
Lgr4	chr2	109917646	110014256	0.101739505137551	4.8151057076211e-306	Hypermethylated	2	3	1
Macrod2	chr2	140395308	142392965	0.0234007007719238	4.8151057076211e-306	Hypermethylated	0	0	0
Zfp385b	chr2	77410633	77819638	0.0547007257492477	4.8151057076211e-306	Hypermethylated	2	3	1
Ldlrad3	chr2	101950202	102186384	0.0924843584355526	4.8151057076211e-306	Hypermethylated	2	10	8
Kcnab1	chr3	64949195	65378222	0.0659912724020263	4.8151057076211e-306	Hypermethylated	1	4	3
Ppm1l	chr3	69316860	69560801	0.0810215464206032	4.8151057076211e-306	Hypermethylated	1	2	1
Unc5c	chr3	141465215	141834923	0.106550556235555	4.8151057076211e-306	Hypermethylated	2	5	3
Negr1	chr3	156561793	157316444	0.0564542114079826	4.8151057076211e-306	Hypermethylated	1	1	0
Maml3	chr3	51685906	52105075	0.0796891491724255	4.8151057076211e-306	Hypermethylated	4	10	6
Dclk2	chr3	86786150	86920851	0.0974036510345218	4.8151057076211e-306	Hypermethylated	4	5	1
Ndst3	chr3	123526165	123690852	0.1204049212253	4.8151057076211e-306	Hypermethylated	0	5	5
Runx1t1	chr4	13743435	13893648	0.109502377494959	4.8151057076211e-306	Hypermethylated	20	26	6
Nfia	chr4	97772733	98118873	0.0766486231958797	4.8151057076211e-306	Hypermethylated	12	20	8
Patj	chr4	98395784	98719602	0.120445731459954	4.8151057076211e-306	Hypermethylated	0	3	3
Csmd2	chr4	127987856	128567655	-0.0545640392960414	4.8151057076211e-306	Hypomethylated	2	2	0
Svep1	chr4	58042441	58206858	0.0749873190799152	4.8151057076211e-306	Hypermethylated	2	5	3
Nfib	chr4	82290172	82705749	0.0700950392548942	4.8151057076211e-306	Hypermethylated	6	9	3
Mllt3	chr4	87769924	88033363	0.0723271352645487	4.8151057076211e-306	Hypermethylated	8	8	0
Tmem132c	chr5	127241807	127565792	0.0677716697789223	4.8151057076211e-306	Hypermethylated	1	1	0
Caln1	chr5	130369454	130847411	0.1067487923351	4.8151057076211e-306	Hypermethylated	0	0	0
Kcnip4	chr5	48389501	49524906	0.0413041054596456	4.8151057076211e-306	Hypermethylated	4	14	10
Kctd8	chr5	69109284	69341678	0.0960924138405999	4.8151057076211e-306	Hypermethylated	1	3	2
Snd1	chr6	28475138	28935161	0.0603850703852541	4.8151057076211e-306	Hypermethylated	1	8	7
Wipf3	chr6	54429602	54503767	0.131948765301587	4.8151057076211e-306	Hypermethylated	1	0	-1
Mgll	chr6	88724411	88828359	0.135007943743503	4.8151057076211e-306	Hypermethylated	3	4	1
Syn2	chr6	115134901	115282005	0.130328694883986	4.8151057076211e-306	Hypermethylated	0	0	0
Sergef	chr7	46443153	46639806	0.0678282800475941	4.8151057076211e-306	Hypermethylated	0	2	2
Prag1	chr8	36094827	36147786	0.123800456695648	4.8151057076211e-306	Hypermethylated	4	4	0
Sgcz	chr8	37522297	38661507	-0.0517187694221879	4.8151057076211e-306	Hypomethylated	1	1	0
Galnt7	chr8	57523827	57653031	0.162788287901922	4.8151057076211e-306	Hypermethylated	0	8	8
Cdh8	chr8	99024470	99416470	0.0851710967214157	4.8151057076211e-306	Hypermethylated	1	2	1
Cdyl2	chr8	116574399	116732990	0.0767283679723849	4.8151057076211e-306	Hypermethylated	2	3	1
Opcml	chr9	27790774	28925409	0.0352299175045312	4.8151057076211e-306	Hypermethylated	4	10	6
Rora	chr9	68653785	69388245	0.0422798495557868	4.8151057076211e-306	Hypermethylated	2	1	-1
Bmp5	chr9	75775363	75900309	0.0963061392566568	4.8151057076211e-306	Hypermethylated	0	0	0
Zic4	chr9	91362412	91389347	0.129079921350548	4.8151057076211e-306	Hypermethylated	1	3	2
Fat3	chr9	15910188	16501284	-0.0438859892094303	4.8151057076211e-306	Hypomethylated	12	12	0
Gramd1b	chr9	40293232	40531382	0.0785315494832169	4.8151057076211e-306	Hypermethylated	1	3	2
Ubash3b	chr9	41011097	41161696	0.0917788109023858	4.8151057076211e-306	Hypermethylated	0	1	1
Peak1	chr9	56201125	56418066	0.0770618365988038	4.8151057076211e-306	Hypermethylated	0	1	1
Lrrc49	chr9	60568858	60688157	0.0984106577060959	4.8151057076211e-306	Hypermethylated	0	1	1
Sesn1	chr10	41809934	41908423	0.120693588980564	4.8151057076211e-306	Hypermethylated	0	0	0
Ank3	chr10	69398772	70027437	0.039501450365357	4.8151057076211e-306	Hypermethylated	2	5	3
Cdk17	chr10	93160874	93267070	0.0916117110032357	4.8151057076211e-306	Hypermethylated	0	0	0
Ntn4	chr10	93640680	93747206	0.119170223074622	4.8151057076211e-306	Hypermethylated	1	1	0
Syne1	chr10	5020916	5551481	0.0535617198947247	4.8151057076211e-306	Hypermethylated	1	4	3
Aig1	chr10	13647053	13868979	0.0808819806409217	4.8151057076211e-306	Hypermethylated	1	2	1
Mcu	chr10	59446983	59616691	0.142137210855473	4.8151057076211e-306	Hypermethylated	3	3	0
Lrrtm3	chr10	63928471	64090276	0.0836559320581863	4.8151057076211e-306	Hypermethylated	6	8	2
Tmtc2	chr10	105187662	105574450	0.0924002542478071	4.8151057076211e-306	Hypermethylated	2	6	4
Syt1	chr10	108497649	109010981	0.173138279538543	4.8151057076211e-306	Hypermethylated	11	26	15
Trhde	chr10	114398820	114802306	0.072632449541856	4.8151057076211e-306	Hypermethylated	1	4	3
Car10	chr11	93098027	93601748	0.0668918157778959	4.8151057076211e-306	Hypermethylated	0	2	2
Myt1l	chr12	29528383	29923212	0.0799913999828868	4.8151057076211e-306	Hypermethylated	8	8	0
Cog5	chr12	31654868	31937629	0.0707680919978579	4.8151057076211e-306	Hypermethylated	0	0	0
