human_gene	mouse_gene	field_direction	field_mean_delta	field_n_probes
C8orf46	NA	Hypermethylated	0.129912757365459	3
CSGALNACT1	Csgalnact1	Hypermethylated	0.186197930794973	7
DLC1	Dlc1	Hypermethylated	0.185273144021458	11
DPYSL2	Dpysl2	Hypermethylated	0.257685551041835	5
EFCAB1	NA	Hypermethylated	0.172698687085999	1
ENPP2	Enpp2	Hypermethylated	0.341584525951157	6
EPHX2	Ephx2	Hypermethylated	0.192553592895546	4
FDFT1	Fdft1	Hypermethylated	0.253565034952453	4
FZD6	Fzd6	Hypermethylated	0.294746607080516	6
GATA4	Gata4	Hypermethylated	0.311172281856676	3
HAS2	Has2	Hypermethylated	0.0552189509461756	1
MATN2	Matn2	Hypermethylated	0.144677204479396	3
MSC	Msc	Hypermethylated	0.254050224019593	13
MTUS1	Mtus1	Hypermethylated	0.396717590168144	7
PPP1R3B	Ppp1r3b	Hypermethylated	0.245850693071116	3
RAB11FIP1	Rab11fip1	Hypermethylated	0.234013145262955	5
RNF122	Rnf122	Hypermethylated	0.245920149662854	2
SFRP1	Sfrp1	Hypermethylated	0.218876681262407	1
SLC7A2	Slc7a2	Hypermethylated	0.202445270541411	3
TG	Tg	Hypermethylated	0.138522247034244	3
ZDHHC2	Zdhhc2	Hypermethylated	0.163588118138747	3
ZHX1	Zhx1	Hypermethylated	0.469034890919458	3
ADAM28	Adam28	Hypomethylated	-0.137024210303852	4
ADAMDEC1	Adamdec1	Hypomethylated	-0.0892623520769097	3
ANK1	Ank1	Hypomethylated	-0.0875575596242193	12
ARFGEF1	Arfgef1	Hypomethylated	-0.193499055143383	1
ASAP1	Asap1	Hypomethylated	-0.165944132057625	18
BAALC	Baalc	Hypomethylated	-0.0771096806652929	1
BAI1	Adgrb1	Hypomethylated	-0.104905875375193	29
BHLHE22	Bhlhe22	Hypomethylated	-0.075375901363579	3
CA13	Car13	Hypomethylated	-0.116245575998424	1
CCNE2	Ccne2	Hypomethylated	-0.453918135397262	1
CNGB3	Cngb3	Hypomethylated	-0.112267476610981	4
COL22A1	NA	Hypomethylated	-0.12825828037764	3
DENND3	Dennd3	Hypomethylated	-0.0945347666950376	18
DOK2	Dok2	Hypomethylated	-0.0839276510777097	4
DPYS	Dpys	Hypomethylated	-0.100488861586325	3
EBF2	Ebf2	Hypomethylated	-0.129890918114144	12
EFR3A	Efr3a	Hypomethylated	-0.172715721496813	2
FAM49B	Cyrib	Hypomethylated	-0.276121770427422	1
GEM	Gem	Hypomethylated	-0.0946777836586359	1
GFRA2	Gfra2	Hypomethylated	-0.187424204498067	1
IDO1	Ido1	Hypomethylated	-0.232122650654134	1
IL7	Il7	Hypomethylated	-0.0741421099568675	1
JPH1	Jph1	Hypomethylated	-0.118075770971794	2
KCNK9	Kcnk9	Hypomethylated	-0.134409791174163	7
KCNS2	Kcns2	Hypomethylated	-0.0931227265595097	1
KHDRBS3	Khdrbs3	Hypomethylated	-0.178980140759923	2
KIAA0196	Washc5	Hypomethylated	-0.103730541839325	1
LOXL2	Loxl2	Hypomethylated	-0.118193330091677	5
LRP12	Lrp12	Hypomethylated	-0.0901867909884699	1
LRRC69	Lrrc69	Hypomethylated	-0.131412625901023	1
LYN	Lyn	Hypomethylated	-0.153646213798251	4
MMP16	Mmp16	Hypomethylated	-0.0843185956853346	1
MRPS28	Mrps28	Hypomethylated	-0.063317017299714	1
MTDH	Mtdh	Hypomethylated	-0.153453367740365	1
OSR2	Osr2	Hypomethylated	-0.143874412381505	4
OXR1	Oxr1	Hypomethylated	-0.0822687839699423	1
PHYHIP	Phyhip	Hypomethylated	-0.128349093017495	6
PNOC	Pnoc	Hypomethylated	-0.130210765697331	9
PREX2	Prex2	Hypomethylated	-0.102272753191216	4
PRKDC	Prkdc	Hypomethylated	-0.0674140312853572	3
PTP4A3	Ptp4a3	Hypomethylated	-0.124642816998505	11
PXDNL	NA	Hypomethylated	-0.0837893068110487	8
RAB2A	Rab2a	Hypomethylated	-0.22569068882999	1
RIMS2	Rims2	Hypomethylated	-0.109008369339336	3
RP1	Rp1	Hypomethylated	-0.0643465054960367	1
RRM2B	Rrm2b	Hypomethylated	-0.150727742706407	2
RUNX1T1	Runx1t1	Hypomethylated	-0.0939461383910284	1
SDC2	Sdc2	Hypomethylated	-0.0704189498900212	2
SLA	Sla	Hypomethylated	-0.0847697638417874	2
SPAG1	Spag1	Hypomethylated	-0.142997489460596	1
ST3GAL1	St3gal1	Hypomethylated	-0.0694638611583274	2
STMN2	Stmn2	Hypomethylated	-0.152769619189875	5
TCEB1	Eloc	Hypomethylated	-0.0928697252498731	1
TNFRSF10C	Tnfrsf22	Hypomethylated	-0.123857416082523	5
TNFRSF11B	Tnfrsf11b	Hypomethylated	-0.0898696770114364	1
TOX	Tox	Hypomethylated	-0.110485984964744	3
TPD52	Tpd52	Hypomethylated	-0.16570524973283	5
TRAM1	Tram1	Hypomethylated	-0.0521395536621633	1
TRIB1	Trib1	Hypomethylated	-0.142681374497981	5
TSPYL5	Tspyl5	Hypomethylated	-0.117083383877992	4
UBE2V2	Ube2v2	Hypomethylated	-0.0595003464395583	1
XKR4	Xkr4	Hypomethylated	-0.124310631427308	10
ZFPM2	Zfpm2	Hypomethylated	-0.118481485273725	7
