entrez_id	symbol	chr	start	end	width	gb_ctrl_signal	gb_mut_signal	gb_log2fc	gb_signal_class	pr_ctrl_signal	pr_mut_signal	pr_log2fc	pr_signal_class
100009600	Zglp1	chr9	21062393	21073096	10704	0.420445	0.379367	-0.0956	quantifiable	0.50018	0.305941	-0.453281	quantifiable
100009609	Vmn2r65	chr7	84935565	84964115	28551	0.11973	0.057344	NA	no_signal	0.205884	0.155651	NA	no_signal
100009614	Krtap12-22	chr10	77711457	77712009	553	1.4783	1.160342	-0.29902	quantifiable	1.120188	0.729906	-0.496472	quantifiable
100009664	F630206G17Rik	chr11	45808087	45841171	33085	0.633325	0.486737	-0.271838	quantifiable	0.930107	0.611226	-0.468341	quantifiable
100012	Oog3	chr4	144157557	144162663	5107	0.21453	0.180896	NA	no_signal	0.128187	0.060512	NA	no_signal
100017	Ldlrap1	chr4	134741554	134768024	26471	1.473393	1.382396	-0.079674	quantifiable	3.134971	3.494576	0.146887	quantifiable
100019	Mdn1	chr4	32657119	32775217	118099	0.685011	0.46382	-0.404196	quantifiable	0.583113	1.241173	0.86326	quantifiable
100033459	Ifi208	chr1	173673675	173698395	24721	0.276089	0.184997	-0.29253	one_condition	0.608066	0.371653	-0.484829	quantifiable
100034251	Wfdc17	chr11	83703991	83706268	2278	0.996631	0.649386	-0.48471	quantifiable	1.102356	0.78911	-0.389947	quantifiable
100034361	Mfap1b	chr2	121460235	121474067	13833	0.279184	0.219202	-0.184595	one_condition	0.372791	0.800568	0.783534	quantifiable
100034363	Tmsb15b2	chrX	136955265	136958025	2761	0.942915	2.713763	1.334829	quantifiable	1.196547	2.7531	1.069463	quantifiable
100034684	Cstdc5	chr16	36359382	36367748	8367	0.503205	0.319371	-0.422963	quantifiable	0.47809	0.37935	-0.219933	quantifiable
100034726	Gm15772	chr11	68901610	68906989	5380	0.583625	0.501048	-0.156379	quantifiable	0.75644	0.843794	0.123587	quantifiable
100034729	Gm15114	chrX	148488949	148521446	32498	0.113174	0.06097	NA	no_signal	0.139484	0.124364	NA	no_signal
