chr	Boundary	Gap_Score	TAD_Score1	TAD_Score2	Differential	Enriched_In	Type	robustness	shift_distance_kb	anchor_type
chr10	107250000	-0.321956318212642	4.64270981117962	4.68924329794632	Non-Differential	Matrix 2	Non-Differential	Both	NA	Other
chr10	107425000	-1.57013050353502	2.71184788746459	3.03413757319617	Non-Differential	Matrix 2	Non-Differential	Mutant_only	NA	Poised_Enhancer
chr10	107450000	-1.44775533132375	2.05123365122021	2.35055366488497	Non-Differential	Matrix 2	Non-Differential	Neither	NA	Other
chr10	107850000	1.00083920309115	2.39254864316983	2.16739608787544	Non-Differential	Matrix 1	Non-Differential	Neither	NA	Other
chr10	108275000	0.326542046964375	2.74728723239526	2.66441770137587	Non-Differential	Matrix 1	Non-Differential	Neither	NA	Poised_Enhancer
chr10	108300000	-0.84638903544476	2.6563752581717	2.82439243886756	Non-Differential	Matrix 2	Non-Differential	Mutant_only	NA	Other
chr10	109000000	1.24916856332843	2.30316631781542	2.02541653127611	Non-Differential	Matrix 1	Non-Differential	Neither	NA	Promoter
chr10	109025000	9.94881327017364	4.09258628711104	1.94867135140141	Differential	Matrix 1	Strength Change	Control_only	NA	Promoter
chr10	109475000	2.90971788175982	1.7589051591271	1.12918823160715	Differential	Matrix 1	Complex	Neither	NA	Other
chr10	109750000	2.67581081515859	3.47025993704696	2.88230049841544	Differential	Matrix 1	Strength Change	Both	NA	Active_Enhancer
chr10	109775000	2.56167760545751	1.8453586063657	1.28954383593815	Differential	Matrix 1	Complex	Neither	NA	Other
chr10	110100000	0.0963524354016662	2.92661754860947	2.89204158440496	Non-Differential	Matrix 1	Non-Differential	Control_only	NA	Poised_Enhancer
chr10	110125000	0.845775739341397	1.58891455547748	1.40071706845215	Non-Differential	Matrix 1	Non-Differential	Neither	NA	Poised_Enhancer
chr10	110450000	-1.1597182429369	1.50426579016359	1.74469920703098	Non-Differential	Matrix 2	Non-Differential	Neither	NA	Promoter
chr10	110475000	2.09915212059244	2.52921368060992	2.06888845966168	Differential	Matrix 1	Strength Change	Neither	NA	Other
chr10	110500000	-0.428297498786936	1.56357306363942	1.64754509172648	Non-Differential	Matrix 2	Non-Differential	Neither	NA	Other
chr10	110775000	-3.12367061219789	1.15312501391262	1.81459411407757	Differential	Matrix 2	Complex	Neither	NA	Active_Enhancer
chr10	110925000	2.33453846461925	1.87859963960199	1.37112603285156	Differential	Matrix 1	Complex	Neither	NA	Promoter
