stripe_id	chr	anchor_x1	anchor_x2	span_y1	span_y2	direction_type	source	pval_ctrl	pval_mut	n_ctrl_reps	n_mut_reps	in_10kb	confidence	anchor_center	logFC	logCPM	F	PValue	FDR	significant_FDR05	significant_FDR10	direction_edgeR	direction	direction_confidence	direction_consistent	stripe_length	anchor_width	effect_category	timepoint	distance_to_tss	nearest_gene_id	nearest_gene_symbol	h3k27ac_overlap	h3k27me3_overlap	h3k4me1_overlap	anchor_type
stripe_0001	chr1	7240000	7570000	7570000	7625000	3prime	control_only	0.87508338621648	NA	0	0	FALSE	medium	7405000	-0.0454590156944621	10.8501715631741	0.0537237295075132	0.821401990950949	0.961394446830075	FALSE	FALSE	unchanged	lost	low	TRUE	55000	330000	minimal	late	151079	319263	Pcmtd1	FALSE	FALSE	TRUE	Poised_Enhancer
stripe_0002	chr1	7650000	7715000	7715000	8640000	3prime	control_only	0.342219772716863	NA	0	0	FALSE	medium	7682500	0.00737850876305199	11.3112052929987	0.00182966551849408	0.966727163160509	0.993028256771049	FALSE	FALSE	unchanged	lost	low	FALSE	925000	65000	minimal	late	561079	319263	Pcmtd1	FALSE	FALSE	FALSE	Other
stripe_0003	chr1	17930000	17990000	17990000	19375000	3prime	control_only	0.291309055559028	NA	0	0	FALSE	medium	17960000	-0.0122041437314989	11.3374422611409	0.00687408966121476	0.935566734693446	0.987099705804251	FALSE	FALSE	unchanged	lost	low	TRUE	1385000	60000	minimal	late	155901	78081	Crisp4	FALSE	FALSE	FALSE	Other
stripe_0004	chr1	61655000	61715000	61715000	61970000	3prime	mutant_only	NA	0.993770252882147	1	0	FALSE	medium	61685000	0.0588250061676751	11.5952062804006	0.249823336754321	0.62806347978379	0.866799291214489	FALSE	FALSE	unchanged	gained	low	TRUE	255000	60000	minimal	late	16175	72823	Pard3b	FALSE	FALSE	FALSE	Other
stripe_0005	chr1	94630000	94930000	94930000	94985000	3prime	control_only	0.989693711693447	NA	0	0	FALSE	medium	94780000	-0.195395206205222	11.3692138700534	1.36851947279356	0.26931660066135	0.765876472313714	FALSE	FALSE	unchanged	lost	low	TRUE	55000	300000	minimal	late	0	74689	4930440C22Rik	FALSE	FALSE	FALSE	Other
stripe_0006	chr1	139780000	139815000	139815000	140330000	3prime	mutant_only	NA	0.945823296787296	0	0	FALSE	medium	139797500	0.196157386489016	11.2229808036806	0.836559934180642	0.382006431539138	0.776578761225745	FALSE	FALSE	unchanged	gained	low	TRUE	515000	35000	minimal	late	0	214403	Cfhr4	FALSE	FALSE	FALSE	Other
stripe_0007	chr1	142225000	142990000	142990000	143045000	3prime	mutant_only	NA	0.587746343183482	0	0	FALSE	medium	142607500	-0.0370097327027443	11.3095073426309	0.0793287405542279	0.783978233092701	0.938896087536169	FALSE	FALSE	unchanged	gained	low	FALSE	55000	765000	minimal	late	650663	26878	B3galt2	FALSE	FALSE	FALSE	Other
stripe_0008	chr1	155550000	155595000	155745000	156045000	3prime	mutant_only	NA	7.71210729622053e-10	0	0	TRUE	medium	155572500	0.083526173372781	12.0982920498734	0.474099433519736	0.506837989584412	0.810940783335059	FALSE	FALSE	unchanged	gained	low	TRUE	300000	45000	minimal	late	0	72482	Acbd6	TRUE	FALSE	TRUE	Promoter
stripe_0009	chr1	156700000	156965000	157055000	157100000	3prime	mutant_only	NA	1.11158952511831e-09	0	0	TRUE	medium	156832500	0.0194481234921584	11.5391383897119	0.0119311080543939	0.915191174340745	0.987099705804251	FALSE	FALSE	unchanged	gained	low	TRUE	45000	265000	minimal	late	0	78255	Ralgps2	TRUE	FALSE	TRUE	Promoter
stripe_0010	chr1	167535000	167575000	167575000	169350000	3prime	control_only	0.310590008914843	NA	0	0	TRUE	medium	167555000	-0.144879917484767	11.367482643803	0.824841515017547	0.385231126144487	0.776578761225745	FALSE	FALSE	unchanged	lost	low	TRUE	1775000	40000	minimal	late	23383	20183	Rxrg	FALSE	FALSE	FALSE	Other
