chr	start	end	num_contexts	mean_coverage	mean_mod_group1	mean_mod_group2	mod_fold_change	mod_difference	test_statistic	dmr_pvalue	dmr_qvalue	annotation	gene	significant	direction	neg_log10_q	chromatin_state	CTCF_overlap	H3K27ac_overlap	H3K27me3_overlap	H3K4me1_overlap	H3K4me3_overlap	Bivalent_overlap	distance_to_tss
chr1	4807787	4848409	347	20.2190201729107	0.769706383942636	0.801812658679772	1.04171236643859	0.0321062747371359	42.2335634790586	8.09979087733302e-11	6.9670156955953e-10	Gene	Lypla1	TRUE	Hypermethylated	9.15695321106687	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	4807891	4886769	612	20.2896241830065	0.731901266804429	0.760937052041883	1.0396717242535	0.0290357852374539	54.8682069165843	1.28889207952948e-13	1.42915787190534e-12	Gene	Gm37988	TRUE	Hypermethylated	11.8449197942249	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	4857813	4897908	236	20.771186440678	0.703890886923443	0.737664544014101	1.04798138137329	0.0337736570906582	27.7609472961126	1.37269236565657e-07	8.31952981077136e-07	Gene	Tcea1	TRUE	Hypermethylated	6.07990121774265	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	5070017	5162528	462	20.3977272727273	0.767238106228336	0.788394275577978	1.02757445071862	0.0211561693496415	24.0650978528205	9.31331503709872e-07	5.06176259490399e-06	Gene	Atp6v1h	TRUE	Hypermethylated	5.29569822783462	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	6206196	6276647	432	21.5480324074074	0.673626000037766	0.715400915145614	1.06201499809316	0.0417749151078478	76.0335255401052	2.78889377076597e-18	4.38921248438854e-17	Gene	Rb1cc1	TRUE	Hypermethylated	16.3576133941918	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	6359217	6394730	195	21.9897435897436	0.821613779899405	0.799711998773097	0.973342972498599	-0.0219017811263083	13.1072050213204	0.000294162232031088	0.00107775575720925	Gene	Alkal1	TRUE	Hypomethylated	2.96747964853204	Repressed_Promoter	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE	0
chr1	6487230	6860939	1669	21.3332834032355	0.676219205677323	0.717470727734816	1.06100318019831	0.0412515220574932	283.509747925883	1.29055924694573e-63	8.22937460233264e-62	Gene	St18	TRUE	Hypermethylated	61.0846331680777	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	7088919	7173627	546	21.66163003663	0.602952724706625	0.668670576735093	1.10899337433203	0.0657178520284677	219.424603682416	1.20751610134293e-49	5.62944006446073e-48	Gene	Pcmtd1	TRUE	Hypermethylated	47.2495348003544	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	10037986	10136767	740	20.7084459459459	0.765233057879529	0.773842168446326	1.01125031188623	0.00860911056679714	6.59153774567487	0.0102464627439003	0.026521966922182	Gene	Cspp1	TRUE	Hypermethylated	1.57639427092436	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	12692276	12861191	1554	20.6245173745174	0.742739679936641	0.729380370387422	0.982013469981355	-0.0133593095492193	29.8516153797375	4.66408115983252e-08	3.00607553462754e-07	Gene	Sulf1	TRUE	Hypomethylated	6.52200011095477	Repressed_Promoter	TRUE	FALSE	TRUE	TRUE	FALSE	FALSE	0
chr1	15805645	15844051	244	22.0409836065574	0.766448509119793	0.803956613927372	1.04893754030607	0.0375081048075792	44.8030812533549	2.17879563706656e-11	1.98821025097953e-10	Gene	Terf1	TRUE	Hypermethylated	9.70153769136122	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	16665206	16678274	95	21.2842105263158	0.569140223433324	0.643267029298787	1.13024348449367	0.0741268058654623	45.8249215067427	1.29307977089434e-11	1.20835280684153e-10	Gene	Tmem70	TRUE	Hypermethylated	9.91780624477623	Active_Promoter	FALSE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	17145361	17164270	87	20.2787356321839	0.360759763349309	0.458252888985272	1.27024390062471	0.0974931256359638	67.528710278279	2.07641319712731e-16	2.89634790309401e-15	Gene	Gdap1	TRUE	Hypermethylated	14.5381492728205	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	20890605	20939649	513	19.5916179337232	0.436376933572894	0.526684808082912	1.2069492394353	0.0903078745100179	323.802453871924	2.15109450138139e-72	1.59462231605937e-70	Gene	Paqr8	TRUE	Hypermethylated	69.797342162434	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
chr1	23761752	23849157	688	18.6260901162791	0.633196981166762	0.693506094196056	1.09524542097179	0.0603091130292948	207.036913438551	6.08623504011081e-47	2.68241859047237e-45	Gene	B3gat2	TRUE	Hypermethylated	44.5714734496957	Active_Promoter	TRUE	TRUE	FALSE	TRUE	TRUE	FALSE	0
