gene	chr	start	end	num_contexts	mean_coverage	chg_mc_group1	chg_mc_group2	chg_mc_difference	chg_mc_qvalue	chg_mc_direction	cg_mc_difference	cg_mc_qvalue	cg_mc_significant	cg_mc_direction	cg_hmc_difference	cg_hmc_qvalue	cg_hmc_significant	cg_hmc_direction	concordant_with_cg_mc
Sgcz	chr8	37522297	38661507	49755	13.6252889156869	0.000162276468390741	0.00105946031472162	0.000897183846330879	2.34178020106884e-132	Hypermethylated	-0.0422672631247791	1.64672472620882e-235	TRUE	Hypomethylated	0.00378161358929795	1.3785957018551e-08	TRUE	Hypermethylated	FALSE
Dlc1	chr8	36567750	36953142	17988	12.7780742717367	0.000198114936380341	0.00124654236529165	0.00104842742891131	1.67505367233041e-51	Hypermethylated	-0.0203458457286723	1.75172949042027e-31	TRUE	Hypomethylated	-0.00225674734072531	0.0886888473698956	FALSE	Hypomethylated	FALSE
Nrg1	chr8	31814550	32884796	52919	13.1113399724107	0.000176995959086346	0.000508587788083003	0.000331591828996657	1.3054155503355e-40	Hypermethylated	-0.0145951891315919	4.79740940661069e-37	TRUE	Hypomethylated	0.00329801955407308	1.33148545574638e-05	TRUE	Hypermethylated	FALSE
Tenm4	chr7	96171245	96911092	27992	12.0920352243498	0.000874689739405651	0.000334434029689812	-0.000540255709715838	1.74386791840584e-30	Hypomethylated	0.0029014384433701	0.0907819985986929	FALSE	Hypermethylated	0.037945287131002	2.91748902985141e-305	TRUE	Hypermethylated	NA
Wrn	chr8	33234383	33385526	6974	12.9027817608259	0.000217789006010977	0.00141419993604055	0.00119641093002957	3.26131760582154e-22	Hypermethylated	-0.0170554063654818	4.42941378452927e-13	TRUE	Hypomethylated	-0.0137895736196574	3.94263857925976e-19	TRUE	Hypomethylated	FALSE
Mtus1	chr8	40990913	41133725	5730	12.2760471204188	0.00023405942519613	0.00167215623127637	0.00143809680608024	1.66545560878746e-20	Hypermethylated	0.00786109736504603	0.0154781528360032	TRUE	Hypermethylated	-0.0160859686625545	1.58361134629612e-11	TRUE	Hypomethylated	TRUE
Tusc3	chr8	39005844	39165113	7066	13.4180229266912	0.000128063333139298	0.00108564438556349	0.000957581052424191	1.29087148601492e-18	Hypermethylated	-0.0163232519363505	3.50635903192524e-06	TRUE	Hypomethylated	-0.0163739731829078	2.54945401447263e-09	TRUE	Hypomethylated	FALSE
Dlg2	chr7	90476671	92449246	92980	13.0916057216606	0.000153533237644843	6.0804154187273e-05	-9.272908345757e-05	2.30666380691169e-17	Hypomethylated	0.0291870262555064	8.82010615614991e-189	TRUE	Hypermethylated	-0.0224893016510055	3.63766087190621e-216	TRUE	Hypomethylated	FALSE
Rbpms	chr8	33782642	33929862	5386	11.9378017081322	0.000271667689071948	0.00154157534623193	0.00126990765715998	1.3766033051117e-16	Hypermethylated	-0.0248065783162821	9.43127350373932e-26	TRUE	Hypomethylated	-0.0023268712603275	0.165802158872349	FALSE	Hypomethylated	FALSE
Marchf1	chr8	65617899	66471636	40089	13.3993177679663	3.10167556068941e-06	0.000298383804490107	0.000295282128929417	4.47246275200393e-16	Hypermethylated	-0.0175454458907137	1.34040388559649e-36	TRUE	Hypomethylated	0.00198017532899238	0.025417683137778	TRUE	Hypermethylated	FALSE
Zdhhc2	chr8	40423814	40510267	4041	12.7324919574363	0.000244700020020911	0.00157835289087984	0.00133365287085893	1.38316732863757e-13	Hypermethylated	0.0194408054441105	1.199615648078e-06	TRUE	Hypermethylated	-0.0429165313230102	3.67489827659843e-46	TRUE	Hypomethylated	TRUE
Uvrag	chr7	98885020	99141140	9678	12.0521802025212	0.00123971666182575	0.000498745801000425	-0.000740970860825325	1.17853499061668e-12	Hypomethylated	0.0339762889389048	4.0173491164143e-53	TRUE	Hypermethylated	-0.0244651465253083	2.51524506855407e-40	TRUE	Hypomethylated	FALSE
Csmd1	chr8	15892536	17535585	79130	12.7562460508025	6.33242293814643e-05	9.32811188882136e-06	-5.39961174926429e-05	5.45281840767196e-12	Hypomethylated	-0.0215077118484381	2.10689825354811e-100	TRUE	Hypomethylated	0.0302546155991314	2.91748902985141e-305	TRUE	Hypermethylated	TRUE
Galntl6	chr8	57774051	58912639	49291	13.0968432371021	8.64655478024781e-07	0.000237830600737843	0.000236965945259818	9.40441838831598e-12	Hypermethylated	0.0133141763908865	1.6622860926065e-26	TRUE	Hypermethylated	-0.0169290965621641	8.77136938520313e-83	TRUE	Hypomethylated	TRUE
