enh_idx	loop_idx	enh_on_anchor	partner_type	own_type	enhancer_class	loop_type	logFC	FDR	direction	is_differential	partner_group	promoter_gene	promoter_distance	enh_chr	enh_start	enh_end	in_abc	abc_score_wt	abc_score_ko	delta_abc
1	2384	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.151861250231283	0.308507857955994	unchanged	FALSE	Promoter	Dlg1	0	chr16	31570320	31571071	TRUE	0.029701	0.00961	-0.020091
3	19938	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.28652176478417	0.0278185860654381	down_in_mutant	TRUE	Promoter	Usp1	0	chr4	98546599	98547167	TRUE	0.028917	0.003335	-0.025582
5	19493	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.243696429789745	0.00380795197372977	down_in_mutant	TRUE	Promoter	Foxn2	0	chr17	88335969	88336501	TRUE	0.022696	0.006059	-0.016637
7	24155	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.276805587395307	0.00326328798687383	down_in_mutant	TRUE	Promoter	Syt1	981	chr10	108868029	108868639	TRUE	0.035704	0.017346	-0.018358
9	19938	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.28652176478417	0.0278185860654381	down_in_mutant	TRUE	Promoter	Usp1	0	chr4	98549580	98549779	FALSE	NA	NA	NA
10	24155	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.276805587395307	0.00326328798687383	down_in_mutant	TRUE	Promoter	Syt1	981	chr10	108867273	108867562	FALSE	NA	NA	NA
20	30939	1	Bivalent_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Bivalent_Promoter	0.0236505775644995	0.7991176065685	unchanged	FALSE	Promoter	Plag1	0	chr4	3692233	3692423	FALSE	NA	NA	NA
21	32590	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.31451819543014	0.000166453345617279	down_in_mutant	TRUE	Promoter	Spry2	0	chr14	105730841	105731003	TRUE	0.044835	0.01108	-0.033755
21	6594	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.395182271087771	0.000348802559303348	down_in_mutant	TRUE	Promoter	Spry2	0	chr14	105730841	105731003	TRUE	0.044835	0.01108	-0.033755
31	26870	1	Active_Promoter	Poised_Enhancer	Activity_Lost	Active_Promoter-Poised_Enhancer	-0.287294391757701	0.0285529496751027	down_in_mutant	TRUE	Promoter	Clcn3	0	chr8	57842982	57843382	FALSE	NA	NA	NA
36	30172	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.126833581137759	0.0842462657359974	unchanged	FALSE	Promoter	Galnt7	0	chr8	57565169	57565334	FALSE	NA	NA	NA
37	30453	1	Active_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Active_Promoter	0.123081493041254	0.48047968895456	unchanged	FALSE	Promoter	Acp1	0	chr12	29533127	29533529	FALSE	NA	NA	NA
38	28137	1	Active_Promoter	Other	Activity_Lost	Active_Promoter-Other	-0.0544805352924175	0.761903846066887	unchanged	FALSE	Promoter	Elovl5	0	chr9	75789940	75790247	FALSE	NA	NA	NA
38	7321	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.561141832541381	4.28184678644197e-06	down_in_mutant	TRUE	Promoter	Hmgcll1	0	chr9	75789940	75790247	FALSE	NA	NA	NA
39	25824	1	Active_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Active_Promoter	-0.31261549928001	0.0150711123659538	down_in_mutant	TRUE	Promoter	Mfap3l	0	chr8	57498920	57499544	FALSE	NA	NA	NA
47	2637	1	Active_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Active_Promoter	-0.492470365486045	7.88935344227847e-05	down_in_mutant	TRUE	Promoter	Syt4	0	chr18	31316059	31316429	FALSE	NA	NA	NA
51	30172	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.126833581137759	0.0842462657359974	unchanged	FALSE	Promoter	Galnt7	0	chr8	57560703	57561390	TRUE	0.021047	0.01133	-0.009717
55	12382	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.120037882391674	0.414844022751216	unchanged	FALSE	Promoter	Brinp1	0	chr4	67529631	67529978	FALSE	NA	NA	NA
57	10683	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.120340675398941	0.101046072023537	unchanged	FALSE	Promoter	Neurod1	0	chr2	79378432	79378692	FALSE	NA	NA	NA
57	11296	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	0.119813916685831	0.201912386353814	unchanged	FALSE	Promoter	Itprid2	0	chr2	79378432	79378692	FALSE	NA	NA	NA
58	2637	1	Active_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Active_Promoter	-0.492470365486045	7.88935344227847e-05	down_in_mutant	TRUE	Promoter	Syt4	0	chr18	31316786	31317186	TRUE	0.021256	0.005408	-0.015848
69	37106	1	Active_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Active_Promoter	-0.289037827164489	0.0135746294477239	down_in_mutant	TRUE	Promoter	Rasa1	0	chr13	84065515	84065791	FALSE	NA	NA	NA
69	16909	1	Active_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Active_Promoter	-0.126704602948915	0.221730067768677	unchanged	FALSE	Promoter	Tmem161b	0	chr13	84065515	84065791	FALSE	NA	NA	NA
73	349	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.141436156388566	0.29033649870175	unchanged	FALSE	Promoter	Ndufb4	0	chr16	37617769	37618061	TRUE	0.037323	0.013614	-0.023709
75	27554	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.190500508347106	0.329185436873153	unchanged	FALSE	Promoter	Slitrk4	1995	chrX	61435681	61436048	FALSE	NA	NA	NA
82	8859	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.0456240285644582	0.813139825386774	unchanged	FALSE	Promoter	Zfp706	0	chr15	36891852	36892068	FALSE	NA	NA	NA
83	27437	1	Active_Promoter	Other	Activity_Lost	Active_Promoter-Other	0.0392672888178946	0.535068773299024	unchanged	FALSE	Promoter	Ube2e3	0	chr2	78036533	78036935	TRUE	0.028565	0.008527	-0.020038
83	34964	1	Repressed_Promoter	Other	Activity_Lost	Repressed_Promoter-Other	-0.0330588002678704	0.661224189830431	unchanged	FALSE	Promoter	Itga4	0	chr2	78036533	78036935	TRUE	0.038983	0.005748	-0.033235
83	38416	1	Active_Promoter	Other	Activity_Lost	Active_Promoter-Other	-0.20832316895224	0.0445355784517766	down_in_mutant	TRUE	Promoter	Itprid2	0	chr2	78036533	78036935	FALSE	NA	NA	NA
83	39281	1	Active_Promoter	Other	Activity_Lost	Active_Promoter-Other	-0.224798873500315	0.0176433046375284	down_in_mutant	TRUE	Promoter	Neurod1	0	chr2	78036533	78036935	FALSE	NA	NA	NA
87	33404	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.451148467909836	0.000122200330897653	down_in_mutant	TRUE	Promoter	Ccnh	0	chr13	84758408	84758811	TRUE	0.034672	0.008911	-0.025761
87	33411	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.577060715861772	0.000180065723176131	down_in_mutant	TRUE	Promoter	Rasa1	0	chr13	84758408	84758811	FALSE	NA	NA	NA
92	37630	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.236186635030272	0.0235769563105717	down_in_mutant	TRUE	Promoter	Ccnl1	0	chr3	65117372	65117578	FALSE	NA	NA	NA
95	30453	1	Active_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Active_Promoter	0.123081493041254	0.48047968895456	unchanged	FALSE	Promoter	Acp1	0	chr12	29533650	29533701	FALSE	NA	NA	NA
96	8165	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.256530591608604	0.00571332822287041	down_in_mutant	TRUE	Promoter	Gm4241	0	chr13	83869079	83869211	FALSE	NA	NA	NA
105	14405	1	Active_Promoter	Other	Activity_Lost	Active_Promoter-Other	-0.17585868203619	0.0693269509590087	unchanged	FALSE	Promoter	Zfp703	0	chr8	26763156	26763519	FALSE	NA	NA	NA
109	21	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.203415643025754	0.0441731010678612	down_in_mutant	TRUE	Promoter	Zfp703	0	chr8	26748495	26749211	TRUE	0.037593	0.013763	-0.02383
115	27793	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.134895783108297	0.115401802740332	unchanged	FALSE	Promoter	Setmar	0	chr6	106920956	106921331	TRUE	0.021446	0.006349	-0.015097
115	20072	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.201575887149762	0.133762658821727	unchanged	FALSE	Promoter	Lrrn1	232	chr6	106920956	106921331	TRUE	0.028919	0.015376	-0.013543
128	31237	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.0416355649427431	0.519770737034088	unchanged	FALSE	Promoter	Gm5089	0	chr14	122224634	122224784	FALSE	NA	NA	NA
128	6574	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.383138306005308	0.00459782472524509	down_in_mutant	TRUE	Promoter	Gm10837	584	chr14	122224634	122224784	FALSE	NA	NA	NA
130	28137	1	Active_Promoter	Other	Activity_Lost	Active_Promoter-Other	-0.0544805352924175	0.761903846066887	unchanged	FALSE	Promoter	Elovl5	0	chr9	75785805	75786251	FALSE	NA	NA	NA
130	7321	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.561141832541381	4.28184678644197e-06	down_in_mutant	TRUE	Promoter	Hmgcll1	0	chr9	75785805	75786251	TRUE	0.029434	0.005038	-0.024396
136	18223	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.244937961201665	0.00126241074881562	down_in_mutant	TRUE	Promoter	Klhl42	0	chr6	147029703	147030098	TRUE	0.075717	0.024361	-0.051356
137	26870	1	Active_Promoter	Poised_Enhancer	Activity_Lost	Active_Promoter-Poised_Enhancer	-0.287294391757701	0.0285529496751027	down_in_mutant	TRUE	Promoter	Clcn3	0	chr8	57837102	57837707	FALSE	NA	NA	NA
147	12226	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.0668873157910214	0.486964313162823	unchanged	FALSE	Promoter	Cnr1	0	chr4	33799190	33799536	FALSE	NA	NA	NA
151	32994	1	Active_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Active_Promoter	-0.15802281669471	0.0268051643433432	down_in_mutant	TRUE	Promoter	8430419K02Rik	0	chr11	18751370	18751894	TRUE	0.075178	0.021681	-0.053497
151	7369	1	Active_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Active_Promoter	-0.441396930864424	3.14224082486974e-05	down_in_mutant	TRUE	Promoter	8430419K02Rik	0	chr11	18751370	18751894	TRUE	0.075178	0.021681	-0.053497
151	7583	1	Active_Promoter	Active_Promoter	Activity_Lost	Active_Promoter-Active_Promoter	-0.280575286185293	0.00132850381000356	down_in_mutant	TRUE	Promoter	Meis1	0	chr11	18751370	18751894	TRUE	0.069122	0.016948	-0.052174
157	8491	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.165370660773909	0.020308064769863	down_in_mutant	TRUE	Promoter	Sp4	0	chr12	118112490	118112942	TRUE	0.058351	0.025924	-0.032427
157	33528	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.200463902797738	0.00345775788941989	down_in_mutant	TRUE	Promoter	Sp4	1439	chr12	118112490	118112942	TRUE	0.058351	0.025924	-0.032427
158	672	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.239654143199372	0.0469036115742009	down_in_mutant	TRUE	Promoter	Sptssb	59	chr3	69797602	69797953	TRUE	0.040279	0.016743	-0.023536
167	38866	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	0.246004301116783	0.0179345311386376	up_in_mutant	TRUE	Promoter	Tafa5	0	chr15	86225241	86225600	FALSE	NA	NA	NA
173	32567	1	Active_Promoter	Active_Enhancer	Activity_Lost	Active_Promoter-Active_Enhancer	-0.0662246927377564	0.30847476207345	unchanged	FALSE	Promoter	Gm5089	0	chr14	122230353	122231045	TRUE	0.047838	0.015211	-0.032627
