#peakID	chr	start	end	strand	PC1
chr10-3075000	chr10	3075000	3100000	+	-0.546799582990394
chr10-3100000	chr10	3100000	3125000	+	-0.523151070924508
chr10-3125000	chr10	3125000	3150000	+	-0.180292990558023
chr10-3150000	chr10	3150000	3175000	+	0.154250769881849
chr10-3175000	chr10	3175000	3200000	+	0.0825632861450032
chr10-3200000	chr10	3200000	3225000	+	-0.316144669084175
chr10-3225000	chr10	3225000	3250000	+	-0.338818173669205
chr10-3250000	chr10	3250000	3275000	+	0.0116672641058917
chr10-3275000	chr10	3275000	3300000	+	0.381283572665937
chr10-3300000	chr10	3300000	3325000	+	0.606002951773223
chr10-3325000	chr10	3325000	3350000	+	0.638112406136768
chr10-3350000	chr10	3350000	3375000	+	0.861321444094988
chr10-3375000	chr10	3375000	3400000	+	1.08844754749864
chr10-3400000	chr10	3400000	3425000	+	1.06485676774214
chr10-3425000	chr10	3425000	3450000	+	0.791690211348337
chr10-3450000	chr10	3450000	3475000	+	0.493695665412891
chr10-3475000	chr10	3475000	3500000	+	0.186999859323616
chr10-3500000	chr10	3500000	3525000	+	0.148793818472007
chr10-3525000	chr10	3525000	3550000	+	-0.0108344941445887
chr10-3550000	chr10	3550000	3575000	+	-0.436115903264106
chr10-3575000	chr10	3575000	3600000	+	-0.772176956752144
chr10-3600000	chr10	3600000	3625000	+	-0.874392186736587
chr10-3625000	chr10	3625000	3650000	+	-0.892066403682809
chr10-3650000	chr10	3650000	3675000	+	-0.847494315577938
chr10-3675000	chr10	3675000	3700000	+	-0.770950582464793
chr10-3700000	chr10	3700000	3725000	+	-0.594608474091254
chr10-3725000	chr10	3725000	3750000	+	-0.538781396715037
chr10-3750000	chr10	3750000	3775000	+	-0.683399831250024
chr10-3775000	chr10	3775000	3800000	+	-0.757019397540296
chr10-3800000	chr10	3800000	3825000	+	-0.738448714332995
chr10-3825000	chr10	3825000	3850000	+	-0.704161571717822
chr10-3850000	chr10	3850000	3875000	+	-0.678998235746979
chr10-3875000	chr10	3875000	3900000	+	-0.673286007626173
chr10-3900000	chr10	3900000	3925000	+	-0.513065893309352
chr10-3925000	chr10	3925000	3950000	+	0.0588515978929175
chr10-3950000	chr10	3950000	3975000	+	1.00868704234839
chr10-3975000	chr10	3975000	4000000	+	1.35536116874742
chr10-4000000	chr10	4000000	4025000	+	1.27556790497835
chr10-4025000	chr10	4025000	4050000	+	1.45551819070372
chr10-4050000	chr10	4050000	4075000	+	1.59286735638868
chr10-4075000	chr10	4075000	4100000	+	1.51894120400048
chr10-4100000	chr10	4100000	4125000	+	1.33732374052946
chr10-4125000	chr10	4125000	4150000	+	1.22805647417104
chr10-4150000	chr10	4150000	4175000	+	0.906247422285978
chr10-4175000	chr10	4175000	4200000	+	0.611979765792217
chr10-4200000	chr10	4200000	4225000	+	0.616741705147977
chr10-4225000	chr10	4225000	4250000	+	0.978381985357153
chr10-4250000	chr10	4250000	4275000	+	1.44622800922977
chr10-4275000	chr10	4275000	4300000	+	1.49640905646345
chr10-4300000	chr10	4300000	4325000	+	1.36863194679055
chr10-4325000	chr10	4325000	4350000	+	1.37105329513277
chr10-4350000	chr10	4350000	4375000	+	1.46013728918749
chr10-4375000	chr10	4375000	4400000	+	1.52789890161053
chr10-4400000	chr10	4400000	4425000	+	1.4863977653034
chr10-4425000	chr10	4425000	4450000	+	1.14450849229132
chr10-4450000	chr10	4450000	4475000	+	0.259159384545558
chr10-4475000	chr10	4475000	4500000	+	-0.341720623910375
chr10-4500000	chr10	4500000	4525000	+	-0.507696468501853
chr10-4525000	chr10	4525000	4550000	+	-0.500480285817407
chr10-4550000	chr10	4550000	4575000	+	-0.420426440856254
chr10-4575000	chr10	4575000	4600000	+	-0.3380209123061
chr10-4600000	chr10	4600000	4625000	+	-0.364633673559089
chr10-4625000	chr10	4625000	4650000	+	-0.411477302483819
chr10-4650000	chr10	4650000	4675000	+	-0.178524845134217
chr10-4675000	chr10	4675000	4700000	+	0.0408558084431843
chr10-4700000	chr10	4700000	4725000	+	-0.179216933300093
chr10-4725000	chr10	4725000	4750000	+	-0.468285156753274
chr10-4750000	chr10	4750000	4775000	+	-0.633443639303623
chr10-4775000	chr10	4775000	4800000	+	-0.684532923416299
chr10-4800000	chr10	4800000	4825000	+	-0.644748673479955
chr10-4825000	chr10	4825000	4850000	+	-0.666233098167051
chr10-4850000	chr10	4850000	4875000	+	-0.638768404108942
chr10-4875000	chr10	4875000	4900000	+	-0.577516301723822
chr10-4900000	chr10	4900000	4925000	+	-0.436496858115868
chr10-4925000	chr10	4925000	4950000	+	-0.223133579210833
chr10-4950000	chr10	4950000	4975000	+	-0.022662055541795
chr10-4975000	chr10	4975000	5000000	+	0.417869632995853
chr10-5000000	chr10	5000000	5025000	+	1.07465518225371
chr10-5025000	chr10	5025000	5050000	+	1.46241243933365
chr10-5050000	chr10	5050000	5075000	+	1.60965884969803
chr10-5075000	chr10	5075000	5100000	+	1.64939321548642
chr10-5100000	chr10	5100000	5125000	+	1.58199012328786
chr10-5125000	chr10	5125000	5150000	+	1.59287346081719
