chr	start	end	ATAC.mut_ATAC.tagAlign.bgz.readCount	ATAC.mut_ATAC.tagAlign.bgz.RPM	ATAC.mut_ATAC.tagAlign.bgz.readCount.quantile	ATAC.mut_ATAC.tagAlign.bgz.RPM.quantile	ATAC.mut_ATAC.tagAlign.bgz.RPKM	ATAC.mut_ATAC.tagAlign.bgz.RPKM.quantile	ATAC.RPM	ATAC.RPM.quantile	ATAC.RPKM	ATAC.RPKM.quantile	class	isPromoterElement	isGenicElement	isIntergenicElement	promoterSymbol	genicSymbol	name	normalized_atac	activity_base	activity_base_no_qnorm
chr1	3251831	3252331	332	1.454927	0.401399	0.401399	2.909854	0.411980	1.454927	0.401399	2.909854	0.411980	genic	False	True	False		Xkr4	genic|chr1:3251831-3252331	1.454927	1.454927	1.454927
chr1	3360847	3361347	652	2.857266	0.599475	0.599475	5.714533	0.614524	2.857266	0.599475	5.714533	0.614524	genic	False	True	False		Xkr4	genic|chr1:3360847-3361347	2.857266	2.857266	2.857266
chr1	3369429	3369929	577	2.528593	0.567013	0.567013	5.057186	0.581201	2.528593	0.567013	5.057186	0.581201	genic	False	True	False		Xkr4	genic|chr1:3369429-3369929	2.528593	2.528593	2.528593
chr1	3398914	3399414	370	1.621455	0.434941	0.434941	3.242910	0.446927	1.621455	0.434941	3.242910	0.446927	genic	False	True	False		Xkr4	genic|chr1:3398914-3399414	1.621455	1.621455	1.621455
chr1	3416058	3416558	289	1.266488	0.356415	0.356415	2.532975	0.365136	1.266488	0.356415	2.532975	0.365136	genic	False	True	False		Xkr4	genic|chr1:3416058-3416558	1.266488	1.266488	1.266488
chr1	3447225	3447725	523	2.291948	0.539647	0.539647	4.583897	0.553469	2.291948	0.539647	4.583897	0.553469	genic	False	True	False		Xkr4	genic|chr1:3447225-3447725	2.291948	2.291948	2.291948
chr1	3508433	3508933	280	1.227047	0.345941	0.345941	2.454094	0.354307	1.227047	0.345941	2.454094	0.354307	genic	False	True	False		Xkr4	genic|chr1:3508433-3508933	1.227047	1.227047	1.227047
chr1	3514473	3514973	912	3.996667	0.683633	0.683633	7.993334	0.699711	3.996667	0.683633	7.993334	0.699711	genic	False	True	False		Xkr4	genic|chr1:3514473-3514973	3.996667	3.996667	3.996667
chr1	3517836	3518336	549	2.405888	0.553221	0.553221	4.811777	0.567172	2.405888	0.553221	4.811777	0.567172	genic	False	True	False		Xkr4	genic|chr1:3517836-3518336	2.405888	2.405888	2.405888
chr1	3671248	3671748	938	4.110607	0.690423	0.690423	8.221214	0.706306	4.110607	0.690423	8.221214	0.706306	promoter	True	False	False	Xkr4	Xkr4	promoter|chr1:3671248-3671748	4.110607	4.110607	4.110607
