chr	start	end	num_contexts	mean_coverage	mean_mod_group1	mean_mod_group2	mod_fold_change	mod_difference	test_statistic	dmr_pvalue	dmr_qvalue	annotation	gene	significant	direction	neg_log10_q
chr1	175962305	176275311	2003	19.8979031452821	0.566921912351058	0.672425309378878	1.18609864027004	0.10550339702782	1866.63851023867	2.2250738585072e-308	1.7288823880601e-305	Gene	Pld5	TRUE	Hypermethylated	300
chr2	101950202	102186384	2463	17.0362362971985	0.594984388911577	0.686045989702691	1.15304872277018	0.091061600791114	1505.35028610953	2.2250738585072e-308	1.7288823880601e-305	Gene	Ldlrad3	TRUE	Hypermethylated	300
chr3	69316860	69560801	2507	19.2451136816913	0.570093789139927	0.654786037425885	1.14855844757356	0.084692248285958	1445.63632575025	2.2250738585072e-308	1.7288823880601e-305	Gene	Ppm1l	TRUE	Hypermethylated	300
chr3	141465215	141834923	1790	21.9958100558659	0.519219375048295	0.626988456485602	1.20755982271902	0.107769081437307	1851.76757585817	2.2250738585072e-308	1.7288823880601e-305	Gene	Unc5c	TRUE	Hypermethylated	300
chr3	51685906	52105075	5140	18.4433365758755	0.592498996068767	0.671327415784732	1.13304397178559	0.0788284197159649	2514.81815986408	2.2250738585072e-308	1.7288823880601e-305	Gene	Maml3	TRUE	Hypermethylated	300
chr3	123526165	123690852	1268	20.3895899053628	0.413532744669109	0.535354686053407	1.29458838013366	0.121821941384298	1517.65578042796	2.2250738585072e-308	1.7288823880601e-305	Gene	Ndst3	TRUE	Hypermethylated	300
chr4	98395784	98719602	2787	19.4790096878364	0.642048728671716	0.762731620154007	1.18796531492549	0.120682891482291	3761.50757998794	2.2250738585072e-308	1.7288823880601e-305	Gene	Patj	TRUE	Hypermethylated	300
chr4	82290172	82705749	3778	20.2524483853891	0.436487119398294	0.508156081752863	1.16419490786662	0.0716689623545693	1563.08793390514	2.2250738585072e-308	1.7288823880601e-305	Gene	Nfib	TRUE	Hypermethylated	300
chr5	130369454	130847411	3167	17.2878118092832	0.512003214898285	0.615428838712753	1.20200190312284	0.103425623814467	2363.55741369173	2.2250738585072e-308	1.7288823880601e-305	Gene	Caln1	TRUE	Hypermethylated	300
chr8	57523827	57653031	1594	20.1416248431619	0.422224720368166	0.587413739859497	1.39123483662276	0.165189019491331	3412.18173562662	2.2250738585072e-308	1.7288823880601e-305	Gene	Galnt7	TRUE	Hypermethylated	300
chr8	99024470	99416470	1791	22.9731993299832	0.631199534402418	0.718706197199634	1.13863549959691	0.0875066627972159	1438.54921605927	2.2250738585072e-308	1.7288823880601e-305	Gene	Cdh8	TRUE	Hypermethylated	300
chr10	59446983	59616691	1897	19.6482604111755	0.520654179661481	0.667304094264825	1.28166472167513	0.146649914603345	3266.50792897075	2.2250738585072e-308	1.7288823880601e-305	Gene	Mcu	TRUE	Hypermethylated	300
chr10	105187662	105574450	2999	21.5330110036679	0.607913155597076	0.701075460822488	1.15324936525499	0.0931623052254122	2458.38504501804	2.2250738585072e-308	1.7288823880601e-305	Gene	Tmtc2	TRUE	Hypermethylated	300
chr10	108497649	109010981	3901	22.4374519354012	0.581674597977739	0.760258971908446	1.30701765996242	0.178584373930707	12447.0145337651	2.2250738585072e-308	1.7288823880601e-305	Gene	Syt1	TRUE	Hypermethylated	300
chr12	29528383	29923212	2871	19.5415360501567	0.617962699249273	0.698172002918206	1.12979635140822	0.0802093036689328	1588.69424234706	2.2250738585072e-308	1.7288823880601e-305	Gene	Myt1l	TRUE	Hypermethylated	300
chr12	100548438	100726982	1145	21.4591703056769	0.608661719524499	0.729214331894025	1.19806176157046	0.120552612369526	1606.99265750749	2.2250738585072e-308	1.7288823880601e-305	Gene	Rps6ka5	TRUE	Hypermethylated	300
chr13	108449947	109953460	10478	21.0679280397022	0.672276927024774	0.722018371796568	1.07398951648085	0.0497414447717939	2561.50312139292	2.2250738585072e-308	1.7288823880601e-305	Gene	Pde4d	TRUE	Hypermethylated	300
chr15	37366174	37792569	3409	18.3485626283368	0.608828185244741	0.700478774586518	1.15053604869646	0.0916505893417776	2309.52416587512	2.2250738585072e-308	1.7288823880601e-305	Gene	Ncald	TRUE	Hypermethylated	300
chr16	24393506	24992577	4450	20.2533707865169	0.653495061194908	0.740060140728232	1.13246478003222	0.0865650795333238	3188.9065090893	2.2250738585072e-308	1.7288823880601e-305	Gene	Lpp	TRUE	Hypermethylated	300
chr16	39984360	42181678	10606	22.7480907033754	0.711925273606136	0.7503368733688	1.05395453875109	0.0384115997626636	1808.583325569	2.2250738585072e-308	1.7288823880601e-305	Gene	Lsamp	TRUE	Hypermethylated	300
