loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	shift_status	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	plot_color	resolution	resolution_kb	n_resolutions_detected	resolutions_list	is_multi_resolution	FDR_5kb	FDR_10kb	FDR_25kb	logFC_5kb	logFC_10kb	logFC_25kb	kept_from_resolution	n_overlaps	is_merged	anchor1_K27me3	anchor2_K27me3
loop_9969	chr13	103800000	103825000	chr13	104050000	104075000	chr13:103800000-103825000_chr13:104050000-104075000	TRUE	0.136380053708378	6.08517770021497	10.9825132334378	0.00523966940586678	0.0282897767445396	TRUE	TRUE	weak_differential	up_in_mutant	NA	25000	25	2	5kb,25kb	TRUE	0.232768304020263	NA	0.0282897767445396	0.204032935336364	NA	0.136380053708378	25	2	TRUE	TRUE	TRUE
loop_10185	chr13	31080000	31090000	chr13	31650000	31660000	chr13:31080000-31090000_chr13:31650000-31660000	TRUE	0.126504373443447	5.1959298794164	4.08889301042074	0.056752908631424	0.175997784070483	FALSE	FALSE	non_significant	unchanged	NA	10000	10	2	5kb,10kb	TRUE	0.964881576911329	0.175997784070483	NA	0.00996131997276239	0.126504373443447	NA	10	2	TRUE	TRUE	TRUE
loop_256	chr13	97240000	97245000	chr13	97825000	97830000	chr13:97240000-97245000_chr13:97825000-97830000	TRUE	0.0417573977387967	4.45713746048235	0.108686266844051	0.745770772651136	0.882266449592942	FALSE	FALSE	non_significant	unchanged	NA	5000	5	2	5kb,10kb	TRUE	0.882266449592942	0.983753790040504	NA	0.0417573977387967	0.00328318032799994	NA	5	2	TRUE	TRUE	TRUE
loop_294	chr12	56055000	56060000	chr12	56540000	56545000	chr12:56055000-56060000_chr12:56540000-56545000	FALSE	0.390539107725139	5.4751442522944	18.6922361128749	4.8549541621036e-4	0.0116861621635594	TRUE	TRUE	weak_differential	up_in_mutant	NA	5000	5	1	5kb	FALSE	0.0116861621635594	NA	NA	0.390539107725139	NA	NA	5	1	FALSE	TRUE	TRUE
loop_5455	chr17	71900000	71910000	chr17	72240000	72250000	chr17:71900000-71910000_chr17:72240000-72250000	TRUE	0.0918845963032191	4.85232130149026	1.44089373104018	0.244026090831001	0.449315442816699	FALSE	FALSE	non_significant	unchanged	NA	10000	10	2	5kb,10kb	TRUE	0.675745143835814	0.449315442816699	NA	0.0915136303157303	0.0918845963032191	NA	10	2	TRUE	TRUE	TRUE
loop_550	chr19	46135000	46140000	chr19	46305000	46310000	chr19:46135000-46140000_chr19:46305000-46310000	TRUE	-0.102090454179203	5.51400534286675	1.6964612210043	0.210543420933559	0.461593732653896	FALSE	FALSE	non_significant	unchanged	NA	5000	5	1	5kb	FALSE	0.461593732653896	NA	NA	-0.102090454179203	NA	NA	5	1	FALSE	TRUE	TRUE
loop_12879	chr2	31800000	31825000	chr2	31900000	31925000	chr2:31800000-31825000_chr2:31900000-31925000	FALSE	0.110283881575281	7.48068342763324	5.20519354050715	0.0390261886396403	0.11949207383239	FALSE	FALSE	non_significant	unchanged	NA	25000	25	3	5kb,10kb,25kb	TRUE	0.646856801501883	0.249630846191291	0.11949207383239	0.0657726670773534	0.0971617499877759	0.110283881575281	25	3	TRUE	TRUE	TRUE
loop_735	chr4	63255000	63260000	chr4	63305000	63310000	chr4:63255000-63260000_chr4:63305000-63310000	TRUE	-0.133851216606714	5.6866615183882	3.06284490699232	0.0985713166236768	0.303407979378116	FALSE	FALSE	non_significant	unchanged	NA	5000	5	1	5kb	FALSE	0.303407979378116	NA	NA	-0.133851216606714	NA	NA	5	1	FALSE	TRUE	TRUE
loop_15294	chr6	100150000	100175000	chr6	100275000	100300000	chr6:100150000-100175000_chr6:100275000-100300000	FALSE	0.0348502113360275	6.22713603064934	0.650801170825912	0.433582795499577	0.61113577436661	FALSE	FALSE	non_significant	unchanged	NA	25000	25	3	5kb,10kb,25kb	TRUE	0.865821520082039	0.981929323531121	0.61113577436661	0.0352387635243159	0.0027778910329521	0.0348502113360275	25	3	TRUE	TRUE	TRUE
loop_1016	chr10	120585000	120590000	chr10	120700000	120705000	chr10:120585000-120590000_chr10:120700000-120705000	TRUE	-0.140109157529262	5.47123978904178	2.82236428219981	0.111689837556705	0.326073575698623	FALSE	FALSE	non_significant	unchanged	NA	5000	5	3	5kb,10kb,25kb	TRUE	0.326073575698623	0.673115327673943	0.910100484875262	-0.140109157529262	-0.0374440472758327	0.00821994099226374	5	3	TRUE	TRUE	TRUE
