chr	pos1	pos2	chr2	pos3	pos4	pvalue_added	Stripiness_added	O_Mean_added	O_Sum_added	O/E_Mean_added	O/E_Total_added
chr1	3010001	3025000	chr1	3010001	4320000	0.07770961145194274	-16.74429511222896	3.589029521098811	2810.210115020369	3.207884830082737	7333.224721569137
chr1	3655001	3675000	chr1	3295001	3675000	0.08946830265848671	0.33784611634592354	7.479568834549934	2273.7889257031798	1.644946693762023	2000.25517961462
chr1	5065001	5090000	chr1	4770001	5090000	0.471881390593047	-0.8943820625454575	8.122017732013427	2599.0456742442966	1.4246393978341414	2279.423036534626
chr1	6395001	6415000	chr1	6395001	7215000	0.09100204498977504	0.3860986086343676	4.890956008298521	3208.46714144383	2.795704249651633	7335.927951085884
chr1	9750001	9785000	chr1	9750001	10115000	0.07566462167689161	1.6903012410370626	8.382069851400797	4283.237694065807	1.8937125169349833	6773.8096730764355
chr1	10745001	10775000	chr1	10120001	10775000	0.0541922290388548	3.0609036295841947	5.784989346853928	4547.001626627188	2.356320390551375	11112.406961840285
chr1	10820001	10845000	chr1	10820001	11350000	0.15132924335378323	-0.0528477092464226	5.369000864693125	2818.7254539638907	1.606281164507531	4216.488056832269
chr1	12825001	12840000	chr1	11520001	12840000	0.32413087934560325	-1.0911229062829515	3.133624284382741	2481.830433231131	3.2235530236793006	7659.161984262018
chr1	12855001	12875000	chr1	12855001	13710000	0.04703476482617587	0.6499590289340859	3.9655493031514717	2712.4357233556066	1.8569019852225852	5080.483831568993
chr1	13990001	14010000	chr1	13990001	14250000	0.07770961145194274	0.13828082004210857	8.4356709528014	1754.6195581826912	1.3608533717183278	1132.2300052696487
chr1	14290001	14315000	chr1	14090001	14315000	0.20143149284253578	-0.028558364941503215	10.276924587498602	2312.3080321871853	1.4081511092067898	1584.1699978576385
chr1	14985001	15015000	chr1	14985001	16185000	0.19325153374233128	0.300273741439874	3.408829064539812	4908.71385293733	2.6750702188033193	23112.606690460678
chr1	15275001	15295000	chr1	15275001	15705000	0.1083844580777096	0.7411258465957005	6.897275102432519	2372.6626352367866	2.0129961885643444	2769.8827554645377
chr1	16415001	16440000	chr1	15550001	16440000	0.266359918200409	-0.10576133454374544	3.751362680606893	3338.7127857401347	1.6498689517874214	7341.916835454025
chr1	16425001	16450000	chr1	16425001	16795000	0.10991820040899795	0.054021965602497626	6.729537370835282	2489.9288272090544	1.4014790838693618	2592.7363051583193
chr1	16790001	16815000	chr1	16790001	17140000	0.07361963190184048	2.201413476957296	9.083543913049732	3179.240369567406	2.3091431360958325	4041.000488167707
chr1	17120001	17145000	chr1	16325001	17145000	0.0408997955010225	1.2451478014029884	4.779409925573464	3919.116138970241	2.3295275419969643	9551.062922187553
chr1	20685001	20705000	chr1	20685001	20985000	0.20807770961145194	0.11085760408373269	7.196618683931728	1727.1884841436147	1.1434718498744727	1097.7329758794938
chr1	20925001	20945000	chr1	20925001	21280000	0.08895705521472393	0.9658596480960464	7.995044232074881	2270.5925619092664	1.942991993668373	2207.238904807272
chr1	21140001	21170000	chr1	20745001	21170000	0.2280163599182004	-0.28986435059068466	6.820367461031949	3478.3874051262937	1.6242389420329073	4970.171162620696
chr1	22250001	22270000	chr1	21345001	22270000	0.11247443762781185	0.6049518691193408	4.479429329790534	3314.7777040449955	2.733620040936596	8091.515321172325
chr1	22590001	22615000	chr1	22590001	23385000	0.10122699386503067	0.08348318856965503	5.558237229357848	4418.79859733949	2.782952394751457	11062.235769137042
chr1	22780001	22810000	chr1	22475001	22810000	0.15132924335378323	0.3364008170617062	8.943801388525639	3595.408158187307	1.5803281552927828	3811.7515105661923
chr1	23125001	23145000	chr1	22585001	23145000	0.07413087934560328	2.3065046875099693	6.966963819162386	3121.1997909847487	2.8019240817804207	5021.047954550514
chr1	23315001	23335000	chr1	23315001	23875000	0.31339468302658485	-0.49615192415183285	5.848832764955934	2620.2770787002582	1.766940882220114	3166.3580609384444
chr1	23475001	23505000	chr1	23315001	23505000	0.1221881390593047	0.9161287840059973	13.105983314881367	2988.164195792952	1.778993792403303	2433.6635080077185
chr1	24000001	24035000	chr1	23810001	24035000	0.05521472392638037	0.3334236695288103	11.7230266360014	3692.753390340441	1.695096094698731	3737.686888810702
chr1	24235001	24260000	chr1	23745001	24260000	0.03374233128834356	2.0397605508455845	6.865771849556847	3535.872502521776	1.9417565786366	5000.023189989245
chr1	24370001	24390000	chr1	24370001	24720000	0.04856850715746421	3.10718814827968	8.883575743354756	2487.4012081393316	2.385061365888467	2671.268729795083
chr1	25810001	25830000	chr1	25500001	25830000	0.03987730061349694	1.8572460400456634	9.366960273171705	2472.87751211733	2.0169112037194887	2129.85823112778
chr1	30930001	30950000	chr1	30775001	30950000	0.049079754601226995	0.8860378342759924	11.710716919079715	1639.5003686711602	1.4141558178945433	791.9272580209442
chr1	31140001	31175000	chr1	30700001	31175000	0.1083844580777096	1.4360616176357393	6.6265296222540915	4406.642198798971	1.8869857788765767	8783.918800670464
chr1	33660001	33685000	chr1	33660001	34200000	0.09918200408997954	0.2347323194483985	5.479900145377429	2959.1460785038116	1.253812354695941	3385.2933576790406
chr1	33950001	33975000	chr1	33735001	33975000	0.060838445807770966	1.113090141299718	13.26742163329268	3184.181191990243	1.9198251869101834	2303.79022429222
chr1	34585001	34610000	chr1	34200001	34610000	0.08384458077709611	0.8935749781531522	8.733165083745481	3580.5976843356475	1.6624543737758346	3366.470106896065
chr1	36040001	36065000	chr1	35630001	36065000	0.12474437627811862	0.655608297830609	7.59973036789236	3305.882710033177	1.9543476378279927	4250.706112275884
chr1	37255001	37285000	chr1	37255001	37855000	0.09202453987730061	1.0139039862590602	6.457123365349506	4649.128823051645	1.7858729004248406	7714.970929835312
chr1	37445001	37465000	chr1	37445001	37885000	0.3859918200408998	-1.2309693396110415	8.148639683094434	2868.3211684492408	1.9203650135233659	2703.873939040899
chr1	37620001	37645000	chr1	37290001	37645000	0.0541922290388548	3.3437836698024697	11.082749878220119	3934.376206768142	2.3859496882938904	4235.060696721655
chr1	37880001	37900000	chr1	37880001	38105000	0.14621676891615543	0.06918399382733971	11.146028226311781	2006.2850807361206	1.4784273523123754	1064.4676936649103
chr1	38175001	38195000	chr1	38175001	38735000	0.08742331288343558	1.8366171096104336	7.155010174869381	3205.4445583414827	2.5626860975639008	4592.33348683451
chr1	38755001	38780000	chr1	38185001	38780000	0.018404907975460124	6.2896949919390766	7.911007911491995	4707.049707337737	3.3720070042240935	10031.720837566678
chr1	38995001	39030000	chr1	38995001	39490000	0.02965235173824131	6.442626798251527	8.188128212775524	5674.372851453438	2.8464228517492502	13807.997253835612
chr1	39515001	39535000	chr1	38825001	39535000	0.043456032719836404	4.549863902559577	6.869994074138808	3902.156634110843	2.809897170418307	6384.086371190393
chr1	39675001	39690000	chr1	39675001	40120000	0.14826175869120656	0.46899548035345834	7.724280302868814	2062.3828408659733	2.2655838937312276	1814.7326988787133
chr1	39745001	39775000	chr1	39745001	40005000	0.12116564417177914	0.09889482834230531	13.419997926434375	4187.039353047525	2.42942565572463	4547.884827516507
chr1	39745001	39775000	chr1	39745001	40020000	0.14519427402862986	-0.23017703140715767	12.922499402588054	4264.424802854058	2.4097852120736616	4771.37471990585
chr1	40365001	40385000	chr1	39565001	40385000	0.09662576687116564	0.5254703263604708	4.664221498797042	3059.7293032108596	1.869865144491487	4906.5261391456625
chr1	40560001	40590000	chr1	40560001	40850000	0.17280163599182002	0.108007412070514	8.423691264803425	2931.4445601515918	1.422014657746906	2969.16660537554
chr1	43290001	43310000	chr1	43290001	43750000	0.03783231083844581	4.393570735305516	7.952158449657837	2926.394309474084	2.7040989030107645	3980.4335852318454
chr1	43725001	43750000	chr1	43265001	43750000	0.12678936605316973	0.8058540783517435	6.9936229363019775	3391.907124106459	2.247786635573643	5450.882591266084
chr1	43750001	43775000	chr1	43750001	44160000	0.04703476482617587	1.1677684789876535	7.236047993583857	2966.7796773693813	1.6604364558116407	3403.8947344138633
chr1	50970001	50990000	chr1	50970001	51345000	0.12678936605316973	-1.019637765297133	8.04256074619841	2412.768223859523	2.0243930459546267	2429.271655145552
chr1	51315001	51335000	chr1	50930001	51335000	0.16359918200409	-0.3084026490388557	7.383346921825869	2392.2044026715816	2.0537215157537645	2661.6230844168786
chr1	51585001	51610000	chr1	50975001	51610000	0.06339468302658487	1.87402833478708	5.504028188530461	3495.0578997168427	1.8009669495075566	5718.0700646864925
chr1	51660001	51685000	chr1	51660001	52000000	0.12678936605316973	0.4506749800276366	9.332609842156009	3173.0873463330427	2.357573520791197	4007.874985345035
chr1	52080001	52105000	chr1	51315001	52105000	0.11042944785276074	0.6124411832060354	4.3953149010412735	3472.298771822606	1.6999185821736587	6714.678399585951
chr1	52620001	52640000	chr1	52110001	52640000	0.23210633946830267	-0.5569112106528721	5.780299042089992	2450.8467938461567	1.677046643929598	2844.271108104598
chr1	52630001	52655000	chr1	52630001	52860000	0.04294478527607362	1.2199515483589423	10.855581986681619	2496.7838569367723	1.6450018997536637	1891.7521847167134
chr1	53020001	53040000	chr1	52690001	53040000	0.1339468302658487	0.1804247174892841	7.540587177198573	2111.3644096156004	1.3339952744150996	1494.0747073449115
chr1	53255001	53285000	chr1	52850001	53285000	0.14826175869120656	0.6716558050582574	7.703886827886227	4021.4289241566103	1.9820325321017007	6207.725890542527
chr1	53905001	53925000	chr1	53905001	54425000	0.07259713701431493	1.1721197069308562	6.727441931950062	2798.6158436912256	2.542465064585195	4230.661867469765
chr1	54965001	54985000	chr1	54675001	54985000	0.09304703476482618	1.0330920115793185	10.572364982820027	2621.9465157393665	2.372459184535914	2353.479511059627
chr1	55365001	55395000	chr1	55000001	55395000	0.08997955010224949	0.7306408507452612	6.617569661369756	3136.728019489264	1.174256516873375	3339.585533987878
chr1	55395001	55420000	chr1	55395001	55880000	0.04805725971370143	3.29916609314004	7.434843296376032	3605.8989987423756	2.7714111193038553	6720.6719643118495
chr1	57410001	57430000	chr1	57410001	58470000	0.15030674846625766	4.693717054089109	4.413284335563439	3742.465116557796	3.4153229508710554	11584.77544935462
chr1	57920001	57950000	chr1	57590001	57950000	0.11860940695296524	0.5304232056407415	8.374726026273743	3617.881643350257	1.6883701302680736	4376.255377654847
chr1	58260001	58285000	chr1	57945001	58285000	0.08333333333333333	0.8850001144564915	8.524252510850946	2898.245853689322	1.700029353935572	2890.0499016904723
chr1	58750001	58775000	chr1	58750001	59250000	0.14877300613496933	0.8152913972427686	6.3707269527665416	3185.3634763832706	1.7898580646542832	4474.645161635708
chr1	59300001	59325000	chr1	59300001	59625000	0.04294478527607362	2.901163996710311	12.315877779782971	4002.6602784294655	2.9752845260776706	4834.837354876215
chr1	59300001	59325000	chr1	59300001	59605000	0.053169734151329244	2.6308676691371162	12.272587535760968	3743.139198407095	2.692819392182128	4106.549573077746
chr1	60850001	60875000	chr1	60230001	60875000	0.053169734151329244	4.570735362765986	6.043401594289689	3867.7770203454006	2.630457479412319	8483.225371104729
chr1	62685001	62705000	chr1	61765001	62705000	0.09458077709611452	1.2501180510074463	4.345413383708804	3250.3692110141856	2.82238868105967	8489.745152627487
chr1	63655001	63680000	chr1	63655001	65135000	0.07515337423312883	0.21615924160915678	3.356008645942813	4966.8927959953635	3.267696435083309	24180.953619616485
chr1	63750001	63775000	chr1	63750001	64410000	0.03271983640081799	2.6188585304043266	5.687730021597231	3753.901814254172	2.268302327345034	7485.397680238612
chr1	63750001	63775000	chr1	63750001	64435000	0.02965235173824131	2.8502133090320134	5.64474822008154	3866.6525307558554	2.382482157850414	8160.001390637668
chr1	64430001	64455000	chr1	63815001	64455000	0.054703476482617586	6.4637358168363725	7.616732543408925	4874.708827781712	3.3806154427803072	10817.969416896984
chr1	66095001	66115000	chr1	66095001	66735000	0.20961145194274028	-0.8433676443743745	4.997440827750277	2558.689703808142	1.9168910126865324	3925.7927939820183
chr1	66825001	66845000	chr1	66385001	66845000	0.11196319018404907	0.382814672785828	6.144093067322365	2261.0262487746304	1.316473916873668	1937.8496056380393
chr1	67630001	67650000	chr1	67630001	69030000	0.2898773006134969	-0.5279331841015209	2.733126877338383	3061.102102618989	2.362459426026993	10583.818228600929
chr1	69090001	69115000	chr1	68120001	69115000	0.06237218813905931	0.6620833672982368	4.525441259822661	4502.814053523548	2.8488596686621452	14173.076851594173
chr1	72300001	72325000	chr1	72300001	72640000	0.07515337423312883	3.006160900786851	10.177193947067755	3460.245942003037	2.591596522463059	4405.7140881872
chr1	72845001	72865000	chr1	72225001	72865000	0.049079754601226995	1.2087470421589759	6.0719365768238625	3108.8315273338176	1.8826184324432376	3855.6025496437505
chr1	72880001	72910000	chr1	72880001	74000000	0.10173824130879346	-3.5136575067068168	5.087633547733018	6837.779488153177	3.3431812237187684	26959.413388068147
chr1	73260001	73280000	chr1	72915001	73280000	0.21063394683026584	0.4359017018605316	8.072287240824632	2357.1078743207927	1.8694272036306177	2183.4909738405613
chr1	73600001	73625000	chr1	72930001	73625000	0.14212678936605316	0.1800653916657023	5.7123396554535555	3970.076060540221	2.366849332887181	8224.801431782955
chr1	73815001	73835000	chr1	72930001	73835000	0.10122699386503067	0.8805183230034738	4.624318262328071	3348.0064219255237	2.4679233235067293	7147.105944875488
chr1	73885001	73915000	chr1	73885001	74195000	0.033231083844580775	3.938007992261761	11.71772712913238	4358.994492037245	2.4172148944221554	5395.223644350251
chr1	74745001	74765000	chr1	74450001	74765000	0.21370143149284254	-0.08971984361046212	9.568232277964249	2372.921604935134	1.563580017126959	1576.0886572639747
chr1	75020001	75055000	chr1	74685001	75055000	0.04550102249488752	-5.95053501286465	9.926495100665703	5141.924462144834	1.8594197208915795	5922.25181103968
chr1	75040001	75060000	chr1	75040001	75305000	0.05623721881390593		11.373136870433221	1865.1944467510484	2.0161572569040445	1387.1161927499827
chr1	75040001	75055000	chr1	74630001	75055000	0.081799591002045	-8.245538470890715	8.402063636135491	2117.3200363061437	1.8103050810672563	1238.2486754500032
chr1	75125001	75140000	chr1	74780001	75140000	0.08691206543967281	-7.8564234752031386	8.552562470742048	1539.4612447335687	1.640269265822355	930.0326737212753
chr1	75455001	75475000	chr1	75225001	75475000	0.033231083844580775	3.383357329310127	16.064335097445984	3212.8670194891965	2.685532217776411	2148.425774221129
chr1	75635001	75660000	chr1	75635001	77090000	0.13803680981595093	1.2944463672214743	2.9940790609598964	4326.44424308705	2.891347634655722	21034.554042120377
chr1	75915001	75935000	chr1	75915001	77160000	0.09815950920245399	1.8119113465010581	3.302787460881953	3276.365161194897	2.8080494867569756	11187.26915523979
chr1	77495001	77525000	chr1	76505001	77525000	0.09202453987730061	3.2414351078950374	3.793760978014135	4643.563437089301	2.520404517872938	18509.850779258857
chr1	77970001	77990000	chr1	77970001	78445000	0.09713701431492842	0.9504276427929202	6.659096740918165	2530.4567615489027	2.086295895987719	3171.1697619013325
chr1	78205001	78225000	chr1	78205001	78460000	0.03987730061349693	1.651772607609557	10.69330805666893	2181.4348435604616	2.027573291934998	1654.4998062189584
chr1	78720001	78740000	chr1	78720001	79695000	0.065439672801636	2.8870679012941736	4.582337927014878	3574.223583071605	3.645151163883421	11372.871631316273
chr1	79775001	79795000	chr1	79775001	80490000	0.09304703476482618	1.2741458731070647	5.297226830407485	3030.0137469930814	2.3629007214444853	5368.51043912187
chr1	80170001	80190000	chr1	80170001	80415000	0.14519427402862986	-0.26171530366441964	8.180114603232807	1603.3024622336302	1.3307860199906183	1043.3362396726448
chr1	80495001	80520000	chr1	80185001	80520000	0.06134969325153374	1.05906612005007	8.216096900517874	2752.392461673488	1.8424304912941434	3086.0710729176903
chr1	80825001	80855000	chr1	80825001	81270000	0.06441717791411043	1.6540673134399775	7.201160181343425	3845.419536837389	2.0841195406277535	6677.519008171323
chr1	81280001	81305000	chr1	80505001	81305000	0.05674846625766871	3.507510542311416	5.183194387231013	4146.55550978481	2.7472222884395596	10988.889153758239
chr1	81310001	81330000	chr1	81310001	82440000	0.25920245398773006	0.6623657227072078	3.4520414970494597	3120.6455133327117	3.0857855113256414	11158.200408953518
chr1	82285001	82305000	chr1	81330001	82305000	0.27096114519427406	-1.492284463311557	3.6458071258362	2843.729558152236	2.687267007775808	8384.27306426052
chr1	83400001	83420000	chr1	83400001	83705000	0.1083844580777096	0.044088554791515154	9.710972118483255	2369.4771969099143	1.9476902896509785	1900.945722699355
chr1	83700001	83720000	chr1	83170001	83720000	0.013803680981595092	8.185288754864676	8.167552485458426	3593.723093601707	3.33302855667687	5866.130259751291
chr1	83730001	83750000	chr1	83730001	84710000	0.02965235173824131	6.693265707984126	4.465760284153324	3501.1560627762065	3.4847337755925083	10928.125120258106
chr1	84680001	84705000	chr1	84115001	84705000	0.0598159509202454	1.2248367885064175	5.551962412186219	3275.6578231898693	1.9024612892434423	5612.260803268155
chr1	85325001	85345000	chr1	85150001	85345000	0.17893660531697342	-1.923199679357507	6.253442324471898	975.537002617616	0.958629494780059	460.1421574944283
chr1	85835001	85860000	chr1	85835001	86145000	0.09815950920245398	1.4159679885691436	10.254687775813887	3178.953210502305	2.0096639607937825	3114.979139230363
chr1	86335001	86360000	chr1	86065001	86360000	0.032719836400818	3.4288343912066623	12.86440954531422	3795.000815867695	2.5303700694042135	3732.295852371215
chr1	86645001	86665000	chr1	86645001	87140000	0.12269938650306748	1.0407362018066657	8.005592453471802	3170.2146115748337	2.910654805374197	4610.477211712729
chr1	87025001	87045000	chr1	86625001	87045000	0.06748466257668712	1.433049895643866	9.410892858159427	3162.0600003415675	2.830495920060005	3804.186516560647
chr1	87170001	87190000	chr1	86600001	87190000	0.10633946830265849	0.43762624562922137	6.14687081951232	2901.323026809815	2.241900992712734	4232.709074241642
chr1	88695001	88715000	chr1	88320001	88715000	0.06032719836400818	2.031436714018993	9.986399489722539	3155.702238752322	2.9136306515771957	3682.8291435935753
chr1	88740001	88760000	chr1	88740001	89640000	0.1656441717791411	2.0255955079288466	5.369097807939406	3865.7504217163723	2.92830955654073	8433.531522837302
chr1	89180001	89200000	chr1	88770001	89200000	0.03374233128834356	1.9191226055131576	8.459396019846823	2910.032230827307	2.4747164322512707	3405.2098107777483
chr1	89225001	89250000	chr1	89225001	89635000	0.01993865030674847	6.434931826996705	9.892290776826528	4055.8392184988766	2.9692153682878657	6086.891504990124
chr1	89505001	89525000	chr1	89260001	89525000	0.03169734151329243	2.8180608368605706	13.449818086504573	2851.3614343389695	2.222349178536201	1884.5521033986984
chr1	89930001	89955000	chr1	89510001	89955000	0.06339468302658487	2.772838419364835	8.671638881169294	3858.879302120336	2.3223359245011683	5167.197432015099
chr1	90050001	90070000	chr1	90050001	90520000	0.032208588957055216	3.3106110473634316	7.887313094866569	2965.6297236698297	2.3694484950112686	3563.650536496948
chr1	90575001	90600000	chr1	90025001	90600000	0.02147239263803681	8.870346079820385	8.23386174368797	4734.470502620583	3.7086079253127346	10662.247785274112
chr1	90630001	90650000	chr1	90630001	91345000	0.1656441717791411	-0.2862463150972933	5.810256295371818	3323.46660095268	2.105939670192181	4818.3899653997105
chr1	90960001	90985000	chr1	90960001	91380000	0.09713701431492844	1.068034072872436	8.383085843354017	3520.896054208687	2.0469808444221513	4298.6597732865175
chr1	91560001	91580000	chr1	91560001	91970000	0.1559304703476483	-0.6877229763846305	8.983984099687428	2946.7467846974764	2.510951323561958	3294.368136513289
chr1	92430001	92460000	chr1	91905001	92460000	0.024539877300613498	6.783287611071187	7.9597578093531185	5301.198701029177	3.061159250443019	12232.392364770305
chr1	92940001	92960000	chr1	92940001	93340000	0.10429447852760737	0.7755163345057946	9.419954898610905	3014.3855675554896	1.8924222046463925	2422.3004219473823
chr1	93160001	93185000	chr1	93160001	93510000	0.1278118609406953	-0.30883667546188853	10.48771420699342	3670.6999724476973	2.0434604265579384	3576.0557464763924
