loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	shift_status	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	plot_color	resolution	resolution_kb	n_overlaps	is_merged	anchor1_chr	anchor1_start	anchor1_end	anchor1_midpoint	anchor1_size	anchor2_chr	anchor2_start	anchor2_end	anchor2_midpoint	anchor2_size	loop_distance	distance_category	is_intrachromosomal	anchor1_nearest_gene_idx	anchor1_distance_to_tss	anchor2_nearest_gene_idx	anchor2_distance_to_tss	anchor1_nearest_gene	anchor2_nearest_gene	anchor1_H3K27ac_overlap	anchor1_H3K4me1_overlap	anchor1_type	anchor1_is_promoter	anchor2_H3K27ac_overlap	anchor2_H3K4me1_overlap	anchor2_type	anchor2_is_promoter	loop_type
loop_3407	chr8	71175000	71180000	chr8	71815000	71820000	chr8:71175000-71180000_chr8:71815000-71820000	False	1.07826328357265	5.63801523485481	184.22717141216	3.87002611760196e-09	6.41805131343109e-05	TRUE	TRUE	strong_differential	up_in_mutant	NA	5000	5	3	TRUE	chr8	71175000	71180000	71177500	5000	chr8	71815000	71820000	71817500	5000	640000	500kb-1Mb	TRUE	20138	89241	10925	62018	69419	236193	FALSE	FALSE	Other	FALSE	FALSE	FALSE	Other	FALSE	Other-Other
loop_32	chr8	49530000	49540000	chr8	49820000	49830000	chr8:49530000-49540000_chr8:49820000-49830000	True	-0.656745583497517	4.78133661017832	62.3306987422182	4.67667131200227e-06	0.0151096569131776	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	2	TRUE	chr8	49530000	49540000	49535000	10000	chr8	49820000	49830000	49825000	10000	290000	100-500kb	TRUE	11252	686048	177	538111	23965	100039954	FALSE	FALSE	Other	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Poised_Enhancer-Other
loop_40	chr8	69420000	69430000	chr8	69500000	69510000	chr8:69420000-69430000_chr8:69500000-69510000	True	0.59084196623847	7.67639541537817	46.5236508778638	1.97619803438116e-05	0.0248298304142024	TRUE	TRUE	moderate_differential	up_in_mutant	NA	10000	10	1	FALSE	chr8	69420000	69430000	69425000	10000	chr8	69500000	69510000	69505000	10000	80000	<100kb	TRUE	14771	24460	14771	104460	378466	378466	FALSE	TRUE	Poised_Enhancer	FALSE	FALSE	FALSE	Other	FALSE	Poised_Enhancer-Other
loop_17497	chr8	57325000	57350000	chr8	108700000	108725000	chr8:57325000-57350000_chr8:108700000-108725000	True	-1.2395045022369	1.20084802620893	83.0803161940019	4.24467514857828e-06	0.0105770426836539	TRUE	TRUE	strong_differential	down_in_mutant	NA	25000	25	2	TRUE	chr8	57325000	57350000	57337500	25000	chr8	108700000	108725000	108712500	25000	51375000	>1Mb	TRUE	23117	0	2860	115404	75996	109215	FALSE	TRUE	Other	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Poised_Enhancer-Other
loop_1233	chr9	40880000	40890000	chr9	41570000	41580000	chr9:40880000-40890000_chr9:41570000-41580000	False	-0.746865476518875	3.8875052480666	42.4343810320678	3.06292591098245e-05	0.0288629718344913	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	1	FALSE	chr9	40880000	40890000	40885000	10000	chr9	41570000	41580000	41575000	10000	690000	500kb-1Mb	TRUE	11780	5872	15272	1925	244813	387236	FALSE	FALSE	Other	FALSE	FALSE	TRUE	Other	FALSE	Other-Other
loop_2388	chr8	34870000	34880000	chr8	35470000	35480000	chr8:34870000-34880000_chr8:35470000-35480000	False	0.409405291407823	5.59657024642195	50.624935801225	1.31280553901219e-05	0.0203269185673291	TRUE	TRUE	weak_differential	up_in_mutant	NA	10000	10	1	FALSE	chr8	34870000	34880000	34875000	10000	chr8	35470000	35480000	35475000	10000	6e+05	500kb-1Mb	TRUE	13891	62702	18963	16195	319520	67276	FALSE	TRUE	Poised_Enhancer	FALSE	FALSE	FALSE	Other	FALSE	Poised_Enhancer-Other
loop_4173	chr5	15540000	15550000	chr5	15590000	15600000	chr5:15540000-15550000_chr5:15590000-15600000	False	0.461058202285715	7.23115180012578	42.5873116604477	3.01120608974361e-05	0.0288629718344913	TRUE	TRUE	weak_differential	up_in_mutant	NA	10000	10	1	FALSE	chr5	15540000	15550000	15545000	10000	chr5	15590000	15600000	15595000	10000	50000	<100kb	TRUE	1343	10777	2402	12666	100861755	105242399	FALSE	FALSE	Other	FALSE	FALSE	FALSE	Other	FALSE	Other-Other
loop_4400	chr8	71140000	71150000	chr8	71830000	71840000	chr8:71140000-71150000_chr8:71830000-71840000	False	0.584956492162266	5.7390896144676	71.8803531538524	2.26249233725437e-06	0.0126927796230953	TRUE	TRUE	moderate_differential	up_in_mutant	NA	10000	10	1	FALSE	chr8	71140000	71150000	71145000	10000	chr8	71830000	71840000	71835000	10000	690000	500kb-1Mb	TRUE	20138	54241	10925	42018	69419	236193	FALSE	FALSE	Other	FALSE	FALSE	FALSE	Other	FALSE	Other-Other
loop_4402	chr8	34850000	34860000	chr8	35460000	35470000	chr8:34850000-34860000_chr8:35460000-35470000	False	0.440323437127408	5.42334474839126	68.9248416675221	2.80615042958421e-06	0.0126927796230953	TRUE	TRUE	weak_differential	up_in_mutant	NA	10000	10	1	FALSE	chr8	34850000	34860000	34855000	10000	chr8	35460000	35470000	35465000	10000	610000	500kb-1Mb	TRUE	13891	42702	18963	26195	319520	67276	FALSE	TRUE	Poised_Enhancer	FALSE	FALSE	FALSE	Other	FALSE	Poised_Enhancer-Other
loop_4482	chr8	71210000	71220000	chr8	71780000	71790000	chr8:71210000-71220000_chr8:71780000-71790000	False	1.49389800993366	4.73699026888783	187.579154298514	1.27632347145361e-08	0.0001443266581519	TRUE	TRUE	strong_differential	up_in_mutant	NA	10000	10	1	FALSE	chr8	71210000	71220000	71215000	10000	chr8	71780000	71790000	71785000	10000	570000	500kb-1Mb	TRUE	6427	52713	22161	54283	17925	74015	FALSE	FALSE	Other	FALSE	FALSE	FALSE	Other	FALSE	Other-Other
loop_7624	chr8	34820000	34830000	chr8	35460000	35470000	chr8:34820000-34830000_chr8:35460000-35470000	False	0.571269203610204	4.70797537857336	58.2173685294507	6.58712081606681e-06	0.016552702708463	TRUE	TRUE	moderate_differential	up_in_mutant	NA	10000	10	1	FALSE	chr8	34820000	34830000	34825000	10000	chr8	35460000	35470000	35465000	10000	640000	500kb-1Mb	TRUE	13891	12702	18963	26195	319520	67276	FALSE	TRUE	Poised_Enhancer	FALSE	FALSE	FALSE	Other	FALSE	Poised_Enhancer-Other
loop_8921	chr8	40180000	40190000	chr8	40380000	40390000	chr8:40180000-40190000_chr8:40380000-40390000	True	0.387186708723159	5.79552440937429	53.1911199569557	1.03040207249788e-05	0.0194196443930101	TRUE	TRUE	weak_differential	up_in_mutant	NA	10000	10	1	FALSE	chr8	40180000	40190000	40185000	10000	chr8	40380000	40390000	40385000	10000	2e+05	100-500kb	TRUE	23788	117457	20605	33814	78506	70546	FALSE	TRUE	Poised_Enhancer	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Poised_Enhancer-Poised_Enhancer
loop_8976	chr8	36525000	36550000	chr8	37050000	37075000	chr8:36525000-36550000_chr8:37050000-37075000	False	0.426450581847571	4.93273348477975	70.2565904899825	8.85989331518526e-06	0.0152941059360189	TRUE	TRUE	weak_differential	up_in_mutant	NA	25000	25	2	TRUE	chr8	36525000	36550000	36537500	25000	chr8	37050000	37075000	37062500	25000	525000	500kb-1Mb	TRUE	13906	67451	15478	25761	319582	414128	FALSE	TRUE	Poised_Enhancer	FALSE	FALSE	FALSE	Other	FALSE	Poised_Enhancer-Other
loop_8987	chr8	48220000	48230000	chr8	49820000	49830000	chr8:48220000-48230000_chr8:49820000-49830000	False	-0.905794553208113	3.7898328490855	64.4401626922305	3.95267286242227e-06	0.0148989415760903	TRUE	TRUE	moderate_differential	down_in_mutant	NA	10000	10	1	FALSE	chr8	48220000	48230000	48225000	10000	chr8	49820000	49830000	49825000	10000	1600000	>1Mb	TRUE	14198	120907	177	538111	320685	100039954	FALSE	TRUE	Poised_Enhancer	FALSE	FALSE	TRUE	Poised_Enhancer	FALSE	Poised_Enhancer-Poised_Enhancer
