stripe_id	chr	pos1	pos2	chr2	pos3	pos4	direction_type	source	pval_ctrl	pval_mut	stripiness_ctrl	stripiness_mut	mean_ctrl	mean_mut	stripe_length	stripe_width	anchor_center	logFC	logCPM	F	PValue	FDR	significant_FDR05	significant_FDR10	direction_edgeR	direction	direction_confidence	direction_consistent	effect_category	in_10kb	logFC_10kb	FDR_10kb	direction_10kb	resolution_support
stripe_0001	chr1	3005001	3025000	chr1	3005001	4185000	3prime	shared	0.0765	0.053	0.231489889285988	1.57340708443024	41053.4693599061	83505.9288079318	1180000	20000	3015000.5	0.120313115800541	7.0337922313816	26.7529613666246	9.44921647037602e-5	0.0010865861872565	TRUE	TRUE	up_in_mutant	unchanged	high	NA	minimal	FALSE	NA	NA	NA	5kb_only
stripe_0002	chr1	3010001	3030000	chr1	3010001	4350000	3prime	mutant_only	NA	0.044	NA	-6.48280102835648	NA	39889.1749671359	1340000	20000	3020000.5	0.169066814214427	7.1269538828926	48.9149308686522	3.13703056730562e-6	9.71556819815534e-5	TRUE	TRUE	up_in_mutant	gained	high	TRUE	minimal	FALSE	NA	NA	NA	5kb_only
stripe_0003	chr1	3200001	3220000	chr1	3200001	3755000	3prime	mutant_only	NA	0.047	NA	0.239237534610914	NA	139718.84136775	555000	20000	3210000.5	0.193368946557655	6.74557734244251	59.6623172092527	9.08595445172115e-7	4.54704911546111e-5	TRUE	TRUE	up_in_mutant	gained	high	TRUE	minimal	FALSE	NA	NA	NA	5kb_only
stripe_0004	chr1	3355001	3375000	chr1	3355001	3675000	3prime	mutant_only	NA	0.0575	NA	-1.75921890693552	NA	301509.271888421	320000	20000	3365000.5	0.16474600468368	6.60237095678425	35.5611260202452	2.03905024977505e-5	3.559560387899e-4	TRUE	TRUE	up_in_mutant	gained	high	TRUE	minimal	FALSE	NA	NA	NA	5kb_only
stripe_0005	chr1	3660001	3680000	chr1	3230001	3680000	5prime	mutant_only	NA	0.027	NA	2.00215871725739	NA	195606.22765155	450000	20000	3670000.5	0.244460333857849	6.68818805876938	99.0624509987959	3.11235088540432e-8	4.68186497475822e-6	TRUE	TRUE	up_in_mutant	gained	high	TRUE	minimal	FALSE	NA	NA	NA	5kb_only
stripe_0006	chr1	6385001	6415000	chr1	6385001	7210000	3prime	shared	0.023	0.023	7.6727954133617	3.34408179434545	117158.45609331	105288.691549293	825000	30000	6400000.5	-0.0291009098598227	7.63845265332553	2.18992800564764	0.158458799257978	0.279760433372588	FALSE	FALSE	unchanged	unchanged	low	NA	minimal	TRUE	-0.0348509562914591	0.123991934768079	gained	both_discordant
stripe_0007	chr1	6485001	6510000	chr1	6485001	6880000	3prime	mutant_only	NA	0.093	NA	-0.359699569084685	NA	167789.134522857	395000	25000	6497500.5	0.0290610526731544	7.20619322062924	1.66092275077325	0.215917628144037	0.352498081295614	FALSE	FALSE	unchanged	gained	low	TRUE	minimal	FALSE	NA	NA	NA	5kb_only
stripe_0008	chr1	6715001	6735000	chr1	6210001	6735000	5prime	shared	0.082	0.0815	-4.03486541675114	-4.83257541717327	190820.060897787	170223.849100487	525000	20000	6725000.5	0.030838673708144	6.75014791160756	1.6431967516074	0.21826683163912	0.355074998016321	FALSE	FALSE	unchanged	unchanged	low	NA	minimal	FALSE	NA	NA	NA	5kb_only
stripe_0009	chr1	7200001	7220000	chr1	6165001	7220000	5prime	shared	0.043	0.095	-4.21954810472161	-6.7523666004583	98033.478491951	78814.7541525967	1055000	20000	7210000.5	-0.0896154973683885	6.99728322768907	17.3655252612181	7.3588092105666e-4	0.00501028036712634	TRUE	TRUE	down_in_mutant	unchanged	high	NA	minimal	FALSE	NA	NA	NA	5kb_only
stripe_0010	chr1	9545001	9570000	chr1	9545001	10260000	3prime	shared	0.074	0.08	0.327044308337541	-0.173420062097359	120213.450728274	113680.288349614	715000	25000	9557500.5	-0.0807967904188398	7.22601157709165	10.7572992328539	0.00474837298707626	0.0200344918647619	TRUE	TRUE	down_in_mutant	unchanged	high	NA	minimal	FALSE	NA	NA	NA	5kb_only
