stripe_id	chr	pos1	pos2	chr2	pos3	pos4	direction_type	source	pval_ctrl	pval_mut	stripiness_ctrl	stripiness_mut	mean_ctrl	mean_mut	stripe_length	stripe_width	anchor_center	logFC	logCPM	F	PValue	FDR	significant_FDR05	significant_FDR10	direction_edgeR	direction	direction_confidence	direction_consistent	effect_category	stripe_length_kb	anchor_width_kb	plot_cat	FDR_safe	distance_to_tss	nearest_gene_id	nearest_gene	nearest_coding_dist	nearest_coding_id	nearest_coding_gene	body_genes	body_gene_count	h3k27ac	h3k27me3	h3k4me1	h3k4me3	bivalent	anchor_type
stripe_0001	chr1	3005001	3025000	chr1	3005001	4185000	3prime	shared	0.0765	0.053	0.231489889285988	1.57340708443024	41053.4693599061	83505.9288079318	1180000	20000	3015000.5	0.120313115800541	7.0337922313816	26.7529613666246	9.44921647037602e-05	0.0010865861872565	TRUE	TRUE	up_in_mutant	unchanged	high	NA	minimal	1180	20	Unchanged	0.0010865861872565	646497	497097	Xkr4	646497	497097	Xkr4	Xkr4	1	FALSE	FALSE	FALSE	FALSE	FALSE	Other
stripe_0002	chr1	3010001	3030000	chr1	3010001	4350000	3prime	mutant_only	NA	0.044	NA	-6.48280102835648	NA	39889.1749671359	1340000	20000	3020000.5	0.169066814214427	7.1269538828926	48.9149308686522	3.13703056730562e-06	9.71556819815534e-05	TRUE	TRUE	up_in_mutant	gained	high	TRUE	minimal	1340	20	Gained (High)	9.71556819815534e-05	641497	497097	Xkr4	641497	497097	Xkr4	Xkr4	1	FALSE	FALSE	FALSE	FALSE	FALSE	Other
stripe_0003	chr1	3200001	3220000	chr1	3200001	3755000	3prime	mutant_only	NA	0.047	NA	0.239237534610914	NA	139718.84136775	555000	20000	3210000.5	0.193368946557655	6.74557734244251	59.6623172092527	9.08595445172115e-07	4.54704911546111e-05	TRUE	TRUE	up_in_mutant	gained	high	TRUE	minimal	555	20	Gained (High)	4.54704911546111e-05	451497	497097	Xkr4	451497	497097	Xkr4	Xkr4	1	FALSE	FALSE	TRUE	FALSE	FALSE	Poised_Enhancer
stripe_0004	chr1	3355001	3375000	chr1	3355001	3675000	3prime	mutant_only	NA	0.0575	NA	-1.75921890693552	NA	301509.271888421	320000	20000	3365000.5	0.16474600468368	6.60237095678425	35.5611260202452	2.03905024977505e-05	0.000355956038789908	TRUE	TRUE	up_in_mutant	gained	high	TRUE	minimal	320	20	Gained (High)	0.000355956038789908	296497	497097	Xkr4	296497	497097	Xkr4	Xkr4	1	FALSE	FALSE	TRUE	FALSE	FALSE	Poised_Enhancer
stripe_0005	chr1	3660001	3680000	chr1	3230001	3680000	5prime	mutant_only	NA	0.027	NA	2.00215871725739	NA	195606.22765155	450000	20000	3670000.5	0.244460333857849	6.68818805876938	99.0624509987959	3.11235088540432e-08	4.68186497475822e-06	TRUE	TRUE	up_in_mutant	gained	high	TRUE	minimal	450	20	Gained (High)	4.68186497475822e-06	0	497097	Xkr4	0	497097	Xkr4	Xkr4	1	TRUE	FALSE	TRUE	TRUE	FALSE	Active_Promoter
stripe_0006	chr1	6385001	6415000	chr1	6385001	7210000	3prime	shared	0.023	0.023	7.6727954133617	3.34408179434545	117158.45609331	105288.691549293	825000	30000	6400000.5	-0.0291009098598227	7.63845265332553	2.18992800564764	0.158458799257978	0.279760433372588	FALSE	FALSE	unchanged	unchanged	low	NA	minimal	825	30	Unchanged	0.279760433372588	25782	620393	Alkal1	25782	620393	Alkal1	Pcmtd1,St18	2	FALSE	FALSE	TRUE	FALSE	FALSE	Poised_Enhancer
stripe_0007	chr1	6485001	6510000	chr1	6485001	6880000	3prime	mutant_only	NA	0.093	NA	-0.359699569084685	NA	167789.134522857	395000	25000	6497500.5	0.0290610526731544	7.20619322062924	1.66092275077325	0.215917628144037	0.352498081295614	FALSE	FALSE	unchanged	gained	low	TRUE	minimal	395	25	Gained (Low)	0.352498081295614	0	240690	St18	0	240690	St18	St18	1	FALSE	FALSE	FALSE	FALSE	FALSE	Other
stripe_0008	chr1	6715001	6735000	chr1	6210001	6735000	5prime	shared	0.082	0.0815	-4.03486541675114	-4.83257541717327	190820.060897787	170223.849100487	525000	20000	6725000.5	0.030838673708144	6.75014791160756	1.6431967516074	0.21826683163912	0.355074998016321	FALSE	FALSE	unchanged	unchanged	low	NA	minimal	525	20	Unchanged	0.355074998016321	227769	240690	St18	227769	240690	St18	Alkal1,St18	2	TRUE	FALSE	TRUE	TRUE	FALSE	Active_Enhancer
stripe_0009	chr1	7200001	7220000	chr1	6165001	7220000	5prime	shared	0.043	0.095	-4.21954810472161	-6.7523666004583	98033.478491951	78814.7541525967	1055000	20000	7210000.5	-0.0896154973683885	6.99728322768907	17.3655252612181	0.000735880921056662	0.00501028036712634	TRUE	TRUE	down_in_mutant	unchanged	high	NA	minimal	1055	20	Unchanged	0.00501028036712634	111080	319263	Pcmtd1	111080	319263	Pcmtd1	Alkal1,Pcmtd1,Rb1cc1,St18	4	FALSE	FALSE	TRUE	FALSE	FALSE	Poised_Enhancer
stripe_0010	chr1	9545001	9570000	chr1	9545001	10260000	3prime	shared	0.074	0.08	0.327044308337541	-0.173420062097359	120213.450728274	113680.288349614	715000	25000	9557500.5	-0.0807967904188398	7.22601157709165	10.7572992328539	0.00474837298707626	0.0200344918647619	TRUE	TRUE	down_in_mutant	unchanged	high	NA	minimal	715	25	Unchanged	0.0200344918647619	0	76187	Adhfe1	0	76187	Adhfe1	Adhfe1,Arfgef1,Cops5,Cspp1,Mcmdc2,Mybl1,Ppp1r42,Rrs1,Sgk3,Tcf24,Vcpip1,Vxn	12	FALSE	FALSE	TRUE	TRUE	FALSE	Other
