chr	Boundary	Gap_Score	TAD_Score1	TAD_Score2	Differential	Enriched_In	Type	robust_in_ctrl	robust_in_mut	robustness	shift_distance	shift_distance_kb
chr8	30100000	-2.1718087977753786	1.377719301563631	2.0921011050789207	Differential	Matrix 2	Merge	FALSE	FALSE	Neither	NA	NA
chr8	30230000	1.731009741395354	1.5654215621412342	0.9959493267627768	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	30240000	0.4750381094401467	1.5880037438333532	1.4316877935466397	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	30370000	3.3135797027136933	1.788223440757785	0.6981513048848694	Differential	Matrix 1	Complex	FALSE	FALSE	Neither	NA	NA
chr8	30540000	2.209275856232485	1.639338558174763	0.9125363927213418	Differential	Matrix 1	Complex	FALSE	FALSE	Neither	NA	NA
chr8	30710000	0.905343931916468	2.8242287669764017	2.5263228605906267	Non-Differential	Matrix 1	Non-Differential	TRUE	FALSE	Control_only	NA	NA
chr8	30840000	1.612428434586906	2.043416213155554	1.5129366656277188	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	31080000	0.18441603265956108	2.605786651640734	2.545039831522164	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	31090000	-0.3095108590478869	5.614854801734775	5.71649208315317	Non-Differential	Matrix 2	Non-Differential	TRUE	TRUE	Both	NA	NA
chr8	31570000	0.9632944213400628	1.6437875411132732	1.3268559181110164	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	31590000	-1.2210367110114853	1.150447296548408	1.5520759258718937	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	31880000	-1.7043556840021503	0.9832702237984232	1.5438938910499025	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	32030000	2.6135713240669	1.6637699358091689	0.8039723518747754	Differential	Matrix 1	Split	FALSE	FALSE	Neither	NA	NA
chr8	32200000	0.06906916119518391	1.516523946382046	1.4937554007866367	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	32320000	-0.6648673598030688	1.4435816274273658	1.6622468056662012	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	32630000	0.19275017414099596	2.2819103030527197	2.2184321762311328	Non-Differential	Matrix 1	Non-Differential	FALSE	TRUE	Mutant_only	NA	NA
chr8	32780000	-1.965805888990184	1.388231972795958	2.0348479454096275	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	32790000	1.0128471894193922	1.981376794637028	1.6481339092592453	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	33060000	-1.869399766758839	1.1378921708757277	1.752802873193939	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	33070000	2.7953930562864295	1.6568157883616952	0.7372074227634264	Differential	Matrix 1	Split	FALSE	FALSE	Neither	NA	NA
chr8	33370000	1.7447085776945248	2.2057376920061724	1.6317389172902077	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	33380000	1.38596787478315	2.808674292154362	2.3526656682305735	Non-Differential	Matrix 1	Non-Differential	TRUE	FALSE	Control_only	NA	NA
chr8	33700000	3.0243961077922035	1.5394232473379352	0.5444871051659489	Differential	Matrix 1	Split	FALSE	FALSE	Neither	NA	NA
chr8	33710000	-1.5381156918005734	1.248701472510391	1.7546314204438238	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	33720000	2.652996830640655	2.1725175983404754	1.2997347428761996	Differential	Matrix 1	Split	FALSE	FALSE	Neither	NA	NA
chr8	33730000	-1.8470375520334428	1.455348826581137	2.062893346860297	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	33810000	0.29207696809745864	1.7323364297709938	1.6362017295853926	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	33830000	-1.9260244741109616	0.8775948547809432	1.5111407182896512	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	34040000	0.05564824957559003	5.230339865037543	5.211868726897669	Non-Differential	Matrix 1	Non-Differential	TRUE	TRUE	Both	NA	NA
chr8	34160000	1.693724534834536	2.217179850164197	1.6599521227505198	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	34170000	1.2128030890358164	2.246455435771729	1.847427856745604	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	34180000	-1.686740679738209	1.8381695816585424	2.392971683533254	Non-Differential	Matrix 2	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	34320000	1.452069707294268	2.5478388014336275	2.070093959064004	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	34800000	0.6890141253587787	2.133731251283978	1.9070097567797135	Non-Differential	Matrix 1	Non-Differential	FALSE	FALSE	Neither	NA	NA
chr8	34810000	-0.9175759224437104	2.327450006810707	2.62921674514794	Non-Differential	Matrix 2	Non-Differential	FALSE	TRUE	Mutant_only	NA	NA
