chr	pos1	pos2	chr2	pos3	pos4	pvalue_added	Stripiness_added	O_Mean_added	O_Sum_added	O/E_Mean_added	O/E_Total_added
chr1	3010001	3025000	chr1	3010001	4320000	0.4187116564417178	-15.111331950957478	3.3005242116289972	2594.2120303403917	2.8936200496499667	6614.8154334998235
chr1	3655001	3675000	chr1	3295001	3675000	0.0736196319018405	0.7938014963806965	6.678966411728399	2030.4057891654331	1.624155491594574	1974.9730777790019
chr1	5065001	5090000	chr1	4770001	5090000	0.13701431492842536	0.10892270910318905	7.391032400276271	2365.1303680884066	1.6291195766045192	2606.5913225672307
chr1	6395001	6415000	chr1	6395001	7215000	0.23261758691206544	-0.45080298489326615	4.521661085005254	2966.2096717634467	2.7648447433806433	7254.952606630808
chr1	9750001	9785000	chr1	9750001	10115000	0.06850715746421268	1.5609224434610427	7.590879717756078	3878.9395357733556	1.9120256874860628	6839.315884137647
chr1	10745001	10775000	chr1	10120001	10775000	0.12372188139059305	1.4982466591435173	5.137873865983816	4038.3688586632798	2.201557414562758	10382.544767077967
chr1	10820001	10845000	chr1	10820001	11350000	0.1083844580777096	-0.2773605716955504	5.089074035525596	2671.7638686509376	1.708594875676033	4485.061548649586
chr1	12825001	12840000	chr1	11520001	12840000	0.24233128834355827	-1.81281228879219	2.7404457332716645	2170.4330207511584	2.909750880605925	6913.568092319678
chr1	12855001	12875000	chr1	12855001	13710000	0.05521472392638037	0.9255375746654728	3.460660001771235	2367.091441211525	1.7977441665461456	4918.628039670254
chr1	13990001	14010000	chr1	13990001	14250000	0.5603271983640081	-0.8277492875474504	7.479528395796594	1555.7419063256916	1.2094037216218458	1006.2238963893757
chr1	14290001	14315000	chr1	14090001	14315000	0.2443762781186094	-0.5505129870645514	9.195831602147246	2069.0621104831303	1.3040582436889205	1467.0655241500356
chr1	14985001	15015000	chr1	14985001	16185000	0.2060327198364008	-0.23311539452637864	3.301360837031929	4753.9596053259775	2.7199104516644304	23500.026302380676
chr1	15275001	15295000	chr1	15275001	15705000	0.08333333333333333	1.1325344273451818	6.463503644658452	2223.4452537625075	2.035510893348686	2800.862989247792
chr1	16415001	16440000	chr1	15550001	16440000	0.1278118609406953	0.5371711328849498	3.5485108053050363	3158.1746167214824	1.7437689663526692	7759.7719002693775
chr1	16425001	16450000	chr1	16425001	16795000	0.18916155419222905	-0.5636552252774963	6.024611522306794	2229.106263253514	1.353336437464464	2503.6724093092585
chr1	16790001	16815000	chr1	16790001	17140000	0.037321063394683024	2.657774853204508	8.286520342036631	2900.282119712821	2.3187028864401857	4057.730051270325
chr1	17120001	17145000	chr1	16325001	17145000	0.09304703476482618	0.5974416633327124	4.415865987958498	3621.010110125969	2.2606411063883423	9268.628536192204
