#rep1_rep2_merge_0 Stitched Peaks
#Created from /pbld/raidix/home/tpopay/GEO_data/Kang2020/interphase_H3K27ac_rep_june24/rep_merge/ROSE/TSS-2500_stitch-12500/rep1_rep2_merge_0_12.5KB_STITCHED_TSS_DISTAL_REGION_MAP.txt
#Ranked by rep1_rep2.interphase.H3K27ac.merge.bam
#Using cutoff of 13708.555 for Super-Stitched Peaks
#Created on Jul 05 2024 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	rep1_rep2.interphase.H3K27ac.merge.bam	rep1_rep2.interphase.input.merge.bam	stitchedPeakRank	isSuper
36_rep1_rep2_merge_0.001_peak_24868_lociStitched	chr15	67064822	67202086	36	91944	171429.0096	11461.544	1	1
33_rep1_rep2_merge_0.001_peak_49734_lociStitched	chr3	141359170	141483550	33	67831	165798.54	13868.37	2	1
17_rep1_rep2_merge_0.001_peak_16952_lociStitched	chr12	65597755	65697022	17	57815	156762.4464	13083.3906	3	1
40_rep1_rep2_merge_0.001_peak_3335_lociStitched	chr1	94209085	94335867	40	68587	142579.0372	16025.2448	4	1
42_rep1_rep2_merge_0.001_peak_9546_lociStitched	chr10	79066480	79197384	42	73739	137239.7536	11218.4728	5	1
44_rep1_rep2_merge_0.001_peak_36025_lociStitched	chr2	36329176	36516868	44	88271	146399.76	21734.7336	6	1
15_rep1_rep2_merge_0.001_peak_75200_lociStitched	chr9	112007559	112084494	15	54613	132312.813	8016.627	7	1
17_rep1_rep2_merge_0.001_peak_9944_lociStitched	chr10	93422207	93484505	17	42312	132127.8282	8235.7956	8	1
36_rep1_rep2_merge_0.001_peak_42844_lociStitched	chr20	38092967	38222576	36	83592	134158.2759	10731.6252	9	1
32_rep1_rep2_merge_0.001_peak_62623_lociStitched	chr6	52498412	52616987	32	81632	131309.955	10553.175	10	1
21_rep1_rep2_merge_0.001_peak_22257_lociStitched	chr14	61523271	61625324	21	56755	128025.4885	10521.6643	11	1
20_rep1_rep2_merge_0.001_peak_3051_lociStitched	chr1	85543941	85630862	20	48285	122184.8497	9613.4626	12	1
24_rep1_rep2_merge_0.001_peak_44993_lociStitched	chr22	30187889	30263709	24	56667	116876.53	5428.712	13	1
13_rep1_rep2_merge_0.001_peak_14660_lociStitched	chr11	122156440	122216114	13	48120	117086.3554	7501.0218	14	1
33_rep1_rep2_merge_0.001_peak_13252_lociStitched	chr11	69280100	69379699	33	51303	113642.459	7569.524	15	1
28_rep1_rep2_merge_0.001_peak_34100_lociStitched	chr19	38636941	38735217	28	58382	108919.2908	5739.3184	16	1
15_rep1_rep2_merge_0.001_peak_3010_lociStitched	chr1	85278382	85346741	15	49940	110762.0877	7847.6132	17	1
10_rep1_rep2_merge_0.001_peak_42699_lociStitched	chr20	35297091	35342609	10	31820	106871.7122	4192.2078	18	1
43_rep1_rep2_merge_0.001_peak_9429_lociStitched	chr10	77477706	77642856	43	61453	124390.98	22691.61	19	1
25_rep1_rep2_merge_0.001_peak_36623_lociStitched	chr2	47002888	47091659	25	48179	106809.2672	5139.8409	20	1
28_rep1_rep2_merge_0.001_peak_45189_lociStitched	chr22	36312184	36417966	28	59576	107231.2134	6822.939	21	1
13_rep1_rep2_merge_0.001_peak_57298_lociStitched	chr5	57797320	57845424	13	37304	106280.9776	6965.4592	22	1
17_rep1_rep2_merge_0.001_peak_50669_lociStitched	chr3	170688084	170768948	17	43858	109134.0544	10108	23	1
32_rep1_rep2_merge_0.001_peak_4906_lociStitched	chr1	172857794	173003319	32	61407	116536.42	17608.525	24	1
12_rep1_rep2_merge_0.001_peak_7504_lociStitched	chr10	4657876	4706617	12	35648	103662.3588	6311.9595	25	1
15_rep1_rep2_merge_0.001_peak_44852_lociStitched	chr22	27100387	27172102	15	38017	102939.711	7078.2705	26	1
19_rep1_rep2_merge_0.001_peak_38588_lociStitched	chr2	133777295	133845546	19	43743	100315.3198	7650.9371	27	1
24_rep1_rep2_merge_0.001_peak_11689_lociStitched	chr11	12156025	12240379	24	54441	100634.322	8123.2902	28	1
22_rep1_rep2_merge_0.001_peak_46424_lociStitched	chr3	25423430	25514170	22	55839	101411.024	9745.476	29	1
25_rep1_rep2_merge_0.001_peak_60532_lociStitched	chr5	172850132	172956825	25	47668	97325.3546	6668.3125	30	1
28_rep1_rep2_merge_0.001_peak_56670_lociStitched	chr5	33771818	33859760	28	57025	100333.0278	10210.0662	31	1
16_rep1_rep2_merge_0.001_peak_51535_lociStitched	chr3	197461512	197519322	16	42589	93935.469	4162.32	32	1
