gene	chr	start	end	mc_ctrl	mc_mut	hmc_ctrl	hmc_mut	total_ctrl	total_mut	is_coordinated	is_mecp2_up
Vmn2r65	chr7	84935565	84964115	0.805436709376892	0.795590871848445	0.0127234783743399	0.00732269176012348	0.818160187751232	0.802913563608568	FALSE	FALSE
Cep85l	chr10	53273443	53379947	0.624602613201785	0.688937200866545	0.242005765461647	0.193680799327488	0.866608378663432	0.882618000194033	TRUE	FALSE
Gfy	chr7	45176349	45179569	0.429298160935369	0.43800113885952	0.118311141780558	0.0657504163249556	0.547609302715927	0.503751555184476	FALSE	FALSE
Dynlt1c	chr17	6601792	6607549	0.642017406145584	0.720538964172043	0.197016899554202	0.149930800976247	0.839034305699786	0.87046976514829	FALSE	FALSE
Ly6c2	chr15	75108158	75111970	0.745410183770764	0.683897177355784	0.0614051974346464	0.0798343496003157	0.80681538120541	0.7637315269561	FALSE	FALSE
Nrg2	chr18	36017652	36197380	0.334438399117439	0.357234010009319	0.335976174288208	0.320607138985515	0.670414573405647	0.677841148994834	TRUE	FALSE
Thoc2l	chr5	104508352	104522611	0.801073178370947	0.82162713253238	0.121716939279495	0.104790363244883	0.922790117650442	0.926417495777263	FALSE	FALSE
Nps	chr7	135258703	135272942	0.834584908943781	0.820093868264974	0.0827390893571457	0.102158642985357	0.917323998300927	0.922252511250331	FALSE	FALSE
Cfap43	chr19	47736857	47919287	0.763548227757446	0.757925624212866	0.0642066722282735	0.0663318029350756	0.82775489998572	0.824257427147942	FALSE	FALSE
Camta1	chr4	150917322	151861876	0.667444603233927	0.664180599285729	0.18233278746241	0.175309398660358	0.849777390696337	0.839489997946087	FALSE	FALSE
Dnah7c	chr1	46425592	46807476	0.835946073982384	0.83606432793933	0.02791213336026	0.0259042304702322	0.863858207342644	0.861968558409562	FALSE	FALSE
Pcsk9	chr4	106442329	106464329	0.733493855526635	0.725864108056825	0.148994500916755	0.13642867228915	0.88248835644339	0.862292780345975	FALSE	FALSE
Shoc1	chr4	59043753	59138983	0.801107576441331	0.800613476622261	0.0650327800028558	0.0632921971860943	0.866140356444187	0.863905673808355	FALSE	FALSE
Phactr4	chr4	132355923	132422489	0.794739883172064	0.803468102317703	0.0919289457989521	0.0768257969805847	0.886668828971016	0.880293899298288	TRUE	FALSE
