stripe_id	chr	pos1	pos2	pos3	pos4	direction	direction_confidence	significant_FDR05	stripe_logFC	stripe_FDR	anchor_pc1_ctrl	anchor_pc1_mut	anchor_pc1_delta	anchor_n_bins	anchor_compartment	body_pc1_ctrl	body_pc1_mut	body_pc1_delta	body_n_bins	body_compartment	anchor_on_switched_bin
stripe_0001	chr1	3010001	3025000	3010001	4320000	lost	low	FALSE	0.00295835207313687	0.963786627134917	-1.016	-1.03266666666667	-0.0166666666666699	1	B	-0.975773584905661	-0.898924528301886	0.0768490566037743	53	B	FALSE
stripe_0002	chr1	3655001	3675000	3295001	3675000	lost	low	FALSE	0.0586022501736157	0.285345505071663	-0.709	-0.688666666666667	0.020333333333333	1	B	-0.7116875	-0.550041666666667	0.161645833333333	16	B	FALSE
stripe_0003	chr1	5065001	5090000	4770001	5090000	gained	low	FALSE	0.0169680383232977	0.810264348425194	-0.545833333333334	-0.673333333333334	-0.1275	2	B	-0.465833333333333	-0.636	-0.170166666666667	14	B	FALSE
stripe_0004	chr1	6395001	6415000	6395001	7215000	lost	low	FALSE	-0.00754938994687824	0.888398115197677	-0.6575	-0.758	-0.1005	2	B	-0.587519607843137	-0.675862745098039	-0.088343137254902	34	B	FALSE
stripe_0005	chr1	9750001	9785000	9750001	10115000	unchanged	low	FALSE	0.0185511914954502	0.72268413489981	-0.287833333333333	-0.422166666666667	-0.134333333333333	2	B	-0.213577777777778	-0.363044444444444	-0.149466666666667	15	B	FALSE
stripe_0006	chr1	10745001	10775000	10120001	10775000	unchanged	low	FALSE	0.0388233103775844	0.397200726803307	-0.904166666666667	-0.984999999999999	-0.080833333333332	2	B	-0.716555555555556	-0.760037037037037	-0.0434814814814817	27	B	FALSE
stripe_0007	chr1	10820001	10845000	10820001	11350000	unchanged	low	FALSE	-0.00689830956272992	0.915945296774758	-1.02416666666667	-1.10633333333333	-0.0821666666666698	2	B	-0.843727272727272	-0.881818181818182	-0.0380909090909095	22	B	FALSE
stripe_0008	chr1	12825001	12840000	11520001	12840000	gained	low	FALSE	0.0373474184275183	0.508406537162934	-0.575333333333333	-0.522	0.053333333333333	1	B	-1.10635802469136	-1.05037654320988	0.0559814814814814	54	B	FALSE
stripe_0009	chr1	12855001	12875000	12855001	13710000	unchanged	low	FALSE	0.0471937374963818	0.360028638978191	-0.585666666666667	-0.600333333333333	-0.014666666666666	1	B	-0.282133333333333	-0.390295238095238	-0.108161904761905	35	B	FALSE
stripe_0010	chr1	13990001	14010000	13990001	14250000	lost	low	FALSE	0.0734989535228928	0.292751520091765	-0.578333333333333	-0.622333333333333	-0.044	2	B	-0.373787878787879	-0.308757575757576	0.0650303030303032	11	B	FALSE
stripe_0011	chr1	14290001	14315000	14090001	14315000	lost	low	FALSE	0.0230541087936708	0.707260657455398	-0.418166666666666	-0.393833333333333	0.024333333333333	2	B	-0.280366666666667	-0.1877	0.0926666666666667	10	B	FALSE
stripe_0012	chr1	14985001	15015000	14985001	16185000	unchanged	low	FALSE	-0.0533328016803994	0.266690159148925	-0.754833333333333	-0.836333333333333	-0.0815	2	B	-0.45712925170068	-0.500095238095238	-0.0429659863945576	49	B	FALSE
stripe_0013	chr1	15275001	15295000	15275001	15705000	gained	low	FALSE	-0.0282574681861678	0.623078013810347	-0.131	-0.200666666666667	-0.069666666666667	1	B	-0.154685185185185	-0.181481481481481	-0.0267962962962962	18	B	FALSE
stripe_0014	chr1	16415001	16440000	15550001	16440000	unchanged	low	FALSE	-0.00372840496140359	0.958540949859171	-0.332	-0.3715	-0.0395	2	B	-0.424444444444444	-0.455361111111111	-0.0309166666666666	36	B	FALSE
stripe_0015	chr1	16425001	16450000	16425001	16795000	gained	low	FALSE	0.00173720501947063	0.982050005671802	-0.282	-0.345333333333333	-0.063333333333333	1	B	-0.0702000000000001	-0.189511111111111	-0.119311111111111	15	B	FALSE
stripe_0016	chr1	16790001	16815000	16790001	17140000	unchanged	low	FALSE	-0.00874730772158972	0.868559357827796	-0.596166666666667	-0.5285	0.067666666666667	2	B	-0.278511111111111	-0.297244444444444	-0.0187333333333332	15	B	FALSE
stripe_0017	chr1	17120001	17145000	16325001	17145000	unchanged	low	FALSE	-0.0434971818583111	0.366446660836044	-0.157333333333333	-0.2245	-0.0671666666666665	2	B	-0.191838383838384	-0.254818181818182	-0.0629797979797979	33	B	FALSE
stripe_0018	chr1	20685001	20705000	20685001	20985000	unchanged	low	FALSE	0.0676633136559453	0.401973896153621	-1.08433333333333	-1.14233333333333	-0.0580000000000052	2	B	-0.357692307692307	-0.453615384615385	-0.0959230769230772	13	B	FALSE
stripe_0019	chr1	20925001	20945000	20925001	21280000	lost	low	FALSE	0.0482921756313355	0.427620835329685	0.297	0.141	-0.156	1	A	-0.106688888888889	-0.105888888888889	0.00079999999999994	15	B	FALSE
stripe_0020	chr1	21140001	21170000	20745001	21170000	gained	low	FALSE	-0.0142753297487344	0.819739703158047	-0.330333333333333	-0.327166666666666	0.00316666666666654	2	B	-0.175851851851852	-0.215462962962963	-0.0396111111111108	18	B	FALSE
