TAD_name	chr1	start1	end1	Difference	pvalue	adj_pvalue	TAD_size	significant	direction
chr14:65862000-65993998	chr14	65862000	65993998	0.020085333333333	0.797495651545219	0.913366559056551	131998	FALSE	Increased_in_Mutant
chr7:45723000-45812998	chr7	45723000	45812998	0.197779666666666	0.0340233487740976	0.287475059658266	89998	FALSE	Increased_in_Mutant
chr14:76479000-77024998	chr14	76479000	77024998	0.130345333333333	0.266050885250562	0.567413602921738	545998	FALSE	Increased_in_Mutant
chr16:31083000-31421998	chr16	31083000	31421998	0.155830666666666	0.0435150360105802	0.302894015835604	338998	FALSE	Increased_in_Mutant
chr8:13548000-13760998	chr8	13548000	13760998	-0.0142780000000002	0.830975170899393	0.929276083200856	212998	FALSE	Decreased_in_Mutant
chr7:128229000-128744998	chr7	128229000	128744998	-0.148202000000001	0.0815005452847604	0.371061949367801	515998	FALSE	Decreased_in_Mutant
chr5:34167000-34370998	chr5	34167000	34370998	0.013929333333333	0.830580895064945	0.929218851587038	203998	FALSE	Increased_in_Mutant
chrX:102072000-102122998	chrX	102072000	102122998	0.244650666666667	0.0243951857308757	0.257585644426118	50998	FALSE	Increased_in_Mutant
chr7:62217000-62387998	chr7	62217000	62387998	0.160882333333333	0.0839139530603699	0.371506037050662	170998	FALSE	Increased_in_Mutant
chr3:127317000-127451998	chr3	127317000	127451998	0.0022486666666664	0.974584552093276	0.993347565747371	134998	FALSE	Increased_in_Mutant
chr6:84591000-84923998	chr6	84591000	84923998	-0.00279966666666683	0.946954148797829	0.982049367514846	332998	FALSE	Decreased_in_Mutant
chr6:32322000-32597998	chr6	32322000	32597998	0.0962859999999999	0.170957182134925	0.485866924568625	275998	FALSE	Increased_in_Mutant
chr17:37080000-37211998	chr17	37080000	37211998	-0.0482706666666671	0.418348782518413	0.691517769831834	131998	FALSE	Decreased_in_Mutant
chrX:157311000-157457998	chrX	157311000	157457998	0.294197333333333	0.0192378872034033	0.250565637275708	146998	FALSE	Increased_in_Mutant
chr19:9894000-10211998	chr19	9894000	10211998	0.0995703333333332	0.112737486930977	0.412498575725736	317998	FALSE	Increased_in_Mutant
chr6:137091000-137189998	chr6	137091000	137189998	0.0834186666666667	0.264758976166607	0.566902139030031	98998	FALSE	Increased_in_Mutant
chr12:116625000-117371998	chr12	116625000	117371998	0.120226	0.142660747315242	0.453968445764381	746998	FALSE	Increased_in_Mutant
chr18:80265000-80465998	chr18	80265000	80465998	0.0455533333333329	0.610973216835265	0.815314194646491	200998	FALSE	Increased_in_Mutant
chr13:50193000-50846998	chr13	50193000	50846998	0.000669666666666366	0.987282887199252	0.998482262802138	653998	FALSE	Increased_in_Mutant
chr10:68145000-68285998	chr10	68145000	68285998	-0.0489650000000001	0.332869709603885	0.622492579452755	140998	FALSE	Decreased_in_Mutant
chr1:182127000-182546998	chr1	182127000	182546998	-0.0293283333333335	0.602762586972964	0.809810403031961	419998	FALSE	Decreased_in_Mutant
chr18:25053000-25127998	chr18	25053000	25127998	-0.0085236666666669	0.917319611934025	0.96974164792017	74998	FALSE	Decreased_in_Mutant
chr15:98937000-98996998	chr15	98937000	98996998	0.0396196666666659	0.649604382268894	0.83935638698462	59998	FALSE	Increased_in_Mutant
chr12:84645000-84764998	chr12	84645000	84764998	0.0749166666666666	0.441901391946597	0.706577643090864	119998	FALSE	Increased_in_Mutant
chr9:118581000-118910998	chr9	118581000	118910998	0.11465	0.209558441692864	0.516258552641162	329998	FALSE	Increased_in_Mutant
chr2:19383000-20828998	chr2	19383000	20828998	0.182715666666667	0.0114130482158279	0.216187747721462	1445998	FALSE	Increased_in_Mutant
chr6:52926000-52979998	chr6	52926000	52979998	0.0147636666666666	0.794285153963363	0.912007610067735	53998	FALSE	Increased_in_Mutant
chr15:25797000-25982998	chr15	25797000	25982998	0.244439333333333	0.0114553167425412	0.216187747721462	185998	FALSE	Increased_in_Mutant
chr11:102885000-103064998	chr11	102885000	103064998	0.0650049999999994	0.331815164212754	0.621392365061223	179998	FALSE	Increased_in_Mutant
chr1:178467000-179489998	chr1	178467000	179489998	0.0439499999999996	0.517832571878444	0.758129170210486	1022998	FALSE	Increased_in_Mutant
chr7:62865000-63329998	chr7	62865000	63329998	0.209137	0.0164899155551622	0.241556241744317	464998	FALSE	Increased_in_Mutant
chr7:45462000-45569998	chr7	45462000	45569998	0.018241333333333	0.648155316097265	0.838741526411151	107998	FALSE	Increased_in_Mutant
chrX:121131000-121184998	chrX	121131000	121184998	0.220104	0.199403320630897	0.506161182120425	53998	FALSE	Increased_in_Mutant
chr4:133206000-133301998	chr4	133206000	133301998	-0.155267333333334	0.103295338712211	0.397534431294465	95998	FALSE	Decreased_in_Mutant
chrX:42024000-42281998	chrX	42024000	42281998	0.143632	0.0547643139924629	0.324011747889045	257998	FALSE	Increased_in_Mutant
chr1:7533000-9533998	chr1	7533000	9533998	0.0154986666666665	0.742847588565084	0.886449962831953	2000998	FALSE	Increased_in_Mutant
chr2:101889000-102464998	chr2	101889000	102464998	-0.229409	0.0101251823865536	0.213920802765555	575998	FALSE	Decreased_in_Mutant
chr11:90693000-92099998	chr11	90693000	92099998	0.0393606666666663	0.415293350712823	0.689621681610793	1406998	FALSE	Increased_in_Mutant
chr6:88536000-88913998	chr6	88536000	88913998	-0.103682666666667	0.364949879839274	0.650294909941036	377998	FALSE	Decreased_in_Mutant
chr10:76254000-76517998	chr10	76254000	76517998	0.113958	0.0351649522050259	0.290045134443963	263998	FALSE	Increased_in_Mutant
chr9:113652000-113975998	chr9	113652000	113975998	0.0361413333333328	0.480779040944042	0.729511603855058	323998	FALSE	Increased_in_Mutant
chr18:36126000-36200998	chr18	36126000	36200998	0.0680663333333329	0.489564643471046	0.737842836312672	74998	FALSE	Increased_in_Mutant
chrX:96006000-96185998	chrX	96006000	96185998	0.277547333333333	0.0695046015003518	0.353645366506263	179998	FALSE	Increased_in_Mutant
chr6:108873000-110534998	chr6	108873000	110534998	0.136675	0.0376113512348501	0.292945520950956	1661998	FALSE	Increased_in_Mutant
chr16:18435000-18623998	chr16	18435000	18623998	0.107372333333333	0.138101239207316	0.447725083348607	188998	FALSE	Increased_in_Mutant
chrX:101946000-102071998	chrX	101946000	102071998	0.200066	0.0939147011954323	0.383206996154085	125998	FALSE	Increased_in_Mutant
chr15:82131000-82244998	chr15	82131000	82244998	0.0614986666666664	0.430834480341264	0.701424470058283	113998	FALSE	Increased_in_Mutant
chr11:105918000-106034998	chr11	105918000	106034998	0.255446	0.0442755327418614	0.303179157629155	116998	FALSE	Increased_in_Mutant
chr2:50295000-51926998	chr2	50295000	51926998	0.040124333333333	0.588019176914147	0.801435731107817	1631998	FALSE	Increased_in_Mutant
chr9:74112000-74885998	chr9	74112000	74885998	0.0790659999999996	0.253738054495496	0.555730402285561	773998	FALSE	Increased_in_Mutant
chr12:108846000-108893998	chr12	108846000	108893998	0.0272669999999999	0.74523460516297	0.888255933476352	47998	FALSE	Increased_in_Mutant
chr12:86109000-86633998	chr12	86109000	86633998	0.143469	0.0348240406557692	0.289126174409672	524998	FALSE	Increased_in_Mutant
chr1:148986000-149813998	chr1	148986000	149813998	0.0924906666666666	0.0950550152222502	0.384216278286775	827998	FALSE	Increased_in_Mutant
chr2:110655000-110993998	chr2	110655000	110993998	-0.138470000000001	0.0371455736042129	0.292945520950956	338998	FALSE	Decreased_in_Mutant
chr3:50904000-51176998	chr3	50904000	51176998	0.067358333333333	0.2825551650981	0.578650597513773	272998	FALSE	Increased_in_Mutant
chr3:117144000-117446998	chr3	117144000	117446998	0.167886	0.147246994476981	0.457885339257547	302998	FALSE	Increased_in_Mutant
chr14:10125000-10172998	chr14	10125000	10172998	-0.126113666666667	0.0545488326160055	0.323477079652941	47998	FALSE	Decreased_in_Mutant
chrX:58596000-59177998	chrX	58596000	59177998	0.300312	0.0566628532585016	0.326632646749564	581998	FALSE	Increased_in_Mutant
chr5:128514000-128741998	chr5	128514000	128741998	0.0406853333333327	0.594140472924941	0.805532350680354	227998	FALSE	Increased_in_Mutant
chr2:130422000-130556998	chr2	130422000	130556998	-0.0206573333333333	0.672491037227717	0.849609370511733	134998	FALSE	Decreased_in_Mutant
