chr	Boundary	Gap_Score	TAD_Score1	TAD_Score2	Differential	Enriched_In	Type
chr1	3230000	0.577318417642496	1.5794604359081048	1.3848346339501172	Non-Differential	Matrix 1	Non-Differential
chr1	3350000	-1.8167843439982263	1.622311686779115	2.206940591747956	Non-Differential	Matrix 2	Non-Differential
chr1	3500000	-1.137220763569778	1.6722872170429215	2.035463025642319	Non-Differential	Matrix 2	Non-Differential
chr1	3670000	-2.6947897878543317	2.0325247552799404	2.9012687375947412	Differential	Matrix 2	Strength Change
chr1	3680000	-3.1615252007705723	1.6194703296728892	2.6419115870028094	Differential	Matrix 2	Strength Change
chr1	3830000	-2.9561573795607505	1.0032484880103005	1.9614319587858382	Differential	Matrix 2	Complex
chr1	3960000	-0.9044703802325165	1.4590250964503415	1.7473263244455455	Non-Differential	Matrix 2	Non-Differential
chr1	3970000	-0.05087937931235967	1.7920490169102334	1.80104441710038	Non-Differential	Matrix 2	Non-Differential
chr1	4080000	-1.203273853410235	1.2235729681541436	1.6101485901636428	Non-Differential	Matrix 2	Non-Differential
chr1	4110000	-0.21037256160561482	1.6075165476996618	1.6692167373124769	Non-Differential	Matrix 2	Non-Differential
chr1	4120000	-0.49357196594601827	1.388605117497492	1.543429701344018	Non-Differential	Matrix 2	Non-Differential
chr1	4280000	-0.8649610669485808	1.349566975132039	1.6254676815092033	Non-Differential	Matrix 2	Non-Differential
chr1	4420000	0.1079825217498118	2.1672387440723653	2.1229295924035894	Non-Differential	Matrix 1	Non-Differential
chr1	4560000	4.475489003194025	4.091291332751744	2.6169489168522815	Differential	Matrix 1	Strength Change
chr1	4750000	-2.1549714335409442	1.3438349359456494	2.0397418804950176	Differential	Matrix 2	Complex
chr1	4880000	1.7054498862126106	1.9245586814397684	1.3611953276147344	Non-Differential	Matrix 1	Non-Differential
chr1	5000000	-0.36717415805854536	1.8355285040437106	1.9473147197096954	Non-Differential	Matrix 2	Non-Differential
chr1	5010000	-2.429331409350941	2.9554548393985374	3.733876694792652	Differential	Matrix 2	Strength Change
chr1	5170000	-0.9328651367366716	1.8588561085479278	2.154712891529403	Non-Differential	Matrix 2	Non-Differential
chr1	5180000	-0.37061670623201215	1.4474795047447528	1.5620255085691621	Non-Differential	Matrix 2	Non-Differential
chr1	5190000	0.6644259770383607	2.3226361245246885	2.096512187402873	Non-Differential	Matrix 1	Non-Differential
chr1	5340000	2.0564104214605705	1.5508635096247751	0.8748181316049833	Differential	Matrix 1	Split
chr1	5350000	1.873430982812546	1.8009133511203905	1.1833835021916932	Non-Differential	Matrix 1	Non-Differential
chr1	5470000	0.8036536802238264	1.9059026185784516	1.6362112067732322	Non-Differential	Matrix 1	Non-Differential
chr1	5630000	-0.2503992216026594	2.3787987980713026	2.4502725705779445	Non-Differential	Matrix 2	Non-Differential
chr1	6060000	1.7528210462051437	1.6295499454388012	1.0520102453895692	Non-Differential	Matrix 1	Non-Differential
chr1	6080000	-1.1666186266929781	1.4842040190423587	1.8577451517210486	Non-Differential	Matrix 2	Non-Differential
chr1	6190000	-0.8767884757605708	1.3431186474850854	1.622897178418333	Non-Differential	Matrix 2	Non-Differential
chr1	6200000	-0.03870206403859244	2.5291272149049906	2.531044887565387	Non-Differential	Matrix 2	Non-Differential
chr1	6210000	0.4191972642510585	2.3452285968712947	2.1988470835182374	Non-Differential	Matrix 1	Non-Differential
chr1	6370000	-1.2938655774408503	1.605327938934725	2.0197846105222355	Non-Differential	Matrix 2	Non-Differential
chr1	6720000	4.753866413071398	1.6482416438416505	0.09358811948052254	Differential	Matrix 1	Complex
chr1	6730000	3.4188802793041386	1.5506778288505438	0.4310609443500579	Differential	Matrix 1	Complex
chr1	6860000	-0.4537173921794133	3.526825638664353	3.659643701035524	Non-Differential	Matrix 2	Non-Differential
chr1	7080000	0.022583992565949503	4.675537948134919	4.648437168618242	Non-Differential	Matrix 1	Non-Differential
chr1	7090000	0.6448017440349667	3.7456313194823765	3.519885990551811	Non-Differential	Matrix 1	Non-Differential
chr1	7240000	-0.4456019212014215	1.433250032432902	1.5722686877889256	Non-Differential	Matrix 2	Non-Differential
chr1	7430000	-0.3982406413416104	2.0328357462614814	2.1539027436291054	Non-Differential	Matrix 2	Non-Differential
chr1	7550000	1.62678892830602	1.7262680349775985	1.189351450685645	Non-Differential	Matrix 1	Non-Differential
chr1	7720000	-0.6349463331835068	1.6397697449315454	1.8395600006044146	Non-Differential	Matrix 2	Non-Differential
chr1	7880000	-1.3558550694894205	1.5010450040325496	1.9361237384186814	Non-Differential	Matrix 2	Non-Differential
chr1	8000000	0.7470031155430829	1.9426571918207822	1.6912539709198766	Non-Differential	Matrix 1	Non-Differential
chr1	8160000	-0.9087804697276919	2.30661819933389	2.5927426337231547	Non-Differential	Matrix 2	Non-Differential
chr1	8190000	-2.230368416972537	1.068377061174598	1.7899940737002689	Differential	Matrix 2	Complex
chr1	8640000	-2.6336653525408478	0.657006576217586	1.511660413073436	Differential	Matrix 2	Complex
chr1	8790000	-0.7938787326948314	1.7108469115021487	1.9620797585008467	Non-Differential	Matrix 2	Non-Differential
chr1	9050000	-1.9854195940601465	1.124912353045992	1.7665438495327108	Non-Differential	Matrix 2	Non-Differential
chr1	9220000	1.7338564039973852	1.5454584825506696	0.9744481832532831	Non-Differential	Matrix 1	Non-Differential
chr1	9240000	-1.3447040422963077	1.9373550007944678	2.3669604956467305	Non-Differential	Matrix 2	Non-Differential
chr1	9520000	-0.772616034904706	1.6545352345955189	1.89908354014858	Non-Differential	Matrix 2	Non-Differential
chr1	9530000	0.12844102365797924	2.2850504132969043	2.2335830875123968	Non-Differential	Matrix 1	Non-Differential
chr1	9540000	1.0813427538182974	1.508275450012652	1.1498577085840642	Non-Differential	Matrix 1	Non-Differential
chr1	9700000	-0.6171780521027368	4.526489920592314	4.708302712355089	Non-Differential	Matrix 2	Non-Differential
