loop_id	chr1	start1	end1	chr2	start2	end2	coord_string	shift_status	logFC	logCPM	F	PValue	FDR	significant	exploratory	category	direction	plot_color
loop_21	chr8	31160000	31170000	chr8	31210000	31220000	chr8:31160000-31170000_chr8:31210000-31220000	FALSE	-0.197685754906673	6.06819087135209	16.7359129138225	5.6914550713013e-4	0.00735211250991392	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_55	chr8	48220000	48230000	chr8	49820000	49830000	chr8:48220000-48230000_chr8:49820000-49830000	FALSE	-0.428342941993396	3.17557930401806	15.2401701061624	8.8136339097672e-4	0.01019265010965	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_4967	chr8	32280000	32290000	chr8	32880000	32890000	chr8:32280000-32290000_chr8:32880000-32890000	TRUE	0.475184285729337	3.89979273944244	21.3738620262835	1.6441401631384e-4	0.00301785727268045	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_6266	chr8	36400000	36410000	chr8	36450000	36460000	chr8:36400000-36410000_chr8:36450000-36460000	FALSE	0.284705965872933	6.70698231691773	13.5568725831311	0.0024718944723678	0.0210870394642398	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_7448	chr8	36360000	36370000	chr8	36520000	36530000	chr8:36360000-36370000_chr8:36520000-36530000	FALSE	0.206102152825927	6.3176259543839	11.0986795694336	0.00332842809921863	0.0255959853012287	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_7480	chr8	36200000	36210000	chr8	36340000	36350000	chr8:36200000-36210000_chr8:36340000-36350000	FALSE	0.285360598040795	6.1794940515566	23.5223808018618	9.72191898128709e-5	0.00209150637247613	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_7507	chr8	41050000	41060000	chr8	41190000	41200000	chr8:41050000-41060000_chr8:41190000-41200000	FALSE	0.190989895075766	6.29193466720363	9.22940548718774	0.00649724270476546	0.0404861224929108	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_7509	chr8	36360000	36370000	chr8	36450000	36460000	chr8:36360000-36370000_chr8:36450000-36460000	FALSE	0.268933136560113	6.10069924687508	11.4192131655639	0.00400884545788184	0.028839221361342	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_7521	chr8	31090000	31100000	chr8	31140000	31150000	chr8:31090000-31100000_chr8:31140000-31150000	FALSE	-0.175314936960726	6.78670707313564	14.6694430058795	0.00104709387978643	0.0115881802872012	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_7547	chr8	35580000	35590000	chr8	35700000	35710000	chr8:35580000-35590000_chr8:35700000-35710000	FALSE	0.168887080340485	6.08579957013807	10.0937701179147	0.00473939477089026	0.0325332066893504	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_7598	chr8	35860000	35870000	chr8	35920000	35930000	chr8:35860000-35870000_chr8:35920000-35930000	FALSE	0.202942093144012	6.05126220040655	9.73305651981074	0.00539898357399943	0.0356550324618486	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_7602	chr8	35720000	35730000	chr8	35850000	35860000	chr8:35720000-35730000_chr8:35850000-35860000	TRUE	0.379992328410638	5.81622049220476	38.2267316930502	4.86900182291617e-6	2.4272081333973e-4	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_7750	chr8	36830000	36840000	chr8	37060000	37070000	chr8:36830000-36840000_chr8:37060000-37070000	FALSE	0.286698455089451	5.99379146681857	25.8418869320377	5.68149656333121e-5	0.00139461637984069	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_7811	chr8	31030000	31040000	chr8	31080000	31090000	chr8:31030000-31040000_chr8:31080000-31090000	FALSE	-0.225502667571271	5.83100254482837	12.2818577999397	0.00223259383393667	0.0196990501558108	TRUE	TRUE	weak_differential	down_in_mutant	#4575b4
loop_7835	chr8	40180000	40190000	chr8	40290000	40300000	chr8:40180000-40190000_chr8:40290000-40300000	TRUE	0.263903910715292	5.37655169041511	11.1422720030021	0.00327879414221264	0.0253088912096032	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_7836	chr8	36530000	36540000	chr8	37060000	37070000	chr8:36530000-36540000_chr8:37060000-37070000	FALSE	0.296518791623358	5.09493832202656	9.24365304235558	0.00758748653278897	0.0452848088634177	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_7950	chr8	32290000	32300000	chr8	33180000	33190000	chr8:32290000-32300000_chr8:33180000-33190000	FALSE	0.322839461073419	4.92486687853234	19.50187489013	2.6627564742284e-4	0.00427704077535397	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
loop_7987	chr8	27670000	27680000	chr8	30920000	30930000	chr8:27670000-27680000_chr8:30920000-30930000	FALSE	-0.511863483899756	3.7322030291973	29.151927695355	2.76854219941496e-5	8.4787073149065e-4	TRUE	TRUE	moderate_differential	down_in_mutant	#4575b4
loop_18686	chr8	34210000	34220000	chr8	34810000	34820000	chr8:34210000-34220000_chr8:34810000-34820000	FALSE	0.286333985912029	5.28512996446751	11.7853546828766	0.00263733826356965	0.0220089378986388	TRUE	TRUE	weak_differential	up_in_mutant	#d73027
