loop_id	chr1	start1	end1	chr2	start2	end2	logFC	logCPM	FDR	PValue	significant	resolution_kb	n_overlaps	loop_distance	loop_type	direction	category
loop_3362	chr8	71175000	71180000	chr8	71815000	71820000	1.07804968332282	5.64584831156871	4.28464397930854e-05	2.62057735737525e-09	TRUE	5	3	640000	Other-Other	up_in_mutant	strong_differential
loop_3909	chr11	27750000	27755000	chr11	28580000	28585000	0.738853083718689	4.87722032505283	0.0246137874788143	8.2242522407726e-06	TRUE	5	1	830000	Repressed_Promoter-Other	up_in_mutant	moderate_differential
loop_7340	chr8	41050000	41055000	chr8	41235000	41240000	0.515500086064682	6.47544389152402	0.0246137874788143	9.03258256103277e-06	TRUE	5	1	185000	Active_Promoter-Active_Enhancer	up_in_mutant	moderate_differential
loop_15623	chr4	81570000	81580000	chr4	82700000	82710000	-0.623738072808033	3.50470593065554	0.022620335524039	3.88560143709195e-05	TRUE	10	2	1130000	Active_Promoter-Active_Enhancer	down_in_mutant	moderate_differential
loop_16094	chr11	57015000	57020000	chr11	57310000	57315000	0.553261047906869	5.61116679186698	0.0246137874788143	7.55393527112769e-06	TRUE	5	2	295000	Polycomb-Poised_Enhancer	up_in_mutant	moderate_differential
loop_1298	chr8	49525000	49550000	chr8	49825000	49850000	-0.531581037913629	5.52012122539831	0.0048740438696912	5.57272416143058e-06	TRUE	25	2	3e+05	Polycomb-Other	down_in_mutant	moderate_differential
loop_40	chr8	69420000	69430000	chr8	69500000	69510000	0.589016452185087	7.68831282794265	0.0125381759837717	9.85543323192625e-06	TRUE	10	1	80000	Other-Other	up_in_mutant	moderate_differential
loop_16964	chr8	57325000	57350000	chr8	108700000	108725000	-1.2421109892696	1.2184767545077	0.0015617840610222	5.95220451058947e-07	TRUE	25	2	51375000	Repressed_Promoter-Polycomb	down_in_mutant	strong_differential
loop_51	chr8	89040000	89050000	chr8	92360000	92370000	-1.12582663455864	1.6404914677075	0.0180706558798058	2.69564977865288e-05	TRUE	10	1	3320000	Repressed_Promoter-Polycomb	down_in_mutant	strong_differential
loop_11648	chr16	91225000	91250000	chr16	94075000	94100000	-0.746737347898773	3.29401388355571	0.0063626537700636	8.18406230249719e-06	TRUE	25	2	2850000	Repressed_Promoter-Repressed_Promoter	down_in_mutant	moderate_differential
loop_849	chr5	92720000	92730000	chr5	93320000	93330000	-0.493827442657958	4.0352239217494	0.0224640146024451	3.65565738038163e-05	TRUE	10	1	6e+05	Other-Other	down_in_mutant	weak_differential
loop_9583	chr9	40875000	40900000	chr9	41575000	41600000	-0.452292326043221	4.5557855651343	0.0105621375536239	2.26428559817576e-05	TRUE	25	3	7e+05	Repressed_Promoter-Repressed_Promoter	down_in_mutant	weak_differential
loop_2344	chr8	34870000	34880000	chr8	35470000	35480000	0.407607541857131	5.60861693538885	0.0120629189926992	8.72464984554685e-06	TRUE	10	1	6e+05	Other-Other	up_in_mutant	weak_differential
loop_2361	chr8	57540000	57550000	chr8	57960000	57970000	-0.567636305733043	3.68410420949221	0.0205159221502545	3.15315682627544e-05	TRUE	10	1	420000	Active_Enhancer-Active_Enhancer	down_in_mutant	moderate_differential
loop_4080	chr5	15540000	15550000	chr5	15590000	15600000	0.459325147918567	7.24316347898712	0.0164014095997052	1.94341208136465e-05	TRUE	10	1	50000	Other-Other	up_in_mutant	weak_differential
loop_4307	chr8	71140000	71150000	chr8	71830000	71840000	0.583222953592287	5.75113265495581	0.0053478346973716	1.02447615889885e-06	TRUE	10	1	690000	Other-Other	up_in_mutant	moderate_differential
loop_4309	chr8	34850000	34860000	chr8	35460000	35470000	0.438531496090977	5.43537764916674	0.005866821480695	1.85642122614887e-06	TRUE	10	1	610000	Other-Other	up_in_mutant	weak_differential
