gene_symbol	gene_class	log2FoldChange	padj	baseMean	chr	tss
Xkr4	DEG_up	0.573696911286475	0.00522588950563854	4384.58765974474	chr1	3671498
Mybl1	DEG_down	-0.736646042044593	1.06218450693804e-5	91.6147942262593	chr1	9700209
A830018L16Rik	DEG_up	0.605434637028018	0.0056538905047774	162.487095258555	chr1	11414105
Slco5a1	DEG_up	0.73145890622885	5.97158000196029e-4	53.3814879838182	chr1	12992650
Jph1	DEG_down	-0.681759294935051	2.16608193998593e-6	143.223837229167	chr1	17097889
Ogfrl1	DEG_down	-0.735425198568218	2.1116243810265301e-23	811.773521071108	chr1	23397541
B3gat2	DEG_down	-0.582353175939614	2.78639616379013e-13	387.684198361824	chr1	23761753
Fam135a	DEG_down	-0.537613164951705	3.07378230508989e-9	1203.38851688447	chr1	24100341
Col9a1	DEG_down	-1.25119886398594	0.00479341300504873	13.7656191112083	chr1	24177610
Col19a1	DEG_down	-2.74003846657199	4.44026237458597e-55	606.308766009282	chr1	24587472
Ptpn18	DEG_down	-2.2753222861211	2.28254965103297e-5	6.9070758366895	chr1	34459765
Amer3	DEG_down	-0.380452660824883	0.00150910411236948	546.781337342106	chr1	34579657
Fer1l5	DEG_down	-0.70449690274456	0.0041319076576548	42.0897601617171	chr1	36372291
Lman2l	DEG_down	-0.544124610055464	1.14886480588336e-8	393.333046156892	chr1	36445271
Cnnm4	DEG_down	-0.451031251933228	1.06261203550347e-9	449.250832330778	chr1	36471620
Sema4c	DEG_down	-0.593305219169466	6.85449816092053e-4	160.558835645822	chr1	36558349
Cracdl	DEG_down	-1.35332152539658	4.71772847776223e-33	469.033824536935	chr1	37720085
Tsga10	DEG_up	0.354438240771772	0.00132741043428075	295.443878568757	chr1	37866429
Il1r1	DEG_down	-1.09971602478637	3.95595830895255e-11	69.0844398033386	chr1	40225080
Slc9a2	DEG_up	0.694474551153017	0.0041319076576548	34.1791342240232	chr1	40680574
Gpr45	DEG_up	0.631599065639341	4.43934169509875e-5	120.407391779743	chr1	42952872
Nck2	DEG_down	-0.45875307439496	4.41418826450284e-11	966.662124566025	chr1	43444579
Tmeff2	DEG_down	-0.838933950350721	0.00456850870136713	4746.23593711588	chr1	50909962
9330175M20Rik	DEG_down	-0.786277056671365	7.38249435414487e-7	86.0138743187676	chr1	51333779
Nabp1	DEG_down	-0.748615424886668	1.22054514142839e-4	66.9585850916689	chr1	51478425
Gls	DEG_down	-0.330480653694314	1.44934458423593e-4	4590.356891517	chr1	52233232
Nab1	DEG_down	-0.616591377924383	1.50682689034569e-6	1137.20644650156	chr1	52500679
1700019A02Rik	DEG_down	-0.960592053448583	1.22658579636816e-5	66.90459491365	chr1	53187636
Pms1	DEG_down	-0.87532945009755	1.66395784618125e-19	426.334863650394	chr1	53297018
Aox1	DEG_down	-0.949735328162503	3.0242985040231e-15	183.657581281372	chr1	58029931
Cflar	DEG_down	-0.953994190570577	4.38651951541126e-21	169.706439689886	chr1	58711508
Mpp4	DEG_up	0.666037492436162	7.08607682297848e-5	269.685818062432	chr1	59163389
Als2	DEG_up	0.338893708680379	1.49168185273106e-5	3729.76800152823	chr1	59237231
Cdk15	DEG_down	-1.83903330817566	0.00171338616869974	5.78989255022079	chr1	59256906
Fzd7	DEG_down	-1.44574478475887	7.70518302045153e-22	387.156777240723	chr1	59482424
Bmpr2	DEG_up	0.38120334990771	1.31547232557151e-9	2026.34934366577	chr1	59763400
Fam117b	DEG_up	0.46232574418709	5.58971484906353e-13	854.75556154985	chr1	59913006
Ino80dos	DEG_up	0.323511661560277	0.0115817661117887	282.944281967859	chr1	63114471
Zdbf2	DEG_down	-0.59799219191768	0.0234545046351463	68.3581031849994	chr1	63200313
Pth2r	DEG_up	1.31533460456596	6.33913055655808e-5	40.5150390832901	chr1	65282056
Erbb4	DEG_down	-0.951184012003012	0.0154202438780756	4417.8548064915	chr1	69108059
Ikzf2	DEG_down	-0.658496684712548	4.592054319545e-6	395.266791184557	chr1	69687245
Mreg	DEG_down	-0.846953353572053	3.06970891747237e-13	357.778046397037	chr1	72212307
Tmem169	DEG_down	-0.687446129799232	3.67855485110996e-6	122.996993947355	chr1	72284369
Xrcc5	DEG_down	-0.453563344644088	1.18157818566283e-5	215.041606102171	chr1	72307427
Igfbp5	DEG_down	-0.544886241751024	5.51545862922745e-9	1680.17936560182	chr1	72874884
Pnkd	DEG_down	-0.358884694559133	4.3850240102064e-4	434.322120059858	chr1	74284930
Resp18	DEG_down	-1.05011304556156	0.00732338251683454	18.9942307045204	chr1	75278415
Des	DEG_down	-1.39316483334319	1.58015544322525e-18	101.186349462798	chr1	75360329
Gm15179	DEG_down	-1.21904162394328	0.00235182831205456	23.8140141212357	chr1	75375012
Scg2	DEG_down	-0.805695948330544	1.09616889468236e-11	342.293979142967	chr1	79440120
Ap1s3	DEG_down	-1.53028677941472	1.1913209804646e-16	66.2978042430054	chr1	79671972
Nyap2	DEG_down	-0.71241103407208894	9.35026823820904e-5	1502.08092167171	chr1	81076950
Slc16a14	DEG_down	-0.969589131811909	1.98362182033329e-6	61.4038213263179	chr1	84935134
Itm2c	DEG_down	-0.513343953647938	8.2407931355507e-5	625.447819294269	chr1	85894281
Snorc	DEG_up	1.47957856237357	0.0149729328505964	6.43216158995423	chr1	87470271
Ngef	DEG_up	0.751784296971997	9.85003013143527e-9	97.5600291349493	chr1	87573870
Inpp5d	DEG_up	0.437975251450819	0.0231074993644	54.7571205311152	chr1	87620312
Mroh2a	DEG_up	0.512442264975659	0.0210266180460576	126.936507814409	chr1	88226986
Hjurp	DEG_up	0.52916294104857	7.73645137289171e-14	810.699361232804	chr1	88277633
Lrrfip1	DEG_up	0.438875490736928	4.43032764564875e-6	809.398846877245	chr1	90998737
