chr1	x1	x2	chr2	y1	y2	chr1_chr	chr1_start	chr1_end	chr1_gene_id	chr1_idk	chr1_strand	chr1_gene_name	chr2_chr	chr2_start	chr2_end	chr2_gene_id	chr2_idk	chr2_strand	chr2_gene_name
chr17	26300000	26325000	chr17	26625000	26650000														
chr1	132500000	132525000	chr1	132725000	132750000	chr1	132505479	132506979	74626	0	+	Tmem81	chr1	132728604	132730104	100038653	0	+	Gm10538
chr1	132500000	132525000	chr1	132725000	132750000	chr1	132505479	132506979	74626	0	+	Tmem81	chr1	132741047	132742547	269116	0	-	Nfasc
chr1	65275000	65300000	chr1	66425000	66450000	chr1	65281305	65282805	213527	0	+	Pth2r							
chr1	129475000	129500000	chr1	129700000	129725000														
chr1	38375000	38400000	chr1	38775000	38800000														
chr1	135450000	135475000	chr1	135650000	135675000	chr1	135453933	135455433	100885827	0	-	Mir1231							
chr1	184250000	184275000	chr1	184750000	184775000														
chr1	154475000	154500000	chr1	154725000	154750000														
chr17	31500000	31525000	chr17	32025000	32050000	chr17	31519230	31520730	57773	0	-	Wdr4	chr17	32035349	32036849	72462	0	+	Rrp1b
chr17	31500000	31525000	chr17	32025000	32050000	chr17	31519230	31520730	57773	0	-	Wdr4	chr17	32035599	32037099	74377	0	-	Hsf2bp
chr17	31500000	31525000	chr17	32025000	32050000	chr17	31519364	31520864	78330	0	+	Ndufv3	chr17	32035349	32036849	72462	0	+	Rrp1b
chr17	31500000	31525000	chr17	32025000	32050000	chr17	31519364	31520864	78330	0	+	Ndufv3	chr17	32035599	32037099	74377	0	-	Hsf2bp
chr1	184425000	184450000	chr1	184725000	184750000								chr1	184731869	184733369	15284	0	-	Hlx
chr17	30725000	30750000	chr17	31200000	31225000								chr17	31207122	31208622	328795	0	+	Ubash3a
chr1	157550000	157575000	chr1	158350000	158375000								chr1	158355576	158357076	240843	0	-	Brinp2
chr1	157550000	157575000	chr1	158350000	158375000								chr1	158361522	158363022	11899	0	+	Astn1
chr1	90375000	90400000	chr1	90575000	90600000														
chrX	94425000	94450000	chrX	94625000	94650000	chrX	94441981	94443481	100503393	0	+	Gm14827	chrX	94635318	94636818	14853	0	+	Gspt2
chr16	56700000	56725000	chr16	58400000	58425000	chr16	56716700	56718200	21787	0	-	Tfg	chr16	58407692	58409192	73379	0	+	Dcbld2
chr12	9050000	9075000	chr12	9225000	9250000														
chr12	109025000	109050000	chr12	109375000	109400000														
chr12	40200000	40225000	chr12	41450000	41475000	chr12	40198740	40200240	380755	0	-	Lsmem1							
chr12	40200000	40225000	chr12	41450000	41475000	chr12	40222007	40223507	629820	0	+	Gm7008							
chr12	40200000	40225000	chr12	41450000	41475000	chr12	40222061	40223561	100316693	0	-	Mir1938							
chr12	20900000	20925000	chr12	21250000	21275000														
chr1	118750000	118775000	chr1	119400000	119425000								chr1	119421498	119422998	16324	0	-	Inhbb
chr12	26275000	26300000	chr12	28425000	28450000														
chr15	96950000	96975000	chr15	97175000	97200000														
chrX	143725000	143750000	chrX	144300000	144325000								chrX	144317053	144318553	67574	0	+	Alg13
chr15	35925000	35950000	chr15	36600000	36625000	chr15	35937496	35938996	12864	0	-	Cox6c	chr15	36608918	36610418	18458	0	-	Pabpc1
chr15	17075000	17100000	chr15	18800000	18825000								chr15	18818196	18819696	320873	0	+	Cdh10
chr15	96525000	96550000	chr15	97125000	97150000														
chr16	96875000	96900000	chr16	97000000	97025000														
chr16	94025000	94050000	chr16	94225000	94250000														
chr16	7725000	7750000	chr16	8350000	8375000														
chr16	79425000	79450000	chr16	82650000	82675000														
chr16	10525000	10550000	chr16	14150000	14175000	chr16	10542304	10543804	58239	0	-	Dexi	chr16	14158875	14160375	723916	0	+	Mir484
chr16	10525000	10550000	chr16	14150000	14175000	chr16	10542304	10543804	58239	0	-	Dexi	chr16	14162524	14164024	67203	0	+	Nde1
