gene	chr	start	end	mod_difference	dmr_qvalue	direction	n_atac_up	n_atac_down	net_atac
Syt1	chr10	108497649	109010981	0.183930197132614	4.49998937144496e-304	Hypermethylated	0	10	-10
Trpm3	chr19	22139045	22995409	0.0873965853796247	2.53459028345595e-257	Hypermethylated	0	2	-2
Arhgap26	chr18	38993144	39376283	0.138229191563247	8.85640346406078e-254	Hypermethylated	0	0	0
Zbtb20	chr16	42875880	43642601	0.0799848226886448	1.58564766624633e-225	Hypermethylated	0	1	-1
Galnt7	chr8	57523827	57653031	0.168949277198525	1.51066452822207e-211	Hypermethylated	0	5	-5
Patj	chr4	98395784	98719602	0.115709058602197	9.4894812197785e-202	Hypermethylated	0	4	-4
Mcu	chr10	59446983	59616691	0.147763427756045	2.26065535127975e-191	Hypermethylated	0	6	-6
Tmtc2	chr10	105187662	105574450	0.0919655586838457	5.31177495719595e-163	Hypermethylated	0	3	-3
Epha3	chr16	63543533	63864174	0.104051470235206	6.93186761935593e-163	Hypermethylated	0	5	-5
Pde4d	chr13	108449947	109953460	0.0482399718998638	9.8922976919803e-160	Hypermethylated	0	1	-1
Lpp	chr16	24393506	24992577	0.076279471615905	2.58388442951544e-155	Hypermethylated	0	3	-3
Arhgap26	chr18	38676717	39110533	0.0993239691328179	1.03821506052119e-151	Hypermethylated	0	0	0
Unc5c	chr3	141465215	141834923	0.109485763908707	2.81386922254427e-136	Hypermethylated	0	1	-1
Rps6ka5	chr12	100548438	100726982	0.127804487237224	9.46813758378864e-127	Hypermethylated	0	5	-5
Lsamp	chr16	39984360	42181678	0.0359962747879556	4.58905313705143e-121	Hypermethylated	5	2	3
Cdh8	chr8	99024470	99416470	0.090659238397037	1.71330110075028e-116	Hypermethylated	0	3	-3
Ncald	chr15	37366174	37792569	0.0983160093761128	2.49073950056617e-115	Hypermethylated	0	4	-4
Rims2	chr15	39198260	39684371	0.0917915773752762	2.00083591720528e-114	Hypermethylated	2	3	-1
Dlgap1	chr17	69969072	70821412	0.063204731636381	4.13955683284149e-101	Hypermethylated	1	0	1
Maml3	chr3	51685906	52105075	0.0734115540399398	3.20524325358652e-100	Hypermethylated	0	3	-3
Cadm2	chr16	66655420	67620907	0.05182373260793	2.4582570246335e-99	Hypermethylated	0	2	-2
Pld5	chr1	175962305	176275311	0.102894705131192	2.77785836258324e-99	Hypermethylated	1	1	0
Trhde	chr10	114398820	114802306	0.0758890498597264	1.19065060598895e-96	Hypermethylated	0	4	-4
Ppm1l	chr3	69316860	69560801	0.093055537073915	1.06771078524924e-94	Hypermethylated	0	3	-3
Zfp608	chr18	54888047	54992554	0.128609620417748	3.47901605108614e-94	Hypermethylated	1	1	0
Ndst3	chr3	123526165	123690852	0.124769037132139	4.26966941262801e-91	Hypermethylated	0	3	-3
Nfia	chr4	97772733	98118873	0.0798577637917998	2.00672984753761e-90	Hypermethylated	0	0	0
Rit2	chr18	30973488	31317289	0.0784029179233712	8.80238458808759e-90	Hypermethylated	0	9	-9
Nfib	chr4	82290172	82705749	0.0720452852354531	5.89298320966646e-87	Hypermethylated	0	5	-5
Syn2	chr6	115134901	115282005	0.149960657857046	8.83856624927036e-84	Hypermethylated	0	0	0
Tmeff2	chr1	50900646	51187269	0.0797966225435751	9.24134959311858e-80	Hypermethylated	1	2	-1
Runx1t1	chr4	13743435	13893648	0.120807554673665	6.67093035533868e-79	Hypermethylated	6	1	5
Myt1l	chr12	29528383	29923212	0.0741454598664215	5.32125041649402e-78	Hypermethylated	0	3	-3
Lrrc4c	chr2	96318168	97631665	0.0398700282720087	1.42534491137169e-76	Hypermethylated	3	2	1
Caln1	chr5	130369454	130847411	0.105913062069809	1.0799169251807e-72	Hypermethylated	0	1	-1
Cog5	chr12	31654868	31937629	0.079808364869269	6.51200890062381e-72	Hypermethylated	0	0	0
Negr1	chr3	156561793	157316444	0.0611013167981067	6.57145737634418e-72	Hypermethylated	3	1	2
Samd12	chr15	53453809	53902536	0.0608971670388725	1.35795982750333e-71	Hypermethylated	0	1	-1
Snd1	chr6	28475138	28935161	0.0690372618467321	4.09333737993839e-71	Hypermethylated	0	2	-2
Ptchd4	chr17	42315946	42505076	0.0949286754883609	3.59120291464918e-69	Hypermethylated	0	6	-6
Car10	chr11	93098027	93601748	0.0737989716444384	6.08282248717732e-68	Hypermethylated	0	2	-2
Tcf4	chr18	69343355	69689078	0.0624559421768918	2.92251110363465e-67	Hypermethylated	3	1	2
Syne1	chr10	5020916	5551481	0.0680360015119725	2.14579325380684e-66	Hypermethylated	5	1	4
Kcnip4	chr5	48389501	49524906	0.0385217660849455	1.16647214681763e-65	Hypermethylated	2	5	-3
Pcdh9	chr14	93013409	93890678	0.0419155510092155	1.47943578357602e-63	Hypermethylated	1	7	-6
Dlg1	chr16	31663442	31875128	0.0918570720201706	6.46764048408777e-63	Hypermethylated	0	1	-1
Brinp1	chr4	68761513	68954396	0.110346408430355	1.02520316041237e-62	Hypermethylated	3	2	1
Kctd8	chr5	69109284	69341678	0.100533013145587	8.67778278074767e-62	Hypermethylated	0	2	-2
Bmp5	chr9	75775363	75900309	0.0923197088772908	1.03844604942792e-60	Hypermethylated	0	5	-5
E2f3	chr13	29906574	29986062	0.09666982371787	6.12708230931016e-59	Hypermethylated	0	6	-6
Mllt3	chr4	87769924	88033363	0.0722630476497801	2.17501878931159e-58	Hypermethylated	0	0	0
Lgr4	chr2	109917646	110014256	0.112348721982846	2.36382830609582e-58	Hypermethylated	0	0	0
Macrod2	chr2	140395308	142392965	0.0250957189847196	2.85944857332586e-58	Hypermethylated	0	0	0
Nr3c1	chr18	39410544	39519420	0.12129135724471	2.93844459461317e-57	Hypermethylated	0	7	-7
Aig1	chr10	13647053	13868979	0.0821600730761888	2.50604104197457e-56	Hypermethylated	1	0	1
Cntnap2	chr6	45059356	47304212	0.0260524561561917	1.35309817723913e-55	Hypermethylated	0	2	-2
Cadm1	chr9	47530172	47858114	0.0544840785906306	1.76512052452023e-55	Hypermethylated	5	5	0
Fat3	chr9	15910188	16501284	-0.0431355527225981	3.89319114508194e-54	Hypomethylated	11	0	11
Dclk2	chr3	86786150	86920851	0.10706643135295	2.37321247888488e-53	Hypermethylated	0	0	0
