chr	start	end	name	score	strand	Ensembl_ID	gene_type	symbol	tss	Expression	is_ue	cellType	ATAC.ctrl_ATAC.tagAlign.bgz.readCount	ATAC.ctrl_ATAC.tagAlign.bgz.RPM	ATAC.ctrl_ATAC.tagAlign.bgz.readCount.quantile	ATAC.ctrl_ATAC.tagAlign.bgz.RPM.quantile	ATAC.ctrl_ATAC.tagAlign.bgz.RPKM	ATAC.ctrl_ATAC.tagAlign.bgz.RPKM.quantile	ATAC.RPM	ATAC.RPM.quantile	ATAC.RPKM	ATAC.RPKM.quantile	ATAC.ctrl_ATAC.tagAlign.bgz.readCount.TSS1Kb	ATAC.ctrl_ATAC.tagAlign.bgz.RPM.TSS1Kb	ATAC.ctrl_ATAC.tagAlign.bgz.readCount.quantile.TSS1Kb	ATAC.ctrl_ATAC.tagAlign.bgz.RPM.quantile.TSS1Kb	ATAC.ctrl_ATAC.tagAlign.bgz.RPKM.TSS1Kb	ATAC.ctrl_ATAC.tagAlign.bgz.RPKM.quantile.TSS1Kb	ATAC.RPM.TSS1Kb	ATAC.RPM.quantile.TSS1Kb	ATAC.RPKM.TSS1Kb	ATAC.RPKM.quantile.TSS1Kb	PromoterActivityQuantile
chr1	3205900	3671498	Xkr4	0	-	ENSMUSG00000051951	protein_coding	Xkr4	3671498		False		17330	74.108682	0.931105	0.931105	0.159169	0.163093	74.108682	0.931105	0.159169	0.163093	1670	7.141460	0.681221	0.681221	7.141460	0.681221	7.141460	0.681221	7.141460	0.681221	0.681221
chr1	3905738	3986215	Gm37381	0	-	ENSMUSG00000102343	lincRNA	Gm37381	3986215		False		1376	5.884221	0.423752	0.423752	0.073117	0.042209	5.884221	0.423752	0.073117	0.042209	0	0.000000	0.008718	0.008718	0.000000	0.008718	0.000000	0.008718	0.000000	0.008718	0.008718
chr1	3999556	4409241	Rp1	0	-	ENSMUSG00000025900	protein_coding	Rp1	4409241		False		8748	37.409276	0.834869	0.834869	0.091312	0.062834	37.409276	0.834869	0.091312	0.062834	64	0.273685	0.228444	0.228444	0.273685	0.228444	0.273685	0.228444	0.273685	0.228444	0.228444
chr1	4490930	4497354	Sox17	0	-	ENSMUSG00000025902	protein_coding	Sox17	4497354		False		728	3.113163	0.325354	0.325354	0.484614	0.555233	3.113163	0.325354	0.484614	0.555233	174	0.744080	0.454513	0.454513	0.744080	0.454513	0.744080	0.454513	0.744080	0.454513	0.454513
chr1	4496550	4499558	Gm37587	0	+	ENSMUSG00000104238	processed_transcript	Gm37587	4496550		False		270	1.154607	0.180671	0.180671	0.383846	0.469398	1.154607	0.180671	0.383846	0.469398	118	0.504606	0.381437	0.381437	0.504606	0.381437	0.504606	0.381437	0.504606	0.381437	0.381437
chr1	4583128	4586252	Gm37323	0	-	ENSMUSG00000104328	lincRNA	Gm37323	4586252		False		74	0.316448	0.047578	0.047578	0.101296	0.075912	0.316448	0.047578	0.101296	0.075912	2	0.008553	0.019634	0.019634	0.008553	0.019634	0.008553	0.019634	0.008553	0.019634	0.019634
chr1	4773205	4785739	Mrpl15	0	-	ENSMUSG00000033845	protein_coding	Mrpl15	4785739		False		1866	7.979619	0.478222	0.478222	0.636638	0.642202	7.979619	0.478222	0.636638	0.642202	1688	7.218434	0.682461	0.682461	7.218434	0.682461	7.218434	0.682461	7.218434	0.682461	0.682461
chr1	4807787	4848410	Lypla1	0	+	ENSMUSG00000025903	protein_coding	Lypla1	4807787		False		3759	16.074699	0.638711	0.638711	0.395704	0.480561	16.074699	0.638711	0.395704	0.480561	4731	20.231285	0.843623	0.843623	20.231285	0.843623	20.231285	0.843623	20.231285	0.843623	0.843623
chr1	4807891	4886770	Gm37988	0	+	ENSMUSG00000104217	protein_coding	Gm37988	4807891		False		15025	64.251757	0.916185	0.916185	0.814561	0.708970	64.251757	0.916185	0.814561	0.708970	4743	20.282601	0.843924	0.843924	20.282601	0.843924	20.282601	0.843924	20.282601	0.843924	0.843924
chr1	4857813	4897909	Tcea1	0	+	ENSMUSG00000033813	protein_coding	Tcea1	4857813		False		3088	13.205286	0.587235	0.587235	0.329342	0.411773	13.205286	0.587235	0.329342	0.411773	11936	51.042194	0.959315	0.959315	51.042194	0.959315	51.042194	0.959315	51.042194	0.959315	0.959315
chr1	4909575	5070285	Rgs20	0	-	ENSMUSG00000002459	protein_coding	Rgs20	5070285		False		7739	33.094466	0.811851	0.811851	0.205927	0.237835	33.094466	0.811851	0.205927	0.237835	415	1.774674	0.551884	0.551884	1.774674	0.551884	1.774674	0.551884	1.774674	0.551884	0.551884
chr1	5070017	5162529	Atp6v1h	0	+	ENSMUSG00000033793	protein_coding	Atp6v1h	5070017		False		4456	19.055296	0.681274	0.681274	0.205976	0.237942	19.055296	0.681274	0.205976	0.237942	389	1.663490	0.546745	0.546745	1.663490	0.546745	1.663490	0.546745	1.663490	0.546745	0.546745
chr1	5588465	5606131	Oprk1	0	+	ENSMUSG00000025905	protein_coding	Oprk1	5588465		False		1053	4.502968	0.380161	0.380161	0.254895	0.311124	4.502968	0.380161	0.254895	0.311124	238	1.017765	0.497395	0.497395	1.017765	0.497395	1.017765	0.497395	1.017765	0.497395	0.497395
chr1	5913706	5917398	Npbwr1	0	-	ENSMUSG00000033774	protein_coding	Npbwr1	5917398		False		622	2.659873	0.302938	0.302938	0.720442	0.676543	2.659873	0.302938	0.720442	0.676543	190	0.812501	0.467750	0.467750	0.812501	0.467750	0.812501	0.467750	0.812501	0.467750	0.467750
