#TAD name (cmd=getDiffExpression.pl BAP1.tad.scores.txt ctrl ctrl ctrl mut mut mut)	chr1	start1	end1	chr2	start2	end2	color	InclustionRatio(IR)	Length	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M1/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M2/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M1/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M2/tagdirs IR	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs IR	ctrl vs. mut Difference	ctrl vs. mut p-value	ctrl vs. mut adj. p-value
chr7:75906000-76952998	chr7	75906000	76952998	chr7	75906000	76952998	255,255,0	1.629000	1046998	1.452266	1.476938	1.456722	1.719114	1.627834	1.690485	0.217169	0.000929887283099054	0.012331380529264
chr19:5523000-5576998	chr19	5523000	5576998	chr19	5523000	5576998	255,255,0	2.248000	53998	1.833693	1.824626	1.910387	2.005231	1.847977	2.243006	0.175836	0.129308040360366	0.262158234628821
chr11:119490000-119912998	chr11	119490000	119912998	chr11	119490000	119912998	255,255,0	3.241000	422998	3.193239	3.021820	3.019157	3.202332	3.105727	3.224022	0.0992883333333328	0.16083804096703	0.30677976708696
chr4:134028000-134093998	chr4	134028000	134093998	chr4	134028000	134093998	255,255,0	1.928000	65998	1.835036	1.614908	1.789718	1.927880	1.822409	2.038166	0.182931	0.0611893116044836	0.155683295142876
chr9:107229000-107288998	chr9	107229000	107288998	chr9	107229000	107288998	255,255,0	1.955000	59998	2.045888	2.005151	1.983863	1.940613	1.954966	1.920040	-0.0730943333333335	0.0664035681130859	0.165856967037605
chr15:74889000-75026998	chr15	74889000	75026998	chr15	74889000	75026998	255,255,0	2.681000	137998	2.789830	2.681016	2.710498	2.701003	2.657616	2.758796	-0.0213096666666667	0.654463041906222	0.791958326209137
chr15:81432000-81692998	chr15	81432000	81692998	chr15	81432000	81692998	255,255,0	1.915000	260998	1.906391	1.935227	1.893891	1.847598	1.869739	1.924638	-0.0311779999999998	0.407545288889465	0.579590466218698
chrX:78216000-78263998	chrX	78216000	78263998	chrX	78216000	78263998	255,255,0	1.675000	47998	1.238340	1.191169	1.183779	1.396359	1.587331	1.674961	0.348454333333333	0.00323960770463281	0.0238518165909391
chrX:23841000-24107998	chrX	23841000	24107998	chrX	23841000	24107998	255,255,0	1.585000	266998	1.512209	1.444088	1.458227	1.540393	1.442412	1.670843	0.0797079999999998	0.25262524393217	0.417788566290853
chr18:42210000-42341998	chr18	42210000	42341998	chr18	42210000	42341998	255,255,0	1.693000	131998	1.738778	1.692987	1.676254	1.578525	1.628180	1.452714	-0.149533333333334	0.0303981262126756	0.0977306473082044
chr3:58524000-58583998	chr3	58524000	58583998	chr3	58524000	58583998	255,255,0	1.662000	59998	1.538729	1.662182	1.376758	1.348021	1.457079	1.369117	-0.134484	0.134410157445998	0.269933186480786
chr12:72093000-72440998	chr12	72093000	72440998	chr12	72093000	72440998	255,255,0	2.640000	347998	2.715583	2.639565	2.737713	2.643956	2.671927	2.745990	-0.0103293333333333	0.824152484855831	0.902495547750328
chr14:105168000-105305998	chr14	105168000	105305998	chr14	105168000	105305998	255,255,0	1.900000	137998	1.867792	1.716131	1.853794	1.899801	1.862407	1.942154	0.0888816666666669	0.136947511544477	0.273495507590685
chr7:62865000-63323998	chr7	62865000	63323998	chr7	62865000	63323998	255,255,0	2.685000	458998	2.314568	2.303139	2.343450	2.554071	2.517478	2.684892	0.265094666666666	0.00196877411546203	0.0177230263672314
chr10:38856000-39110998	chr10	38856000	39110998	chr10	38856000	39110998	255,255,0	1.698000	254998	1.559477	1.697990	1.652237	1.911884	1.915703	1.995898	0.304593666666666	0.000768362769927382	0.011108184945374
chr3:131955000-132650998	chr3	131955000	132650998	chr3	131955000	132650998	255,255,0	1.790000	695998	1.579586	1.534181	1.585082	1.758267	1.722929	1.789453	0.1906	0.00148139984106661	0.0155475762165789
chr6:32607000-33080998	chr6	32607000	33080998	chr6	32607000	33080998	255,255,0	1.698000	473998	1.479785	1.497982	1.491216	1.738703	1.624941	1.697676	0.197445666666666	0.00231861382848464	0.0195426022686562
chr10:112899000-112952998	chr10	112899000	112952998	chr10	112899000	112952998	255,255,0	1.665000	53998	1.733773	1.640600	1.664758	1.770117	1.602662	1.674199	0.00261566666666629	0.962563136194822	0.983052784240138
chr5:98340000-98879998	chr5	98340000	98879998	chr5	98340000	98879998	255,255,0	2.125000	539998	2.124676	1.993453	2.057667	2.184283	2.274807	2.252600	0.178631333333333	0.00902665481185717	0.0446659784477012
chrX:102198000-102497998	chrX	102198000	102497998	chrX	102198000	102497998	255,255,0	2.574000	299998	2.288149	2.272262	2.342971	2.574379	2.323404	2.421750	0.138716999999999	0.0871976525529394	0.197734126160633
chr12:83523000-84461998	chr12	83523000	84461998	chr12	83523000	84461998	255,255,0	1.770000	938998	1.847510	1.825051	1.806925	1.767686	1.780793	1.819906	-0.0370336666666669	0.293126892151127	0.460356838536625
chr18:10851000-11318998	chr18	10851000	11318998	chr18	10851000	11318998	255,255,0	1.604000	467998	1.597376	1.622919	1.595684	1.582059	1.603043	1.542301	-0.0295253333333338	0.395396646989872	0.57030120936828
chr11:87207000-87401998	chr11	87207000	87401998	chr11	87207000	87401998	255,255,0	1.991000	194998	1.618155	1.606389	1.627152	1.990824	2.012323	1.978844	0.376765	1.35388996229991e-05	0.00334219923218344
chrX:59175000-59621998	chrX	59175000	59621998	chrX	59175000	59621998	255,255,0	1.890000	446998	1.854491	1.890457	1.902242	2.109493	2.117877	2.145474	0.241884666666667	0.000251608640757788	0.00665771712453638
chr4:137841000-137960998	chr4	137841000	137960998	chr4	137841000	137960998	255,255,0	4.148000	119998	4.428469	3.773433	4.058217	3.998203	3.901967	4.148034	-0.0706383333333333	0.687820099385234	0.815028155179733
chr3:45735000-45788998	chr3	45735000	45788998	chr3	45735000	45788998	255,255,0	1.524000	53998	1.253600	1.156342	1.524378	1.210395	1.149282	1.176410	-0.132744333333334	0.211801950213458	0.370934628580727
chr5:35043000-35363998	chr5	35043000	35363998	chr5	35043000	35363998	255,255,0	2.157000	320998	2.156557	2.049960	2.144910	2.116900	2.087811	2.075985	-0.0235770000000004	0.580873668320078	0.734866610007588
chr10:111492000-111977998	chr10	111492000	111977998	chr10	111492000	111977998	255,255,0	3.732000	485998	3.639768	3.646752	3.732388	3.519068	3.480777	3.610700	-0.136121000000001	0.0307940605378314	0.0985051913424402
chr8:114000000-114056998	chr8	114000000	114056998	chr8	114000000	114056998	255,255,0	1.570000	56998	1.570014	1.317806	1.215172	1.372039	1.384844	1.427040	0.0269769999999996	0.777597716505815	0.871247535424255
chr12:21030000-21656998	chr12	21030000	21656998	chr12	21030000	21656998	255,255,0	4.760000	626998	4.759669	4.347098	4.659495	4.052972	3.851346	3.871372	-0.663524000000001	0.00129043352077485	0.0145406485578738
chr13:64242000-64310998	chr13	64242000	64310998	chr13	64242000	64310998	255,255,0	2.667000	68998	2.481794	2.489104	2.501402	2.667063	2.753666	2.730239	0.226222666666667	0.000667706751878645	0.0106007551952806
chr13:23580000-23627998	chr13	23580000	23627998	chr13	23580000	23627998	255,255,0	1.965000	47998	1.892823	1.717628	1.965490	1.562261	1.577682	1.637494	-0.266168	0.00815867968166222	0.0419763691715525
chr4:93807000-93875998	chr4	93807000	93875998	chr4	93807000	93875998	255,255,0	1.508000	68998	1.508451	1.395649	1.301739	1.321943	1.263790	1.415865	-0.0680803333333334	0.34678313815384	0.519936531998511
chr4:49341000-49490998	chr4	49341000	49490998	chr4	49341000	49490998	255,255,0	1.537000	149998	1.388860	1.398434	1.195297	1.432368	1.408740	1.537492	0.132003	0.103013323226162	0.222101811953296
chr9:36696000-37676998	chr9	36696000	37676998	chr9	36696000	37676998	255,255,0	3.271000	980998	3.385636	3.271475	3.329388	3.673913	3.503578	3.389114	0.193368666666666	0.0471675211633282	0.131167769044007
chr12:39501000-40202998	chr12	39501000	40202998	chr12	39501000	40202998	255,255,0	4.079000	701998	3.736102	3.463138	3.752866	4.048042	3.925895	3.983544	0.335124999999999	0.00809761161019629	0.0417898017613676
chr19:20787000-21566998	chr19	20787000	21566998	chr19	20787000	21566998	255,255,0	2.354000	779998	2.431300	2.390989	2.476716	2.361535	2.354254	2.324027	-0.0863963333333334	0.0516443538070318	0.139925407427668
chr9:46335000-47726998	chr9	46335000	47726998	chr9	46335000	47726998	255,255,0	2.444000	1391998	2.272042	2.251098	2.312527	2.444137	2.377892	2.398290	0.128217333333333	0.0109251425926126	0.0503106601290025
chr8:41445000-42473998	chr8	41445000	42473998	chr8	41445000	42473998	255,255,0	1.580000	1028998	1.619075	1.543547	1.580327	1.570852	1.494927	1.526375	-0.0502650000000002	0.230005207711023	0.393188229000128
chr9:12030000-13211998	chr9	12030000	13211998	chr9	12030000	13211998	255,255,0	1.578000	1181998	1.569583	1.591196	1.577856	1.626752	1.623016	1.668687	0.0599399999999999	0.0993005967064599	0.215690994216466
chr6:30198000-30371998	chr6	30198000	30371998	chr6	30198000	30371998	255,255,0	1.688000	173998	1.688121	1.674914	1.813470	1.760321	1.686727	1.780373	0.0169719999999996	0.751032163161906	0.853685609050998
chr11:115077000-115160998	chr11	115077000	115160998	chr11	115077000	115160998	255,255,0	2.378000	83998	2.321341	2.335139	2.377912	2.649376	2.348677	2.512867	0.158842666666667	0.0857012344681325	0.19579884337408
chr7:90495000-91439998	chr7	90495000	91439998	chr7	90495000	91439998	255,255,0	1.948000	944998	2.066985	1.947603	1.942486	1.952664	1.864645	1.985578	-0.051395666666667	0.364124745144439	0.537265507705515
chr12:52902000-54644998	chr12	52902000	54644998	chr12	52902000	54644998	255,255,0	2.224000	1742998	2.218899	2.252379	2.206268	2.197718	2.274887	2.407323	0.0674606666666665	0.290539959580596	0.457610917578963
chr8:9207000-9956998	chr8	9207000	9956998	chr8	9207000	9956998	255,255,0	3.673000	749998	3.666598	3.447462	3.523883	3.966389	3.896408	3.839962	0.354938666666666	0.00172315469117116	0.0165313006876898
