Summit_Chr	Summit_Start	Summit_End	Peak_Chr	Peak_Start	Peak_End	width	strand	Conc	Conc_mut	Conc_ctrl	Fold	p.value	FDR
chr8	28503546	28503946	chr8	28503379	28503888	510	*	8.91780379817412	9.82004612061098	5.98578840183457	3.70675123360583	3.95535931536506e-86	3.00077289819485e-81
chrX	146962222	146962622	chrX	146962330	146962582	253	*	7.57004354813441	8.51018420075984	3.94917134515112	4.43176020500485	3.41853924835506e-77	1.29675449307853e-72
chr11	24693969	24694369	chr11	24694009	24694398	390	*	8.26224038871626	9.08601578114169	6.14174580516132	2.86861295221805	2.7317361796013e-56	6.90819656672108e-52
chr4	20460316	20460716	chr4	20460218	20460709	492	*	8.19528269530537	8.99987066134016	6.21450420773392	2.69647714253233	2.74516966386251e-54	5.20662604296482e-50
chr4	115931540	115931940	chr4	115931628	115931886	259	*	7.00626615003469	7.92275578984548	3.85404500564857	3.84552346676583	1.89205425519722e-49	2.87085176249585e-45
chr19	25672112	25672512	chr19	25672206	25672472	267	*	7.36505957989505	8.17608311673761	5.33911469835903	2.71150191991583	1.02783964341224e-43	1.29963470645188e-39
chr15	93874179	93874579	chr15	93874256	93874500	245	*	6.50889906064455	7.40168796208189	3.70538525659193	3.49251758753998	1.43758098220571e-43	1.55805026851454e-39
chr15	69413650	69414050	chr15	69413630	69413982	353	*	7.52952005111775	8.37601047231262	5.22107999984384	3.00310687991962	3.33016050022701e-41	3.15807445637778e-37
chr7	137160641	137161041	chr7	137160692	137161002	311	*	6.77540348955184	7.61556779707122	4.52211854788114	2.94832608256033	4.07563414486637e-41	3.43557844482702e-37
chr6	121473481	121473881	chr6	121473143	121473915	773	*	8.7731771595949	9.48429791884962	7.31091896584034	2.10245519208403	1.1141193168478e-40	8.4523776091975e-37
chr7	144301623	144302023	chr7	144301577	144302050	474	*	8.70636699479962	9.44779202106026	7.09889819553618	2.27883955314633	2.61681302246369e-39	1.80479215238391e-35
chr5	13667465	13667865	chr5	13667590	13668062	473	*	7.5268569950696	8.28357769025665	5.83884539349019	2.36918846806999	6.16338311613002e-39	3.89659352906933e-35
chr17	48598683	48599083	chr17	48598475	48599058	584	*	9.72552896025469	8.29250573309455	10.4300875808539	-2.06824733019346	6.39428511621689e-38	3.73160642020701e-34
