GROUP	chr1	x1	x2	chr2	y1	y2	ctrl_merge	mut_merge
clust3	chr8	126025000	126030000	chr8	126060000	126065000	329.68179933230067	287.0098307927447
clust3	chr8	122610000	122615000	chr8	122675000	122680000	198.20182092984533	186.12698495388
clust3	chr8	122905000	122910000	chr8	122940000	122945000	302.403617898623	271.4325606028237
clust3	chr8	71910000	71915000	chr8	71985000	71990000	136.46763523419668	120.53279348214468
clust3	chr8	69120000	69125000	chr8	69155000	69160000	271.399200677872	245.244248787562
clust3	chr8	106685000	106690000	chr8	106885000	106890000	185.03740616639467	159.24398889144234
clust3	chr8	122830000	122835000	chr8	122900000	122905000	160.99627184867867	141.973857760429
clust3	chr8	84365000	84370000	chr8	84415000	84420000	228.2076997756957	207.73107139269533
clust3	chr8	17390000	17395000	chr8	17490000	17495000	124.23724563916532	113.802996615569
clust3	chr8	119030000	119035000	chr8	119280000	119285000	45.00542783737183	39.69067522883413
clust3	chr8	19935000	19940000	chr8	19970000	19975000	287.53735089302035	269.0994986693063
clust3	chr14	62340000	62345000	chr14	62385000	62390000	183.85625712076836	170.06050284703568
clust3	chr14	122910000	122915000	chr14	122960000	122965000	160.41817728678367	145.439558903376
clust3	chr14	63075000	63080000	chr14	63120000	63125000	161.79386142889635	151.92948826154066
clust3	chr14	13960000	13965000	chr14	14010000	14015000	218.04404020309437	198.401887814204
clust3	chr14	20720000	20725000	chr14	20795000	20800000	148.637735525767	129.519939084848
clust3	chr14	55495000	55500000	chr14	55595000	55600000	136.35535307725266	121.50864136219032
clust3	chr14	102020000	102025000	chr14	102980000	102985000	45.80605988701186	41.28166228532789
clust3	chr14	61650000	61655000	chr14	62455000	62460000	38.386472860972106	34.29790808757147
clust3	chr14	27805000	27810000	chr14	29440000	29445000	44.491265445947626	38.225097010533
clust3	chr9	103580000	103585000	chr9	103620000	103625000	273.59213519096403	257.1661963462827
clust3	chr9	29460000	29465000	chr9	29520000	29525000	204.060252428055	189.7671715021133
clust3	chr9	42185000	42190000	chr9	42225000	42230000	311.611663500468	269.6037661234537
clust3	chr9	42070000	42075000	chr9	42115000	42120000	359.67667452494305	340.3502588272093
clust3	chr9	47305000	47310000	chr9	47345000	47350000	240.20398950576768	224.4918208122253
clust3	chr9	83445000	83450000	chr9	83485000	83490000	351.468623638153	318.0255198478703
clust3	chr9	55230000	55235000	chr9	55275000	55280000	305.27989625930763	274.5905717213947
clust3	chr9	55250000	55255000	chr9	55295000	55300000	416.754370212555	370.590649286906
clust3	chr9	13595000	13600000	chr9	13650000	13655000	261.82467603683466	235.48665984471637
clust3	chr9	119340000	119345000	chr9	119400000	119405000	202.621340870857	182.6675637165704
clust3	chr9	34770000	34775000	chr9	34810000	34815000	263.5262728532157	235.276854276657
clust3	chr9	64460000	64465000	chr9	64505000	64510000	252.851461569468	227.42376391092927
clust3	chr9	118175000	118180000	chr9	118225000	118230000	299.4825701713563	254.91410223643
clust3	chr9	56950000	56955000	chr9	57070000	57075000	161.444766600927	147.53455821673066
clust3	chr9	54860000	54865000	chr9	54915000	54920000	175.908371488253	158.74346876144435
clust3	chr9	52095000	52100000	chr9	52165000	52170000	145.87570122877733	124.537586847941
clust3	chr9	20520000	20525000	chr9	20605000	20610000	138.77399075031266	122.42321916421268
clust3	chr9	28440000	28445000	chr9	28615000	28620000	133.81671126683568	119.476884961128
clust3	chr9	66835000	66840000	chr9	66920000	66925000	183.0174486239753	162.66696600119266
clust3	chr9	114750000	114755000	chr9	114910000	114915000	87.0181565284729	81.46021699905394
clust3	chr9	120600000	120605000	chr9	120830000	120835000	131.077126264572	117.67870136102044
clust3	chr9	52045000	52050000	chr9	52165000	52170000	93.31244017680494	86.32594309250514
clust3	chr9	123715000	123720000	chr9	124425000	124430000	40.9257431427638	38.08317456642787
clust3	chr11	32515000	32520000	chr11	32590000	32595000	272.6543281873067	236.9539029598237
clust3	chr11	103190000	103195000	chr11	103265000	103270000	229.74838924407936	197.978405157725
clust3	chr11	61020000	61025000	chr11	61075000	61080000	382.7792433102927	355.24096393585205
