PeakID (cmd=annotatePeaks.pl /expanse/lustre/projects/csd940/ctea/homer/homer_scripts/reference_peaks/H3K27me3.bed mm10 -size 1000 -bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph /expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/ctrl_M3/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp	/expanse/lustre/projects/csd940/ctea/homer/bwt2_bam/tags/mut_M3/tagdirs/tagdirs.DLR.bedGraph bedGraph avg over 1000 bp
446574	chrY	1718943	1719943	+	1616	NA	Intergenic	Intergenic	-259661	NM_148943	107868		NM_148943	ENSMUSG00000069044	Usp9y	Dffry|Fafl2	ubiquitin specific peptidase 9, Y chromosome	protein-coding	-3.167	-3.317
1099358	chrY	48108706	48109706	+	980	NA	Intergenic	Intergenic	-202839	NR_164188	108168506		NR_164188	ENSMUSG00000121343	Gm21679	-	predicted gene, 21679	ncRNA		
259436	chr1	78573758	78574758	+	626	NA	Intergenic	Intergenic	63198	NM_026713	68393		NM_026713	ENSMUSG00000012187	Mogat1	0610030A14Rik|1110064N14Rik|Dgat2l|Dgat2l1|MGAT1|WI1-2612I11.1|mDC2	monoacylglycerol O-acyltransferase 1	protein-coding	-0.234	-0.137
394438	chrY	84663970	84664970	+	543	NA	Intergenic	Intergenic	-99563	NM_001378412	108168579		NM_001160140	ENSMUSG00000094660	Gm21394	-	predicted gene, 21394	protein-coding		
456925	chr10	70665507	70666507	+	514	NA	Intergenic	L1Md_F2|LINE|L1	-10044	NR_045292	319646		NR_045291	ENSMUSG00000037747	D630013N20Rik	-	RIKEN cDNA D630013N20 gene	ncRNA	-0.355	-0.351
192065	chr14	4499045	4500045	+	488	NA	intron (NM_001374159, intron 1 of 5)	CpG	682	NM_001374158	100169868		NM_001374156	ENSMUSG00000079386	Gm3173	100041162	predicted gene 3173	protein-coding	1.759	1.433
221056	chrY	66719670	66720670	+	371	NA	Intergenic	Intergenic	22000	NM_001160129	100040786		NM_001160129	ENSMUSG00000096666	Gm20852	-	predicted gene, 20852	protein-coding		
28813	chr10	93932710	93933710	+	364	NA	Intergenic	Intergenic	30653	NR_029764	723908		NR_029764	ENSMUSG00000065607	Mir331	Mirn331|mmu-mir-331	microRNA 331	ncRNA	-0.679	-0.830
71589	chrY	2109974	2110974	+	355	NA	intron (NM_009571, intron 6 of 8)	intron (NM_009571, intron 6 of 8)	59935	NM_009571	22768		NM_009571	ENSMUSG00000000103	Zfy2	Zfy-2	zinc finger protein 2, Y-linked	protein-coding	-2.743	-3.193
377196	chr3	142167143	142168143	+	344	NA	intron (NM_001277216, intron 1 of 11)	intron (NM_001277216, intron 1 of 11)	1782	NM_001277217	12167		NM_007560	ENSMUSG00000052430	Bmpr1b	ALK-6|Acvrlk6|Alk6|BMPR-1B|BMPR-IB|CFK-43a|SKR6	bone morphogenetic protein receptor, type 1B	protein-coding	-0.479	-0.526
708195	chr18	42397234	42398234	+	333	NA	Intergenic	Intergenic	3137	NM_138945	18998		NM_138945	ENSMUSG00000024497	Pou4f3	Brn3.1|Brn3c|ddl|dreidel	POU domain, class 4, transcription factor 3	protein-coding	-0.349	-0.402
440460	chr1	156204059	156205059	+	333	NA	intron (NM_177838, intron 1 of 4)	intron (NM_177838, intron 1 of 4)	467	NM_177838	329274		NM_177838	ENSMUSG00000015484	Fam163a	A230106N23Rik	family with sequence similarity 163, member A	protein-coding	-0.452	-0.423
123861	chr11	71271519	71272519	+	332	NA	intron (NR_027858, intron 2 of 12)	intron (NR_027858, intron 2 of 12)	13213	NR_027858	627984		NM_001039234	ENSMUSG00000121474	Nlrp1c-ps	Nalp1c|Nlrp1c	NLR family, pyrin domain containing 1C, pseudogene	pseudo	-0.088	-0.036
380734	chr6	49822256	49823256	+	321	NA	promoter-TSS (NM_023456)	promoter-TSS (NM_023456)	46	NM_023456	109648		NM_023456	ENSMUSG00000029819	Npy	0710005A05Rik	neuropeptide Y	protein-coding	-0.403	-0.407
485678	chr10	112271087	112272087	+	320	NA	intron (NM_001359753, intron 1 of 4)	intron (NM_001359753, intron 1 of 4)	314	NM_001359753	268345		NM_001025581	ENSMUSG00000035681	Kcnc2	B230117I07|KShIIIA|Kv3.2	potassium voltage gated channel, Shaw-related subfamily, member 2	protein-coding	0.239	0.172
715427	chr10	52025614	52026614	+	319	NA	intron (NM_001300957, intron 2 of 2)	intron (NM_001300957, intron 2 of 2)	3612	NM_001300957	215031		NM_153786	ENSMUSG00000049641	Vgll2	C130057C21Rik|VITO-1|Vito1|vgl-2	vestigial like family member 2	protein-coding	0.024	-0.011
171437	chr14	6889728	6890728	+	318	NA	promoter-TSS (NM_001374144)	promoter-TSS (NM_001374144)	-297	NM_001374144	100042100		NM_001374143	ENSMUSG00000090691	Gm3667	-	predicted gene 3667	protein-coding	0.883	0.731
626811	chr1	163311382	163312382	+	316	NA	intron (NM_001025570, intron 1 of 2)	intron (NM_001025570, intron 1 of 2)	1768	NM_011127	18933		NM_011127	ENSMUSG00000026586	Prrx1	A230024N07Rik|K-2|MHox1|Pmx|Pmx1|Prx1|mHox	paired related homeobox 1	protein-coding	-0.056	-0.036
535614	chr2	133552920	133553920	+	314	NA	intron (NM_007553, intron 1 of 2)	CpG	1261	NM_007553	12156		NM_007553	ENSMUSG00000027358	Bmp2	Bmp2a	bone morphogenetic protein 2	protein-coding	-0.500	-0.742
856107	chr2	118705251	118706251	+	312	NA	Intergenic	Intergenic	-1788	NM_001081971	383787		NM_001081971	ENSMUSG00000078137	Ankrd63	Gm1337	ankyrin repeat domain 63	protein-coding	-0.754	-0.781
